open,high,low,close,volume,datetime
402.08,404.53,402.08,404.53,1912,2021-11-23 09:30:00-05:00
402.325,402.68,402.275,402.68,1900,2021-11-23 09:35:00-05:00
400.51,400.51,398.3,399.05,2100,2021-11-23 09:37:00-05:00
399.81,399.81,399.81,399.81,100,2021-11-23 09:38:00-05:00
399.76,399.77,399.055,399.055,300,2021-11-23 09:39:00-05:00
400.63,400.63,399.005,400.01,5100,2021-11-23 09:42:00-05:00
400.265,400.275,400.25,400.25,400,2021-11-23 09:44:00-05:00
400.905,400.925,400.905,400.925,700,2021-11-23 09:45:00-05:00
400.91,401.515,400.91,401.245,300,2021-11-23 09:47:00-05:00
402.29,402.29,402.29,402.29,200,2021-11-23 09:49:00-05:00
402.445,402.445,402.445,402.445,100,2021-11-23 09:50:00-05:00
402.08,402.08,402.08,402.08,100,2021-11-23 09:51:00-05:00
402.79,403.23,402.79,403.19,300,2021-11-23 09:58:00-05:00
402.92,402.92,402.92,402.92,100,2021-11-23 10:00:00-05:00
402.8,403.33,402.76,403.33,300,2021-11-23 10:01:00-05:00
402.62,402.775,402.62,402.775,200,2021-11-23 10:03:00-05:00
401.66,401.66,401.5,401.5,201,2021-11-23 10:06:00-05:00
401.3,401.3,401.3,401.3,400,2021-11-23 10:07:00-05:00
401.47,401.47,401.47,401.47,100,2021-11-23 10:13:00-05:00
401.125,402.0,401.125,401.45,500,2021-11-23 10:14:00-05:00
401.875,401.875,401.875,401.875,100,2021-11-23 10:15:00-05:00
401.85,401.85,401.85,401.85,200,2021-11-23 10:16:00-05:00
401.7,401.71,401.0,401.71,10100,2021-11-23 10:19:00-05:00
401.0,401.0,401.0,401.0,1900,2021-11-23 10:20:00-05:00
401.515,401.515,401.515,401.515,101,2021-11-23 10:22:00-05:00
400.54,400.91,400.54,400.82,760,2021-11-23 10:24:00-05:00
399.915,399.915,399.91,399.91,245,2021-11-23 10:28:00-05:00
399.69,399.905,399.69,399.9,506,2021-11-23 10:29:00-05:00
399.42,399.42,399.42,399.42,200,2021-11-23 10:30:00-05:00
400.005,400.005,399.28,399.28,2418,2021-11-23 10:33:00-05:00
400.005,400.005,399.78,399.78,206,2021-11-23 10:34:00-05:00
399.78,399.78,399.775,399.775,300,2021-11-23 10:36:00-05:00
399.775,399.775,399.775,399.775,300,2021-11-23 10:38:00-05:00
400.43,400.43,400.14,400.14,602,2021-11-23 10:39:00-05:00
400.365,400.365,399.53,400.19,900,2021-11-23 10:40:00-05:00
400.165,400.165,400.165,400.165,200,2021-11-23 10:42:00-05:00
400.43,400.58,400.43,400.58,696,2021-11-23 10:43:00-05:00
400.69,400.69,400.29,400.55,1957,2021-11-23 10:44:00-05:00
400.57,400.82,400.53,400.82,500,2021-11-23 10:45:00-05:00
400.86,401.02,400.86,401.02,525,2021-11-23 10:46:00-05:00
401.01,401.03,401.0,401.0,919,2021-11-23 10:47:00-05:00
400.915,400.935,400.88,400.935,400,2021-11-23 10:49:00-05:00
400.685,400.72,400.685,400.71,799,2021-11-23 10:51:00-05:00
400.87,400.87,400.42,400.58,2100,2021-11-23 10:52:00-05:00
