open,high,low,close,volume,datetime
126.84,126.84,126.84,126.84,798,2024-03-28 08:12:00-04:00
128.0,128.17,127.61,128.17,86439,2024-03-28 09:30:00-04:00
128.23,128.64,128.18,128.18,17834,2024-03-28 09:31:00-04:00
128.29,128.64,128.26,128.5,20320,2024-03-28 09:32:00-04:00
128.465,128.55,128.06,128.205,12671,2024-03-28 09:33:00-04:00
128.25,128.3561,128.17,128.18,13580,2024-03-28 09:34:00-04:00
128.16,128.445,128.13,128.13,10935,2024-03-28 09:35:00-04:00
128.205,128.205,128.03,128.08,9370,2024-03-28 09:36:00-04:00
128.075,128.1,127.91,128.02,4759,2024-03-28 09:37:00-04:00
127.95,128.0,127.88,127.93,7959,2024-03-28 09:38:00-04:00
127.87,128.1,127.83,128.04,7348,2024-03-28 09:39:00-04:00
127.99,128.01,127.72,127.8505,9587,2024-03-28 09:40:00-04:00
127.81,127.815,127.585,127.585,3801,2024-03-28 09:41:00-04:00
127.59,127.59,127.5,127.55,3269,2024-03-28 09:42:00-04:00
127.495,127.505,127.39,127.39,5740,2024-03-28 09:43:00-04:00
127.37,127.4,127.15,127.2,4774,2024-03-28 09:44:00-04:00
127.18,127.3,127.13,127.3,3525,2024-03-28 09:45:00-04:00
127.275,127.3605,127.26,127.28,5969,2024-03-28 09:46:00-04:00
127.28,127.34,127.25,127.25,4296,2024-03-28 09:47:00-04:00
127.26,127.26,127.06,127.06,3506,2024-03-28 09:48:00-04:00
127.04,127.095,126.99,127.01,9618,2024-03-28 09:49:00-04:00
126.99,127.065,126.98,127.0446,2837,2024-03-28 09:50:00-04:00
127.01,127.03,126.975,126.98,3447,2024-03-28 09:51:00-04:00
126.94,127.0,126.94,126.98,2150,2024-03-28 09:52:00-04:00
126.97,127.13,126.97,127.095,14607,2024-03-28 09:53:00-04:00
127.07,127.09,127.02,127.025,6161,2024-03-28 09:54:00-04:00
127.0491,127.06,126.9571,127.005,3266,2024-03-28 09:55:00-04:00
127.025,127.03,126.945,126.97,7658,2024-03-28 09:56:00-04:00
127.0299,127.0307,126.98,127.0307,2223,2024-03-28 09:57:00-04:00
127.0672,127.07,126.9788,127.07,3657,2024-03-28 09:58:00-04:00
127.005,127.0447,127.005,127.0447,1193,2024-03-28 09:59:00-04:00
127.05,127.07,126.89,126.89,5346,2024-03-28 10:00:00-04:00
126.87,126.92,126.865,126.9,2764,2024-03-28 10:01:00-04:00
126.9,127.0,126.85,126.94,4022,2024-03-28 10:02:00-04:00
126.9,126.91,126.86,126.88,2843,2024-03-28 10:03:00-04:00
126.85,126.85,126.74,126.81,7890,2024-03-28 10:04:00-04:00
126.79,126.83,126.72,126.81,2329,2024-03-28 10:05:00-04:00
126.84,126.9,126.77,126.835,8343,2024-03-28 10:06:00-04:00
126.8362,126.915,126.82,126.915,1805,2024-03-28 10:07:00-04:00
