open,high,low,close,volume,datetime
269.59,269.95,269.59,269.95,1523,2024-03-28 09:30:00-04:00
268.785,269.95,268.785,269.255,1861,2024-03-28 09:31:00-04:00
269.265,269.265,268.59,268.89,487,2024-03-28 09:32:00-04:00
268.73,268.73,268.73,268.73,100,2024-03-28 09:34:00-04:00
267.23,268.41,267.23,268.41,700,2024-03-28 09:35:00-04:00
268.74,268.74,268.74,268.74,100,2024-03-28 09:36:00-04:00
268.73,268.73,268.73,268.73,100,2024-03-28 09:37:00-04:00
268.83,268.83,268.83,268.83,100,2024-03-28 09:40:00-04:00
268.26,268.26,268.26,268.26,100,2024-03-28 09:46:00-04:00
267.44,268.26,267.44,268.26,1287,2024-03-28 09:49:00-04:00
268.97,268.995,268.26,268.355,1600,2024-03-28 09:53:00-04:00
268.345,268.345,268.345,268.345,5100,2024-03-28 09:54:00-04:00
268.38,268.965,268.38,268.965,200,2024-03-28 09:56:00-04:00
268.94,269.24,268.9,268.9,690,2024-03-28 09:58:00-04:00
268.805,269.615,268.805,269.58,300,2024-03-28 09:59:00-04:00
268.875,269.95,268.58,269.02,3021,2024-03-28 10:00:00-04:00
270.165,270.44,270.165,270.2,600,2024-03-28 10:03:00-04:00
270.1,270.1,270.1,270.1,210,2024-03-28 10:04:00-04:00
269.95,269.95,269.95,269.95,106,2024-03-28 10:06:00-04:00
269.675,269.675,269.675,269.675,100,2024-03-28 10:08:00-04:00
269.29,269.3,269.29,269.3,200,2024-03-28 10:13:00-04:00
269.84,269.84,269.25,269.25,1100,2024-03-28 10:17:00-04:00
269.02,269.025,268.8,269.025,300,2024-03-28 10:19:00-04:00
269.03,269.03,268.85,268.85,300,2024-03-28 10:20:00-04:00
269.035,269.035,269.035,269.035,100,2024-03-28 10:21:00-04:00
268.82,268.85,268.82,268.84,300,2024-03-28 10:22:00-04:00
269.0,269.005,268.87,268.995,400,2024-03-28 10:27:00-04:00
269.0,269.02,269.0,269.02,300,2024-03-28 10:29:00-04:00
269.22,269.22,268.84,268.84,3770,2024-03-28 10:30:00-04:00
269.11,269.11,269.11,269.11,100,2024-03-28 10:31:00-04:00
268.8485,269.015,268.8485,269.015,200,2024-03-28 10:32:00-04:00
268.82,268.82,268.82,268.82,100,2024-03-28 10:33:00-04:00
268.89,268.89,268.89,268.89,100,2024-03-28 10:35:00-04:00
269.0,269.0,269.0,269.0,220,2024-03-28 10:37:00-04:00
268.965,269.4,268.965,269.34,2612,2024-03-28 10:39:00-04:00
269.345,269.345,269.3,269.345,514,2024-03-28 10:40:00-04:00
269.205,269.27,269.205,269.27,587,2024-03-28 10:41:00-04:00
269.0036,269.0036,269.0036,269.0036,250,2024-03-28 10:42:00-04:00
269.275,269.28,269.275,269.28,200,2024-03-28 10:44:00-04:00
269.1044,269.1044,269.1044,269.1044,100,2024-03-28 10:45:00-04:00
269.385,269.385,269.18,269.18,500,2024-03-28 10:47:00-04:00
269.5,269.5,269.5,269.5,300,2024-03-28 10:48:00-04:00
269.61,269.61,269.61,269.61,200,2024-03-28 10:51:00-04:00
269.75,269.75,269.75,269.75,100,2024-03-28 10:52:00-04:00
269.62,269.715,269.36,269.36,1424,2024-03-28 10:54:00-04:00
269.28,269.28,269.0,269.0,700,2024-03-28 10:55:00-04:00
268.855,268.855,268.855,268.855,100,2024-03-28 10:56:00-04:00
268.71,269.05,268.71,269.05,903,2024-03-28 10:57:00-04:00
269.38,269.38,269.38,269.38,100,2024-03-28 10:59:00-04:00
269.66,269.66,269.66,269.66,259,2024-03-28 11:00:00-04:00
269.91,269.91,269.91,269.91,200,2024-03-28 11:01:00-04:00
270.325,270.325,270.18,270.225,1703,2024-03-28 11:04:00-04:00
270.39,270.9165,270.39,270.9165,689,2024-03-28 11:05:00-04:00
270.57,270.765,270.5699,270.765,700,2024-03-28 11:06:00-04:00
270.98,270.98,270.98,270.98,100,2024-03-28 11:07:00-04:00
270.83,270.92,269.58,269.66,8341,2024-03-28 11:08:00-04:00
269.945,269.945,269.69,269.69,200,2024-03-28 11:09:00-04:00
270.03,270.03,270.03,270.03,100,2024-03-28 11:11:00-04:00
270.165,270.455,270.16,270.455,1000,2024-03-28 11:12:00-04:00
270.6,270.6,270.6,270.6,200,2024-03-28 11:13:00-04:00
270.4,270.495,270.4,270.495,300,2024-03-28 11:14:00-04:00
270.4,270.68,269.85,269.85,24789,2024-03-28 11:15:00-04:00
270.295,270.295,270.295,270.295,110,2024-03-28 11:17:00-04:00
270.86,270.88,270.15,270.545,1100,2024-03-28 11:18:00-04:00
270.74,270.74,270.46,270.47,6800,2024-03-28 11:19:00-04:00
270.496,270.496,270.496,270.496,100,2024-03-28 11:20:00-04:00
270.975,270.975,270.51,270.73,300,2024-03-28 11:21:00-04:00
270.86,270.86,270.67,270.67,400,2024-03-28 11:22:00-04:00
270.765,270.86,270.26,270.26,1387,2024-03-28 11:23:00-04:00
270.15,270.15,270.15,270.15,100,2024-03-28 11:24:00-04:00
270.34,270.34,270.34,270.34,100,2024-03-28 11:25:00-04:00
270.54,270.54,270.54,270.54,100,2024-03-28 11:26:00-04:00
270.46,270.46,270.38,270.38,200,2024-03-28 11:27:00-04:00
270.4119,270.4119,270.4119,270.4119,147,2024-03-28 11:28:00-04:00
270.6,270.6,270.46,270.6,300,2024-03-28 11:29:00-04:00
270.62,270.62,270.55,270.55,200,2024-03-28 11:30:00-04:00
270.31,270.31,270.31,270.31,100,2024-03-28 11:31:00-04:00
270.74,270.74,270.72,270.72,400,2024-03-28 11:32:00-04:00
270.97,270.97,270.86,270.885,301,2024-03-28 11:33:00-04:00
270.89,270.89,270.795,270.795,400,2024-03-28 11:34:00-04:00
270.96,270.96,270.96,270.96,129,2024-03-28 11:35:00-04:00
270.6,270.6,270.05,270.05,600,2024-03-28 11:37:00-04:00
270.34,270.34,270.07,270.07,314,2024-03-28 11:38:00-04:00
270.375,270.375,270.375,270.375,200,2024-03-28 11:40:00-04:00
270.42,270.62,270.22,270.38,600,2024-03-28 11:42:00-04:00
270.65,270.65,270.65,270.65,100,2024-03-28 11:44:00-04:00
270.61,270.645,270.61,270.635,300,2024-03-28 11:46:00-04:00
270.705,270.705,270.5295,270.5295,500,2024-03-28 11:49:00-04:00
270.74,270.74,270.42,270.645,1200,2024-03-28 11:50:00-04:00
270.69,271.01,270.51,271.01,900,2024-03-28 11:51:00-04:00
270.53,271.15,270.53,270.74,3227,2024-03-28 11:52:00-04:00
270.71,271.09,270.71,271.07,800,2024-03-28 11:53:00-04:00
271.05,271.11,270.98,271.1005,1100,2024-03-28 11:54:00-04:00
271.125,271.125,270.8,270.8,661,2024-03-28 11:55:00-04:00
270.77,270.835,270.615,270.615,505,2024-03-28 11:56:00-04:00
270.665,270.665,270.44,270.44,5800,2024-03-28 11:59:00-04:00
270.855,270.855,270.855,270.855,100,2024-03-28 12:01:00-04:00
270.87,270.87,270.13,270.44,1226,2024-03-28 12:02:00-04:00
270.45,270.45,270.45,270.45,100,2024-03-28 12:03:00-04:00
270.81,270.81,270.53,270.79,400,2024-03-28 12:04:00-04:00
270.92,271.13,270.92,271.11,400,2024-03-28 12:05:00-04:00
271.12,271.305,271.12,271.305,200,2024-03-28 12:09:00-04:00
271.32,271.32,271.29,271.29,377,2024-03-28 12:10:00-04:00
271.17,271.17,271.17,271.17,100,2024-03-28 12:11:00-04:00
271.14,271.14,271.14,271.14,200,2024-03-28 12:12:00-04:00
271.08,271.08,270.86,270.86,1034,2024-03-28 12:13:00-04:00
271.085,271.085,270.89,270.89,200,2024-03-28 12:15:00-04:00
271.085,271.085,271.085,271.085,100,2024-03-28 12:16:00-04:00
271.265,271.27,271.265,271.27,200,2024-03-28 12:17:00-04:00
271.24,271.24,271.24,271.24,100,2024-03-28 12:18:00-04:00
271.27,271.27,271.27,271.27,100,2024-03-28 12:20:00-04:00
271.42,271.42,271.42,271.42,100,2024-03-28 12:22:00-04:00
271.27,271.4,271.27,271.4,300,2024-03-28 12:24:00-04:00
271.41,271.415,271.41,271.415,251,2024-03-28 12:25:00-04:00
271.58,271.58,271.24,271.24,200,2024-03-28 12:26:00-04:00
271.41,271.41,271.41,271.41,100,2024-03-28 12:27:00-04:00
271.59,271.59,271.37,271.37,200,2024-03-28 12:28:00-04:00
271.48,271.48,271.48,271.48,100,2024-03-28 12:30:00-04:00
271.625,271.84,271.52,271.84,400,2024-03-28 12:31:00-04:00
271.745,271.89,271.745,271.84,700,2024-03-28 12:32:00-04:00
272.01,272.19,271.87,272.15,4100,2024-03-28 12:33:00-04:00
272.112,272.112,271.98,272.01,957,2024-03-28 12:36:00-04:00
271.67,271.67,271.67,271.67,100,2024-03-28 12:37:00-04:00
271.62,271.95,271.31,271.595,500,2024-03-28 12:38:00-04:00
271.62,271.62,271.28,271.3,7800,2024-03-28 12:39:00-04:00
271.41,271.41,271.27,271.335,700,2024-03-28 12:40:00-04:00
270.96,271.255,270.96,271.255,200,2024-03-28 12:41:00-04:00
270.96,270.98,270.96,270.98,336,2024-03-28 12:42:00-04:00
271.22,271.4,271.22,271.4,500,2024-03-28 12:44:00-04:00
271.2,271.26,270.92,270.92,575,2024-03-28 12:45:00-04:00
271.36,271.36,271.36,271.36,100,2024-03-28 12:47:00-04:00
270.96,270.96,270.96,270.96,100,2024-03-28 12:48:00-04:00
270.99,270.99,270.99,270.99,100,2024-03-28 12:51:00-04:00
270.93,270.93,270.66,270.66,8600,2024-03-28 12:54:00-04:00
271.1,271.1,271.1,271.1,100,2024-03-28 12:55:00-04:00
271.13,271.13,271.13,271.13,100,2024-03-28 12:57:00-04:00
270.9645,271.095,270.9645,271.095,200,2024-03-28 12:58:00-04:00
271.095,271.15,270.93,270.94,1705,2024-03-28 12:59:00-04:00
270.88,270.88,270.88,270.88,200,2024-03-28 13:00:00-04:00
270.885,270.89,270.7,270.76,600,2024-03-28 13:01:00-04:00
270.755,270.755,270.755,270.755,100,2024-03-28 13:02:00-04:00
270.75,270.75,270.4,270.4,200,2024-03-28 13:03:00-04:00
270.59,270.59,270.59,270.59,100,2024-03-28 13:05:00-04:00
270.51,270.51,270.51,270.51,152,2024-03-28 13:06:00-04:00
270.57,270.57,270.57,270.57,100,2024-03-28 13:10:00-04:00
270.615,270.79,270.615,270.79,205,2024-03-28 13:13:00-04:00
270.92,270.92,270.92,270.92,216,2024-03-28 13:16:00-04:00
270.755,271.22,270.755,271.22,742,2024-03-28 13:22:00-04:00
270.98,271.14,270.98,271.14,700,2024-03-28 13:23:00-04:00
271.135,271.135,271.135,271.135,100,2024-03-28 13:24:00-04:00
271.28,271.28,271.28,271.28,100,2024-03-28 13:25:00-04:00
271.33,271.33,271.33,271.33,100,2024-03-28 13:26:00-04:00
271.47,271.565,271.47,271.565,2586,2024-03-28 13:28:00-04:00
271.44,271.44,271.105,271.105,923,2024-03-28 13:30:00-04:00
271.085,271.085,271.085,271.085,100,2024-03-28 13:31:00-04:00
271.18,271.33,271.18,271.21,500,2024-03-28 13:33:00-04:00
271.3,271.3,271.11,271.11,300,2024-03-28 13:34:00-04:00
271.14,271.14,271.14,271.14,100,2024-03-28 13:37:00-04:00
271.24,271.29,271.24,271.29,204,2024-03-28 13:38:00-04:00
271.41,271.49,271.41,271.49,205,2024-03-28 13:40:00-04:00
271.49,271.55,271.49,271.55,237,2024-03-28 13:41:00-04:00
271.5562,271.5562,271.5562,271.5562,152,2024-03-28 13:43:00-04:00
271.71,271.71,271.71,271.71,256,2024-03-28 13:44:00-04:00
271.68,271.68,271.68,271.68,100,2024-03-28 13:45:00-04:00
271.67,271.79,271.67,271.79,200,2024-03-28 13:48:00-04:00
271.87,271.88,271.87,271.87,325,2024-03-28 13:49:00-04:00
271.54,271.59,271.52,271.52,300,2024-03-28 13:53:00-04:00
271.46,271.51,271.46,271.51,300,2024-03-28 13:57:00-04:00
271.52,271.52,271.52,271.52,100,2024-03-28 13:58:00-04:00
271.5116,271.5116,271.5116,271.5116,191,2024-03-28 14:00:00-04:00
271.62,271.62,271.53,271.53,386,2024-03-28 14:01:00-04:00
271.31,271.45,271.31,271.43,1300,2024-03-28 14:05:00-04:00
271.395,271.395,271.395,271.395,100,2024-03-28 14:06:00-04:00
271.47,271.47,271.47,271.47,100,2024-03-28 14:08:00-04:00
271.46,271.46,271.46,271.46,100,2024-03-28 14:09:00-04:00
271.66,271.66,271.53,271.635,637,2024-03-28 14:10:00-04:00
271.73,271.73,271.56,271.56,500,2024-03-28 14:13:00-04:00
271.4,271.4,271.4,271.4,100,2024-03-28 14:14:00-04:00
271.335,271.335,270.83,270.83,1700,2024-03-28 14:15:00-04:00
270.615,270.615,270.615,270.615,100,2024-03-28 14:16:00-04:00
270.77,270.77,270.63,270.63,300,2024-03-28 14:17:00-04:00
270.6,270.67,270.58,270.67,337,2024-03-28 14:18:00-04:00
270.635,270.64,270.635,270.64,300,2024-03-28 14:19:00-04:00
270.665,270.665,270.665,270.665,100,2024-03-28 14:20:00-04:00
270.74,270.74,270.61,270.61,300,2024-03-28 14:21:00-04:00
270.645,270.645,270.53,270.53,600,2024-03-28 14:24:00-04:00
270.45,270.45,270.405,270.405,200,2024-03-28 14:25:00-04:00
270.475,270.605,270.475,270.605,300,2024-03-28 14:27:00-04:00
270.645,270.645,270.645,270.645,200,2024-03-28 14:28:00-04:00
270.66,270.79,270.66,270.705,1319,2024-03-28 14:31:00-04:00
270.71,270.71,270.64,270.64,500,2024-03-28 14:32:00-04:00
270.64,270.88,270.64,270.88,700,2024-03-28 14:35:00-04:00
271.14,271.15,271.13,271.15,400,2024-03-28 14:37:00-04:00
271.17,271.17,271.17,271.17,100,2024-03-28 14:39:00-04:00
271.13,271.13,270.9044,270.905,1005,2024-03-28 14:40:00-04:00
270.885,270.885,270.885,270.885,100,2024-03-28 14:41:00-04:00
270.935,270.935,270.61,270.715,2310,2024-03-28 14:44:00-04:00
270.96,271.27,270.87,271.2678,913,2024-03-28 14:47:00-04:00
271.41,271.41,271.34,271.37,400,2024-03-28 14:48:00-04:00
271.35,271.35,271.35,271.35,100,2024-03-28 14:49:00-04:00
271.21,271.23,270.87,270.87,952,2024-03-28 14:50:00-04:00
270.94,270.94,270.84,270.84,200,2024-03-28 14:51:00-04:00
270.63,270.63,270.41,270.54,700,2024-03-28 14:52:00-04:00
270.365,270.365,270.365,270.365,100,2024-03-28 14:54:00-04:00
270.35,270.355,270.35,270.355,200,2024-03-28 14:55:00-04:00
270.49,270.63,270.49,270.5,400,2024-03-28 14:56:00-04:00
270.62,270.89,270.62,270.89,600,2024-03-28 14:57:00-04:00
270.9,270.9,270.88,270.88,1034,2024-03-28 14:59:00-04:00
270.75,270.75,270.75,270.75,100,2024-03-28 15:01:00-04:00
270.7,270.7,270.7,270.7,100,2024-03-28 15:02:00-04:00
270.74,270.74,270.5,270.5,500,2024-03-28 15:03:00-04:00
270.62,270.62,270.545,270.545,400,2024-03-28 15:04:00-04:00
270.29,270.29,270.11,270.11,400,2024-03-28 15:07:00-04:00
270.205,270.205,270.205,270.205,100,2024-03-28 15:08:00-04:00
270.175,270.36,270.175,270.265,2006,2024-03-28 15:10:00-04:00
270.3,270.3,270.3,270.3,501,2024-03-28 15:11:00-04:00
270.245,270.245,270.245,270.245,100,2024-03-28 15:12:00-04:00
270.34,270.34,270.34,270.34,100,2024-03-28 15:13:00-04:00
270.43,270.84,270.33,270.83,2897,2024-03-28 15:14:00-04:00
270.5,270.6,270.5,270.6,500,2024-03-28 15:15:00-04:00
270.535,270.535,270.535,270.535,100,2024-03-28 15:16:00-04:00
270.36,270.36,270.36,270.36,300,2024-03-28 15:17:00-04:00
270.52,270.73,270.52,270.73,716,2024-03-28 15:18:00-04:00
270.73,270.73,270.65,270.65,452,2024-03-28 15:19:00-04:00
270.6,270.6,270.6,270.6,300,2024-03-28 15:20:00-04:00
270.51,270.66,270.51,270.66,400,2024-03-28 15:22:00-04:00
270.6,270.6,270.6,270.6,100,2024-03-28 15:23:00-04:00
270.585,270.76,270.585,270.76,700,2024-03-28 15:25:00-04:00
270.955,271.14,270.955,271.14,834,2024-03-28 15:26:00-04:00
271.24,271.24,271.24,271.24,101,2024-03-28 15:28:00-04:00
271.125,271.32,271.125,271.32,1200,2024-03-28 15:29:00-04:00
271.235,271.365,271.085,271.1,2036,2024-03-28 15:31:00-04:00
271.0,271.0,270.86,270.86,600,2024-03-28 15:32:00-04:00
270.88,270.88,270.88,270.88,200,2024-03-28 15:33:00-04:00
270.89,270.89,270.71,270.71,746,2024-03-28 15:35:00-04:00
270.7,270.83,270.56,270.6325,647,2024-03-28 15:36:00-04:00
270.92,270.93,270.9,270.93,600,2024-03-28 15:37:00-04:00
270.89,270.89,270.78,270.78,400,2024-03-28 15:38:00-04:00
270.77,270.77,270.77,270.77,300,2024-03-28 15:40:00-04:00
270.98,271.17,270.885,271.17,732,2024-03-28 15:41:00-04:00
271.34,271.4,271.29,271.29,400,2024-03-28 15:42:00-04:00
271.45,271.45,271.11,271.11,1232,2024-03-28 15:43:00-04:00
271.175,271.24,271.11,271.24,600,2024-03-28 15:44:00-04:00
271.265,271.265,271.265,271.265,200,2024-03-28 15:46:00-04:00
271.26,271.37,271.09,271.09,1600,2024-03-28 15:47:00-04:00
271.055,271.13,271.05,271.09,1153,2024-03-28 15:49:00-04:00
270.99,270.99,270.2999,270.31,2602,2024-03-28 15:50:00-04:00
270.49,270.8,270.46,270.8,2645,2024-03-28 15:51:00-04:00
270.89,271.03,270.72,271.03,1800,2024-03-28 15:52:00-04:00
271.17,271.185,270.935,270.95,2540,2024-03-28 15:53:00-04:00
271.07,271.08,270.9095,270.9095,3204,2024-03-28 15:54:00-04:00
271.15,271.3,271.12,271.165,1156,2024-03-28 15:55:00-04:00
271.18,271.27,271.04,271.16,4707,2024-03-28 15:56:00-04:00
271.24,271.66,271.24,271.595,6177,2024-03-28 15:57:00-04:00
271.565,271.63,271.12,271.385,6457,2024-03-28 15:58:00-04:00
271.32,271.43,270.69,270.82,12864,2024-03-28 15:59:00-04:00
270.95,270.95,270.95,270.95,69559,2024-03-28 16:00:00-04:00
270.95,270.95,270.95,270.95,2200,2024-03-28 16:03:00-04:00
271.12,271.465,271.12,271.465,5087,2024-04-01 09:30:00-04:00
271.05,271.06,271.05,271.06,300,2024-04-01 09:32:00-04:00
270.13,270.13,270.13,270.13,101,2024-04-01 09:33:00-04:00
269.86,269.86,269.34,269.34,200,2024-04-01 09:34:00-04:00
270.14,271.65,270.14,271.65,998,2024-04-01 09:35:00-04:00
271.105,271.105,271.105,271.105,300,2024-04-01 09:36:00-04:00
271.31,271.31,271.31,271.31,100,2024-04-01 09:37:00-04:00
271.425,272.16,271.425,272.16,200,2024-04-01 09:40:00-04:00
272.855,272.855,272.855,272.855,100,2024-04-01 09:41:00-04:00
272.26,272.26,271.95,271.95,200,2024-04-01 09:42:00-04:00
