open,high,low,close,volume,datetime
120.9,120.9,120.9,120.9,369,2024-03-28 07:00:00-04:00
120.9,120.9,120.9,120.9,394,2024-03-28 07:01:00-04:00
120.98,120.98,120.98,120.98,100,2024-03-28 07:06:00-04:00
120.99,120.99,120.99,120.99,354,2024-03-28 07:32:00-04:00
120.95,120.95,120.9,120.9,512,2024-03-28 07:36:00-04:00
120.9,120.9,120.9,120.9,500,2024-03-28 07:50:00-04:00
120.9,120.9,120.9,120.9,400,2024-03-28 08:06:00-04:00
120.9,120.9,120.9,120.9,100,2024-03-28 08:08:00-04:00
120.9999,120.9999,120.9999,120.9999,300,2024-03-28 08:09:00-04:00
120.98,120.98,120.98,120.98,1221,2024-03-28 08:12:00-04:00
120.95,121.25,120.95,121.25,1200,2024-03-28 08:24:00-04:00
121.25,121.25,121.25,121.25,800,2024-03-28 08:30:00-04:00
121.24,121.24,121.24,121.24,135,2024-03-28 08:32:00-04:00
121.38,121.38,121.38,121.38,160,2024-03-28 08:37:00-04:00
121.2556,121.2556,121.2556,121.2556,100,2024-03-28 08:39:00-04:00
121.26,121.26,121.26,121.26,1000,2024-03-28 08:42:00-04:00
121.03,121.03,121.02,121.02,334,2024-03-28 08:43:00-04:00
121.02,121.02,121.01,121.02,994,2024-03-28 08:45:00-04:00
121.1999,121.1999,121.1999,121.1999,400,2024-03-28 08:54:00-04:00
121.18,121.18,121.18,121.18,150,2024-03-28 09:01:00-04:00
121.19,121.21,121.19,121.21,909,2024-03-28 09:08:00-04:00
121.22,121.24,121.22,121.22,833,2024-03-28 09:09:00-04:00
121.2556,121.2556,121.2556,121.2556,100,2024-03-28 09:13:00-04:00
121.134,121.134,121.13,121.13,332,2024-03-28 09:18:00-04:00
121.1417,121.1417,121.1417,121.1417,207,2024-03-28 09:20:00-04:00
121.15,121.15,121.15,121.15,100,2024-03-28 09:22:00-04:00
121.24,121.24,121.2,121.2,869,2024-03-28 09:25:00-04:00
121.24,121.26,121.24,121.24,406,2024-03-28 09:26:00-04:00
121.4,121.4,121.32,121.32,400,2024-03-28 09:28:00-04:00
121.3559,121.3559,121.2,121.2,2083,2024-03-28 09:29:00-04:00
121.16,121.58,121.16,121.49,231253,2024-03-28 09:30:00-04:00
121.511,121.69,121.355,121.36,67437,2024-03-28 09:31:00-04:00
121.33,121.51,121.31,121.45,22220,2024-03-28 09:32:00-04:00
121.52,121.55,121.2881,121.32,24166,2024-03-28 09:33:00-04:00
121.295,121.67,121.28,121.64,37040,2024-03-28 09:34:00-04:00
121.63,121.63,121.485,121.485,27686,2024-03-28 09:35:00-04:00
121.5,121.53,121.44,121.45,16926,2024-03-28 09:36:00-04:00
121.47,121.89,121.45,121.815,58761,2024-03-28 09:37:00-04:00
121.8,121.91,121.71,121.81,44498,2024-03-28 09:38:00-04:00
121.815,121.96,121.815,121.8875,42861,2024-03-28 09:39:00-04:00
121.91,122.29,121.89,122.065,168965,2024-03-28 09:40:00-04:00
122.09,122.205,121.9843,122.0,77708,2024-03-28 09:41:00-04:00
122.02,122.29,121.9414,122.155,29970,2024-03-28 09:42:00-04:00
122.155,122.261,122.01,122.261,25185,2024-03-28 09:43:00-04:00
122.26,122.41,122.22,122.36,46649,2024-03-28 09:44:00-04:00
122.355,122.62,122.27,122.57,67197,2024-03-28 09:45:00-04:00
122.57,122.6079,122.45,122.47,38973,2024-03-28 09:46:00-04:00
122.49,122.71,122.49,122.645,40385,2024-03-28 09:47:00-04:00
122.64,122.65,122.51,122.59,34003,2024-03-28 09:48:00-04:00
122.59,122.74,122.59,122.63,70022,2024-03-28 09:49:00-04:00
122.645,122.8,122.62,122.775,38322,2024-03-28 09:50:00-04:00
122.78,122.97,122.7602,122.9,63196,2024-03-28 09:51:00-04:00
122.9,123.13,122.88,123.06,130772,2024-03-28 09:52:00-04:00
123.05,123.26,123.05,123.24,72428,2024-03-28 09:53:00-04:00
123.22,123.295,123.13,123.19,70614,2024-03-28 09:54:00-04:00
123.185,123.45,123.17,123.39,85345,2024-03-28 09:55:00-04:00
123.39,123.44,123.32,123.3701,42717,2024-03-28 09:56:00-04:00
123.39,123.52,123.36,123.41,64545,2024-03-28 09:57:00-04:00
123.42,123.44,123.34,123.43,37729,2024-03-28 09:58:00-04:00
123.43,123.44,123.35,123.4201,67502,2024-03-28 09:59:00-04:00
123.425,123.44,123.33,123.33,68607,2024-03-28 10:00:00-04:00
123.33,123.74,123.33,123.665,130382,2024-03-28 10:01:00-04:00
123.65,123.7199,123.33,123.35,55807,2024-03-28 10:02:00-04:00
123.34,123.35,123.03,123.06,69854,2024-03-28 10:03:00-04:00
123.05,123.13,123.01,123.06,36558,2024-03-28 10:04:00-04:00
123.075,123.17,123.03,123.095,17426,2024-03-28 10:05:00-04:00
123.075,123.16,123.05,123.09,37335,2024-03-28 10:06:00-04:00
123.09,123.315,123.09,123.19,37373,2024-03-28 10:07:00-04:00
123.18,123.2399,123.075,123.075,16312,2024-03-28 10:08:00-04:00
123.08,123.175,123.05,123.16,38858,2024-03-28 10:09:00-04:00
123.1698,123.2,123.01,123.08,31386,2024-03-28 10:10:00-04:00
123.09,123.16,123.05,123.13,32572,2024-03-28 10:11:00-04:00
123.1003,123.1053,122.87,122.87,52443,2024-03-28 10:12:00-04:00
122.87,122.88,122.6899,122.6899,65929,2024-03-28 10:13:00-04:00
122.67,122.77,122.6153,122.75,42158,2024-03-28 10:14:00-04:00
122.75,122.779,122.68,122.715,23219,2024-03-28 10:15:00-04:00
122.715,122.92,122.7095,122.895,48756,2024-03-28 10:16:00-04:00
122.91,122.99,122.86,122.9,21554,2024-03-28 10:17:00-04:00
122.89,122.96,122.84,122.9,16344,2024-03-28 10:18:00-04:00
122.88,122.94,122.8203,122.85,14138,2024-03-28 10:19:00-04:00
122.84,122.8799,122.81,122.84,14345,2024-03-28 10:20:00-04:00
122.835,123.05,122.835,122.995,30814,2024-03-28 10:21:00-04:00
123.01,123.11,123.0,123.015,18964,2024-03-28 10:22:00-04:00
123.0269,123.13,123.0,123.045,18333,2024-03-28 10:23:00-04:00
123.039,123.1,122.98,122.99,19646,2024-03-28 10:24:00-04:00
123.0,123.07,122.96,123.01,24610,2024-03-28 10:25:00-04:00
123.015,123.015,122.72,122.76,36653,2024-03-28 10:26:00-04:00
122.76,122.79,122.72,122.72,17092,2024-03-28 10:27:00-04:00
122.71,122.78,122.67,122.685,17320,2024-03-28 10:28:00-04:00
122.6701,122.69,122.629,122.64,18956,2024-03-28 10:29:00-04:00
122.645,122.66,122.52,122.555,33165,2024-03-28 10:30:00-04:00
122.55,122.56,122.509,122.5157,19009,2024-03-28 10:31:00-04:00
122.51,122.54,122.35,122.46,48906,2024-03-28 10:32:00-04:00
122.4501,122.46,122.33,122.34,23578,2024-03-28 10:33:00-04:00
122.36,122.45,122.36,122.45,19723,2024-03-28 10:34:00-04:00
122.45,122.45,122.3301,122.38,26071,2024-03-28 10:35:00-04:00
122.37,122.47,122.33,122.41,32210,2024-03-28 10:36:00-04:00
122.42,122.45,122.37,122.39,18089,2024-03-28 10:37:00-04:00
122.39,122.4,122.28,122.31,15840,2024-03-28 10:38:00-04:00
122.31,122.33,122.17,122.17,19148,2024-03-28 10:39:00-04:00
122.17,122.25,122.12,122.19,31948,2024-03-28 10:40:00-04:00
122.19,122.34,122.1614,122.31,25835,2024-03-28 10:41:00-04:00
122.3,122.33,122.2062,122.2074,15206,2024-03-28 10:42:00-04:00
122.2,122.26,122.165,122.17,17735,2024-03-28 10:43:00-04:00
122.17,122.19,122.16,122.161,6227,2024-03-28 10:44:00-04:00
122.1618,122.25,122.16,122.21,28419,2024-03-28 10:45:00-04:00
122.21,122.265,122.195,122.245,36065,2024-03-28 10:46:00-04:00
122.24,122.25,122.13,122.23,16081,2024-03-28 10:47:00-04:00
122.25,122.39,122.25,122.35,19299,2024-03-28 10:48:00-04:00
122.34,122.43,122.3272,122.38,31342,2024-03-28 10:49:00-04:00
122.37,122.37,122.255,122.345,15575,2024-03-28 10:50:00-04:00
122.35,122.36,122.25,122.25,8644,2024-03-28 10:51:00-04:00
122.245,122.245,122.16,122.24,26746,2024-03-28 10:52:00-04:00
122.23,122.26,122.18,122.2285,23459,2024-03-28 10:53:00-04:00
122.22,122.22,122.11,122.11,16105,2024-03-28 10:54:00-04:00
122.12,122.25,122.12,122.24,12700,2024-03-28 10:55:00-04:00
122.24,122.24,122.15,122.15,24890,2024-03-28 10:56:00-04:00
122.145,122.15,122.025,122.08,15502,2024-03-28 10:57:00-04:00
122.06,122.16,122.04,122.13,20520,2024-03-28 10:58:00-04:00
122.13,122.2,122.12,122.2,46665,2024-03-28 10:59:00-04:00
122.19,122.25,122.17,122.245,35483,2024-03-28 11:00:00-04:00
122.26,122.27,122.2,122.265,20198,2024-03-28 11:01:00-04:00
122.28,122.41,122.28,122.4,33221,2024-03-28 11:02:00-04:00
122.39,122.445,122.37,122.39,30661,2024-03-28 11:03:00-04:00
122.38,122.3999,122.34,122.38,23749,2024-03-28 11:04:00-04:00
122.39,122.5,122.38,122.4868,31266,2024-03-28 11:05:00-04:00
122.5,122.5453,122.43,122.485,20165,2024-03-28 11:06:00-04:00
122.47,122.5,122.45,122.459,14473,2024-03-28 11:07:00-04:00
122.456,122.57,122.455,122.525,21129,2024-03-28 11:08:00-04:00
122.525,122.595,122.525,122.55,37286,2024-03-28 11:09:00-04:00
122.555,122.64,122.545,122.64,13667,2024-03-28 11:10:00-04:00
122.64,122.78,122.635,122.755,22507,2024-03-28 11:11:00-04:00
122.76,122.7645,122.5975,122.605,24243,2024-03-28 11:12:00-04:00
122.6,122.6,122.4901,122.54,31569,2024-03-28 11:13:00-04:00
122.53,122.6301,122.53,122.6216,11142,2024-03-28 11:14:00-04:00
122.61,122.63,122.56,122.61,10583,2024-03-28 11:15:00-04:00
122.62,122.68,122.62,122.65,15387,2024-03-28 11:16:00-04:00
122.66,122.66,122.56,122.65,10606,2024-03-28 11:17:00-04:00
122.665,122.76,122.66,122.71,12693,2024-03-28 11:18:00-04:00
122.7,122.74,122.64,122.72,9937,2024-03-28 11:19:00-04:00
122.71,122.71,122.64,122.66,9455,2024-03-28 11:20:00-04:00
122.665,122.69,122.66,122.66,9272,2024-03-28 11:21:00-04:00
122.66,122.69,122.63,122.68,10302,2024-03-28 11:22:00-04:00
122.675,122.74,122.655,122.73,13618,2024-03-28 11:23:00-04:00
122.72,122.72,122.58,122.65,18325,2024-03-28 11:24:00-04:00
122.66,122.66,122.64,122.66,14367,2024-03-28 11:25:00-04:00
122.67,122.69,122.66,122.66,5612,2024-03-28 11:26:00-04:00
122.65,122.7,122.65,122.69,6819,2024-03-28 11:27:00-04:00
122.695,122.73,122.68,122.71,12164,2024-03-28 11:28:00-04:00
122.7,122.74,122.685,122.72,12834,2024-03-28 11:29:00-04:00
122.725,122.835,122.72,122.825,12451,2024-03-28 11:30:00-04:00
122.825,122.87,122.82,122.84,28285,2024-03-28 11:31:00-04:00
122.83,122.975,122.8,122.968,22476,2024-03-28 11:32:00-04:00
122.965,122.97,122.9,122.9028,12651,2024-03-28 11:33:00-04:00
122.91,122.98,122.9,122.98,56926,2024-03-28 11:34:00-04:00
122.97,122.9788,122.95,122.9666,27530,2024-03-28 11:35:00-04:00
122.965,122.975,122.83,122.85,31520,2024-03-28 11:36:00-04:00
122.84,122.9,122.81,122.81,15961,2024-03-28 11:37:00-04:00
122.8204,122.8204,122.77,122.771,11596,2024-03-28 11:38:00-04:00
122.77,122.78,122.68,122.7,20077,2024-03-28 11:39:00-04:00
122.715,122.75,122.66,122.74,14056,2024-03-28 11:40:00-04:00
122.735,122.8864,122.72,122.8864,14770,2024-03-28 11:41:00-04:00
122.89,122.96,122.84,122.94,32647,2024-03-28 11:42:00-04:00
122.94,122.95,122.86,122.88,12684,2024-03-28 11:43:00-04:00
122.895,122.95,122.88,122.95,7082,2024-03-28 11:44:00-04:00
122.92,122.9499,122.87,122.88,12207,2024-03-28 11:45:00-04:00
122.8701,122.9,122.8434,122.8481,5508,2024-03-28 11:46:00-04:00
122.85,122.85,122.78,122.81,10999,2024-03-28 11:47:00-04:00
122.82,122.94,122.8,122.92,20774,2024-03-28 11:48:00-04:00
122.95,123.01,122.927,123.0,20716,2024-03-28 11:49:00-04:00
123.02,123.0636,122.995,123.01,17468,2024-03-28 11:50:00-04:00
123.01,123.055,123.0,123.04,30125,2024-03-28 11:51:00-04:00
123.0301,123.0526,122.9979,123.03,19674,2024-03-28 11:52:00-04:00
123.02,123.0492,122.96,123.0,12694,2024-03-28 11:53:00-04:00
123.0,123.075,123.0,123.05,20893,2024-03-28 11:54:00-04:00
123.05,123.08,123.01,123.035,11709,2024-03-28 11:55:00-04:00
123.03,123.05,122.99,122.99,5979,2024-03-28 11:56:00-04:00
122.98,123.0,122.96,122.99,12166,2024-03-28 11:57:00-04:00
122.98,122.99,122.9099,122.92,12222,2024-03-28 11:58:00-04:00
122.92,122.94,122.8805,122.91,20467,2024-03-28 11:59:00-04:00
122.91,122.91,122.85,122.85,5906,2024-03-28 12:00:00-04:00
122.83,122.88,122.83,122.84,26381,2024-03-28 12:01:00-04:00
122.83,122.88,122.8201,122.87,19131,2024-03-28 12:02:00-04:00
122.865,122.87,122.85,122.865,9229,2024-03-28 12:03:00-04:00
122.8699,122.98,122.86,122.9751,21894,2024-03-28 12:04:00-04:00
122.9798,123.0295,122.95,122.95,13975,2024-03-28 12:05:00-04:00
122.95,122.9699,122.82,122.8304,15430,2024-03-28 12:06:00-04:00
122.83,122.89,122.8,122.885,13449,2024-03-28 12:07:00-04:00
122.88,122.9303,122.88,122.9303,7042,2024-03-28 12:08:00-04:00
122.92,122.94,122.9,122.93,5410,2024-03-28 12:09:00-04:00
122.93,122.93,122.855,122.855,7719,2024-03-28 12:10:00-04:00
122.85,122.91,122.84,122.91,9278,2024-03-28 12:11:00-04:00
122.92,122.925,122.735,122.75,17627,2024-03-28 12:12:00-04:00
122.75,122.818,122.72,122.8,10315,2024-03-28 12:13:00-04:00
122.8,122.83,122.705,122.71,24627,2024-03-28 12:14:00-04:00
122.7199,122.73,122.67,122.71,18903,2024-03-28 12:15:00-04:00
122.7,122.7,122.67,122.6991,12148,2024-03-28 12:16:00-04:00
122.68,122.755,122.68,122.75,6177,2024-03-28 12:17:00-04:00
122.745,122.79,122.72,122.79,11576,2024-03-28 12:18:00-04:00
122.8,122.86,122.8,122.8526,10255,2024-03-28 12:19:00-04:00
122.86,122.88,122.8329,122.835,15058,2024-03-28 12:20:00-04:00
122.84,122.92,122.83,122.83,18096,2024-03-28 12:21:00-04:00
122.83,122.845,122.74,122.74,14374,2024-03-28 12:22:00-04:00
122.7303,122.79,122.7303,122.79,7964,2024-03-28 12:23:00-04:00
122.78,122.79,122.72,122.74,6855,2024-03-28 12:24:00-04:00
122.74,122.7511,122.71,122.72,6762,2024-03-28 12:25:00-04:00
122.71,122.76,122.71,122.75,10976,2024-03-28 12:26:00-04:00
122.7509,122.76,122.75,122.75,3548,2024-03-28 12:27:00-04:00
122.7595,122.79,122.64,122.64,17745,2024-03-28 12:28:00-04:00
122.65,122.65,122.6,122.6,12411,2024-03-28 12:29:00-04:00
122.6,122.6333,122.57,122.615,22425,2024-03-28 12:30:00-04:00
122.615,122.615,122.57,122.61,13303,2024-03-28 12:31:00-04:00
122.6113,122.65,122.575,122.65,14101,2024-03-28 12:32:00-04:00
122.64,122.653,122.58,122.58,3739,2024-03-28 12:33:00-04:00
122.575,122.62,122.55,122.565,9859,2024-03-28 12:34:00-04:00
122.55,122.59,122.55,122.59,4816,2024-03-28 12:35:00-04:00
122.5919,122.63,122.59,122.61,11034,2024-03-28 12:36:00-04:00
122.6,122.6,122.54,122.5979,8252,2024-03-28 12:37:00-04:00
122.59,122.6006,122.58,122.6006,15653,2024-03-28 12:38:00-04:00
122.59,122.6,122.56,122.6,4944,2024-03-28 12:39:00-04:00
122.59,122.59,122.565,122.58,5166,2024-03-28 12:40:00-04:00
122.59,122.59,122.57,122.575,5592,2024-03-28 12:41:00-04:00
122.57,122.575,122.54,122.565,5861,2024-03-28 12:42:00-04:00
122.55,122.59,122.52,122.55,11950,2024-03-28 12:43:00-04:00
122.55,122.6079,122.55,122.5999,9473,2024-03-28 12:44:00-04:00
122.61,122.64,122.58,122.58,9001,2024-03-28 12:45:00-04:00
122.58,122.6338,122.55,122.63,32081,2024-03-28 12:46:00-04:00
122.635,122.69,122.62,122.69,19299,2024-03-28 12:47:00-04:00
122.685,122.74,122.68,122.72,5915,2024-03-28 12:48:00-04:00
122.72,122.72,122.6947,122.6947,16634,2024-03-28 12:49:00-04:00
122.7,122.7693,122.7,122.75,11213,2024-03-28 12:50:00-04:00
122.75,122.75,122.66,122.69,10242,2024-03-28 12:51:00-04:00
122.7,122.7,122.6,122.61,10138,2024-03-28 12:52:00-04:00
122.62,122.64,122.61,122.61,3163,2024-03-28 12:53:00-04:00
122.6166,122.64,122.605,122.64,4697,2024-03-28 12:54:00-04:00
122.64,122.67,122.64,122.66,8527,2024-03-28 12:55:00-04:00
122.65,122.7519,122.65,122.73,31230,2024-03-28 12:56:00-04:00
122.73,122.73,122.61,122.62,16559,2024-03-28 12:57:00-04:00
122.62,122.62,122.58,122.6,15586,2024-03-28 12:58:00-04:00
122.6,122.7219,122.6,122.7219,4229,2024-03-28 12:59:00-04:00
122.72,122.75,122.67,122.68,19819,2024-03-28 13:00:00-04:00
122.68,122.69,122.62,122.62,7821,2024-03-28 13:01:00-04:00
122.63,122.73,122.62,122.73,13810,2024-03-28 13:02:00-04:00
122.72,122.735,122.68,122.68,9090,2024-03-28 13:03:00-04:00
122.68,122.68,122.585,122.6,10736,2024-03-28 13:04:00-04:00
122.63,122.7,122.62,122.68,12564,2024-03-28 13:05:00-04:00
122.68,122.69,122.65,122.6502,12559,2024-03-28 13:06:00-04:00
122.66,122.67,122.625,122.67,5656,2024-03-28 13:07:00-04:00
122.66,122.68,122.59,122.605,20698,2024-03-28 13:08:00-04:00
122.61,122.645,122.61,122.63,7236,2024-03-28 13:09:00-04:00
122.62,122.64,122.59,122.6,9684,2024-03-28 13:10:00-04:00
122.6,122.72,122.595,122.72,9495,2024-03-28 13:11:00-04:00
122.71,122.71,122.62,122.62,7186,2024-03-28 13:12:00-04:00
122.6001,122.6699,122.6,122.66,4512,2024-03-28 13:13:00-04:00
122.66,122.66,122.6397,122.66,10579,2024-03-28 13:14:00-04:00
122.64,122.65,122.61,122.62,10435,2024-03-28 13:15:00-04:00
122.61,122.62,122.59,122.6,10643,2024-03-28 13:16:00-04:00
122.59,122.61,122.55,122.6,6278,2024-03-28 13:17:00-04:00
122.6,122.64,122.59,122.64,10326,2024-03-28 13:18:00-04:00
122.63,122.66,122.62,122.62,9474,2024-03-28 13:19:00-04:00
122.6,122.63,122.58,122.585,35427,2024-03-28 13:20:00-04:00
122.585,122.6,122.55,122.555,12309,2024-03-28 13:21:00-04:00
122.55,122.56,122.4493,122.45,17290,2024-03-28 13:22:00-04:00
122.445,122.4668,122.43,122.45,7087,2024-03-28 13:23:00-04:00
122.45,122.45,122.37,122.39,9068,2024-03-28 13:24:00-04:00
122.39,122.4398,122.375,122.4368,6368,2024-03-28 13:25:00-04:00
122.43,122.47,122.43,122.47,3424,2024-03-28 13:26:00-04:00
122.4701,122.5,122.45,122.48,22481,2024-03-28 13:27:00-04:00
122.48,122.48,122.42,122.44,4410,2024-03-28 13:28:00-04:00
122.43,122.47,122.42,122.44,4136,2024-03-28 13:29:00-04:00
122.44,122.54,122.44,122.5394,7669,2024-03-28 13:30:00-04:00
122.52,122.55,122.5067,122.54,10921,2024-03-28 13:31:00-04:00
