open,high,low,close,volume,datetime
163.33,163.76,163.18,163.3,10997,2021-11-23 09:30:00-05:00
163.82,163.995,163.73,163.995,600,2021-11-23 09:31:00-05:00
164.16,164.25,163.83,164.25,500,2021-11-23 09:32:00-05:00
164.62,164.62,164.3,164.605,6384,2021-11-23 09:33:00-05:00
164.29,164.58,164.29,164.44,4290,2021-11-23 09:34:00-05:00
164.425,164.87,164.3,164.57,6673,2021-11-23 09:35:00-05:00
164.565,164.565,164.18,164.35,3089,2021-11-23 09:36:00-05:00
164.2,164.425,164.2,164.295,5164,2021-11-23 09:37:00-05:00
164.285,164.42,164.16,164.42,12248,2021-11-23 09:38:00-05:00
164.45,164.45,164.295,164.31,1725,2021-11-23 09:39:00-05:00
164.24,164.85,164.24,164.85,8397,2021-11-23 09:40:00-05:00
164.6,164.82,164.53,164.78,10564,2021-11-23 09:41:00-05:00
164.695,164.81,164.61,164.68,6658,2021-11-23 09:42:00-05:00
164.68,164.78,164.63,164.71,3380,2021-11-23 09:43:00-05:00
164.78,164.86,164.73,164.76,1506,2021-11-23 09:44:00-05:00
164.77,165.16,164.76,165.15,2726,2021-11-23 09:45:00-05:00
165.24,165.25,164.62,164.62,6928,2021-11-23 09:46:00-05:00
164.845,164.845,164.84,164.845,300,2021-11-23 09:47:00-05:00
164.84,164.96,164.75,164.82,2218,2021-11-23 09:48:00-05:00
164.95,165.01,164.86,164.87,1700,2021-11-23 09:49:00-05:00
164.86,164.99,164.85,164.89,3498,2021-11-23 09:50:00-05:00
164.89,164.98,164.58,164.65,2893,2021-11-23 09:51:00-05:00
164.63,164.725,164.585,164.69,2840,2021-11-23 09:52:00-05:00
164.675,164.68,164.675,164.68,200,2021-11-23 09:53:00-05:00
164.695,164.77,164.57,164.74,3687,2021-11-23 09:54:00-05:00
164.74,164.755,164.66,164.755,5157,2021-11-23 09:55:00-05:00
164.76,164.91,164.76,164.83,2518,2021-11-23 09:56:00-05:00
164.98,164.98,164.69,164.705,5064,2021-11-23 09:57:00-05:00
164.67,164.67,164.67,164.67,1078,2021-11-23 09:58:00-05:00
164.66,164.87,164.66,164.82,1520,2021-11-23 09:59:00-05:00
164.76,164.86,164.76,164.76,1574,2021-11-23 10:00:00-05:00
164.8,165.05,164.79,165.05,5782,2021-11-23 10:01:00-05:00
164.93,165.06,164.92,165.06,1987,2021-11-23 10:02:00-05:00
165.21,165.27,165.19,165.27,1445,2021-11-23 10:03:00-05:00
165.2,165.295,165.15,165.15,7918,2021-11-23 10:04:00-05:00
165.11,165.2,165.1,165.11,16161,2021-11-23 10:05:00-05:00
165.03,165.03,165.03,165.03,100,2021-11-23 10:06:00-05:00
165.02,165.025,165.02,165.025,300,2021-11-23 10:07:00-05:00
165.045,165.045,165.045,165.045,436,2021-11-23 10:08:00-05:00
165.1,165.1,165.03,165.1,2273,2021-11-23 10:09:00-05:00
165.12,165.12,165.03,165.03,3908,2021-11-23 10:10:00-05:00
165.05,165.12,164.98,164.99,2220,2021-11-23 10:11:00-05:00
164.93,164.95,164.93,164.95,600,2021-11-23 10:12:00-05:00
164.985,165.12,164.985,165.04,1943,2021-11-23 10:13:00-05:00
165.0,165.0,164.87,164.87,1453,2021-11-23 10:14:00-05:00
