open,high,low,close,volume,datetime
132.5,132.5,132.5,132.5,147,2024-03-28 08:12:00-04:00
132.49,132.78,132.37,132.5,15174,2024-03-28 09:30:00-04:00
132.1632,132.61,132.1632,132.52,1946,2024-03-28 09:31:00-04:00
132.62,132.75,132.57,132.7,1943,2024-03-28 09:32:00-04:00
132.51,132.625,132.51,132.625,500,2024-03-28 09:33:00-04:00
132.5,132.75,132.5,132.61,1480,2024-03-28 09:34:00-04:00
132.6,132.62,132.47,132.62,900,2024-03-28 09:35:00-04:00
132.61,132.67,132.46,132.67,860,2024-03-28 09:36:00-04:00
132.66,132.66,132.535,132.585,400,2024-03-28 09:37:00-04:00
132.54,132.545,132.34,132.395,1700,2024-03-28 09:38:00-04:00
132.45,132.46,132.425,132.425,600,2024-03-28 09:39:00-04:00
132.335,132.425,132.335,132.425,600,2024-03-28 09:40:00-04:00
132.38,132.43,132.215,132.35,3450,2024-03-28 09:41:00-04:00
132.3598,132.37,132.25,132.345,1220,2024-03-28 09:42:00-04:00
132.27,132.27,132.27,132.27,400,2024-03-28 09:43:00-04:00
132.3125,132.395,132.275,132.275,1400,2024-03-28 09:44:00-04:00
132.285,132.45,132.285,132.4,4698,2024-03-28 09:45:00-04:00
132.425,132.425,132.35,132.375,1400,2024-03-28 09:46:00-04:00
132.35,132.52,132.345,132.52,5024,2024-03-28 09:47:00-04:00
132.43,132.48,132.31,132.31,3707,2024-03-28 09:48:00-04:00
132.295,132.32,132.295,132.32,300,2024-03-28 09:49:00-04:00
132.26,132.4,132.26,132.4,740,2024-03-28 09:50:00-04:00
132.5,132.595,132.49,132.52,5298,2024-03-28 09:51:00-04:00
132.58,132.76,132.58,132.76,2208,2024-03-28 09:52:00-04:00
132.69,132.79,132.655,132.79,980,2024-03-28 09:53:00-04:00
132.8444,132.89,132.61,132.61,4603,2024-03-28 09:54:00-04:00
132.62,132.64,132.565,132.59,4491,2024-03-28 09:55:00-04:00
132.605,132.677,132.56,132.677,2700,2024-03-28 09:56:00-04:00
132.61,132.815,132.61,132.815,1100,2024-03-28 09:57:00-04:00
132.765,132.88,132.7616,132.88,2256,2024-03-28 09:58:00-04:00
132.885,132.93,132.77,132.81,4907,2024-03-28 09:59:00-04:00
132.805,132.88,132.77,132.77,2869,2024-03-28 10:00:00-04:00
132.78,132.95,132.78,132.895,3190,2024-03-28 10:01:00-04:00
132.88,132.98,132.84,132.98,2516,2024-03-28 10:02:00-04:00
132.92,133.0,132.92,132.92,7701,2024-03-28 10:03:00-04:00
132.92,132.99,132.915,132.95,1400,2024-03-28 10:04:00-04:00
133.015,133.1,132.935,133.1,1919,2024-03-28 10:05:00-04:00
133.065,133.205,133.03,133.11,5919,2024-03-28 10:06:00-04:00
133.1464,133.265,133.065,133.105,4912,2024-03-28 10:07:00-04:00
133.11,133.1493,132.96,133.02,11576,2024-03-28 10:08:00-04:00
133.02,133.15,133.0,133.09,4767,2024-03-28 10:09:00-04:00
133.09,133.11,132.97,132.99,2300,2024-03-28 10:10:00-04:00
