open,high,low,close,volume,datetime
175.9,175.9,175.9,175.9,35538,2021-11-23 09:22:00-05:00
176.14,176.475,175.915,176.475,3786,2021-11-23 09:30:00-05:00
175.8981,175.8981,175.8981,175.8981,100,2021-11-23 09:32:00-05:00
176.08,176.08,175.85,175.85,300,2021-11-23 09:33:00-05:00
176.28,176.28,176.28,176.28,1000,2021-11-23 09:34:00-05:00
176.215,176.215,176.215,176.215,200,2021-11-23 09:35:00-05:00
176.37,176.395,176.35,176.35,400,2021-11-23 09:36:00-05:00
176.33,176.33,176.33,176.33,200,2021-11-23 09:37:00-05:00
175.99,175.99,175.97,175.97,700,2021-11-23 09:38:00-05:00
175.87,175.87,175.87,175.87,700,2021-11-23 09:40:00-05:00
175.92,175.92,175.875,175.875,709,2021-11-23 09:41:00-05:00
176.08,176.08,175.62,175.625,600,2021-11-23 09:43:00-05:00
175.83,175.83,175.83,175.83,100,2021-11-23 09:44:00-05:00
175.97,176.12,175.97,176.12,316,2021-11-23 09:47:00-05:00
176.29,176.37,176.21,176.37,782,2021-11-23 09:50:00-05:00
176.14,176.16,176.14,176.16,615,2021-11-23 09:51:00-05:00
176.24,176.39,176.18,176.39,400,2021-11-23 09:53:00-05:00
176.415,176.415,176.415,176.415,100,2021-11-23 09:54:00-05:00
176.42,176.62,176.42,176.62,200,2021-11-23 09:55:00-05:00
176.73,176.73,176.73,176.73,100,2021-11-23 09:57:00-05:00
176.66,176.66,176.66,176.66,100,2021-11-23 09:58:00-05:00
176.48,176.48,176.13,176.13,407,2021-11-23 09:59:00-05:00
176.18,176.2,176.18,176.2,200,2021-11-23 10:01:00-05:00
176.2,176.3114,176.2,176.3114,450,2021-11-23 10:02:00-05:00
176.17,176.17,176.17,176.17,141,2021-11-23 10:03:00-05:00
176.39,176.39,176.39,176.39,200,2021-11-23 10:05:00-05:00
176.36,176.36,176.07,176.07,789,2021-11-23 10:06:00-05:00
175.88,175.89,175.68,175.78,1000,2021-11-23 10:07:00-05:00
175.7,175.7,175.7,175.7,100,2021-11-23 10:08:00-05:00
175.69,175.94,175.69,175.94,610,2021-11-23 10:10:00-05:00
175.99,175.99,175.9,175.9,549,2021-11-23 10:17:00-05:00
176.02,176.17,176.02,176.085,1200,2021-11-23 10:18:00-05:00
175.91,175.91,175.91,175.91,200,2021-11-23 10:20:00-05:00
175.91,175.92,175.9,175.92,300,2021-11-23 10:21:00-05:00
175.8838,175.92,175.8838,175.92,1599,2021-11-23 10:22:00-05:00
176.05,176.085,175.97,175.97,827,2021-11-23 10:23:00-05:00
175.75,175.91,175.75,175.91,1550,2021-11-23 10:26:00-05:00
175.81,175.94,175.81,175.94,344,2021-11-23 10:27:00-05:00
176.03,176.03,175.9182,175.9182,731,2021-11-23 10:30:00-05:00
176.02,176.075,175.99,175.99,804,2021-11-23 10:32:00-05:00
175.976,175.976,175.976,175.976,280,2021-11-23 10:33:00-05:00
175.85,175.88,175.85,175.88,900,2021-11-23 10:34:00-05:00
175.835,175.93,175.835,175.93,200,2021-11-23 10:35:00-05:00
175.875,175.875,175.875,175.875,100,2021-11-23 10:36:00-05:00
175.73,175.73,175.73,175.73,100,2021-11-23 10:38:00-05:00
175.82,175.82,175.805,175.805,296,2021-11-23 10:39:00-05:00
175.88,176.01,175.8795,175.8795,771,2021-11-23 10:40:00-05:00
175.9581,176.07,175.9581,176.07,435,2021-11-23 10:41:00-05:00
176.085,176.1387,176.085,176.13,1200,2021-11-23 10:42:00-05:00
176.17,176.17,176.17,176.17,595,2021-11-23 10:43:00-05:00
176.265,176.31,176.24,176.24,538,2021-11-23 10:44:00-05:00
176.37,176.47,176.27,176.427,677,2021-11-23 10:45:00-05:00
176.495,176.51,176.495,176.51,430,2021-11-23 10:47:00-05:00
176.33,176.4,176.235,176.235,832,2021-11-23 10:48:00-05:00
176.255,176.255,176.255,176.255,100,2021-11-23 10:50:00-05:00
176.255,176.28,176.255,176.28,389,2021-11-23 10:51:00-05:00
176.21,176.21,176.1468,176.1468,225,2021-11-23 10:52:00-05:00
176.135,176.135,176.135,176.135,100,2021-11-23 10:53:00-05:00
176.01,176.01,175.92,175.92,200,2021-11-23 10:55:00-05:00
175.94,175.94,175.94,175.94,100,2021-11-23 10:56:00-05:00
175.87,175.9,175.87,175.9,300,2021-11-23 10:57:00-05:00
175.82,175.86,175.78,175.83,1746,2021-11-23 10:58:00-05:00
175.82,175.82,175.74,175.74,700,2021-11-23 10:59:00-05:00
175.74,175.765,175.705,175.705,400,2021-11-23 11:00:00-05:00
175.6,175.63,175.53,175.63,1243,2021-11-23 11:01:00-05:00
175.5,175.5,175.5,175.5,100,2021-11-23 11:03:00-05:00
175.485,175.485,175.485,175.485,100,2021-11-23 11:04:00-05:00
175.4283,175.4283,175.4283,175.4283,100,2021-11-23 11:05:00-05:00
175.49,175.49,175.35,175.36,600,2021-11-23 11:06:00-05:00
175.295,175.295,175.295,175.295,100,2021-11-23 11:07:00-05:00
175.29,175.29,175.29,175.29,200,2021-11-23 11:08:00-05:00
175.39,175.39,175.39,175.39,100,2021-11-23 11:10:00-05:00
175.47,175.61,175.435,175.435,400,2021-11-23 11:11:00-05:00
175.43,175.485,175.38,175.485,500,2021-11-23 11:14:00-05:00
175.41,175.41,175.41,175.41,100,2021-11-23 11:15:00-05:00
