open,high,low,close,volume,datetime
100.21,100.21,100.21,100.21,100,2021-11-23 09:19:00-05:00
100.49,100.5,100.26,100.3725,33815,2021-11-23 09:30:00-05:00
100.315,100.39,100.16,100.16,3068,2021-11-23 09:31:00-05:00
100.16,100.3175,100.14,100.3175,4116,2021-11-23 09:32:00-05:00
100.32,100.42,100.3,100.398,8656,2021-11-23 09:33:00-05:00
100.32,100.32,100.055,100.15,5075,2021-11-23 09:34:00-05:00
100.1292,100.14,100.05,100.06,3988,2021-11-23 09:35:00-05:00
100.0,100.02,99.88,99.9157,6860,2021-11-23 09:36:00-05:00
99.86,99.86,99.68,99.74,2655,2021-11-23 09:37:00-05:00
99.62,99.66,99.58,99.58,2041,2021-11-23 09:38:00-05:00
99.6,99.69,99.6,99.64,3711,2021-11-23 09:39:00-05:00
99.69,99.75,99.6301,99.75,9559,2021-11-23 09:40:00-05:00
99.7,99.78,99.68,99.68,3483,2021-11-23 09:41:00-05:00
99.69,99.79,99.63,99.74,4424,2021-11-23 09:42:00-05:00
99.741,99.75,99.7,99.75,4500,2021-11-23 09:43:00-05:00
99.705,99.79,99.69,99.77,2667,2021-11-23 09:44:00-05:00
99.8,99.83,99.8,99.805,1252,2021-11-23 09:45:00-05:00
99.8299,99.83,99.6264,99.6264,4153,2021-11-23 09:46:00-05:00
99.62,99.64,99.57,99.61,2994,2021-11-23 09:47:00-05:00
99.605,99.695,99.54,99.64,5036,2021-11-23 09:48:00-05:00
99.6821,99.6821,99.6,99.62,1050,2021-11-23 09:49:00-05:00
99.67,99.85,99.67,99.73,3128,2021-11-23 09:50:00-05:00
99.7,99.75,99.69,99.69,960,2021-11-23 09:51:00-05:00
99.66,99.7,99.58,99.67,19000,2021-11-23 09:52:00-05:00
99.65,99.69,99.605,99.605,600,2021-11-23 09:53:00-05:00
99.57,99.57,99.49,99.5,15251,2021-11-23 09:54:00-05:00
99.47,99.53,99.47,99.5,7953,2021-11-23 09:55:00-05:00
99.5,99.55,99.47,99.55,3760,2021-11-23 09:56:00-05:00
99.549,99.549,99.38,99.465,10065,2021-11-23 09:57:00-05:00
99.4725,99.52,99.45,99.5,4947,2021-11-23 09:58:00-05:00
99.44,99.52,99.43,99.43,2253,2021-11-23 09:59:00-05:00
99.41,99.5,99.41,99.5,1925,2021-11-23 10:00:00-05:00
99.48,99.55,99.47,99.505,11709,2021-11-23 10:01:00-05:00
99.505,99.54,99.47,99.54,6463,2021-11-23 10:02:00-05:00
99.54,99.68,99.515,99.6782,15378,2021-11-23 10:03:00-05:00
