open,high,low,close,volume,datetime
131.87,131.87,131.87,131.87,186,2024-03-28 08:12:00-04:00
132.18,132.31,131.975,131.975,18052,2024-03-28 09:30:00-04:00
131.985,132.025,131.87,131.88,1208,2024-03-28 09:31:00-04:00
131.775,131.775,131.57,131.75,400,2024-03-28 09:32:00-04:00
131.91,131.91,131.91,131.91,100,2024-03-28 09:33:00-04:00
131.965,132.07,131.945,132.07,3178,2024-03-28 09:34:00-04:00
132.0,132.095,132.0,132.095,1194,2024-03-28 09:35:00-04:00
132.095,132.095,131.98,132.0,2496,2024-03-28 09:36:00-04:00
132.015,132.025,132.015,132.02,1125,2024-03-28 09:37:00-04:00
132.015,132.015,132.015,132.015,100,2024-03-28 09:38:00-04:00
132.035,132.04,132.035,132.04,948,2024-03-28 09:39:00-04:00
132.035,132.1,131.97,132.1,2670,2024-03-28 09:40:00-04:00
132.17,132.2,132.047,132.12,6986,2024-03-28 09:41:00-04:00
132.05,132.15,132.05,132.12,2711,2024-03-28 09:42:00-04:00
132.12,132.12,132.12,132.12,457,2024-03-28 09:43:00-04:00
132.12,132.12,132.12,132.12,359,2024-03-28 09:44:00-04:00
132.12,132.12,132.055,132.055,635,2024-03-28 09:45:00-04:00
132.12,132.61,132.12,132.55,7598,2024-03-28 09:46:00-04:00
132.58,132.63,132.46,132.63,3127,2024-03-28 09:47:00-04:00
132.56,132.56,132.56,132.56,100,2024-03-28 09:48:00-04:00
132.555,132.555,132.54,132.54,300,2024-03-28 09:49:00-04:00
132.61,132.67,132.61,132.655,562,2024-03-28 09:50:00-04:00
132.7,132.75,132.61,132.69,3707,2024-03-28 09:51:00-04:00
132.66,132.675,132.48,132.48,1424,2024-03-28 09:52:00-04:00
132.45,132.58,132.45,132.56,500,2024-03-28 09:53:00-04:00
132.6,132.69,132.59,132.61,3267,2024-03-28 09:55:00-04:00
132.57,132.615,132.52,132.52,5715,2024-03-28 09:56:00-04:00
132.537,132.67,132.537,132.66,7251,2024-03-28 09:57:00-04:00
132.78,132.9,132.78,132.9,1568,2024-03-28 09:58:00-04:00
132.885,132.9,132.84,132.885,1516,2024-03-28 09:59:00-04:00
132.83,132.84,132.79,132.79,843,2024-03-28 10:00:00-04:00
132.83,132.88,132.83,132.88,400,2024-03-28 10:01:00-04:00
132.895,132.9,132.895,132.9,461,2024-03-28 10:02:00-04:00
132.87,132.9,132.87,132.9,829,2024-03-28 10:03:00-04:00
132.95,132.98,132.91,132.955,2108,2024-03-28 10:04:00-04:00
