open,high,low,close,volume,datetime
78.68,78.92,78.68,78.89,19990,2021-11-23 09:30:00-05:00
78.88,78.88,78.88,78.88,100,2021-11-23 09:31:00-05:00
78.96,79.13,78.95,79.12,2485,2021-11-23 09:32:00-05:00
79.13,79.13,78.88,78.88,2400,2021-11-23 09:33:00-05:00
78.9703,79.01,78.79,78.79,1753,2021-11-23 09:34:00-05:00
78.79,78.79,78.74,78.785,1050,2021-11-23 09:35:00-05:00
78.73,78.82,78.66,78.8,6058,2021-11-23 09:36:00-05:00
78.71,78.71,78.6101,78.6101,300,2021-11-23 09:37:00-05:00
78.7,78.71,78.67,78.67,1871,2021-11-23 09:38:00-05:00
78.7,78.73,78.66,78.66,3633,2021-11-23 09:39:00-05:00
78.685,78.74,78.635,78.68,2629,2021-11-23 09:40:00-05:00
78.685,78.71,78.65,78.68,2100,2021-11-23 09:41:00-05:00
78.67,78.675,78.64,78.675,1000,2021-11-23 09:42:00-05:00
78.65,78.65,78.58,78.61,1680,2021-11-23 09:43:00-05:00
78.59,78.71,78.59,78.68,438,2021-11-23 09:44:00-05:00
78.73,78.82,78.73,78.77,1095,2021-11-23 09:45:00-05:00
78.76,78.77,78.64,78.64,1200,2021-11-23 09:46:00-05:00
78.63,78.63,78.56,78.61,1412,2021-11-23 09:47:00-05:00
78.56,78.65,78.56,78.64,1000,2021-11-23 09:48:00-05:00
78.64,78.64,78.64,78.64,100,2021-11-23 09:49:00-05:00
78.71,78.81,78.71,78.77,2088,2021-11-23 09:50:00-05:00
78.7578,78.7578,78.69,78.69,572,2021-11-23 09:51:00-05:00
78.67,78.68,78.6,78.655,1691,2021-11-23 09:52:00-05:00
78.655,78.7,78.56,78.56,3870,2021-11-23 09:53:00-05:00
78.58,78.585,78.55,78.56,1786,2021-11-23 09:54:00-05:00
78.575,78.63,78.575,78.63,735,2021-11-23 09:55:00-05:00
78.64,78.66,78.61,78.64,2857,2021-11-23 09:56:00-05:00
78.61,78.63,78.55,78.62,1508,2021-11-23 09:57:00-05:00
78.605,78.6405,78.6,78.64,885,2021-11-23 09:58:00-05:00
78.66,78.72,78.64,78.645,4654,2021-11-23 09:59:00-05:00
78.67,78.75,78.66,78.75,2733,2021-11-23 10:00:00-05:00
78.77,78.82,78.77,78.82,627,2021-11-23 10:01:00-05:00
78.82,78.85,78.79,78.85,2100,2021-11-23 10:02:00-05:00
78.85,78.89,78.845,78.89,2238,2021-11-23 10:03:00-05:00
78.98,78.99,78.97,78.98,1756,2021-11-23 10:04:00-05:00
78.97,78.98,78.87,78.87,4247,2021-11-23 10:05:00-05:00
78.91,79.04,78.91,79.04,2836,2021-11-23 10:06:00-05:00
79.04,79.04,79.0,79.0,2660,2021-11-23 10:07:00-05:00
79.0,79.01,78.97,78.984,3710,2021-11-23 10:08:00-05:00
79.0,79.04,78.95,79.04,3190,2021-11-23 10:09:00-05:00
79.065,79.08,79.06,79.08,900,2021-11-23 10:10:00-05:00
79.1,79.21,79.1,79.2,1065,2021-11-23 10:11:00-05:00
79.22,79.31,79.17,79.28,7420,2021-11-23 10:12:00-05:00
79.26,79.3,79.26,79.28,2352,2021-11-23 10:13:00-05:00
79.28,79.28,79.2,79.2,3270,2021-11-23 10:14:00-05:00
79.19,79.22,79.17,79.19,2142,2021-11-23 10:15:00-05:00
79.2,79.246,79.195,79.246,2413,2021-11-23 10:16:00-05:00
79.25,79.25,79.12,79.12,2755,2021-11-23 10:17:00-05:00
79.14,79.17,79.14,79.16,1582,2021-11-23 10:18:00-05:00
79.17,79.17,79.14,79.14,3209,2021-11-23 10:19:00-05:00
79.15,79.22,79.15,79.215,3582,2021-11-23 10:20:00-05:00
79.18,79.2,79.17,79.2,2254,2021-11-23 10:21:00-05:00
79.17,79.17,79.11,79.15,1893,2021-11-23 10:22:00-05:00
79.12,79.12,78.96,78.96,1357,2021-11-23 10:23:00-05:00
78.98,79.04,78.98,79.03,1818,2021-11-23 10:24:00-05:00
79.04,79.04,79.04,79.04,100,2021-11-23 10:25:00-05:00
79.04,79.07,79.0,79.0,3075,2021-11-23 10:26:00-05:00
79.01,79.01,78.99,78.99,400,2021-11-23 10:27:00-05:00
78.99,79.025,78.98,79.025,1019,2021-11-23 10:28:00-05:00
79.05,79.06,79.02,79.034,3749,2021-11-23 10:29:00-05:00
79.02,79.09,79.02,79.07,3228,2021-11-23 10:30:00-05:00
79.09,79.17,79.09,79.17,1407,2021-11-23 10:31:00-05:00
79.175,79.2,79.17,79.1895,1907,2021-11-23 10:32:00-05:00
79.23,79.25,79.2102,79.25,5476,2021-11-23 10:33:00-05:00
79.285,79.285,79.2,79.2,2600,2021-11-23 10:34:00-05:00
79.22,79.22,79.15,79.174,2218,2021-11-23 10:35:00-05:00
79.2,79.2,79.07,79.07,8202,2021-11-23 10:36:00-05:00
79.07,79.12,79.07,79.12,1380,2021-11-23 10:37:00-05:00
79.12,79.12,79.08,79.11,3456,2021-11-23 10:38:00-05:00
79.12,79.12,79.04,79.0427,2119,2021-11-23 10:39:00-05:00
79.07,79.14,79.07,79.13,1908,2021-11-23 10:40:00-05:00
79.15,79.15,79.12,79.14,1210,2021-11-23 10:41:00-05:00
79.15,79.16,79.12,79.15,4064,2021-11-23 10:42:00-05:00
79.19,79.235,79.175,79.235,1139,2021-11-23 10:43:00-05:00
79.25,79.255,79.23,79.24,1928,2021-11-23 10:44:00-05:00
79.245,79.27,79.24,79.25,1210,2021-11-23 10:45:00-05:00
79.26,79.3,79.26,79.3,1077,2021-11-23 10:46:00-05:00
79.3,79.35,79.3,79.35,1700,2021-11-23 10:47:00-05:00
79.36,79.36,79.335,79.36,1307,2021-11-23 10:48:00-05:00
79.32,79.35,79.32,79.35,600,2021-11-23 10:49:00-05:00
79.32,79.37,79.32,79.37,1042,2021-11-23 10:50:00-05:00
79.36,79.37,79.3404,79.3404,3456,2021-11-23 10:51:00-05:00
79.34,79.34,79.32,79.3348,872,2021-11-23 10:52:00-05:00
79.335,79.4,79.335,79.385,3697,2021-11-23 10:53:00-05:00
79.38,79.48,79.38,79.48,3272,2021-11-23 10:54:00-05:00
79.47,79.48,79.44,79.44,1326,2021-11-23 10:55:00-05:00
79.44,79.44,79.4,79.42,2895,2021-11-23 10:56:00-05:00
79.4,79.48,79.38,79.46,868,2021-11-23 10:57:00-05:00
