open,high,low,close,volume,datetime
777.97,777.97,775.8,775.8,3388,2021-11-23 09:30:00-05:00
775.73,775.73,775.24,775.24,1137,2021-11-23 09:31:00-05:00
773.9075,774.18,773.9075,774.18,300,2021-11-23 09:32:00-05:00
773.01,773.01,773.01,773.01,100,2021-11-23 09:33:00-05:00
773.0,774.785,771.44,771.44,1700,2021-11-23 09:34:00-05:00
771.95,772.78,771.03,771.22,631,2021-11-23 09:35:00-05:00
774.62,774.62,772.61,774.34,353,2021-11-23 09:36:00-05:00
775.015,775.015,775.015,775.015,100,2021-11-23 09:37:00-05:00
774.77,775.545,774.77,775.01,628,2021-11-23 09:40:00-05:00
776.54,776.89,775.36,775.99,1600,2021-11-23 09:41:00-05:00
776.5,778.06,775.94,777.76,2000,2021-11-23 09:42:00-05:00
778.18,778.98,777.015,777.37,2562,2021-11-23 09:43:00-05:00
777.425,777.91,776.97,776.98,1801,2021-11-23 09:44:00-05:00
776.715,778.4,776.715,778.4,665,2021-11-23 09:45:00-05:00
776.59,776.59,776.59,776.59,100,2021-11-23 09:47:00-05:00
776.79,776.79,776.79,776.79,100,2021-11-23 09:48:00-05:00
775.957,778.545,775.957,778.545,522,2021-11-23 09:49:00-05:00
778.71,779.29,778.015,778.5006,2262,2021-11-23 09:50:00-05:00
777.33,778.33,777.18,778.23,3565,2021-11-23 09:51:00-05:00
777.78,778.0,777.025,777.47,3904,2021-11-23 09:52:00-05:00
777.125,777.44,777.125,777.26,1800,2021-11-23 09:53:00-05:00
777.8,778.01,777.8,778.005,800,2021-11-23 09:54:00-05:00
777.84,777.84,777.565,777.76,415,2021-11-23 09:56:00-05:00
777.52,778.15,777.52,778.15,1000,2021-11-23 09:57:00-05:00
777.73,777.84,777.35,777.84,4700,2021-11-23 09:58:00-05:00
778.02,778.03,777.77,777.78,1825,2021-11-23 09:59:00-05:00
778.395,779.08,777.6206,779.065,4146,2021-11-23 10:00:00-05:00
779.54,780.97,779.19,780.431,1534,2021-11-23 10:01:00-05:00
779.62,781.8,779.62,781.4,2900,2021-11-23 10:02:00-05:00
782.0,782.0,781.6,781.6,1400,2021-11-23 10:03:00-05:00
781.31,782.105,781.31,782.105,800,2021-11-23 10:04:00-05:00
782.135,782.135,781.17,781.185,4281,2021-11-23 10:05:00-05:00
781.08,781.08,778.79,778.79,1300,2021-11-23 10:06:00-05:00
