open,high,low,close,volume,datetime
85.48,85.61,85.19,85.61,7763,2021-11-23 09:30:00-05:00
85.63,85.655,85.63,85.655,300,2021-11-23 09:31:00-05:00
85.655,85.66,85.655,85.66,300,2021-11-23 09:32:00-05:00
85.56,85.655,85.49,85.59,6044,2021-11-23 09:33:00-05:00
85.595,85.62,85.45,85.58,4004,2021-11-23 09:34:00-05:00
85.63,85.705,85.51,85.53,4500,2021-11-23 09:35:00-05:00
85.56,85.59,85.535,85.58,500,2021-11-23 09:36:00-05:00
85.52,85.525,85.34,85.36,4187,2021-11-23 09:37:00-05:00
85.385,85.385,85.37,85.37,371,2021-11-23 09:38:00-05:00
85.37,85.47,85.3614,85.3614,1291,2021-11-23 09:39:00-05:00
85.5,85.55,85.5,85.55,353,2021-11-23 09:40:00-05:00
85.7,85.7,85.59,85.6075,960,2021-11-23 09:41:00-05:00
85.6,85.7,85.6,85.64,2137,2021-11-23 09:42:00-05:00
85.62,85.62,85.495,85.495,800,2021-11-23 09:43:00-05:00
85.52,85.52,85.49,85.49,229,2021-11-23 09:44:00-05:00
85.56,85.68,85.56,85.6325,1194,2021-11-23 09:45:00-05:00
85.65,85.715,85.57,85.68,2868,2021-11-23 09:46:00-05:00
85.7,85.74,85.66,85.73,800,2021-11-23 09:47:00-05:00
85.7,85.76,85.68,85.755,1306,2021-11-23 09:48:00-05:00
85.81,85.85,85.81,85.85,300,2021-11-23 09:49:00-05:00
85.76,85.795,85.72,85.78,2250,2021-11-23 09:51:00-05:00
85.7,85.713,85.685,85.685,530,2021-11-23 09:52:00-05:00
85.7,85.85,85.7,85.85,890,2021-11-23 09:53:00-05:00
85.771,85.87,85.771,85.87,1037,2021-11-23 09:54:00-05:00
85.85,85.85,85.85,85.85,200,2021-11-23 09:55:00-05:00
85.85,85.94,85.85,85.94,1238,2021-11-23 09:56:00-05:00
86.02,86.03,86.02,86.03,858,2021-11-23 09:57:00-05:00
86.01,86.02,85.911,85.911,844,2021-11-23 09:58:00-05:00
85.94,85.99,85.89,85.94,4103,2021-11-23 09:59:00-05:00
85.94,85.94,85.91,85.93,400,2021-11-23 10:00:00-05:00
85.935,85.97,85.935,85.94,500,2021-11-23 10:01:00-05:00
85.945,85.99,85.945,85.99,909,2021-11-23 10:02:00-05:00
86.034,86.034,85.99,85.99,300,2021-11-23 10:03:00-05:00
86.0,86.01,86.0,86.01,300,2021-11-23 10:04:00-05:00
86.09,86.09,86.09,86.09,500,2021-11-23 10:05:00-05:00
86.09,86.19,86.08,86.11,1225,2021-11-23 10:06:00-05:00
86.13,86.14,86.13,86.14,300,2021-11-23 10:07:00-05:00
86.17,86.22,86.17,86.2,698,2021-11-23 10:08:00-05:00
86.12,86.17,86.11,86.17,1156,2021-11-23 10:09:00-05:00
86.24,86.39,86.235,86.39,1891,2021-11-23 10:10:00-05:00
86.34,86.34,86.29,86.29,600,2021-11-23 10:11:00-05:00
86.34,86.38,86.34,86.38,515,2021-11-23 10:12:00-05:00
86.4,86.4,86.4,86.4,100,2021-11-23 10:13:00-05:00
86.33,86.33,86.22,86.22,570,2021-11-23 10:14:00-05:00
86.22,86.22,86.195,86.195,250,2021-11-23 10:15:00-05:00
86.15,86.15,86.15,86.15,100,2021-11-23 10:16:00-05:00
86.21,86.21,86.105,86.105,400,2021-11-23 10:17:00-05:00
86.055,86.055,86.055,86.055,200,2021-11-23 10:18:00-05:00
86.0,86.02,85.99,85.99,993,2021-11-23 10:19:00-05:00
85.95,86.06,85.95,86.02,3006,2021-11-23 10:21:00-05:00
86.07,86.11,86.07,86.07,758,2021-11-23 10:22:00-05:00
86.06,86.085,86.06,86.06,746,2021-11-23 10:23:00-05:00
86.02,86.02,85.995,85.995,500,2021-11-23 10:24:00-05:00
86.02,86.02,86.02,86.02,100,2021-11-23 10:25:00-05:00
85.97,85.98,85.89,85.89,1204,2021-11-23 10:26:00-05:00
85.93,85.95,85.93,85.95,698,2021-11-23 10:27:00-05:00
85.92,85.955,85.92,85.955,200,2021-11-23 10:28:00-05:00
85.99,86.0,85.98,85.98,576,2021-11-23 10:29:00-05:00
85.98,86.1032,85.98,86.07,1076,2021-11-23 10:30:00-05:00
86.15,86.15,86.15,86.15,100,2021-11-23 10:31:00-05:00
86.2,86.2,86.04,86.04,1029,2021-11-23 10:32:00-05:00
86.11,86.11,86.11,86.11,100,2021-11-23 10:33:00-05:00
86.08,86.08,86.04,86.07,900,2021-11-23 10:34:00-05:00
86.11,86.21,86.09,86.21,1208,2021-11-23 10:35:00-05:00
86.18,86.21,86.18,86.2,717,2021-11-23 10:36:00-05:00
86.28,86.28,86.28,86.28,100,2021-11-23 10:37:00-05:00
86.23,86.23,86.145,86.16,1126,2021-11-23 10:38:00-05:00
86.11,86.1325,86.0753,86.085,1478,2021-11-23 10:39:00-05:00
86.07,86.085,86.0313,86.04,574,2021-11-23 10:40:00-05:00
86.0988,86.18,86.04,86.18,2535,2021-11-23 10:41:00-05:00
86.18,86.18,86.14,86.145,454,2021-11-23 10:42:00-05:00
86.12,86.1347,86.1,86.1,1093,2021-11-23 10:43:00-05:00
86.12,86.13,86.09,86.13,577,2021-11-23 10:45:00-05:00
86.18,86.22,86.165,86.22,703,2021-11-23 10:46:00-05:00
86.31,86.32,86.26,86.26,1285,2021-11-23 10:48:00-05:00
86.21,86.21,86.21,86.21,100,2021-11-23 10:49:00-05:00
86.29,86.29,86.27,86.27,200,2021-11-23 10:50:00-05:00
86.3,86.305,86.19,86.19,996,2021-11-23 10:51:00-05:00
86.18,86.18,86.15,86.15,200,2021-11-23 10:52:00-05:00
86.12,86.18,86.12,86.18,449,2021-11-23 10:53:00-05:00
86.19,86.19,86.19,86.19,100,2021-11-23 10:54:00-05:00
86.15,86.15,86.08,86.08,459,2021-11-23 10:56:00-05:00
86.06,86.06,86.06,86.06,200,2021-11-23 10:57:00-05:00
86.0,86.03,86.0,86.03,604,2021-11-23 10:58:00-05:00
86.01,86.1,86.01,86.07,681,2021-11-23 10:59:00-05:00
86.11,86.13,86.11,86.13,441,2021-11-23 11:00:00-05:00
86.07,86.07,85.99,86.03,1114,2021-11-23 11:01:00-05:00
86.06,86.1,86.0226,86.1,1465,2021-11-23 11:02:00-05:00
86.075,86.075,86.075,86.075,100,2021-11-23 11:03:00-05:00
86.05,86.05,86.03,86.03,487,2021-11-23 11:04:00-05:00
86.0,86.0,86.0,86.0,100,2021-11-23 11:05:00-05:00
86.05,86.05,86.05,86.05,155,2021-11-23 11:06:00-05:00
86.035,86.035,86.035,86.035,264,2021-11-23 11:07:00-05:00
86.02,86.03,86.02,86.025,504,2021-11-23 11:08:00-05:00
86.0,86.01,85.99,85.99,398,2021-11-23 11:09:00-05:00
86.01,86.037,86.01,86.037,457,2021-11-23 11:10:00-05:00
86.02,86.06,86.0,86.06,1273,2021-11-23 11:11:00-05:00
86.08,86.11,86.03,86.11,2222,2021-11-23 11:12:00-05:00
86.13,86.16,86.13,86.14,650,2021-11-23 11:13:00-05:00
86.08,86.13,86.08,86.1,1703,2021-11-23 11:14:00-05:00
86.1,86.135,86.09,86.115,1953,2021-11-23 11:15:00-05:00
86.14,86.15,86.12,86.12,515,2021-11-23 11:16:00-05:00
86.09,86.13,86.09,86.13,551,2021-11-23 11:17:00-05:00
86.1,86.1,86.1,86.1,425,2021-11-23 11:18:00-05:00
86.1124,86.1124,86.095,86.095,318,2021-11-23 11:19:00-05:00
86.095,86.095,86.09,86.09,472,2021-11-23 11:20:00-05:00
86.12,86.13,86.1,86.1,746,2021-11-23 11:21:00-05:00
86.15,86.19,86.15,86.19,853,2021-11-23 11:24:00-05:00
86.2,86.2,86.17,86.2,705,2021-11-23 11:26:00-05:00
86.22,86.22,86.22,86.22,236,2021-11-23 11:27:00-05:00
86.215,86.23,86.215,86.22,800,2021-11-23 11:28:00-05:00
86.21,86.21,86.2,86.2,475,2021-11-23 11:29:00-05:00
86.195,86.2,86.18,86.18,455,2021-11-23 11:30:00-05:00
86.21,86.22,86.21,86.21,538,2021-11-23 11:32:00-05:00
86.235,86.26,86.235,86.26,200,2021-11-23 11:33:00-05:00
86.26,86.3,86.26,86.295,524,2021-11-23 11:34:00-05:00
86.32,86.32,86.28,86.28,486,2021-11-23 11:36:00-05:00
86.28,86.3,86.26,86.27,945,2021-11-23 11:37:00-05:00
86.34,86.34,86.34,86.34,145,2021-11-23 11:38:00-05:00
