open,high,low,close,volume,datetime
58.98,58.98,58.98,58.98,234,2024-03-28 08:12:00-04:00
59.0,59.0,59.0,59.0,100,2024-03-28 09:25:00-04:00
59.27,59.325,59.07,59.17,36365,2024-03-28 09:30:00-04:00
59.235,59.43,59.235,59.43,500,2024-03-28 09:31:00-04:00
59.415,59.45,59.37,59.435,1215,2024-03-28 09:32:00-04:00
59.43,59.4708,59.35,59.4399,3686,2024-03-28 09:33:00-04:00
59.44,59.5,59.4,59.475,607,2024-03-28 09:34:00-04:00
59.44,59.48,59.44,59.48,300,2024-03-28 09:35:00-04:00
59.5,59.51,59.5,59.5,1005,2024-03-28 09:36:00-04:00
59.515,59.515,59.4,59.4,1100,2024-03-28 09:37:00-04:00
59.37,59.37,59.25,59.25,300,2024-03-28 09:38:00-04:00
59.33,59.35,59.32,59.33,1134,2024-03-28 09:39:00-04:00
59.32,59.325,59.29,59.29,1140,2024-03-28 09:40:00-04:00
59.27,59.34,59.27,59.34,1965,2024-03-28 09:41:00-04:00
59.32,59.32,59.26,59.2875,1959,2024-03-28 09:42:00-04:00
59.3,59.3,59.24,59.24,900,2024-03-28 09:43:00-04:00
59.18,59.21,59.18,59.21,1159,2024-03-28 09:44:00-04:00
59.15,59.15,59.12,59.12,353,2024-03-28 09:45:00-04:00
59.125,59.15,59.125,59.15,400,2024-03-28 09:46:00-04:00
59.11,59.12,59.06,59.06,1047,2024-03-28 09:47:00-04:00
59.07,59.07,58.985,58.985,1126,2024-03-28 09:48:00-04:00
58.94,58.98,58.94,58.98,858,2024-03-28 09:49:00-04:00
59.02,59.035,59.005,59.005,800,2024-03-28 09:50:00-04:00
59.02,59.02,58.9225,58.9225,2514,2024-03-28 09:51:00-04:00
58.925,58.94,58.875,58.875,726,2024-03-28 09:52:00-04:00
58.875,58.91,58.86,58.88,2434,2024-03-28 09:53:00-04:00
58.89,58.89,58.83,58.83,600,2024-03-28 09:54:00-04:00
58.821,58.855,58.8,58.855,1439,2024-03-28 09:55:00-04:00
58.89,58.92,58.885,58.92,560,2024-03-28 09:56:00-04:00
58.94,58.95,58.94,58.95,400,2024-03-28 09:57:00-04:00
58.94,58.94,58.91,58.91,300,2024-03-28 09:58:00-04:00
58.93,58.93,58.93,58.93,512,2024-03-28 09:59:00-04:00
58.9999,58.9999,58.97,58.975,409,2024-03-28 10:00:00-04:00
58.99,59.055,58.99,59.055,943,2024-03-28 10:01:00-04:00
59.03,59.09,59.03,59.09,1851,2024-03-28 10:02:00-04:00
59.1025,59.12,59.1025,59.12,600,2024-03-28 10:03:00-04:00
59.1,59.1,59.04,59.08,1846,2024-03-28 10:04:00-04:00
59.085,59.18,59.08,59.18,1143,2024-03-28 10:05:00-04:00
59.18,59.195,59.17,59.175,2853,2024-03-28 10:06:00-04:00
59.19,59.24,59.19,59.22,1173,2024-03-28 10:07:00-04:00
59.22,59.26,59.215,59.26,2047,2024-03-28 10:08:00-04:00
59.25,59.255,59.25,59.255,200,2024-03-28 10:09:00-04:00
59.26,59.28,59.25,59.28,1429,2024-03-28 10:10:00-04:00
59.27,59.3,59.25,59.3,1400,2024-03-28 10:11:00-04:00
59.355,59.36,59.34,59.36,1412,2024-03-28 10:12:00-04:00
59.355,59.39,59.34,59.36,3312,2024-03-28 10:13:00-04:00
59.39,59.39,59.36,59.36,1215,2024-03-28 10:14:00-04:00
59.35,59.35,59.33,59.33,800,2024-03-28 10:15:00-04:00
59.33,59.375,59.33,59.37,3903,2024-03-28 10:16:00-04:00
59.37,59.37,59.33,59.34,2165,2024-03-28 10:17:00-04:00
59.33,59.36,59.31,59.31,1731,2024-03-28 10:18:00-04:00
59.3,59.3,59.265,59.29,2154,2024-03-28 10:19:00-04:00
59.29,59.29,59.225,59.23,2184,2024-03-28 10:20:00-04:00
59.24,59.26,59.23,59.24,1432,2024-03-28 10:21:00-04:00
59.26,59.31,59.26,59.31,1010,2024-03-28 10:22:00-04:00
59.31,59.3218,59.3,59.3218,1800,2024-03-28 10:23:00-04:00
59.32,59.32,59.25,59.25,2790,2024-03-28 10:24:00-04:00
59.27,59.27,59.2225,59.24,985,2024-03-28 10:25:00-04:00
59.24,59.26,59.22,59.26,1888,2024-03-28 10:26:00-04:00
59.27,59.282,59.27,59.27,2200,2024-03-28 10:27:00-04:00
59.28,59.3,59.28,59.3,1095,2024-03-28 10:28:00-04:00
59.3124,59.3124,59.31,59.31,437,2024-03-28 10:29:00-04:00
59.33,59.36,59.33,59.34,3001,2024-03-28 10:30:00-04:00
59.33,59.35,59.325,59.35,1041,2024-03-28 10:31:00-04:00
59.375,59.375,59.375,59.375,100,2024-03-28 10:32:00-04:00
59.37,59.38,59.36,59.38,1108,2024-03-28 10:33:00-04:00
59.375,59.4,59.375,59.39,1300,2024-03-28 10:34:00-04:00
59.4,59.43,59.38,59.38,7217,2024-03-28 10:35:00-04:00
59.38,59.38,59.33,59.345,816,2024-03-28 10:36:00-04:00
59.34,59.4,59.34,59.4,800,2024-03-28 10:37:00-04:00
59.395,59.415,59.395,59.41,1224,2024-03-28 10:38:00-04:00
59.41,59.43,59.41,59.43,2071,2024-03-28 10:39:00-04:00
59.42,59.43,59.42,59.43,1144,2024-03-28 10:40:00-04:00
59.42,59.44,59.42,59.44,1128,2024-03-28 10:41:00-04:00
59.45,59.45,59.41,59.41,1726,2024-03-28 10:42:00-04:00
59.422,59.422,59.37,59.39,2720,2024-03-28 10:43:00-04:00
59.41,59.41,59.39,59.39,906,2024-03-28 10:44:00-04:00
59.4,59.43,59.4,59.43,1759,2024-03-28 10:45:00-04:00
59.42,59.43,59.41,59.41,2675,2024-03-28 10:46:00-04:00
59.42,59.438,59.41,59.43,1336,2024-03-28 10:47:00-04:00
59.43,59.43,59.41,59.41,910,2024-03-28 10:48:00-04:00
59.41,59.41,59.4,59.4,1736,2024-03-28 10:49:00-04:00
59.39,59.4,59.36,59.4,2584,2024-03-28 10:50:00-04:00
59.39,59.41,59.38,59.41,1597,2024-03-28 10:51:00-04:00
59.4,59.41,59.4,59.41,393,2024-03-28 10:52:00-04:00
59.4,59.41,59.38,59.41,2110,2024-03-28 10:53:00-04:00
59.41,59.41,59.37,59.37,1412,2024-03-28 10:54:00-04:00
59.36,59.37,59.34,59.34,1746,2024-03-28 10:55:00-04:00
59.35,59.35,59.32,59.33,1887,2024-03-28 10:56:00-04:00
59.31,59.34,59.31,59.335,1370,2024-03-28 10:57:00-04:00
59.32,59.32,59.29,59.3,1221,2024-03-28 10:58:00-04:00
59.305,59.305,59.28,59.28,700,2024-03-28 10:59:00-04:00
59.275,59.28,59.265,59.27,1934,2024-03-28 11:00:00-04:00
59.265,59.265,59.24,59.245,1800,2024-03-28 11:01:00-04:00
59.245,59.2708,59.245,59.2708,2570,2024-03-28 11:02:00-04:00
59.27,59.33,59.27,59.32,1486,2024-03-28 11:03:00-04:00
59.3263,59.33,59.295,59.33,3720,2024-03-28 11:04:00-04:00
59.31,59.31,59.31,59.31,400,2024-03-28 11:05:00-04:00
59.32,59.36,59.32,59.35,1467,2024-03-28 11:06:00-04:00
59.35,59.39,59.35,59.39,2064,2024-03-28 11:07:00-04:00
59.39,59.39,59.3401,59.3401,2044,2024-03-28 11:08:00-04:00
59.36,59.38,59.36,59.38,500,2024-03-28 11:09:00-04:00
59.4,59.4,59.4,59.4,273,2024-03-28 11:10:00-04:00
59.41,59.41,59.38,59.4,1795,2024-03-28 11:11:00-04:00
59.42,59.44,59.42,59.44,469,2024-03-28 11:12:00-04:00
59.44,59.44,59.41,59.41,1407,2024-03-28 11:13:00-04:00
59.43,59.44,59.43,59.44,530,2024-03-28 11:14:00-04:00
59.44,59.46,59.44,59.45,2962,2024-03-28 11:15:00-04:00
59.45,59.47,59.44,59.47,2555,2024-03-28 11:16:00-04:00
59.498,59.498,59.48,59.49,1220,2024-03-28 11:17:00-04:00
59.47,59.48,59.47,59.48,1105,2024-03-28 11:18:00-04:00
59.48,59.49,59.48,59.48,1100,2024-03-28 11:19:00-04:00
59.48,59.5,59.48,59.5,550,2024-03-28 11:20:00-04:00
59.51,59.51,59.49,59.49,1898,2024-03-28 11:21:00-04:00
59.48,59.4999,59.48,59.48,1800,2024-03-28 11:22:00-04:00
59.475,59.48,59.465,59.465,1105,2024-03-28 11:23:00-04:00
59.465,59.465,59.44,59.44,1120,2024-03-28 11:24:00-04:00
59.43,59.43,59.385,59.385,1953,2024-03-28 11:25:00-04:00
59.385,59.39,59.3705,59.38,1715,2024-03-28 11:26:00-04:00
59.38,59.39,59.38,59.38,1051,2024-03-28 11:27:00-04:00
59.37,59.37,59.34,59.34,639,2024-03-28 11:28:00-04:00
59.33,59.34,59.32,59.33,928,2024-03-28 11:29:00-04:00
59.32,59.32,59.3,59.3,2190,2024-03-28 11:30:00-04:00
59.3,59.3,59.27,59.275,855,2024-03-28 11:31:00-04:00
59.28,59.28,59.27,59.28,615,2024-03-28 11:32:00-04:00
59.29,59.3,59.28,59.295,2227,2024-03-28 11:33:00-04:00
59.31,59.31,59.31,59.31,100,2024-03-28 11:34:00-04:00
59.34,59.355,59.34,59.34,903,2024-03-28 11:35:00-04:00
59.35,59.35,59.35,59.35,200,2024-03-28 11:36:00-04:00
59.34,59.34,59.31,59.32,1031,2024-03-28 11:37:00-04:00
59.36,59.39,59.36,59.39,544,2024-03-28 11:38:00-04:00
59.4,59.405,59.37,59.37,1333,2024-03-28 11:39:00-04:00
59.38,59.4075,59.38,59.4075,1296,2024-03-28 11:40:00-04:00
59.38,59.39,59.33,59.33,905,2024-03-28 11:41:00-04:00
59.34,59.35,59.34,59.34,408,2024-03-28 11:42:00-04:00
59.33,59.345,59.33,59.345,400,2024-03-28 11:43:00-04:00
59.35,59.39,59.35,59.39,812,2024-03-28 11:44:00-04:00
59.38,59.38,59.36,59.36,3693,2024-03-28 11:45:00-04:00
59.36,59.36,59.35,59.35,1206,2024-03-28 11:46:00-04:00
59.35,59.35,59.34,59.35,939,2024-03-28 11:47:00-04:00
59.35,59.37,59.35,59.37,781,2024-03-28 11:48:00-04:00
59.375,59.375,59.35,59.355,800,2024-03-28 11:49:00-04:00
59.345,59.37,59.34,59.37,1599,2024-03-28 11:50:00-04:00
59.38,59.39,59.38,59.39,617,2024-03-28 11:51:00-04:00
59.41,59.42,59.4023,59.4023,838,2024-03-28 11:53:00-04:00
59.41,59.41,59.39,59.39,738,2024-03-28 11:54:00-04:00
59.39,59.42,59.39,59.42,810,2024-03-28 11:55:00-04:00
59.41,59.42,59.41,59.42,612,2024-03-28 11:56:00-04:00
59.43,59.431,59.43,59.431,426,2024-03-28 11:57:00-04:00
59.43,59.43,59.42,59.42,912,2024-03-28 11:58:00-04:00
59.42,59.42,59.405,59.405,698,2024-03-28 11:59:00-04:00
59.405,59.41,59.38,59.39,1299,2024-03-28 12:00:00-04:00
59.3954,59.42,59.3954,59.42,1030,2024-03-28 12:01:00-04:00
59.42,59.45,59.42,59.45,731,2024-03-28 12:02:00-04:00
59.465,59.465,59.46,59.46,200,2024-03-28 12:03:00-04:00
59.47,59.47,59.46,59.46,243,2024-03-28 12:04:00-04:00
59.46,59.49,59.46,59.49,2445,2024-03-28 12:05:00-04:00
59.5,59.52,59.5,59.5,2157,2024-03-28 12:06:00-04:00
59.49,59.5,59.49,59.5,1222,2024-03-28 12:07:00-04:00
59.5,59.5,59.5,59.5,100,2024-03-28 12:08:00-04:00
59.49,59.49,59.47,59.47,1127,2024-03-28 12:09:00-04:00
59.48,59.49,59.47,59.47,1612,2024-03-28 12:10:00-04:00
59.47,59.56,59.47,59.535,18148,2024-03-28 12:11:00-04:00
59.5325,59.54,59.53,59.535,803,2024-03-28 12:12:00-04:00
59.53,59.58,59.53,59.58,1219,2024-03-28 12:13:00-04:00
59.56,59.56,59.49,59.49,1498,2024-03-28 12:14:00-04:00
59.49,59.49,59.465,59.48,1002,2024-03-28 12:15:00-04:00
59.51,59.51,59.51,59.51,100,2024-03-28 12:16:00-04:00
