open,high,low,close,volume,datetime
95.47,95.47,95.47,95.47,200,2024-03-28 07:23:00-04:00
95.2,95.2,95.2,95.2,280,2024-03-28 07:52:00-04:00
95.15,95.15,95.15,95.15,405,2024-03-28 08:12:00-04:00
95.25,95.25,95.25,95.25,900,2024-03-28 08:36:00-04:00
95.26,95.26,95.26,95.26,100,2024-03-28 09:29:00-04:00
95.48,95.69,95.3,95.445,37381,2024-03-28 09:30:00-04:00
95.485,95.5,95.14,95.15,1300,2024-03-28 09:31:00-04:00
95.15,95.455,95.15,95.38,1659,2024-03-28 09:32:00-04:00
95.38,95.5,95.38,95.4683,969,2024-03-28 09:33:00-04:00
95.465,95.52,95.4,95.515,1400,2024-03-28 09:34:00-04:00
95.46,95.63,95.44,95.49,7173,2024-03-28 09:35:00-04:00
95.47,95.57,95.43,95.43,2529,2024-03-28 09:36:00-04:00
95.38,95.38,95.24,95.25,2497,2024-03-28 09:37:00-04:00
95.265,95.34,95.225,95.31,4734,2024-03-28 09:38:00-04:00
95.27,95.38,95.27,95.34,1620,2024-03-28 09:39:00-04:00
95.3674,95.45,95.3474,95.375,3341,2024-03-28 09:40:00-04:00
95.3482,95.465,95.3374,95.4282,2288,2024-03-28 09:41:00-04:00
95.475,95.505,95.44,95.505,1406,2024-03-28 09:42:00-04:00
95.495,95.6,95.445,95.6,8534,2024-03-28 09:43:00-04:00
95.68,95.68,95.61,95.665,2551,2024-03-28 09:44:00-04:00
95.64,95.82,95.625,95.775,22944,2024-03-28 09:45:00-04:00
95.77,95.95,95.695,95.95,26207,2024-03-28 09:46:00-04:00
95.96,95.99,95.9069,95.95,36316,2024-03-28 09:47:00-04:00
95.94,96.0,95.82,95.98,37688,2024-03-28 09:48:00-04:00
95.95,96.12,95.92,96.1,34364,2024-03-28 09:49:00-04:00
96.1,96.1,95.96,96.09,8982,2024-03-28 09:50:00-04:00
96.035,96.06,95.73,95.79,16082,2024-03-28 09:51:00-04:00
95.7814,96.02,95.77,95.98,10891,2024-03-28 09:52:00-04:00
95.94,95.98,95.885,95.9,2332,2024-03-28 09:53:00-04:00
95.93,95.95,95.62,95.8075,21778,2024-03-28 09:54:00-04:00
95.825,95.9,95.8225,95.8575,7914,2024-03-28 09:55:00-04:00
95.9,95.92,95.85,95.87,2301,2024-03-28 09:56:00-04:00
95.875,95.88,95.79,95.84,9973,2024-03-28 09:57:00-04:00
95.8275,95.89,95.79,95.86,3372,2024-03-28 09:58:00-04:00
95.86,95.86,95.74,95.77,1732,2024-03-28 09:59:00-04:00
95.69,95.755,95.56,95.595,4382,2024-03-28 10:00:00-04:00
95.545,95.655,95.5,95.62,5082,2024-03-28 10:01:00-04:00
95.59,95.71,95.57,95.705,3206,2024-03-28 10:02:00-04:00
95.71,95.745,95.66,95.7,3058,2024-03-28 10:03:00-04:00
95.73,95.78,95.66,95.665,3434,2024-03-28 10:04:00-04:00
95.665,95.745,95.61,95.69,4534,2024-03-28 10:05:00-04:00
95.69,95.69,95.58,95.58,43595,2024-03-28 10:06:00-04:00
95.56,95.565,95.42,95.515,5430,2024-03-28 10:07:00-04:00
95.515,95.53,95.43,95.53,1938,2024-03-28 10:08:00-04:00
95.47,95.545,95.44,95.5,4147,2024-03-28 10:09:00-04:00
95.49,95.55,95.48,95.515,14419,2024-03-28 10:10:00-04:00
95.51,95.715,95.51,95.65,7024,2024-03-28 10:11:00-04:00
95.65,95.65,95.57,95.635,3846,2024-03-28 10:12:00-04:00
95.615,95.705,95.615,95.705,3285,2024-03-28 10:13:00-04:00
95.65,95.65,95.63,95.63,700,2024-03-28 10:14:00-04:00
95.655,95.655,95.61,95.63,800,2024-03-28 10:15:00-04:00
95.6329,95.83,95.6329,95.83,3546,2024-03-28 10:16:00-04:00
95.81,95.81,95.6,95.705,29185,2024-03-28 10:17:00-04:00
95.64,95.71,95.62,95.64,1359,2024-03-28 10:18:00-04:00
95.64,95.67,95.56,95.57,35322,2024-03-28 10:19:00-04:00
95.585,95.59,95.56,95.585,1246,2024-03-28 10:20:00-04:00
95.55,95.63,95.54,95.5525,5911,2024-03-28 10:21:00-04:00
95.58,95.58,95.515,95.53,1307,2024-03-28 10:22:00-04:00
95.5,95.54,95.44,95.505,61622,2024-03-28 10:23:00-04:00
