open,high,low,close,volume,datetime
139.46,139.46,138.54,138.8034,9536,2024-03-28 09:30:00-04:00
138.64,138.725,138.37,138.49,3600,2024-03-28 09:31:00-04:00
138.475,138.475,138.475,138.475,200,2024-03-28 09:32:00-04:00
138.48,138.495,138.48,138.495,2780,2024-03-28 09:33:00-04:00
138.72,138.73,138.72,138.73,500,2024-03-28 09:34:00-04:00
138.54,138.54,138.54,138.54,100,2024-03-28 09:35:00-04:00
139.08,139.08,139.08,139.08,100,2024-03-28 09:36:00-04:00
139.09,139.205,139.01,139.04,735,2024-03-28 09:37:00-04:00
139.0,139.0,138.78,138.854,1847,2024-03-28 09:38:00-04:00
138.81,138.81,138.76,138.76,400,2024-03-28 09:39:00-04:00
138.87,138.9,138.815,138.89,900,2024-03-28 09:40:00-04:00
138.955,139.0899,138.955,138.965,300,2024-03-28 09:41:00-04:00
139.005,139.09,139.005,139.02,300,2024-03-28 09:42:00-04:00
139.16,139.2642,139.08,139.08,1581,2024-03-28 09:44:00-04:00
139.08,139.08,139.08,139.08,100,2024-03-28 09:46:00-04:00
139.02,139.1,138.93,139.08,10536,2024-03-28 09:49:00-04:00
139.1653,139.26,139.1653,139.26,1188,2024-03-28 09:50:00-04:00
139.39,139.39,139.39,139.39,300,2024-03-28 09:51:00-04:00
139.425,139.425,139.33,139.33,488,2024-03-28 09:52:00-04:00
139.45,139.54,139.45,139.53,600,2024-03-28 09:53:00-04:00
139.52,139.56,139.45,139.5539,2061,2024-03-28 09:54:00-04:00
139.4842,139.635,139.4842,139.5959,2108,2024-03-28 09:55:00-04:00
139.55,139.63,139.55,139.63,500,2024-03-28 09:56:00-04:00
139.74,139.75,139.74,139.75,1304,2024-03-28 09:57:00-04:00
139.775,139.89,139.775,139.89,1600,2024-03-28 09:58:00-04:00
139.89,139.9,139.7893,139.7893,1400,2024-03-28 09:59:00-04:00
139.82,139.82,139.61,139.62,2546,2024-03-28 10:00:00-04:00
139.66,139.81,139.66,139.74,3018,2024-03-28 10:01:00-04:00
139.71,139.7881,139.7,139.7,850,2024-03-28 10:02:00-04:00
139.75,139.78,139.685,139.685,3875,2024-03-28 10:03:00-04:00
139.64,139.64,139.53,139.605,1207,2024-03-28 10:04:00-04:00
139.61,139.65,139.605,139.65,627,2024-03-28 10:05:00-04:00
139.67,139.735,139.62,139.62,1036,2024-03-28 10:06:00-04:00
139.8,139.8,139.7,139.755,876,2024-03-28 10:07:00-04:00
139.7,139.785,139.7,139.785,1061,2024-03-28 10:08:00-04:00
139.7735,139.7735,139.7735,139.7735,150,2024-03-28 10:09:00-04:00
139.795,139.795,139.615,139.615,1539,2024-03-28 10:10:00-04:00
139.62,139.62,139.585,139.585,1022,2024-03-28 10:11:00-04:00
139.6,139.6,139.43,139.43,1000,2024-03-28 10:12:00-04:00
139.465,139.465,139.05,139.155,7820,2024-03-28 10:13:00-04:00
139.125,139.4,139.12,139.4,3311,2024-03-28 10:14:00-04:00
139.385,139.44,139.385,139.44,900,2024-03-28 10:15:00-04:00
139.49,139.49,139.33,139.405,1142,2024-03-28 10:16:00-04:00
139.434,139.434,139.16,139.16,1426,2024-03-28 10:17:00-04:00
139.34,139.34,139.34,139.34,125,2024-03-28 10:18:00-04:00
139.14,139.255,139.14,139.255,200,2024-03-28 10:19:00-04:00
139.15,139.15,139.14,139.14,359,2024-03-28 10:20:00-04:00
139.24,139.24,139.11,139.11,200,2024-03-28 10:21:00-04:00
139.16,139.22,139.16,139.22,400,2024-03-28 10:22:00-04:00
139.15,139.16,139.11,139.16,2060,2024-03-28 10:23:00-04:00
139.24,139.24,139.04,139.04,1520,2024-03-28 10:24:00-04:00
139.03,139.04,139.02,139.02,700,2024-03-28 10:25:00-04:00
139.05,139.05,139.02,139.05,400,2024-03-28 10:26:00-04:00
139.035,139.035,138.83,138.92,3100,2024-03-28 10:27:00-04:00
138.945,139.07,138.945,139.07,1456,2024-03-28 10:28:00-04:00
139.02,139.04,138.995,139.0,850,2024-03-28 10:29:00-04:00
139.0,139.01,138.9733,139.01,600,2024-03-28 10:31:00-04:00
138.96,139.0595,138.9025,139.0595,3045,2024-03-28 10:32:00-04:00
139.0,139.08,139.0,139.08,600,2024-03-28 10:33:00-04:00
139.13,139.16,139.06,139.16,700,2024-03-28 10:34:00-04:00
139.16,139.16,139.05,139.07,812,2024-03-28 10:35:00-04:00
139.055,139.13,138.99,139.13,1550,2024-03-28 10:36:00-04:00
139.055,139.055,138.99,138.99,1554,2024-03-28 10:38:00-04:00
138.985,138.99,138.94,138.99,1308,2024-03-28 10:39:00-04:00
139.01,139.085,139.01,139.06,635,2024-03-28 10:40:00-04:00
139.11,139.12,138.985,138.985,1872,2024-03-28 10:41:00-04:00
139.04,139.04,139.04,139.04,100,2024-03-28 10:42:00-04:00
139.02,139.06,138.96,138.99,3921,2024-03-28 10:43:00-04:00
138.97,139.06,138.92,138.96,4705,2024-03-28 10:44:00-04:00
138.955,138.99,138.82,138.9,1064,2024-03-28 10:47:00-04:00
138.795,138.855,138.795,138.855,406,2024-03-28 10:48:00-04:00
138.855,138.865,138.855,138.865,287,2024-03-28 10:49:00-04:00
138.875,138.92,138.79,138.79,1848,2024-03-28 10:50:00-04:00
138.79,138.83,138.765,138.82,700,2024-03-28 10:51:00-04:00
138.8,138.82,138.75,138.765,1671,2024-03-28 10:52:00-04:00
138.84,138.84,138.84,138.84,200,2024-03-28 10:53:00-04:00
138.84,138.97,138.84,138.97,2374,2024-03-28 10:54:00-04:00
138.99,139.0,138.97,138.985,1120,2024-03-28 10:55:00-04:00
139.005,139.12,139.005,139.12,6953,2024-03-28 10:56:00-04:00
139.085,139.11,139.085,139.11,300,2024-03-28 10:57:00-04:00
139.1,139.12,139.1,139.11,1200,2024-03-28 10:58:00-04:00
139.1,139.15,139.1,139.15,1122,2024-03-28 10:59:00-04:00
139.19,139.225,139.15,139.21,2045,2024-03-28 11:00:00-04:00
139.26,139.26,139.245,139.25,900,2024-03-28 11:01:00-04:00
