open,high,low,close,volume,datetime
199.9,200.6356,199.9,200.6356,4760,2021-11-23 09:30:00-05:00
200.44,200.44,199.2384,199.2384,1778,2021-11-23 09:31:00-05:00
199.29,199.43,199.035,199.305,2895,2021-11-23 09:32:00-05:00
199.69,199.69,199.69,199.69,140,2021-11-23 09:33:00-05:00
199.23,199.23,199.23,199.23,280,2021-11-23 09:34:00-05:00
199.145,199.145,198.665,198.715,814,2021-11-23 09:35:00-05:00
198.48,198.48,198.44,198.44,300,2021-11-23 09:37:00-05:00
198.84,198.85,198.47,198.66,1100,2021-11-23 09:39:00-05:00
198.86,198.87,198.85,198.85,582,2021-11-23 09:40:00-05:00
199.18,199.18,199.18,199.18,100,2021-11-23 09:41:00-05:00
198.981,199.5,198.981,199.3996,527,2021-11-23 09:42:00-05:00
199.24,199.5,199.24,199.495,489,2021-11-23 09:43:00-05:00
199.69,199.7,199.69,199.7,200,2021-11-23 09:45:00-05:00
199.5,199.51,199.5,199.51,200,2021-11-23 09:48:00-05:00
199.72,199.72,199.72,199.72,200,2021-11-23 09:49:00-05:00
199.885,199.885,199.885,199.885,143,2021-11-23 09:50:00-05:00
199.87,199.88,199.87,199.88,200,2021-11-23 09:51:00-05:00
199.845,200.07,199.845,200.07,278,2021-11-23 09:52:00-05:00
200.215,200.23,200.215,200.23,300,2021-11-23 09:55:00-05:00
200.94,200.94,200.67,200.69,446,2021-11-23 09:58:00-05:00
200.625,200.625,200.625,200.625,100,2021-11-23 09:59:00-05:00
200.5,200.5,200.5,200.5,401,2021-11-23 10:00:00-05:00
200.62,200.63,200.62,200.63,200,2021-11-23 10:01:00-05:00
200.57,200.61,200.57,200.61,200,2021-11-23 10:02:00-05:00
200.74,201.01,200.74,201.01,741,2021-11-23 10:03:00-05:00
200.8412,200.93,200.82,200.82,1762,2021-11-23 10:04:00-05:00
200.92,200.93,200.86,200.86,600,2021-11-23 10:06:00-05:00
200.91,200.91,200.91,200.91,100,2021-11-23 10:08:00-05:00
200.9,200.9,200.9,200.9,400,2021-11-23 10:09:00-05:00
201.0,201.08,200.97,200.97,400,2021-11-23 10:10:00-05:00
200.92,200.97,200.83,200.83,1000,2021-11-23 10:11:00-05:00
200.7,200.7,200.665,200.665,500,2021-11-23 10:13:00-05:00
200.5,200.5,200.02,200.045,1470,2021-11-23 10:14:00-05:00
200.15,200.21,200.075,200.075,866,2021-11-23 10:15:00-05:00
200.02,200.07,200.02,200.07,200,2021-11-23 10:17:00-05:00
199.85,199.85,199.85,199.85,100,2021-11-23 10:19:00-05:00
199.61,199.61,199.52,199.52,500,2021-11-23 10:21:00-05:00
199.5,199.69,199.5,199.645,2483,2021-11-23 10:22:00-05:00
199.52,199.635,199.52,199.635,200,2021-11-23 10:23:00-05:00
199.54,199.54,199.54,199.54,200,2021-11-23 10:25:00-05:00
199.27,199.32,199.26,199.32,300,2021-11-23 10:26:00-05:00
199.35,199.37,199.16,199.16,500,2021-11-23 10:27:00-05:00
199.1534,199.32,199.1534,199.235,1060,2021-11-23 10:29:00-05:00
199.13,199.13,199.13,199.13,100,2021-11-23 10:30:00-05:00
199.35,199.66,199.35,199.66,709,2021-11-23 10:31:00-05:00
199.6,199.6,199.57,199.6,690,2021-11-23 10:32:00-05:00
199.72,199.72,199.72,199.72,100,2021-11-23 10:34:00-05:00
199.81,199.98,199.81,199.98,688,2021-11-23 10:35:00-05:00
199.9401,199.9401,199.9401,199.9401,143,2021-11-23 10:36:00-05:00
200.13,200.13,199.78,199.96,1541,2021-11-23 10:38:00-05:00
200.02,200.02,200.01,200.01,200,2021-11-23 10:40:00-05:00
200.03,200.04,200.03,200.04,400,2021-11-23 10:41:00-05:00
199.95,199.95,199.95,199.95,100,2021-11-23 10:43:00-05:00
200.07,200.07,199.96,199.96,400,2021-11-23 10:44:00-05:00
200.13,200.275,200.13,200.275,350,2021-11-23 10:45:00-05:00
200.49,200.49,200.49,200.49,100,2021-11-23 10:46:00-05:00
200.59,200.59,200.59,200.59,100,2021-11-23 10:47:00-05:00
200.57,200.57,200.45,200.46,1000,2021-11-23 10:48:00-05:00
200.52,200.6,200.41,200.46,843,2021-11-23 10:51:00-05:00
200.55,200.63,200.55,200.58,1300,2021-11-23 10:55:00-05:00
200.44,200.5,200.41,200.41,500,2021-11-23 10:56:00-05:00
200.33,200.33,200.33,200.33,200,2021-11-23 10:57:00-05:00
200.27,200.38,200.27,200.38,1016,2021-11-23 10:58:00-05:00
200.4,200.4,200.26,200.26,434,2021-11-23 11:00:00-05:00
200.11,200.11,200.05,200.1,507,2021-11-23 11:01:00-05:00
200.12,200.25,200.12,200.25,992,2021-11-23 11:02:00-05:00
200.16,200.16,200.16,200.16,100,2021-11-23 11:03:00-05:00
200.15,200.25,200.15,200.25,798,2021-11-23 11:04:00-05:00
200.272,200.28,200.2,200.28,400,2021-11-23 11:08:00-05:00
200.28,200.28,200.28,200.28,180,2021-11-23 11:09:00-05:00
200.372,200.38,200.26,200.38,400,2021-11-23 11:11:00-05:00
200.49,200.52,200.49,200.52,400,2021-11-23 11:13:00-05:00
200.64,200.68,200.64,200.68,1094,2021-11-23 11:16:00-05:00
200.69,200.69,200.69,200.69,300,2021-11-23 11:17:00-05:00
200.73,200.73,200.67,200.67,393,2021-11-23 11:22:00-05:00
200.71,200.72,200.71,200.72,200,2021-11-23 11:23:00-05:00
200.79,200.79,200.79,200.79,212,2021-11-23 11:24:00-05:00
200.908,200.908,200.908,200.908,100,2021-11-23 11:26:00-05:00
200.91,201.03,200.91,201.03,303,2021-11-23 11:27:00-05:00
201.01,201.01,200.97,200.97,601,2021-11-23 11:28:00-05:00
200.82,200.84,200.82,200.84,500,2021-11-23 11:29:00-05:00
200.8,200.8,200.8,200.8,100,2021-11-23 11:30:00-05:00
200.885,200.885,200.885,200.885,100,2021-11-23 11:33:00-05:00
200.82,200.82,200.82,200.82,100,2021-11-23 11:35:00-05:00
200.91,200.94,200.8,200.8,500,2021-11-23 11:36:00-05:00
200.99,201.06,200.99,201.06,403,2021-11-23 11:38:00-05:00
201.06,201.09,201.06,201.09,300,2021-11-23 11:39:00-05:00
201.055,201.055,201.055,201.055,400,2021-11-23 11:40:00-05:00
201.16,201.24,201.16,201.24,341,2021-11-23 11:41:00-05:00
201.24,201.24,201.12,201.12,517,2021-11-23 11:42:00-05:00
201.07,201.07,201.07,201.07,100,2021-11-23 11:44:00-05:00
201.16,201.17,201.15,201.16,500,2021-11-23 11:45:00-05:00
201.192,201.27,201.19,201.27,564,2021-11-23 11:46:00-05:00
201.5,201.5,201.5,201.5,100,2021-11-23 11:47:00-05:00
201.38,201.38,201.38,201.38,730,2021-11-23 11:48:00-05:00
201.38,201.72,201.38,201.53,1500,2021-11-23 11:49:00-05:00
201.65,201.67,201.6,201.63,853,2021-11-23 11:50:00-05:00
201.81,201.81,201.67,201.67,1117,2021-11-23 11:51:00-05:00
201.67,201.67,201.67,201.67,200,2021-11-23 11:52:00-05:00
201.69,201.69,201.61,201.65,300,2021-11-23 11:56:00-05:00
201.74,201.805,201.74,201.805,865,2021-11-23 11:58:00-05:00
201.7706,201.7706,201.56,201.57,750,2021-11-23 11:59:00-05:00
201.63,201.64,201.63,201.64,400,2021-11-23 12:00:00-05:00
201.55,201.55,201.49,201.5,300,2021-11-23 12:01:00-05:00
201.4,201.4,201.29,201.29,200,2021-11-23 12:02:00-05:00
201.37,201.41,201.37,201.41,200,2021-11-23 12:05:00-05:00
201.424,201.48,201.424,201.46,500,2021-11-23 12:06:00-05:00
201.57,201.57,201.53,201.53,200,2021-11-23 12:07:00-05:00
201.5095,201.5095,201.5095,201.5095,100,2021-11-23 12:09:00-05:00
201.55,201.62,201.55,201.62,717,2021-11-23 12:10:00-05:00
201.65,201.66,201.65,201.65,969,2021-11-23 12:11:00-05:00
201.7,201.7,201.7,201.7,100,2021-11-23 12:12:00-05:00
201.7,201.7,201.7,201.7,314,2021-11-23 12:13:00-05:00
201.71,201.71,201.66,201.66,1007,2021-11-23 12:14:00-05:00
201.685,201.685,201.685,201.685,100,2021-11-23 12:16:00-05:00
201.76,201.962,201.76,201.962,800,2021-11-23 12:17:00-05:00
201.98,202.0,201.93,201.93,700,2021-11-23 12:20:00-05:00
201.945,201.945,201.935,201.935,1000,2021-11-23 12:21:00-05:00
201.945,202.012,201.945,201.945,400,2021-11-23 12:23:00-05:00
201.945,202.02,201.945,201.96,808,2021-11-23 12:24:00-05:00
201.995,201.995,201.995,201.995,300,2021-11-23 12:25:00-05:00
202.09,202.09,201.88,201.88,911,2021-11-23 12:26:00-05:00
201.91,201.91,201.91,201.91,100,2021-11-23 12:27:00-05:00
201.87,201.91,201.79,201.85,1000,2021-11-23 12:28:00-05:00
201.92,201.92,201.92,201.92,100,2021-11-23 12:29:00-05:00
201.72,201.9,201.72,201.9,388,2021-11-23 12:30:00-05:00
201.7,201.7,201.575,201.575,600,2021-11-23 12:33:00-05:00
201.43,201.43,201.43,201.43,500,2021-11-23 12:34:00-05:00
201.26,201.26,201.26,201.26,100,2021-11-23 12:35:00-05:00
201.25,201.31,201.25,201.31,200,2021-11-23 12:36:00-05:00
201.38,201.43,201.35,201.35,500,2021-11-23 12:37:00-05:00
201.36,201.36,201.345,201.345,200,2021-11-23 12:40:00-05:00
201.17,201.44,201.17,201.34,376,2021-11-23 12:41:00-05:00
201.25,201.25,201.25,201.25,100,2021-11-23 12:42:00-05:00
201.25,201.25,201.16,201.16,400,2021-11-23 12:43:00-05:00
201.12,201.12,201.12,201.12,102,2021-11-23 12:46:00-05:00
201.165,201.165,201.09,201.09,200,2021-11-23 12:47:00-05:00
200.91,200.91,200.91,200.91,100,2021-11-23 12:49:00-05:00
200.78,200.88,200.78,200.88,203,2021-11-23 12:50:00-05:00
200.74,200.74,200.74,200.74,100,2021-11-23 12:51:00-05:00
200.8911,200.8911,200.73,200.73,900,2021-11-23 12:52:00-05:00
200.69,200.69,200.69,200.69,100,2021-11-23 12:53:00-05:00
200.755,200.85,200.755,200.85,200,2021-11-23 12:54:00-05:00
200.76,200.76,200.69,200.69,201,2021-11-23 12:56:00-05:00
200.725,200.725,200.725,200.725,100,2021-11-23 12:57:00-05:00
200.66,200.66,200.54,200.54,400,2021-11-23 13:00:00-05:00
200.688,200.69,200.58,200.66,1093,2021-11-23 13:01:00-05:00
200.66,200.8,200.66,200.8,400,2021-11-23 13:02:00-05:00
200.71,200.71,200.71,200.71,100,2021-11-23 13:03:00-05:00
200.66,200.66,200.66,200.66,400,2021-11-23 13:04:00-05:00
200.71,200.75,200.71,200.71,345,2021-11-23 13:05:00-05:00
200.79,200.79,200.79,200.79,100,2021-11-23 13:07:00-05:00
200.8,200.8,200.8,200.8,263,2021-11-23 13:08:00-05:00
200.79,200.79,200.79,200.79,421,2021-11-23 13:11:00-05:00
200.74,200.82,200.74,200.82,1175,2021-11-23 13:12:00-05:00
200.87,200.88,200.87,200.88,484,2021-11-23 13:13:00-05:00
200.97,200.97,200.97,200.97,100,2021-11-23 13:14:00-05:00
200.84,200.84,200.83,200.84,644,2021-11-23 13:15:00-05:00
200.862,200.862,200.8,200.8,200,2021-11-23 13:16:00-05:00
200.87,200.93,200.87,200.93,495,2021-11-23 13:18:00-05:00
200.83,200.845,200.82,200.845,402,2021-11-23 13:20:00-05:00
200.77,200.77,200.73,200.73,326,2021-11-23 13:21:00-05:00
200.775,200.775,200.775,200.775,700,2021-11-23 13:22:00-05:00
200.76,200.76,200.76,200.76,100,2021-11-23 13:24:00-05:00
200.65,200.69,200.65,200.69,410,2021-11-23 13:25:00-05:00
200.665,200.665,200.635,200.635,200,2021-11-23 13:26:00-05:00
200.72,200.72,200.62,200.62,200,2021-11-23 13:27:00-05:00
200.6832,200.7,200.56,200.56,1820,2021-11-23 13:28:00-05:00
200.49,200.52,200.41,200.41,695,2021-11-23 13:29:00-05:00
200.33,200.37,200.29,200.35,1510,2021-11-23 13:30:00-05:00
200.34,200.34,200.34,200.34,137,2021-11-23 13:31:00-05:00
200.48,200.48,200.445,200.445,300,2021-11-23 13:33:00-05:00
200.41,200.41,200.41,200.41,100,2021-11-23 13:34:00-05:00
200.492,200.5,200.492,200.5,430,2021-11-23 13:35:00-05:00
200.51,200.51,200.51,200.51,100,2021-11-23 13:36:00-05:00
200.52,200.57,200.52,200.57,600,2021-11-23 13:37:00-05:00
200.52,200.64,200.5,200.64,500,2021-11-23 13:38:00-05:00
200.525,200.525,200.43,200.43,250,2021-11-23 13:40:00-05:00
200.4,200.4,200.4,200.4,100,2021-11-23 13:41:00-05:00
200.4,200.4,200.33,200.33,300,2021-11-23 13:42:00-05:00
200.44,200.55,200.41,200.41,2056,2021-11-23 13:43:00-05:00
200.5,200.5,200.5,200.5,100,2021-11-23 13:44:00-05:00
