open,high,low,close,volume,datetime
13.05,13.06,13.01,13.02,5322,2024-03-28 07:00:00-04:00
13.03,13.04,13.03,13.04,1500,2024-03-28 07:08:00-04:00
13.04,13.05,13.04,13.05,1343,2024-03-28 07:28:00-04:00
13.04,13.04,13.04,13.04,773,2024-03-28 07:55:00-04:00
13.03,13.03,13.03,13.03,2636,2024-03-28 07:59:00-04:00
13.03,13.03,13.03,13.03,3000,2024-03-28 08:05:00-04:00
13.03,13.03,13.03,13.03,750,2024-03-28 08:07:00-04:00
13.03,13.04,13.03,13.04,200,2024-03-28 08:11:00-04:00
13.06,13.06,13.06,13.06,2679,2024-03-28 08:12:00-04:00
13.0302,13.0302,13.0302,13.0302,5868,2024-03-28 08:13:00-04:00
13.03,13.03,13.03,13.03,6548,2024-03-28 08:14:00-04:00
13.03,13.03,13.03,13.03,400,2024-03-28 08:16:00-04:00
13.02,13.03,13.02,13.03,300,2024-03-28 08:21:00-04:00
13.03,13.03,13.03,13.03,100,2024-03-28 08:23:00-04:00
13.0201,13.0201,13.0201,13.0201,2000,2024-03-28 08:26:00-04:00
13.02,13.02,13.02,13.02,213,2024-03-28 08:28:00-04:00
13.0202,13.0202,13.0202,13.0202,3337,2024-03-28 08:29:00-04:00
13.03,13.03,13.03,13.03,750,2024-03-28 08:31:00-04:00
13.03,13.03,13.03,13.03,250,2024-03-28 08:33:00-04:00
13.03,13.03,13.03,13.03,1491,2024-03-28 08:34:00-04:00
13.03,13.03,13.02,13.02,2367,2024-03-28 08:36:00-04:00
13.0203,13.0203,13.0203,13.0203,200,2024-03-28 08:37:00-04:00
13.03,13.03,13.03,13.03,100,2024-03-28 08:39:00-04:00
13.02,13.02,13.0108,13.0108,2210,2024-03-28 08:42:00-04:00
13.01,13.01,13.01,13.01,4970,2024-03-28 08:43:00-04:00
13.01,13.01,13.01,13.01,2640,2024-03-28 08:45:00-04:00
13.02,13.02,13.01,13.01,963,2024-03-28 08:46:00-04:00
13.01,13.01,13.01,13.01,1000,2024-03-28 08:48:00-04:00
13.02,13.02,13.02,13.02,1000,2024-03-28 08:50:00-04:00
13.02,13.02,13.0199,13.02,2320,2024-03-28 08:51:00-04:00
13.01,13.01,13.01,13.01,388,2024-03-28 08:52:00-04:00
13.02,13.02,13.02,13.02,700,2024-03-28 08:54:00-04:00
13.01,13.01,13.01,13.01,186,2024-03-28 08:56:00-04:00
13.0,13.0,13.0,13.0,168,2024-03-28 08:57:00-04:00
13.01,13.01,13.01,13.01,1300,2024-03-28 08:58:00-04:00
13.01,13.02,13.01,13.02,200,2024-03-28 08:59:00-04:00
13.01,13.04,13.0,13.04,19179,2024-03-28 09:00:00-04:00
13.02,13.02,13.02,13.02,1000,2024-03-28 09:03:00-04:00
13.02,13.02,13.01,13.02,500,2024-03-28 09:06:00-04:00
13.03,13.03,13.03,13.03,1417,2024-03-28 09:07:00-04:00
13.03,13.03,13.0205,13.0205,1200,2024-03-28 09:08:00-04:00
13.03,13.03,13.03,13.03,943,2024-03-28 09:11:00-04:00
13.02,13.02,13.02,13.02,2000,2024-03-28 09:13:00-04:00
13.04,13.04,13.04,13.04,195,2024-03-28 09:14:00-04:00
13.03,13.03,13.03,13.03,400,2024-03-28 09:17:00-04:00
13.03,13.03,13.03,13.03,1291,2024-03-28 09:22:00-04:00
13.03,13.0301,13.03,13.0301,12800,2024-03-28 09:23:00-04:00
13.04,13.04,13.03,13.03,475,2024-03-28 09:24:00-04:00
13.04,13.04,13.011,13.011,3350,2024-03-28 09:25:00-04:00
13.03,13.04,13.03,13.03,597,2024-03-28 09:26:00-04:00
13.04,13.04,13.04,13.04,4000,2024-03-28 09:28:00-04:00
13.04,13.06,13.04,13.06,15972,2024-03-28 09:29:00-04:00
13.07,13.12,13.05,13.115,842484,2024-03-28 09:30:00-04:00
13.11,13.16,13.11,13.11,510630,2024-03-28 09:31:00-04:00
13.1199,13.16,13.115,13.1308,113475,2024-03-28 09:32:00-04:00
13.13,13.17,13.13,13.1601,167147,2024-03-28 09:33:00-04:00
13.17,13.2,13.16,13.1701,333207,2024-03-28 09:34:00-04:00
13.17,13.22,13.15,13.22,348118,2024-03-28 09:35:00-04:00
13.2198,13.24,13.2,13.22,239927,2024-03-28 09:36:00-04:00
13.2269,13.23,13.2,13.215,242895,2024-03-28 09:37:00-04:00
13.22,13.235,13.21,13.235,107832,2024-03-28 09:38:00-04:00
13.2357,13.27,13.22,13.225,496199,2024-03-28 09:39:00-04:00
13.225,13.24,13.2,13.235,133914,2024-03-28 09:40:00-04:00
13.235,13.235,13.22,13.23,78498,2024-03-28 09:41:00-04:00
13.225,13.23,13.21,13.225,117768,2024-03-28 09:42:00-04:00
13.2201,13.25,13.22,13.225,95377,2024-03-28 09:43:00-04:00
13.225,13.23,13.2036,13.215,119317,2024-03-28 09:44:00-04:00
13.213,13.25,13.195,13.2401,292993,2024-03-28 09:45:00-04:00
13.24,13.245,13.22,13.22,93873,2024-03-28 09:46:00-04:00
13.22,13.23,13.215,13.22,256709,2024-03-28 09:47:00-04:00
13.22,13.22,13.2,13.2102,441813,2024-03-28 09:48:00-04:00
13.215,13.22,13.195,13.21,190746,2024-03-28 09:49:00-04:00
13.215,13.24,13.21,13.22,115353,2024-03-28 09:50:00-04:00
13.225,13.23,13.21,13.211,49320,2024-03-28 09:51:00-04:00
13.2101,13.23,13.21,13.215,100720,2024-03-28 09:52:00-04:00
13.215,13.23,13.21,13.225,105465,2024-03-28 09:53:00-04:00
13.225,13.23,13.18,13.2,293133,2024-03-28 09:54:00-04:00
13.195,13.21,13.18,13.2032,262607,2024-03-28 09:55:00-04:00
13.2,13.22,13.2,13.22,94158,2024-03-28 09:56:00-04:00
13.215,13.22,13.19,13.2,104908,2024-03-28 09:57:00-04:00
13.195,13.21,13.19,13.195,184118,2024-03-28 09:58:00-04:00
13.2,13.21,13.19,13.21,98954,2024-03-28 09:59:00-04:00
13.21,13.21,13.19,13.195,195253,2024-03-28 10:00:00-04:00
13.195,13.22,13.1925,13.215,152108,2024-03-28 10:01:00-04:00
13.215,13.22,13.2,13.215,139951,2024-03-28 10:02:00-04:00
13.215,13.22,13.2,13.21,121216,2024-03-28 10:03:00-04:00
13.21,13.215,13.16,13.16,90354,2024-03-28 10:04:00-04:00
13.1641,13.17,13.15,13.1501,66384,2024-03-28 10:05:00-04:00
13.1501,13.16,13.13,13.135,178977,2024-03-28 10:06:00-04:00
13.135,13.16,13.135,13.1501,130650,2024-03-28 10:07:00-04:00
13.155,13.16,13.12,13.125,116849,2024-03-28 10:08:00-04:00
13.125,13.13,13.12,13.125,65801,2024-03-28 10:09:00-04:00
13.125,13.16,13.125,13.15,166269,2024-03-28 10:10:00-04:00
13.155,13.17,13.14,13.17,266757,2024-03-28 10:11:00-04:00
13.165,13.18,13.15,13.155,162035,2024-03-28 10:12:00-04:00
13.155,13.18,13.15,13.18,95473,2024-03-28 10:13:00-04:00
13.175,13.18,13.17,13.18,73290,2024-03-28 10:14:00-04:00
13.175,13.2,13.175,13.2,134896,2024-03-28 10:15:00-04:00
13.2,13.21,13.19,13.1999,199423,2024-03-28 10:16:00-04:00
13.195,13.2,13.17,13.18,71790,2024-03-28 10:17:00-04:00
13.175,13.19,13.17,13.175,207751,2024-03-28 10:18:00-04:00
13.175,13.19,13.17,13.175,184661,2024-03-28 10:19:00-04:00
13.175,13.175,13.15,13.15,133876,2024-03-28 10:20:00-04:00
13.1598,13.17,13.15,13.155,83839,2024-03-28 10:21:00-04:00
13.155,13.18,13.1518,13.175,119416,2024-03-28 10:22:00-04:00
13.17,13.18,13.17,13.18,99378,2024-03-28 10:23:00-04:00
13.18,13.18,13.16,13.16,122551,2024-03-28 10:24:00-04:00
13.16,13.18,13.16,13.18,65789,2024-03-28 10:25:00-04:00
13.175,13.19,13.17,13.19,77492,2024-03-28 10:26:00-04:00
13.185,13.2,13.18,13.1839,147324,2024-03-28 10:27:00-04:00
13.185,13.2,13.18,13.195,91256,2024-03-28 10:28:00-04:00
13.195,13.2,13.18,13.185,110588,2024-03-28 10:29:00-04:00
13.19,13.2,13.18,13.2,96068,2024-03-28 10:30:00-04:00
13.195,13.21,13.19,13.21,213535,2024-03-28 10:31:00-04:00
13.21,13.22,13.2,13.2001,246199,2024-03-28 10:32:00-04:00
13.205,13.21,13.2,13.21,70669,2024-03-28 10:33:00-04:00
13.2,13.21,13.2,13.205,34317,2024-03-28 10:34:00-04:00
13.2,13.21,13.18,13.1802,174541,2024-03-28 10:35:00-04:00
13.19,13.19,13.18,13.185,49409,2024-03-28 10:36:00-04:00
