open,high,low,close,volume,datetime
77.28,77.28,77.28,77.28,378,2024-03-28 08:12:00-04:00
77.68,77.93,77.68,77.68,811,2024-03-28 09:04:00-04:00
77.4,77.4,77.4,77.4,100,2024-03-28 09:28:00-04:00
77.38,77.63,77.3756,77.49,37765,2024-03-28 09:30:00-04:00
77.46,77.58,77.46,77.505,2546,2024-03-28 09:31:00-04:00
77.5,77.5499,77.48,77.52,1723,2024-03-28 09:32:00-04:00
77.47,77.47,77.32,77.33,2500,2024-03-28 09:33:00-04:00
77.35,77.35,77.29,77.29,1200,2024-03-28 09:34:00-04:00
77.25,77.25,77.15,77.15,4821,2024-03-28 09:35:00-04:00
77.18,77.27,77.18,77.26,2233,2024-03-28 09:36:00-04:00
77.23,77.34,77.23,77.31,4300,2024-03-28 09:37:00-04:00
77.31,77.31,77.25,77.26,8376,2024-03-28 09:38:00-04:00
77.23,77.26,77.21,77.21,8450,2024-03-28 09:39:00-04:00
77.22,77.27,77.21,77.27,16321,2024-03-28 09:40:00-04:00
77.257,77.29,77.23,77.24,2648,2024-03-28 09:41:00-04:00
77.25,77.34,77.25,77.34,4924,2024-03-28 09:42:00-04:00
77.35,77.38,77.35,77.38,1000,2024-03-28 09:43:00-04:00
77.38,77.42,77.37,77.42,1559,2024-03-28 09:44:00-04:00
77.39,77.39,77.34,77.34,1801,2024-03-28 09:45:00-04:00
77.33,77.34,77.28,77.28,1401,2024-03-28 09:46:00-04:00
77.28,77.35,77.28,77.35,900,2024-03-28 09:47:00-04:00
77.36,77.36,77.3,77.33,2188,2024-03-28 09:48:00-04:00
77.38,77.44,77.38,77.4,5301,2024-03-28 09:49:00-04:00
77.405,77.45,77.38,77.4382,10665,2024-03-28 09:50:00-04:00
77.455,77.52,77.455,77.51,4820,2024-03-28 09:51:00-04:00
77.505,77.515,77.46,77.46,2900,2024-03-28 09:52:00-04:00
77.48,77.52,77.47,77.5,2677,2024-03-28 09:53:00-04:00
77.52,77.54,77.5,77.5,1200,2024-03-28 09:54:00-04:00
77.5,77.56,77.48,77.53,27700,2024-03-28 09:55:00-04:00
77.53,77.61,77.5275,77.61,8900,2024-03-28 09:56:00-04:00
77.615,77.7,77.5925,77.6901,11942,2024-03-28 09:57:00-04:00
77.695,77.7,77.63,77.635,2219,2024-03-28 09:58:00-04:00
77.65,77.68,77.635,77.6375,2600,2024-03-28 09:59:00-04:00
77.66,77.72,77.64,77.7,5108,2024-03-28 10:00:00-04:00
77.8,77.83,77.8,77.83,1900,2024-03-28 10:01:00-04:00
77.85,77.92,77.85,77.92,3609,2024-03-28 10:02:00-04:00
77.93,77.97,77.92,77.945,9251,2024-03-28 10:03:00-04:00
77.95,77.965,77.91,77.93,13708,2024-03-28 10:04:00-04:00
77.94,77.94,77.85,77.85,4887,2024-03-28 10:05:00-04:00
77.85,77.89,77.835,77.89,7519,2024-03-28 10:06:00-04:00
77.9,77.9,77.84,77.84,3687,2024-03-28 10:07:00-04:00
77.84,77.92,77.84,77.92,3882,2024-03-28 10:08:00-04:00
77.91,77.91,77.89,77.89,2819,2024-03-28 10:09:00-04:00
77.895,77.96,77.895,77.95,5834,2024-03-28 10:10:00-04:00
77.94,77.98,77.92,77.98,7002,2024-03-28 10:11:00-04:00
77.98,78.01,77.96,77.97,13049,2024-03-28 10:12:00-04:00
77.975,77.975,77.94,77.95,10625,2024-03-28 10:13:00-04:00
77.94,78.01,77.94,78.01,8480,2024-03-28 10:14:00-04:00
78.01,78.075,78.01,78.055,18948,2024-03-28 10:15:00-04:00
78.06,78.13,78.05,78.1,11127,2024-03-28 10:16:00-04:00
78.09,78.21,78.08,78.21,7843,2024-03-28 10:17:00-04:00
78.21,78.25,78.18,78.185,24351,2024-03-28 10:18:00-04:00
