open,high,low,close,volume,datetime
287.88,287.88,287.88,287.88,156,2024-03-28 08:12:00-04:00
286.76,286.76,286.76,286.76,112,2024-03-28 08:43:00-04:00
286.4,286.4,286.4,286.4,110,2024-03-28 08:50:00-04:00
287.0,287.0,287.0,287.0,100,2024-03-28 09:20:00-04:00
287.28,287.28,286.46,287.055,47698,2024-03-28 09:30:00-04:00
287.045,288.0,287.045,288.0,11564,2024-03-28 09:31:00-04:00
288.14,288.14,287.695,287.695,1962,2024-03-28 09:32:00-04:00
287.72,287.74,287.59,287.69,800,2024-03-28 09:33:00-04:00
287.91,287.91,287.75,287.75,901,2024-03-28 09:34:00-04:00
287.7,287.7,287.46,287.5985,881,2024-03-28 09:35:00-04:00
287.6,287.7,287.545,287.545,1393,2024-03-28 09:36:00-04:00
287.68,287.85,287.63,287.81,3457,2024-03-28 09:37:00-04:00
288.0,288.0,287.775,287.87,2852,2024-03-28 09:38:00-04:00
287.705,288.14,287.705,287.995,1410,2024-03-28 09:39:00-04:00
288.09,288.09,287.765,287.91,9390,2024-03-28 09:40:00-04:00
287.89,287.94,287.86,287.86,1030,2024-03-28 09:41:00-04:00
287.86,288.37,287.86,288.35,2645,2024-03-28 09:42:00-04:00
288.31,288.735,288.31,288.51,5043,2024-03-28 09:43:00-04:00
288.73,288.9,288.66,288.66,3776,2024-03-28 09:44:00-04:00
288.6,288.74,288.59,288.59,1747,2024-03-28 09:45:00-04:00
288.77,288.78,288.229,288.3951,1976,2024-03-28 09:46:00-04:00
288.26,288.5215,288.26,288.5215,634,2024-03-28 09:47:00-04:00
288.1371,288.34,288.1371,288.31,3303,2024-03-28 09:49:00-04:00
288.2975,288.2975,288.16,288.16,2073,2024-03-28 09:50:00-04:00
288.02,288.02,287.86,287.86,1525,2024-03-28 09:51:00-04:00
287.91,288.0,287.66,287.95,5947,2024-03-28 09:52:00-04:00
287.725,287.86,287.725,287.76,882,2024-03-28 09:53:00-04:00
287.86,288.0,287.65,288.0,2432,2024-03-28 09:54:00-04:00
287.99,288.0,287.85,287.85,1491,2024-03-28 09:55:00-04:00
287.95,288.0,287.86,288.0,1887,2024-03-28 09:56:00-04:00
287.93,287.985,287.93,287.985,549,2024-03-28 09:57:00-04:00
287.99,288.0,287.85,287.91,2646,2024-03-28 09:58:00-04:00
287.82,287.85,287.79,287.825,983,2024-03-28 09:59:00-04:00
287.81,288.1745,287.77,288.1745,4679,2024-03-28 10:00:00-04:00
288.108,288.55,288.108,288.55,3296,2024-03-28 10:01:00-04:00
288.62,288.62,288.44,288.55,1885,2024-03-28 10:02:00-04:00
288.46,288.46,288.46,288.46,700,2024-03-28 10:03:00-04:00
288.535,288.535,288.26,288.41,1414,2024-03-28 10:04:00-04:00
288.51,288.7,288.47,288.66,2298,2024-03-28 10:06:00-04:00
288.59,288.84,288.53,288.81,4533,2024-03-28 10:07:00-04:00
288.95,289.05,288.935,288.96,7567,2024-03-28 10:08:00-04:00
288.89,288.89,288.53,288.53,2751,2024-03-28 10:09:00-04:00
288.515,288.5724,288.43,288.511,2029,2024-03-28 10:10:00-04:00
288.435,288.64,288.41,288.64,1841,2024-03-28 10:11:00-04:00
288.675,288.685,288.675,288.685,200,2024-03-28 10:12:00-04:00
288.74,288.8656,288.62,288.6832,2634,2024-03-28 10:13:00-04:00
288.5597,288.5597,288.535,288.535,700,2024-03-28 10:14:00-04:00
288.62,288.84,288.61,288.8337,633,2024-03-28 10:15:00-04:00
288.83,288.83,288.64,288.7525,1218,2024-03-28 10:16:00-04:00
