open,high,low,close,volume,datetime
36.07,36.07,36.07,36.07,4774,2021-11-23 09:22:00-05:00
36.36,36.71,36.36,36.48,13981,2021-11-23 09:30:00-05:00
36.48,36.61,36.48,36.57,2903,2021-11-23 09:31:00-05:00
36.63,36.68,36.59,36.59,3335,2021-11-23 09:32:00-05:00
36.55,36.69,36.54,36.68,4805,2021-11-23 09:33:00-05:00
36.52,36.55,36.51,36.545,550,2021-11-23 09:34:00-05:00
36.43,36.43,36.35,36.39,800,2021-11-23 09:35:00-05:00
36.38,36.41,36.26,36.26,1500,2021-11-23 09:36:00-05:00
36.24,36.31,36.24,36.31,1100,2021-11-23 09:37:00-05:00
36.285,36.325,36.27,36.325,700,2021-11-23 09:38:00-05:00
36.32,36.33,36.2,36.2,3700,2021-11-23 09:39:00-05:00
36.22,36.33,36.22,36.26,2400,2021-11-23 09:40:00-05:00
36.28,36.33,36.23,36.23,1618,2021-11-23 09:41:00-05:00
36.23,36.28,36.21,36.219,791,2021-11-23 09:42:00-05:00
36.18,36.18,36.18,36.18,300,2021-11-23 09:43:00-05:00
36.19,36.27,36.19,36.27,500,2021-11-23 09:44:00-05:00
36.29,36.305,36.29,36.29,550,2021-11-23 09:45:00-05:00
36.32,36.32,36.27,36.27,966,2021-11-23 09:46:00-05:00
36.24,36.26,36.24,36.26,300,2021-11-23 09:47:00-05:00
36.25,36.28,36.25,36.28,800,2021-11-23 09:48:00-05:00
36.33,36.36,36.29,36.3,1200,2021-11-23 09:49:00-05:00
36.3,36.3,36.26,36.26,600,2021-11-23 09:50:00-05:00
36.27,36.27,36.255,36.255,200,2021-11-23 09:51:00-05:00
36.25,36.28,36.19,36.19,2175,2021-11-23 09:52:00-05:00
36.2,36.22,36.1995,36.22,1100,2021-11-23 09:53:00-05:00
36.27,36.27,36.27,36.27,100,2021-11-23 09:54:00-05:00
36.3,36.38,36.3,36.3,1750,2021-11-23 09:55:00-05:00
36.32,36.32,36.32,36.32,100,2021-11-23 09:56:00-05:00
36.32,36.32,36.29,36.31,800,2021-11-23 09:57:00-05:00
36.31,36.33,36.29,36.33,700,2021-11-23 09:58:00-05:00
36.39,36.42,36.39,36.39,700,2021-11-23 09:59:00-05:00
36.415,36.415,36.4,36.4,831,2021-11-23 10:00:00-05:00
36.35,36.35,36.28,36.28,700,2021-11-23 10:02:00-05:00
36.29,36.33,36.29,36.33,600,2021-11-23 10:03:00-05:00
36.39,36.396,36.39,36.396,200,2021-11-23 10:04:00-05:00
36.38,36.38,36.38,36.38,100,2021-11-23 10:05:00-05:00
36.39,36.39,36.36,36.36,900,2021-11-23 10:06:00-05:00
36.36,36.36,36.31,36.31,421,2021-11-23 10:07:00-05:00
36.28,36.28,36.24,36.25,550,2021-11-23 10:08:00-05:00
36.22,36.24,36.22,36.2275,998,2021-11-23 10:09:00-05:00
36.25,36.3,36.22,36.29,5171,2021-11-23 10:10:00-05:00
36.28,36.28,36.27,36.27,713,2021-11-23 10:11:00-05:00
36.27,36.32,36.265,36.3,4246,2021-11-23 10:12:00-05:00
36.29,36.29,36.26,36.26,800,2021-11-23 10:13:00-05:00
36.24,36.27,36.24,36.25,2006,2021-11-23 10:14:00-05:00
36.25,36.32,36.25,36.315,1877,2021-11-23 10:15:00-05:00
36.29,36.29,36.26,36.26,1600,2021-11-23 10:16:00-05:00
36.27,36.28,36.25,36.25,1400,2021-11-23 10:17:00-05:00
36.24,36.27,36.24,36.27,1500,2021-11-23 10:18:00-05:00
36.29,36.3,36.29,36.29,1086,2021-11-23 10:19:00-05:00
36.2934,36.3,36.29,36.29,1290,2021-11-23 10:20:00-05:00
36.26,36.26,36.24,36.24,900,2021-11-23 10:21:00-05:00
36.25,36.25,36.21,36.21,700,2021-11-23 10:22:00-05:00
36.21,36.21,36.21,36.21,100,2021-11-23 10:23:00-05:00
36.2,36.21,36.2,36.21,407,2021-11-23 10:24:00-05:00
36.2,36.2,36.13,36.14,16799,2021-11-23 10:25:00-05:00
36.13,36.13,36.1,36.12,1350,2021-11-23 10:26:00-05:00
36.13,36.15,36.13,36.15,2062,2021-11-23 10:27:00-05:00
36.14,36.155,36.14,36.15,1015,2021-11-23 10:28:00-05:00
36.15,36.21,36.15,36.21,1107,2021-11-23 10:29:00-05:00
36.2,36.2,36.17,36.17,638,2021-11-23 10:30:00-05:00
36.19,36.24,36.19,36.24,1213,2021-11-23 10:31:00-05:00
36.245,36.245,36.22,36.22,1963,2021-11-23 10:32:00-05:00
36.21,36.21,36.19,36.19,1160,2021-11-23 10:33:00-05:00
36.19,36.19,36.15,36.15,1080,2021-11-23 10:34:00-05:00
36.13,36.14,36.13,36.14,300,2021-11-23 10:35:00-05:00
36.15,36.15,36.13,36.14,2178,2021-11-23 10:36:00-05:00
36.15,36.16,36.15,36.15,507,2021-11-23 10:37:00-05:00
36.13,36.13,36.11,36.11,800,2021-11-23 10:38:00-05:00
36.11,36.11,36.11,36.11,100,2021-11-23 10:39:00-05:00
36.11,36.13,36.11,36.1207,3620,2021-11-23 10:40:00-05:00
36.12,36.18,36.12,36.18,2100,2021-11-23 10:41:00-05:00
36.18,36.18,36.165,36.175,1500,2021-11-23 10:42:00-05:00
36.19,36.19,36.165,36.175,4279,2021-11-23 10:43:00-05:00
36.18,36.19,36.165,36.17,4058,2021-11-23 10:44:00-05:00
36.16,36.16,36.16,36.16,400,2021-11-23 10:45:00-05:00
36.165,36.18,36.165,36.17,600,2021-11-23 10:46:00-05:00
36.17,36.2,36.17,36.18,3272,2021-11-23 10:47:00-05:00
36.165,36.17,36.165,36.165,621,2021-11-23 10:48:00-05:00
36.16,36.165,36.16,36.165,250,2021-11-23 10:49:00-05:00
36.16,36.17,36.155,36.16,2855,2021-11-23 10:50:00-05:00
36.15,36.15,36.15,36.15,100,2021-11-23 10:51:00-05:00
36.14,36.14,36.12,36.12,416,2021-11-23 10:52:00-05:00
36.11,36.15,36.11,36.15,400,2021-11-23 10:53:00-05:00
36.16,36.18,36.16,36.18,600,2021-11-23 10:54:00-05:00
36.18,36.18,36.17,36.17,1464,2021-11-23 10:55:00-05:00
36.15,36.18,36.15,36.16,2100,2021-11-23 10:56:00-05:00
36.17,36.21,36.16,36.21,800,2021-11-23 10:57:00-05:00
36.2,36.22,36.2,36.22,555,2021-11-23 10:58:00-05:00
36.22,36.23,36.19,36.19,2368,2021-11-23 10:59:00-05:00
36.19,36.19,36.18,36.18,600,2021-11-23 11:00:00-05:00
36.18,36.18,36.16,36.17,1900,2021-11-23 11:01:00-05:00
36.16,36.16,36.15,36.15,608,2021-11-23 11:02:00-05:00
36.13,36.13,36.13,36.13,225,2021-11-23 11:03:00-05:00
36.1,36.15,36.09,36.15,4953,2021-11-23 11:04:00-05:00
36.15,36.2,36.149,36.149,14815,2021-11-23 11:05:00-05:00
36.14,36.16,36.14,36.15,1120,2021-11-23 11:06:00-05:00
36.15,36.155,36.15,36.15,800,2021-11-23 11:07:00-05:00
36.11,36.125,36.1,36.11,2639,2021-11-23 11:08:00-05:00
36.11,36.11,36.08,36.08,300,2021-11-23 11:09:00-05:00
36.1,36.11,36.1,36.11,1361,2021-11-23 11:10:00-05:00
36.06,36.06,36.06,36.06,269,2021-11-23 11:11:00-05:00
36.06,36.09,36.06,36.09,1800,2021-11-23 11:12:00-05:00
36.11,36.11,36.06,36.06,600,2021-11-23 11:13:00-05:00
36.069,36.069,36.06,36.06,500,2021-11-23 11:14:00-05:00
36.07,36.07,36.07,36.07,300,2021-11-23 11:16:00-05:00
36.095,36.115,36.095,36.1,2783,2021-11-23 11:17:00-05:00
36.095,36.095,36.085,36.085,570,2021-11-23 11:18:00-05:00
36.08,36.1,36.075,36.1,1900,2021-11-23 11:20:00-05:00
36.1,36.1,36.1,36.1,200,2021-11-23 11:21:00-05:00
36.11,36.12,36.09,36.09,2408,2021-11-23 11:22:00-05:00
36.09,36.11,36.09,36.105,4100,2021-11-23 11:23:00-05:00
36.11,36.12,36.11,36.11,1423,2021-11-23 11:24:00-05:00
36.11,36.18,36.11,36.152,9985,2021-11-23 11:25:00-05:00
36.15,36.15,36.12,36.14,1300,2021-11-23 11:26:00-05:00
36.14,36.14,36.14,36.14,600,2021-11-23 11:27:00-05:00
36.14,36.14,36.13,36.13,300,2021-11-23 11:28:00-05:00
36.12,36.12,36.1,36.105,1005,2021-11-23 11:29:00-05:00
36.095,36.11,36.095,36.1,411,2021-11-23 11:30:00-05:00
36.16,36.16,36.15,36.16,700,2021-11-23 11:31:00-05:00
36.17,36.17,36.125,36.14,2810,2021-11-23 11:32:00-05:00
36.15,36.16,36.13,36.13,800,2021-11-23 11:33:00-05:00
36.125,36.125,36.11,36.11,525,2021-11-23 11:34:00-05:00
36.115,36.12,36.115,36.12,1900,2021-11-23 11:35:00-05:00
36.11,36.11,36.075,36.08,600,2021-11-23 11:36:00-05:00
36.09,36.09,36.09,36.09,100,2021-11-23 11:37:00-05:00
36.13,36.15,36.13,36.15,672,2021-11-23 11:38:00-05:00
36.16,36.16,36.155,36.16,1100,2021-11-23 11:39:00-05:00
36.15,36.15,36.15,36.15,200,2021-11-23 11:40:00-05:00
36.145,36.16,36.14,36.15,2694,2021-11-23 11:41:00-05:00
36.15,36.17,36.14,36.17,2566,2021-11-23 11:42:00-05:00
36.16,36.18,36.15,36.17,5892,2021-11-23 11:43:00-05:00
36.16,36.19,36.16,36.17,1500,2021-11-23 11:44:00-05:00
36.17,36.23,36.17,36.23,600,2021-11-23 11:45:00-05:00
36.27,36.27,36.27,36.27,700,2021-11-23 11:46:00-05:00
36.28,36.29,36.28,36.29,300,2021-11-23 11:47:00-05:00
36.28,36.28,36.26,36.26,1100,2021-11-23 11:48:00-05:00
36.26,36.26,36.26,36.26,308,2021-11-23 11:49:00-05:00
36.26,36.26,36.24,36.255,500,2021-11-23 11:51:00-05:00
36.26,36.27,36.26,36.26,1230,2021-11-23 11:52:00-05:00
36.255,36.255,36.255,36.255,100,2021-11-23 11:53:00-05:00
36.26,36.26,36.255,36.255,300,2021-11-23 11:54:00-05:00
36.26,36.26,36.23,36.23,1792,2021-11-23 11:55:00-05:00
36.24,36.24,36.19,36.2,5377,2021-11-23 11:56:00-05:00
36.2,36.21,36.2,36.21,500,2021-11-23 11:57:00-05:00
36.21,36.22,36.21,36.22,514,2021-11-23 11:58:00-05:00
36.24,36.25,36.23,36.24,4760,2021-11-23 12:00:00-05:00
36.23,36.23,36.22,36.22,1700,2021-11-23 12:01:00-05:00
36.19,36.19,36.18,36.19,600,2021-11-23 12:02:00-05:00
36.163,36.18,36.16,36.18,4843,2021-11-23 12:03:00-05:00
36.185,36.19,36.185,36.19,200,2021-11-23 12:04:00-05:00
36.19,36.2,36.19,36.2,800,2021-11-23 12:05:00-05:00
36.21,36.21,36.21,36.21,300,2021-11-23 12:06:00-05:00
36.235,36.235,36.2,36.2,2783,2021-11-23 12:07:00-05:00
36.195,36.21,36.195,36.205,1538,2021-11-23 12:09:00-05:00
36.205,36.21,36.205,36.21,800,2021-11-23 12:10:00-05:00
36.205,36.205,36.205,36.205,100,2021-11-23 12:11:00-05:00
36.205,36.21,36.1831,36.1831,3567,2021-11-23 12:12:00-05:00
36.19,36.19,36.18,36.19,700,2021-11-23 12:13:00-05:00
36.2,36.2,36.17,36.17,200,2021-11-23 12:14:00-05:00
36.18,36.18,36.18,36.18,134,2021-11-23 12:15:00-05:00
36.2,36.2,36.2,36.2,400,2021-11-23 12:17:00-05:00
36.205,36.21,36.19,36.19,1155,2021-11-23 12:18:00-05:00
36.19,36.19,36.19,36.19,100,2021-11-23 12:19:00-05:00
36.2,36.2,36.2,36.2,343,2021-11-23 12:20:00-05:00
36.21,36.23,36.21,36.22,1492,2021-11-23 12:21:00-05:00
36.22,36.23,36.21,36.23,2405,2021-11-23 12:22:00-05:00
36.25,36.28,36.25,36.27,2324,2021-11-23 12:23:00-05:00
36.27,36.27,36.27,36.27,1503,2021-11-23 12:24:00-05:00
36.265,36.265,36.265,36.265,200,2021-11-23 12:25:00-05:00
36.26,36.265,36.26,36.265,300,2021-11-23 12:26:00-05:00
36.26,36.27,36.255,36.27,1566,2021-11-23 12:27:00-05:00
36.26,36.27,36.25,36.25,1500,2021-11-23 12:28:00-05:00
36.26,36.26,36.26,36.26,200,2021-11-23 12:29:00-05:00
36.27,36.27,36.27,36.27,300,2021-11-23 12:30:00-05:00
36.26,36.26,36.255,36.255,300,2021-11-23 12:31:00-05:00
36.255,36.255,36.25,36.25,1800,2021-11-23 12:33:00-05:00
36.25,36.25,36.24,36.25,1000,2021-11-23 12:34:00-05:00
36.24,36.26,36.23,36.25,2213,2021-11-23 12:35:00-05:00
