open,high,low,close,volume,datetime
102.01,102.285,102.01,102.25,5807,2024-03-28 09:30:00-04:00
102.21,102.21,102.21,102.21,400,2024-03-28 09:31:00-04:00
102.21,102.375,102.21,102.26,2000,2024-03-28 09:32:00-04:00
102.25,102.335,102.25,102.335,300,2024-03-28 09:33:00-04:00
102.3,102.43,102.3,102.3,800,2024-03-28 09:34:00-04:00
102.295,102.425,102.295,102.36,1176,2024-03-28 09:35:00-04:00
102.36,102.485,102.3301,102.47,1405,2024-03-28 09:36:00-04:00
102.48,102.495,102.48,102.495,657,2024-03-28 09:37:00-04:00
102.5,102.56,102.38,102.38,800,2024-03-28 09:38:00-04:00
102.45,102.515,102.45,102.475,1932,2024-03-28 09:39:00-04:00
102.5528,102.7,102.49,102.7,3496,2024-03-28 09:40:00-04:00
102.6868,102.719,102.6798,102.719,616,2024-03-28 09:41:00-04:00
102.719,102.72,102.719,102.72,458,2024-03-28 09:42:00-04:00
102.665,102.665,102.665,102.665,200,2024-03-28 09:43:00-04:00
102.665,102.765,102.665,102.765,500,2024-03-28 09:44:00-04:00
102.65,102.725,102.65,102.725,500,2024-03-28 09:45:00-04:00
102.73,102.73,102.61,102.7,1169,2024-03-28 09:46:00-04:00
102.665,102.84,102.665,102.84,400,2024-03-28 09:47:00-04:00
102.66,102.66,102.65,102.65,377,2024-03-28 09:48:00-04:00
102.705,102.78,102.705,102.78,210,2024-03-28 09:49:00-04:00
102.78,102.78,102.65,102.65,453,2024-03-28 09:50:00-04:00
102.54,102.57,102.47,102.52,1088,2024-03-28 09:51:00-04:00
102.405,102.405,102.405,102.405,100,2024-03-28 09:52:00-04:00
102.5,102.51,102.485,102.485,500,2024-03-28 09:53:00-04:00
102.34,102.38,102.34,102.38,400,2024-03-28 09:54:00-04:00
102.38,102.41,102.38,102.41,237,2024-03-28 09:55:00-04:00
102.46,102.5,102.46,102.5,200,2024-03-28 09:56:00-04:00
102.46,102.52,102.46,102.52,300,2024-03-28 09:57:00-04:00
102.6,102.6,102.6,102.6,100,2024-03-28 09:58:00-04:00
102.58,102.58,102.58,102.58,100,2024-03-28 09:59:00-04:00
102.56,102.56,102.55,102.55,778,2024-03-28 10:00:00-04:00
102.59,102.76,102.59,102.76,400,2024-03-28 10:01:00-04:00
102.76,102.76,102.76,102.76,100,2024-03-28 10:02:00-04:00
102.79,102.79,102.72,102.76,729,2024-03-28 10:03:00-04:00
102.76,102.83,102.76,102.83,250,2024-03-28 10:04:00-04:00
102.825,102.87,102.75,102.75,300,2024-03-28 10:06:00-04:00
102.805,102.805,102.805,102.805,100,2024-03-28 10:07:00-04:00
102.74,102.785,102.74,102.75,900,2024-03-28 10:08:00-04:00
102.785,102.88,102.78,102.88,982,2024-03-28 10:09:00-04:00
102.85,102.85,102.84,102.84,400,2024-03-28 10:10:00-04:00
102.82,102.82,102.82,102.82,100,2024-03-28 10:11:00-04:00
102.79,102.82,102.79,102.82,208,2024-03-28 10:12:00-04:00
102.87,102.87,102.87,102.87,200,2024-03-28 10:13:00-04:00
102.86,102.92,102.86,102.9,500,2024-03-28 10:15:00-04:00
102.84,102.84,102.84,102.84,200,2024-03-28 10:16:00-04:00
102.86,102.86,102.8,102.8,1207,2024-03-28 10:17:00-04:00
102.83,102.83,102.78,102.78,456,2024-03-28 10:18:00-04:00
102.83,102.83,102.8,102.8,300,2024-03-28 10:19:00-04:00
102.86,102.86,102.82,102.82,300,2024-03-28 10:20:00-04:00
102.87,102.9,102.87,102.9,385,2024-03-28 10:21:00-04:00
102.97,102.97,102.97,102.97,100,2024-03-28 10:22:00-04:00
103.0,103.0,102.99,102.99,1137,2024-03-28 10:23:00-04:00
102.97,103.01,102.97,102.97,300,2024-03-28 10:25:00-04:00
102.98,102.98,102.98,102.98,300,2024-03-28 10:26:00-04:00
103.01,103.1,103.01,103.1,2048,2024-03-28 10:27:00-04:00
103.04,103.04,103.04,103.04,100,2024-03-28 10:28:00-04:00
103.045,103.045,103.045,103.045,200,2024-03-28 10:29:00-04:00
103.08,103.13,103.055,103.055,959,2024-03-28 10:30:00-04:00
103.09,103.13,103.09,103.13,495,2024-03-28 10:31:00-04:00
103.14,103.19,103.13,103.13,876,2024-03-28 10:32:00-04:00
103.13,103.13,103.09,103.09,740,2024-03-28 10:33:00-04:00
103.065,103.12,103.065,103.08,400,2024-03-28 10:34:00-04:00
103.095,103.095,102.96,102.96,976,2024-03-28 10:35:00-04:00
102.95,102.98,102.95,102.96,1407,2024-03-28 10:36:00-04:00
102.97,103.01,102.97,102.97,300,2024-03-28 10:37:00-04:00
103.03,103.03,103.0,103.0,200,2024-03-28 10:38:00-04:00
102.97,102.97,102.97,102.97,200,2024-03-28 10:39:00-04:00
102.96,102.96,102.96,102.96,100,2024-03-28 10:40:00-04:00
