open,high,low,close,volume,datetime
69.84,69.84,69.84,69.84,200,2024-03-28 07:25:00-04:00
69.66,69.66,69.66,69.66,396,2024-03-28 08:12:00-04:00
69.86,70.025,69.84,69.93,53224,2024-03-28 09:30:00-04:00
69.92,70.085,69.91,69.92,3723,2024-03-28 09:31:00-04:00
69.9,70.0,69.82,69.95,3209,2024-03-28 09:32:00-04:00
69.97,70.07,69.935,70.07,2990,2024-03-28 09:33:00-04:00
70.07,70.15,70.03,70.096,6515,2024-03-28 09:34:00-04:00
70.06,70.18,70.06,70.12,2860,2024-03-28 09:35:00-04:00
70.14,70.185,70.14,70.14,3009,2024-03-28 09:36:00-04:00
70.13,70.21,70.12,70.14,4527,2024-03-28 09:37:00-04:00
70.09,70.18,70.08,70.15,3469,2024-03-28 09:38:00-04:00
70.16,70.3,70.15,70.23,7906,2024-03-28 09:39:00-04:00
70.25,70.3,70.19,70.23,7782,2024-03-28 09:40:00-04:00
70.22,70.24,70.2,70.22,3074,2024-03-28 09:41:00-04:00
70.21,70.23,70.18,70.21,3459,2024-03-28 09:42:00-04:00
70.2,70.2,70.13,70.13,1951,2024-03-28 09:43:00-04:00
70.16,70.18,70.11,70.115,7477,2024-03-28 09:44:00-04:00
70.115,70.17,70.015,70.015,16087,2024-03-28 09:45:00-04:00
70.02,70.045,69.97,69.99,6949,2024-03-28 09:46:00-04:00
70.0,70.09,69.99,70.08,5931,2024-03-28 09:47:00-04:00
70.08,70.1,70.01,70.06,19763,2024-03-28 09:48:00-04:00
70.06,70.06,70.0106,70.045,2208,2024-03-28 09:49:00-04:00
70.02,70.0401,70.01,70.0401,6314,2024-03-28 09:50:00-04:00
70.05,70.09,69.99,70.03,10978,2024-03-28 09:51:00-04:00
70.02,70.02,69.97,69.97,3400,2024-03-28 09:52:00-04:00
69.97,69.99,69.94,69.96,3374,2024-03-28 09:53:00-04:00
69.95,69.95,69.89,69.915,2618,2024-03-28 09:54:00-04:00
69.92,69.995,69.92,69.99,5055,2024-03-28 09:55:00-04:00
70.0,70.07,70.0,70.06,1661,2024-03-28 09:56:00-04:00
70.07,70.09,70.025,70.09,7659,2024-03-28 09:57:00-04:00
70.085,70.0999,70.048,70.05,2452,2024-03-28 09:58:00-04:00
70.05,70.06,70.03,70.06,4904,2024-03-28 09:59:00-04:00
70.075,70.08,70.03,70.05,5737,2024-03-28 10:00:00-04:00
70.07,70.15,70.07,70.14,6259,2024-03-28 10:01:00-04:00
70.15,70.16,70.11,70.12,4589,2024-03-28 10:02:00-04:00
70.12,70.12,70.07,70.07,4489,2024-03-28 10:03:00-04:00
70.06,70.13,70.02,70.13,6434,2024-03-28 10:04:00-04:00
70.14,70.17,70.11,70.17,9717,2024-03-28 10:05:00-04:00
70.17,70.18,70.14,70.15,10538,2024-03-28 10:06:00-04:00
70.18,70.21,70.175,70.21,3382,2024-03-28 10:07:00-04:00
70.2,70.22,70.165,70.17,7447,2024-03-28 10:08:00-04:00
70.16,70.21,70.15,70.165,12705,2024-03-28 10:09:00-04:00
70.17,70.23,70.16,70.2,10364,2024-03-28 10:10:00-04:00
70.2,70.25,70.199,70.25,5731,2024-03-28 10:11:00-04:00
70.24,70.27,70.24,70.27,3259,2024-03-28 10:12:00-04:00
70.27,70.27,70.24,70.24,4434,2024-03-28 10:13:00-04:00
70.23,70.2599,70.22,70.2324,5706,2024-03-28 10:14:00-04:00
70.22,70.28,70.22,70.25,12299,2024-03-28 10:15:00-04:00
70.26,70.32,70.24,70.32,6715,2024-03-28 10:16:00-04:00
70.32,70.32,70.26,70.27,4112,2024-03-28 10:17:00-04:00
70.27,70.29,70.27,70.28,1328,2024-03-28 10:18:00-04:00
70.27,70.27,70.22,70.2437,3179,2024-03-28 10:19:00-04:00
70.25,70.25,70.22,70.22,1975,2024-03-28 10:20:00-04:00
70.21,70.23,70.21,70.225,3216,2024-03-28 10:21:00-04:00
70.23,70.28,70.2158,70.27,9515,2024-03-28 10:22:00-04:00
70.265,70.3199,70.23,70.255,77654,2024-03-28 10:23:00-04:00
70.255,70.3,70.24,70.27,34917,2024-03-28 10:24:00-04:00
70.26,70.29,70.23,70.28,20977,2024-03-28 10:25:00-04:00
70.28,70.34,70.27,70.3,10413,2024-03-28 10:26:00-04:00
70.31,70.32,70.27,70.28,21522,2024-03-28 10:27:00-04:00
70.27,70.295,70.26,70.28,17973,2024-03-28 10:28:00-04:00
70.285,70.3,70.26,70.28,10650,2024-03-28 10:29:00-04:00
70.285,70.295,70.28,70.28,7136,2024-03-28 10:30:00-04:00
70.28,70.34,70.275,70.33,19166,2024-03-28 10:31:00-04:00
70.3337,70.355,70.32,70.32,6354,2024-03-28 10:32:00-04:00
70.31,70.31,70.28,70.28,6573,2024-03-28 10:33:00-04:00
70.28,70.295,70.275,70.29,29942,2024-03-28 10:34:00-04:00
70.29,70.34,70.29,70.33,7183,2024-03-28 10:35:00-04:00
70.33,70.33,70.2883,70.3,2750,2024-03-28 10:36:00-04:00
70.31,70.32,70.29,70.32,2701,2024-03-28 10:37:00-04:00
70.325,70.45,70.325,70.45,11375,2024-03-28 10:38:00-04:00
70.47,70.52,70.46,70.52,18304,2024-03-28 10:39:00-04:00
70.5106,70.57,70.5106,70.5603,7390,2024-03-28 10:40:00-04:00
70.58,70.66,70.58,70.66,3116,2024-03-28 10:41:00-04:00
70.66,70.66,70.56,70.56,22601,2024-03-28 10:42:00-04:00
70.57,70.575,70.54,70.57,9009,2024-03-28 10:43:00-04:00
70.56,70.575,70.46,70.48,14669,2024-03-28 10:44:00-04:00
70.49,70.51,70.49,70.51,6100,2024-03-28 10:45:00-04:00
70.5099,70.51,70.49,70.51,831,2024-03-28 10:46:00-04:00
70.49,70.4925,70.455,70.48,4029,2024-03-28 10:47:00-04:00
70.48,70.48,70.47,70.47,756,2024-03-28 10:48:00-04:00
