open,high,low,close,volume,datetime
33.02,33.02,33.02,33.02,540,2024-03-28 08:12:00-04:00
33.01,33.02,33.01,33.02,300,2024-03-28 08:43:00-04:00
33.1,33.165,33.06,33.16,118341,2024-03-28 09:30:00-04:00
33.17,33.23,33.125,33.155,13445,2024-03-28 09:31:00-04:00
33.12,33.16,33.12,33.15,2916,2024-03-28 09:32:00-04:00
33.14,33.2899,33.14,33.27,15977,2024-03-28 09:33:00-04:00
33.29,33.3202,33.29,33.32,7109,2024-03-28 09:34:00-04:00
33.3,33.32,33.269,33.27,5580,2024-03-28 09:35:00-04:00
33.26,33.265,33.26,33.265,720,2024-03-28 09:36:00-04:00
33.27,33.28,33.2,33.2,3181,2024-03-28 09:37:00-04:00
33.2,33.2,33.16,33.18,7685,2024-03-28 09:38:00-04:00
33.17,33.18,33.145,33.145,2334,2024-03-28 09:39:00-04:00
33.1401,33.1401,33.13,33.13,2702,2024-03-28 09:40:00-04:00
33.135,33.2,33.135,33.2,2448,2024-03-28 09:41:00-04:00
33.2,33.22,33.19,33.19,1623,2024-03-28 09:42:00-04:00
33.19,33.2,33.185,33.2,2231,2024-03-28 09:43:00-04:00
33.2,33.23,33.16,33.16,4539,2024-03-28 09:44:00-04:00
33.165,33.185,33.135,33.185,2820,2024-03-28 09:45:00-04:00
33.18,33.185,33.15,33.16,3760,2024-03-28 09:46:00-04:00
33.165,33.19,33.165,33.17,1675,2024-03-28 09:47:00-04:00
33.16,33.17,33.15,33.15,400,2024-03-28 09:48:00-04:00
33.13,33.13,33.115,33.12,3370,2024-03-28 09:49:00-04:00
33.11,33.11,33.09,33.095,4885,2024-03-28 09:50:00-04:00
33.1,33.1,33.07,33.08,2823,2024-03-28 09:51:00-04:00
33.08,33.08,33.065,33.065,800,2024-03-28 09:52:00-04:00
33.05,33.055,33.04,33.05,4219,2024-03-28 09:53:00-04:00
33.0402,33.07,33.0402,33.06,1577,2024-03-28 09:54:00-04:00
33.05,33.05,33.03,33.03,3726,2024-03-28 09:55:00-04:00
33.04,33.065,33.04,33.055,3284,2024-03-28 09:56:00-04:00
33.06,33.075,33.06,33.07,1657,2024-03-28 09:57:00-04:00
33.05,33.058,33.045,33.058,1301,2024-03-28 09:58:00-04:00
33.06,33.06,33.05,33.05,3479,2024-03-28 09:59:00-04:00
33.05,33.07,33.05,33.065,12774,2024-03-28 10:00:00-04:00
33.07,33.12,33.07,33.118,9769,2024-03-28 10:01:00-04:00
33.11,33.11,33.085,33.11,3902,2024-03-28 10:02:00-04:00
33.125,33.125,33.11,33.11,1872,2024-03-28 10:03:00-04:00
33.095,33.105,33.095,33.105,10973,2024-03-28 10:04:00-04:00
33.11,33.13,33.11,33.12,3728,2024-03-28 10:05:00-04:00
33.125,33.145,33.12,33.135,5558,2024-03-28 10:06:00-04:00
33.135,33.135,33.105,33.105,13242,2024-03-28 10:07:00-04:00
33.1,33.11,33.095,33.105,1289,2024-03-28 10:08:00-04:00
33.1,33.1,33.08,33.09,1227,2024-03-28 10:09:00-04:00
33.085,33.085,33.065,33.07,3522,2024-03-28 10:10:00-04:00
33.065,33.07,33.045,33.055,10780,2024-03-28 10:11:00-04:00
33.055,33.08,33.05,33.07,5635,2024-03-28 10:12:00-04:00
33.065,33.08,33.04,33.04,4267,2024-03-28 10:13:00-04:00
33.04,33.06,33.025,33.06,3264,2024-03-28 10:14:00-04:00
33.06,33.069,33.05,33.055,2522,2024-03-28 10:15:00-04:00
33.05,33.07,33.04,33.045,3973,2024-03-28 10:16:00-04:00
33.04,33.04,33.02,33.025,4216,2024-03-28 10:17:00-04:00
33.025,33.025,33.0,33.01,3360,2024-03-28 10:18:00-04:00
33.005,33.015,32.99,32.99,18918,2024-03-28 10:19:00-04:00
32.99,33.0,32.985,32.995,1951,2024-03-28 10:20:00-04:00
33.0,33.01,33.0,33.01,1816,2024-03-28 10:21:00-04:00
33.005,33.015,32.97,33.015,24027,2024-03-28 10:22:00-04:00
33.02,33.02,33.005,33.015,2300,2024-03-28 10:23:00-04:00
33.02,33.02,33.0,33.01,2522,2024-03-28 10:24:00-04:00
33.005,33.005,32.995,32.995,1620,2024-03-28 10:25:00-04:00
32.995,33.0,32.98,32.98,5563,2024-03-28 10:26:00-04:00
32.98,32.98,32.97,32.975,4040,2024-03-28 10:27:00-04:00
32.975,32.99,32.975,32.9762,3543,2024-03-28 10:28:00-04:00
32.975,32.98,32.97,32.975,884,2024-03-28 10:29:00-04:00
32.98,33.0001,32.98,33.0001,4293,2024-03-28 10:30:00-04:00
33.01,33.02,33.005,33.02,1367,2024-03-28 10:31:00-04:00
33.02,33.02,32.995,32.995,4348,2024-03-28 10:32:00-04:00
33.0,33.01,32.99,33.01,1609,2024-03-28 10:33:00-04:00
33.005,33.02,33.005,33.02,1742,2024-03-28 10:34:00-04:00
33.01,33.04,33.01,33.03,6219,2024-03-28 10:35:00-04:00
33.025,33.03,33.015,33.03,4027,2024-03-28 10:36:00-04:00
33.025,33.03,33.025,33.03,807,2024-03-28 10:37:00-04:00
33.03,33.03,33.02,33.025,1297,2024-03-28 10:38:00-04:00
33.03,33.03,33.025,33.025,1843,2024-03-28 10:39:00-04:00
33.03,33.035,33.015,33.02,6771,2024-03-28 10:40:00-04:00
33.02,33.03,33.02,33.025,1414,2024-03-28 10:41:00-04:00
33.03,33.03,33.005,33.005,22888,2024-03-28 10:42:00-04:00
33.005,33.005,33.0,33.005,889,2024-03-28 10:43:00-04:00
33.005,33.005,32.99,32.99,1500,2024-03-28 10:44:00-04:00
32.995,33.02,32.995,33.015,7252,2024-03-28 10:45:00-04:00
33.01,33.03,33.01,33.03,6665,2024-03-28 10:46:00-04:00
33.035,33.04,33.025,33.025,1501,2024-03-28 10:47:00-04:00
33.0275,33.03,33.02,33.025,415,2024-03-28 10:48:00-04:00
33.025,33.0575,33.02,33.055,3068,2024-03-28 10:49:00-04:00
33.05,33.06,33.04,33.06,2043,2024-03-28 10:50:00-04:00
33.06,33.06,33.05,33.06,1256,2024-03-28 10:51:00-04:00
33.05,33.06,33.045,33.055,4744,2024-03-28 10:52:00-04:00
33.05,33.05,33.045,33.045,1925,2024-03-28 10:53:00-04:00
33.045,33.0475,33.045,33.0475,1733,2024-03-28 10:54:00-04:00
33.05,33.05,33.03,33.03,3616,2024-03-28 10:55:00-04:00
33.04,33.04,33.035,33.035,700,2024-03-28 10:56:00-04:00
33.035,33.04,33.03,33.04,1600,2024-03-28 10:57:00-04:00
33.035,33.04,33.03,33.035,1234,2024-03-28 10:58:00-04:00
33.04,33.04,33.015,33.015,4953,2024-03-28 10:59:00-04:00
33.015,33.015,33.01,33.015,500,2024-03-28 11:00:00-04:00
33.0101,33.015,33.01,33.015,4502,2024-03-28 11:01:00-04:00
33.015,33.02,33.015,33.015,3114,2024-03-28 11:02:00-04:00
33.02,33.04,33.02,33.035,6260,2024-03-28 11:03:00-04:00
33.0375,33.05,33.035,33.05,1633,2024-03-28 11:04:00-04:00
33.045,33.06,33.045,33.06,3611,2024-03-28 11:05:00-04:00
33.06,33.07,33.055,33.055,3252,2024-03-28 11:06:00-04:00
33.06,33.06,33.045,33.045,1613,2024-03-28 11:07:00-04:00
33.04,33.045,33.04,33.045,503,2024-03-28 11:08:00-04:00
33.0307,33.035,33.0307,33.035,2413,2024-03-28 11:09:00-04:00
33.03,33.03,33.02,33.02,1887,2024-03-28 11:10:00-04:00
33.03,33.03,33.02,33.025,1000,2024-03-28 11:11:00-04:00
33.025,33.04,33.025,33.04,4306,2024-03-28 11:12:00-04:00
33.04,33.05,33.015,33.015,8423,2024-03-28 11:13:00-04:00
33.01,33.03,33.01,33.03,2432,2024-03-28 11:14:00-04:00
33.03,33.045,33.025,33.03,3950,2024-03-28 11:15:00-04:00
33.0201,33.04,33.0201,33.035,2651,2024-03-28 11:16:00-04:00
33.03,33.03,33.025,33.025,1340,2024-03-28 11:17:00-04:00
33.025,33.03,33.0245,33.025,2488,2024-03-28 11:18:00-04:00
33.03,33.035,33.0201,33.035,1514,2024-03-28 11:19:00-04:00
33.0375,33.04,33.03,33.035,3312,2024-03-28 11:20:00-04:00
33.04,33.05,33.04,33.05,1239,2024-03-28 11:21:00-04:00
33.05,33.055,33.045,33.05,1300,2024-03-28 11:22:00-04:00
33.05,33.05,33.04,33.045,3038,2024-03-28 11:23:00-04:00
33.045,33.05,33.04,33.045,2309,2024-03-28 11:24:00-04:00
33.045,33.055,33.045,33.055,1701,2024-03-28 11:25:00-04:00
33.055,33.06,33.055,33.06,650,2024-03-28 11:26:00-04:00
33.055,33.06,33.055,33.055,3200,2024-03-28 11:27:00-04:00
33.06,33.06,33.055,33.055,2115,2024-03-28 11:28:00-04:00
33.0599,33.08,33.0599,33.08,4565,2024-03-28 11:29:00-04:00
33.08,33.08,33.065,33.0675,6950,2024-03-28 11:30:00-04:00
33.065,33.07,33.065,33.07,900,2024-03-28 11:31:00-04:00
