open,high,low,close,volume,datetime
152.06,152.19,152.06,152.19,640,2024-03-28 07:00:00-04:00
152.29,152.29,152.29,152.29,833,2024-03-28 07:01:00-04:00
152.38,152.4,152.38,152.4,334,2024-03-28 07:02:00-04:00
152.4,152.4,152.4,152.4,148,2024-03-28 07:03:00-04:00
152.45,152.45,152.45,152.45,100,2024-03-28 07:06:00-04:00
152.5,152.56,152.5,152.55,2205,2024-03-28 07:07:00-04:00
152.57,152.57,152.57,152.57,600,2024-03-28 07:10:00-04:00
152.58,152.6,152.57,152.6,757,2024-03-28 07:11:00-04:00
152.58,152.58,152.58,152.58,100,2024-03-28 07:12:00-04:00
152.51,152.51,152.48,152.48,406,2024-03-28 07:13:00-04:00
152.43,152.43,152.43,152.43,150,2024-03-28 07:14:00-04:00
152.42,152.42,152.42,152.42,100,2024-03-28 07:15:00-04:00
152.46,152.46,152.46,152.46,100,2024-03-28 07:16:00-04:00
152.45,152.45,152.44,152.44,200,2024-03-28 07:17:00-04:00
152.26,152.26,152.25,152.25,500,2024-03-28 07:20:00-04:00
152.19,152.2,152.19,152.2,200,2024-03-28 07:24:00-04:00
152.15,152.15,152.15,152.15,100,2024-03-28 07:26:00-04:00
151.88,151.95,151.88,151.95,500,2024-03-28 07:32:00-04:00
152.05,152.06,151.95,152.0,629,2024-03-28 07:34:00-04:00
151.91,151.91,151.91,151.91,100,2024-03-28 07:35:00-04:00
152.01,152.01,152.01,152.01,100,2024-03-28 07:42:00-04:00
152.01,152.01,152.01,152.01,100,2024-03-28 07:44:00-04:00
151.95,151.95,151.95,151.95,1935,2024-03-28 07:48:00-04:00
152.0,152.0,152.0,152.0,200,2024-03-28 07:50:00-04:00
152.04,152.04,152.04,152.04,229,2024-03-28 07:54:00-04:00
152.06,152.06,152.06,152.06,240,2024-03-28 07:58:00-04:00
152.1,152.1,152.1,152.1,197,2024-03-28 08:00:00-04:00
152.141,152.141,152.141,152.141,237,2024-03-28 08:04:00-04:00
152.19,152.2,152.19,152.2,300,2024-03-28 08:08:00-04:00
151.94,151.94,151.94,151.94,3429,2024-03-28 08:12:00-04:00
152.15,152.16,152.15,152.16,200,2024-03-28 08:13:00-04:00
152.13,152.13,152.13,152.13,100,2024-03-28 08:27:00-04:00
152.2,152.2,152.2,152.2,2383,2024-03-28 08:29:00-04:00
152.31,152.31,152.31,152.31,352,2024-03-28 08:30:00-04:00
152.31,152.31,152.31,152.31,1243,2024-03-28 08:31:00-04:00
152.27,152.28,152.2107,152.28,356,2024-03-28 08:32:00-04:00
152.26,152.26,152.26,152.26,100,2024-03-28 08:35:00-04:00
152.26,152.26,152.13,152.13,953,2024-03-28 08:36:00-04:00
152.1797,152.1797,152.1797,152.1797,137,2024-03-28 08:39:00-04:00
152.08,152.08,152.08,152.08,130,2024-03-28 08:43:00-04:00
152.0,152.0,152.0,152.0,116,2024-03-28 08:47:00-04:00
152.01,152.01,152.01,152.01,137,2024-03-28 08:48:00-04:00
152.09,152.09,152.0701,152.0701,500,2024-03-28 08:49:00-04:00
152.17,152.2,152.17,152.2,385,2024-03-28 08:52:00-04:00
152.23,152.23,152.2,152.2,300,2024-03-28 08:53:00-04:00
152.06,152.06,152.06,152.06,900,2024-03-28 08:55:00-04:00
152.16,152.18,152.16,152.18,260,2024-03-28 08:57:00-04:00
