open,high,low,close,volume,datetime
151.19,151.19,151.15,151.15,1117,2024-03-28 07:00:00-04:00
151.3,151.3,151.3,151.3,100,2024-03-28 07:01:00-04:00
151.36,151.36,151.36,151.36,200,2024-03-28 07:03:00-04:00
151.37,151.37,151.37,151.37,100,2024-03-28 07:06:00-04:00
151.42,151.5,151.42,151.5,1008,2024-03-28 07:07:00-04:00
151.54,151.54,151.54,151.54,1543,2024-03-28 07:09:00-04:00
151.5,151.5,151.5,151.5,100,2024-03-28 07:11:00-04:00
151.4,151.4,151.4,151.4,100,2024-03-28 07:13:00-04:00
151.35,151.35,151.35,151.35,400,2024-03-28 07:14:00-04:00
151.36,151.36,151.36,151.36,100,2024-03-28 07:17:00-04:00
151.31,151.31,151.0,151.0,3025,2024-03-28 07:20:00-04:00
151.06,151.06,151.06,151.06,100,2024-03-28 07:23:00-04:00
151.06,151.06,151.06,151.06,100,2024-03-28 07:24:00-04:00
151.05,151.05,151.05,151.05,100,2024-03-28 07:27:00-04:00
150.87,150.87,150.87,150.87,100,2024-03-28 07:31:00-04:00
150.78,150.82,150.78,150.82,340,2024-03-28 07:32:00-04:00
150.85,150.85,150.85,150.85,733,2024-03-28 07:37:00-04:00
150.84,150.85,150.84,150.85,577,2024-03-28 07:38:00-04:00
150.85,150.85,150.85,150.85,120,2024-03-28 07:46:00-04:00
150.85,150.85,150.85,150.85,100,2024-03-28 07:48:00-04:00
150.9,150.9,150.9,150.9,120,2024-03-28 07:50:00-04:00
150.94,150.96,150.94,150.96,300,2024-03-28 07:54:00-04:00
150.94,150.94,150.89,150.89,200,2024-03-28 07:58:00-04:00
151.02,151.02,151.02,151.02,106,2024-03-28 08:00:00-04:00
151.03,151.03,151.03,151.03,100,2024-03-28 08:02:00-04:00
150.87,150.87,150.87,150.87,3939,2024-03-28 08:12:00-04:00
151.03,151.03,151.03,151.03,111,2024-03-28 08:13:00-04:00
151.02,151.02,151.02,151.02,100,2024-03-28 08:14:00-04:00
151.2,151.2,151.19,151.2,700,2024-03-28 08:31:00-04:00
151.19,151.19,151.16,151.16,200,2024-03-28 08:32:00-04:00
151.16,151.16,151.1401,151.1401,200,2024-03-28 08:35:00-04:00
151.15,151.15,150.96,150.96,4518,2024-03-28 08:36:00-04:00
150.9601,150.9601,150.9601,150.9601,155,2024-03-28 08:38:00-04:00
150.96,150.96,150.96,150.96,100,2024-03-28 08:42:00-04:00
150.96,150.96,150.96,150.96,100,2024-03-28 08:45:00-04:00
151.02,151.02,151.0,151.0,560,2024-03-28 08:51:00-04:00
151.05,151.14,151.05,151.14,300,2024-03-28 08:52:00-04:00
151.12,151.12,151.08,151.08,500,2024-03-28 08:53:00-04:00
