open,high,low,close,volume,datetime
137.04,137.5415,137.04,137.5415,4696,2021-11-23 09:30:00-05:00
137.545,137.545,137.35,137.46,500,2021-11-23 09:31:00-05:00
137.36,137.36,137.36,137.36,100,2021-11-23 09:32:00-05:00
137.32,137.33,137.095,137.095,600,2021-11-23 09:33:00-05:00
137.0953,137.0953,136.95,136.95,700,2021-11-23 09:34:00-05:00
136.95,136.95,136.53,136.72,1219,2021-11-23 09:35:00-05:00
136.98,136.98,136.72,136.72,200,2021-11-23 09:36:00-05:00
136.53,136.67,136.5,136.51,615,2021-11-23 09:37:00-05:00
136.6,136.6,136.6,136.6,300,2021-11-23 09:41:00-05:00
136.78,136.79,136.78,136.79,220,2021-11-23 09:44:00-05:00
137.01,137.01,136.964,136.964,300,2021-11-23 09:47:00-05:00
136.95,136.95,136.95,136.95,100,2021-11-23 09:48:00-05:00
136.98,136.98,136.98,136.98,100,2021-11-23 09:49:00-05:00
137.11,137.11,137.09,137.09,200,2021-11-23 09:50:00-05:00
137.08,137.275,137.08,137.275,600,2021-11-23 09:51:00-05:00
137.2,137.29,137.2,137.29,315,2021-11-23 09:53:00-05:00
137.59,137.59,137.59,137.59,100,2021-11-23 09:55:00-05:00
137.695,137.695,137.47,137.58,1500,2021-11-23 09:57:00-05:00
137.81,137.9,137.54,137.9,8441,2021-11-23 09:58:00-05:00
137.95,137.97,137.34,137.34,5747,2021-11-23 09:59:00-05:00
137.56,137.56,137.56,137.56,100,2021-11-23 10:00:00-05:00
137.39,137.39,137.39,137.39,100,2021-11-23 10:05:00-05:00
137.64,137.64,137.33,137.33,900,2021-11-23 10:06:00-05:00
137.23,137.245,137.23,137.245,300,2021-11-23 10:08:00-05:00
137.16,137.24,137.15,137.24,400,2021-11-23 10:09:00-05:00
137.55,137.57,137.55,137.57,200,2021-11-23 10:10:00-05:00
137.595,137.595,137.595,137.595,100,2021-11-23 10:12:00-05:00
137.71,137.71,137.71,137.71,100,2021-11-23 10:13:00-05:00
137.5,137.62,137.5,137.57,700,2021-11-23 10:14:00-05:00
137.83,137.83,137.83,137.83,101,2021-11-23 10:16:00-05:00
137.74,137.78,137.74,137.78,300,2021-11-23 10:17:00-05:00
137.88,137.895,137.88,137.895,300,2021-11-23 10:18:00-05:00
137.8,137.8,137.74,137.74,700,2021-11-23 10:21:00-05:00
137.8,137.805,137.8,137.805,200,2021-11-23 10:23:00-05:00
137.546,137.546,137.546,137.546,387,2021-11-23 10:25:00-05:00
137.71,137.71,137.71,137.71,100,2021-11-23 10:27:00-05:00
137.6201,137.6201,137.24,137.24,2100,2021-11-23 10:28:00-05:00
137.52,137.56,137.52,137.56,421,2021-11-23 10:31:00-05:00
137.65,137.65,137.65,137.65,100,2021-11-23 10:33:00-05:00
137.7,137.7,137.66,137.66,500,2021-11-23 10:34:00-05:00
137.74,137.74,137.6,137.6,273,2021-11-23 10:35:00-05:00
137.45,137.51,137.45,137.51,379,2021-11-23 10:38:00-05:00
137.47,137.47,137.47,137.47,100,2021-11-23 10:39:00-05:00
137.47,137.47,137.47,137.47,100,2021-11-23 10:40:00-05:00
137.52,137.52,137.52,137.52,100,2021-11-23 10:41:00-05:00
137.62,137.67,137.62,137.67,300,2021-11-23 10:42:00-05:00
137.73,137.8,137.66,137.73,906,2021-11-23 10:44:00-05:00
137.79,137.89,137.79,137.89,400,2021-11-23 10:46:00-05:00
137.9,137.9,137.9,137.9,100,2021-11-23 10:47:00-05:00
137.89,137.89,137.89,137.89,100,2021-11-23 10:48:00-05:00
137.78,138.04,137.78,138.04,492,2021-11-23 10:50:00-05:00
137.97,137.97,137.935,137.935,2080,2021-11-23 10:52:00-05:00
137.87,137.97,137.87,137.97,555,2021-11-23 10:54:00-05:00
137.87,137.87,137.86,137.86,200,2021-11-23 10:55:00-05:00
137.78,137.88,137.78,137.88,300,2021-11-23 10:56:00-05:00
137.9,137.9,137.9,137.9,100,2021-11-23 10:58:00-05:00
137.87,137.87,137.87,137.87,100,2021-11-23 10:59:00-05:00
137.97,137.97,137.82,137.82,706,2021-11-23 11:00:00-05:00
137.68,137.6808,137.62,137.62,445,2021-11-23 11:01:00-05:00
137.56,137.56,137.51,137.51,300,2021-11-23 11:03:00-05:00
137.63,137.63,137.63,137.63,100,2021-11-23 11:04:00-05:00
137.59,137.78,137.59,137.78,380,2021-11-23 11:05:00-05:00
137.64,137.64,137.6,137.6,200,2021-11-23 11:06:00-05:00
137.67,137.67,137.6378,137.67,1217,2021-11-23 11:07:00-05:00
137.58,137.58,137.58,137.58,100,2021-11-23 11:08:00-05:00
137.6554,137.73,137.6554,137.725,519,2021-11-23 11:09:00-05:00
137.99,137.99,137.99,137.99,180,2021-11-23 11:11:00-05:00
137.9201,138.015,137.9201,138.015,1255,2021-11-23 11:12:00-05:00
137.93,137.95,137.92,137.95,1000,2021-11-23 11:13:00-05:00
137.965,137.965,137.965,137.965,150,2021-11-23 11:15:00-05:00
138.06,138.115,138.06,138.115,200,2021-11-23 11:16:00-05:00
138.22,138.22,138.22,138.22,300,2021-11-23 11:19:00-05:00
138.21,138.235,138.15,138.235,1684,2021-11-23 11:20:00-05:00
138.24,138.3,138.24,138.24,591,2021-11-23 11:21:00-05:00
138.17,138.22,138.17,138.19,908,2021-11-23 11:22:00-05:00
138.22,138.22,138.22,138.22,200,2021-11-23 11:23:00-05:00
138.16,138.19,138.16,138.185,500,2021-11-23 11:24:00-05:00
138.185,138.27,138.185,138.23,638,2021-11-23 11:25:00-05:00
138.21,138.21,138.12,138.12,500,2021-11-23 11:26:00-05:00
138.08,138.08,138.06,138.06,334,2021-11-23 11:28:00-05:00
138.02,138.02,137.855,137.855,600,2021-11-23 11:29:00-05:00
137.93,137.955,137.93,137.955,422,2021-11-23 11:31:00-05:00
137.88,137.88,137.8,137.8,545,2021-11-23 11:33:00-05:00
137.67,137.67,137.67,137.67,114,2021-11-23 11:34:00-05:00
137.58,137.58,137.58,137.58,100,2021-11-23 11:36:00-05:00
137.49,137.565,137.39,137.42,1049,2021-11-23 11:37:00-05:00
137.51,137.59,137.51,137.59,803,2021-11-23 11:38:00-05:00
137.6,137.6,137.6,137.6,100,2021-11-23 11:40:00-05:00
137.56,137.56,137.56,137.56,100,2021-11-23 11:43:00-05:00
137.44,137.44,137.395,137.395,200,2021-11-23 11:44:00-05:00
137.42,137.43,137.365,137.42,1008,2021-11-23 11:45:00-05:00
137.46,137.46,137.46,137.46,185,2021-11-23 11:46:00-05:00
137.53,137.53,137.53,137.53,490,2021-11-23 11:47:00-05:00
137.51,137.51,137.41,137.41,735,2021-11-23 11:48:00-05:00
137.41,137.41,137.39,137.39,400,2021-11-23 11:49:00-05:00
137.42,137.42,137.42,137.42,200,2021-11-23 11:50:00-05:00
137.34,137.34,137.34,137.34,200,2021-11-23 11:52:00-05:00
137.31,137.31,137.28,137.2875,1163,2021-11-23 11:53:00-05:00
137.335,137.335,137.25,137.25,400,2021-11-23 11:55:00-05:00
137.25,137.32,137.25,137.31,2091,2021-11-23 11:56:00-05:00
137.22,137.22,137.2075,137.2075,200,2021-11-23 11:57:00-05:00
137.17,137.22,137.17,137.22,300,2021-11-23 11:58:00-05:00
137.16,137.19,137.14,137.14,1583,2021-11-23 11:59:00-05:00
137.11,137.13,137.04,137.055,1048,2021-11-23 12:00:00-05:00
137.0055,137.0055,137.0055,137.0055,112,2021-11-23 12:01:00-05:00
136.8619,136.8619,136.8619,136.8619,326,2021-11-23 12:02:00-05:00
136.79,136.79,136.78,136.78,203,2021-11-23 12:03:00-05:00
136.76,136.76,136.76,136.76,200,2021-11-23 12:05:00-05:00
136.76,136.8304,136.76,136.83,846,2021-11-23 12:06:00-05:00
136.87,136.87,136.87,136.87,100,2021-11-23 12:07:00-05:00
136.85,136.85,136.85,136.85,155,2021-11-23 12:08:00-05:00
136.8,136.8,136.8,136.8,100,2021-11-23 12:09:00-05:00
136.92,136.96,136.92,136.96,300,2021-11-23 12:10:00-05:00
136.935,136.96,136.935,136.96,604,2021-11-23 12:11:00-05:00
137.02,137.02,137.02,137.02,100,2021-11-23 12:12:00-05:00
136.97,136.97,136.95,136.95,400,2021-11-23 12:13:00-05:00
136.88,136.885,136.88,136.885,387,2021-11-23 12:14:00-05:00
136.7675,136.82,136.73,136.73,521,2021-11-23 12:15:00-05:00
136.72,136.73,136.705,136.73,780,2021-11-23 12:16:00-05:00
136.71,136.71,136.68,136.705,677,2021-11-23 12:17:00-05:00
136.63,136.63,136.63,136.63,100,2021-11-23 12:18:00-05:00
136.72,136.76,136.675,136.76,624,2021-11-23 12:19:00-05:00
136.8,136.8,136.795,136.795,460,2021-11-23 12:22:00-05:00
136.78,136.84,136.78,136.84,373,2021-11-23 12:23:00-05:00
136.89,136.89,136.89,136.89,100,2021-11-23 12:24:00-05:00
136.99,136.99,136.99,136.99,200,2021-11-23 12:25:00-05:00
136.92,136.9676,136.92,136.9676,1833,2021-11-23 12:27:00-05:00
136.985,136.985,136.985,136.985,200,2021-11-23 12:28:00-05:00
136.9558,136.98,136.9558,136.98,364,2021-11-23 12:29:00-05:00
137.04,137.05,137.01,137.04,1000,2021-11-23 12:30:00-05:00
137.065,137.065,137.065,137.065,100,2021-11-23 12:33:00-05:00
137.0,137.0,136.92,136.92,1176,2021-11-23 12:34:00-05:00
136.91,136.94,136.91,136.92,900,2021-11-23 12:35:00-05:00
136.96,136.96,136.945,136.945,368,2021-11-23 12:36:00-05:00
136.9664,136.9664,136.9664,136.9664,117,2021-11-23 12:37:00-05:00
137.06,137.09,137.06,137.09,200,2021-11-23 12:40:00-05:00
137.17,137.17,137.17,137.17,100,2021-11-23 12:42:00-05:00
137.21,137.21,137.21,137.21,115,2021-11-23 12:43:00-05:00
137.16,137.26,137.16,137.21,1100,2021-11-23 12:44:00-05:00
137.34,137.34,137.34,137.34,100,2021-11-23 12:45:00-05:00
137.27,137.27,137.27,137.27,300,2021-11-23 12:46:00-05:00
137.23,137.23,137.2,137.2,701,2021-11-23 12:50:00-05:00
137.15,137.15,137.15,137.15,122,2021-11-23 12:51:00-05:00
137.12,137.12,137.04,137.04,423,2021-11-23 12:52:00-05:00
137.09,137.11,137.0675,137.08,1008,2021-11-23 12:53:00-05:00
137.12,137.12,137.12,137.12,200,2021-11-23 12:54:00-05:00
137.1513,137.1513,137.1513,137.1513,110,2021-11-23 12:56:00-05:00
137.1,137.1,137.1,137.1,101,2021-11-23 12:57:00-05:00
137.12,137.12,137.07,137.07,413,2021-11-23 12:59:00-05:00
137.15,137.33,137.15,137.33,1046,2021-11-23 13:01:00-05:00
