open,high,low,close,volume,datetime
131.77,131.77,131.77,131.77,180,2024-03-28 08:12:00-04:00
132.36,132.36,132.36,132.36,500,2024-03-28 09:29:00-04:00
132.4,132.4,132.4,132.4,7345,2024-03-28 09:30:00-04:00
132.22,132.24,132.22,132.24,500,2024-03-28 09:33:00-04:00
132.13,132.44,132.13,132.44,200,2024-03-28 09:34:00-04:00
132.5,132.5,132.32,132.39,542,2024-03-28 09:35:00-04:00
132.32,132.37,132.28,132.37,889,2024-03-28 09:36:00-04:00
132.315,132.315,132.2,132.21,1203,2024-03-28 09:37:00-04:00
132.37,132.37,132.08,132.08,1946,2024-03-28 09:38:00-04:00
132.2,132.2,132.128,132.18,1208,2024-03-28 09:39:00-04:00
132.16,132.44,132.12,132.12,6944,2024-03-28 09:40:00-04:00
132.27,132.295,132.18,132.29,4654,2024-03-28 09:41:00-04:00
132.25,132.25,132.21,132.21,1260,2024-03-28 09:42:00-04:00
132.2,132.2,132.2,132.2,1419,2024-03-28 09:43:00-04:00
132.21,132.2966,132.15,132.26,12293,2024-03-28 09:44:00-04:00
132.2,132.58,132.2,132.53,3787,2024-03-28 09:45:00-04:00
132.605,132.775,132.6,132.775,700,2024-03-28 09:46:00-04:00
132.7,132.7,132.7,132.7,100,2024-03-28 09:47:00-04:00
132.67,132.67,132.67,132.67,700,2024-03-28 09:48:00-04:00
132.63,132.68,132.62,132.64,400,2024-03-28 09:49:00-04:00
132.58,132.605,132.58,132.605,200,2024-03-28 09:50:00-04:00
132.62,132.62,132.58,132.58,200,2024-03-28 09:51:00-04:00
132.61,132.61,132.6,132.6,200,2024-03-28 09:52:00-04:00
132.53,132.53,132.41,132.415,600,2024-03-28 09:53:00-04:00
132.2,132.235,132.2,132.235,300,2024-03-28 09:55:00-04:00
132.18,132.26,132.18,132.26,800,2024-03-28 09:56:00-04:00
132.29,132.29,132.272,132.272,225,2024-03-28 09:57:00-04:00
132.315,132.335,132.315,132.335,678,2024-03-28 09:59:00-04:00
132.335,132.335,132.115,132.205,3713,2024-03-28 10:00:00-04:00
132.23,132.28,132.23,132.23,1538,2024-03-28 10:01:00-04:00
132.23,132.44,132.23,132.44,1700,2024-03-28 10:02:00-04:00
132.41,132.41,132.39,132.405,1000,2024-03-28 10:03:00-04:00
132.45,132.55,132.405,132.55,2829,2024-03-28 10:04:00-04:00
132.68,132.77,132.68,132.77,1100,2024-03-28 10:05:00-04:00
132.81,132.81,132.81,132.81,100,2024-03-28 10:06:00-04:00
132.945,132.945,132.7,132.7,2577,2024-03-28 10:07:00-04:00
132.74,132.74,132.74,132.74,100,2024-03-28 10:08:00-04:00
132.68,132.68,132.675,132.675,400,2024-03-28 10:10:00-04:00
132.665,132.78,132.665,132.765,615,2024-03-28 10:11:00-04:00
132.81,132.81,132.81,132.81,100,2024-03-28 10:12:00-04:00
132.73,132.73,132.725,132.725,200,2024-03-28 10:13:00-04:00
132.73,132.77,132.575,132.67,2949,2024-03-28 10:14:00-04:00
132.7,132.81,132.665,132.81,2934,2024-03-28 10:15:00-04:00
132.865,132.865,132.865,132.865,100,2024-03-28 10:16:00-04:00
132.88,132.88,132.72,132.72,1200,2024-03-28 10:17:00-04:00
132.71,132.72,132.52,132.62,3602,2024-03-28 10:18:00-04:00
132.61,132.7,132.605,132.695,1450,2024-03-28 10:19:00-04:00
132.62,132.62,132.515,132.515,1800,2024-03-28 10:20:00-04:00
132.48,132.51,132.4,132.455,1341,2024-03-28 10:21:00-04:00
132.42,132.42,132.34,132.41,1703,2024-03-28 10:22:00-04:00
132.45,132.515,132.45,132.475,2556,2024-03-28 10:23:00-04:00
132.48,132.6,132.43,132.44,4246,2024-03-28 10:24:00-04:00
