open,high,low,close,volume,datetime
22.17,22.17,22.17,22.17,360,2021-11-23 07:01:00-05:00
22.18,22.18,22.17,22.17,1000,2021-11-23 07:14:00-05:00
22.11,22.11,22.11,22.11,100,2021-11-23 07:22:00-05:00
22.25,22.3,22.25,22.3,1575,2021-11-23 07:23:00-05:00
22.3,22.31,22.3,22.31,1100,2021-11-23 07:25:00-05:00
22.32,22.32,22.31,22.31,424,2021-11-23 07:33:00-05:00
22.36,22.36,22.35,22.35,200,2021-11-23 07:45:00-05:00
22.35,22.35,22.35,22.35,1300,2021-11-23 07:46:00-05:00
22.22,22.29,22.2,22.28,20400,2021-11-23 08:12:00-05:00
22.38,22.38,22.38,22.38,200,2021-11-23 08:16:00-05:00
22.39,22.39,22.39,22.39,12304,2021-11-23 08:18:00-05:00
22.52,22.52,22.52,22.52,12299,2021-11-23 08:19:00-05:00
22.44,22.44,22.41,22.41,1740,2021-11-23 08:33:00-05:00
22.49,22.5,22.49,22.5,945,2021-11-23 08:58:00-05:00
22.5,22.5,22.5,22.5,950,2021-11-23 09:02:00-05:00
22.53,22.53,22.51,22.53,930,2021-11-23 09:04:00-05:00
22.58,22.61,22.55,22.61,2807,2021-11-23 09:05:00-05:00
22.65,22.65,22.65,22.65,100,2021-11-23 09:06:00-05:00
22.74,22.74,22.63,22.63,1232,2021-11-23 09:07:00-05:00
22.75,22.75,22.75,22.75,1000,2021-11-23 09:08:00-05:00
22.71,22.71,22.71,22.71,406,2021-11-23 09:16:00-05:00
22.67,22.67,22.67,22.67,167,2021-11-23 09:17:00-05:00
22.66,22.66,22.66,22.66,2383,2021-11-23 09:18:00-05:00
22.58,22.58,22.57,22.57,900,2021-11-23 09:20:00-05:00
22.58,22.58,22.58,22.58,100,2021-11-23 09:23:00-05:00
22.56,22.62,22.56,22.62,560,2021-11-23 09:26:00-05:00
22.58,22.58,22.58,22.58,1000,2021-11-23 09:28:00-05:00
22.7,22.7,22.7,22.7,992,2021-11-23 09:29:00-05:00
22.75,22.9,22.69,22.875,175160,2021-11-23 09:30:00-05:00
22.88,23.005,22.85,22.995,129636,2021-11-23 09:31:00-05:00
22.995,22.995,22.79,22.79,57836,2021-11-23 09:32:00-05:00
22.8,22.8999,22.8,22.88,32725,2021-11-23 09:33:00-05:00
22.88,22.98,22.86,22.97,17732,2021-11-23 09:34:00-05:00
22.9799,22.99,22.8899,22.92,91687,2021-11-23 09:35:00-05:00
22.92,22.96,22.85,22.85,22268,2021-11-23 09:36:00-05:00
22.86,22.88,22.825,22.845,17726,2021-11-23 09:37:00-05:00
22.85,23.025,22.85,23.015,83093,2021-11-23 09:38:00-05:00
23.015,23.085,22.97,23.02,77474,2021-11-23 09:39:00-05:00
23.03,23.09,23.03,23.085,39036,2021-11-23 09:40:00-05:00
23.08,23.1,23.055,23.055,27094,2021-11-23 09:41:00-05:00
23.06,23.11,23.04,23.055,25560,2021-11-23 09:42:00-05:00
23.06,23.07,23.01,23.015,16041,2021-11-23 09:43:00-05:00
23.015,23.08,23.015,23.07,25249,2021-11-23 09:44:00-05:00
