open,high,low,close,volume,datetime
77.47,77.47,77.47,77.47,200,2021-11-23 07:25:00-05:00
77.29,77.29,77.29,77.29,170,2021-11-23 08:17:00-05:00
78.5,78.5,78.5,78.5,676,2021-11-23 08:48:00-05:00
78.5,78.54,78.5,78.54,481,2021-11-23 09:03:00-05:00
79.0,79.0,79.0,79.0,400,2021-11-23 09:23:00-05:00
79.01,79.01,79.01,79.01,101,2021-11-23 09:29:00-05:00
79.23,79.38,79.01,79.265,17628,2021-11-23 09:30:00-05:00
79.5,79.73,79.38,79.7,5893,2021-11-23 09:31:00-05:00
79.63,79.7306,79.05,79.05,2051,2021-11-23 09:32:00-05:00
79.18,79.2475,79.02,79.17,2052,2021-11-23 09:33:00-05:00
79.17,79.42,79.17,79.42,2100,2021-11-23 09:34:00-05:00
79.38,79.67,79.34,79.67,1401,2021-11-23 09:35:00-05:00
79.73,79.8,79.51,79.68,6967,2021-11-23 09:36:00-05:00
79.675,79.9,79.55,79.9,2655,2021-11-23 09:37:00-05:00
79.94,80.1,79.94,80.1,1183,2021-11-23 09:38:00-05:00
80.1,80.23,80.01,80.23,2142,2021-11-23 09:39:00-05:00
80.23,80.54,80.23,80.54,8860,2021-11-23 09:40:00-05:00
80.61,80.82,80.5,80.62,5032,2021-11-23 09:41:00-05:00
80.66,80.735,80.55,80.62,4340,2021-11-23 09:42:00-05:00
80.59,80.82,80.49,80.61,6197,2021-11-23 09:43:00-05:00
80.78,80.97,80.705,80.88,3579,2021-11-23 09:44:00-05:00
80.84,81.17,80.84,81.11,8385,2021-11-23 09:45:00-05:00
81.015,81.22,80.86,81.22,9589,2021-11-23 09:46:00-05:00
81.18,81.35,81.01,81.2,9652,2021-11-23 09:47:00-05:00
81.17,81.42,81.14,81.26,5461,2021-11-23 09:48:00-05:00
81.34,81.35,80.8501,80.96,3122,2021-11-23 09:49:00-05:00
80.925,81.13,80.8,80.965,6578,2021-11-23 09:50:00-05:00
80.99,81.05,80.77,80.94,10599,2021-11-23 09:51:00-05:00
81.0,81.23,80.91,80.93,6549,2021-11-23 09:52:00-05:00
80.95,80.95,80.725,80.725,1254,2021-11-23 09:53:00-05:00
80.81,81.02,80.78,81.01,1792,2021-11-23 09:54:00-05:00
80.97,81.18,80.83,81.18,3804,2021-11-23 09:55:00-05:00
81.12,81.12,81.12,81.12,200,2021-11-23 09:56:00-05:00
81.16,81.23,81.1,81.12,3172,2021-11-23 09:57:00-05:00
81.04,81.29,81.02,81.23,9983,2021-11-23 09:58:00-05:00
81.15,81.2362,81.13,81.2,6895,2021-11-23 09:59:00-05:00
81.23,81.38,81.17,81.17,4300,2021-11-23 10:00:00-05:00
81.06,81.26,81.0,81.25,4028,2021-11-23 10:01:00-05:00
81.185,81.2,80.95,81.13,2084,2021-11-23 10:02:00-05:00
81.22,81.47,81.22,81.37,1831,2021-11-23 10:03:00-05:00
81.4,81.48,81.2684,81.31,7601,2021-11-23 10:04:00-05:00
81.37,81.47,81.31,81.47,1928,2021-11-23 10:05:00-05:00
81.455,81.455,81.22,81.22,2956,2021-11-23 10:06:00-05:00
81.34,81.44,81.3,81.35,3390,2021-11-23 10:07:00-05:00
81.33,81.56,81.29,81.56,9903,2021-11-23 10:08:00-05:00
81.56,81.8,81.5,81.8,9084,2021-11-23 10:09:00-05:00
81.82,82.06,81.68,81.68,11659,2021-11-23 10:10:00-05:00
81.675,81.87,81.53,81.65,17641,2021-11-23 10:11:00-05:00
81.63,81.88,81.6,81.85,2650,2021-11-23 10:12:00-05:00
81.8,81.88,81.695,81.695,10769,2021-11-23 10:13:00-05:00
81.695,81.695,81.23,81.23,2625,2021-11-23 10:14:00-05:00
81.32,81.375,81.2,81.37,3700,2021-11-23 10:15:00-05:00
81.37,81.385,81.35,81.35,800,2021-11-23 10:16:00-05:00
81.32,81.4,81.29,81.32,3939,2021-11-23 10:17:00-05:00
81.31,81.62,81.31,81.52,16233,2021-11-23 10:18:00-05:00
81.635,81.71,81.635,81.65,1673,2021-11-23 10:19:00-05:00
81.73,81.73,81.585,81.65,2460,2021-11-23 10:20:00-05:00
81.69,81.77,81.66,81.77,500,2021-11-23 10:21:00-05:00
81.77,81.88,81.72,81.72,3446,2021-11-23 10:22:00-05:00
81.66,81.75,81.65,81.75,3479,2021-11-23 10:23:00-05:00
81.58,81.58,81.57,81.57,619,2021-11-23 10:24:00-05:00
81.56,81.73,81.56,81.73,817,2021-11-23 10:25:00-05:00
81.67,81.79,81.6639,81.79,5149,2021-11-23 10:26:00-05:00
81.71,81.745,81.6,81.63,8350,2021-11-23 10:27:00-05:00
81.62,81.62,81.36,81.38,2350,2021-11-23 10:28:00-05:00
81.31,81.4,81.31,81.315,650,2021-11-23 10:29:00-05:00
81.24,81.31,81.13,81.18,4277,2021-11-23 10:30:00-05:00
81.25,81.28,81.18,81.22,3284,2021-11-23 10:31:00-05:00
81.21,81.22,81.15,81.15,2882,2021-11-23 10:32:00-05:00
81.09,81.16,80.9,80.9,2690,2021-11-23 10:33:00-05:00
80.95,81.01,80.83,81.01,1680,2021-11-23 10:34:00-05:00
81.015,81.19,81.015,81.19,540,2021-11-23 10:35:00-05:00
81.23,81.3,81.18,81.24,2126,2021-11-23 10:36:00-05:00
81.18,81.27,81.18,81.24,1200,2021-11-23 10:37:00-05:00
81.165,81.34,81.11,81.3,18277,2021-11-23 10:38:00-05:00
81.3,81.58,81.285,81.5282,19348,2021-11-23 10:39:00-05:00
81.45,81.47,81.3,81.47,2975,2021-11-23 10:40:00-05:00
81.46,81.61,81.46,81.61,300,2021-11-23 10:41:00-05:00
81.52,81.63,81.49,81.6,2167,2021-11-23 10:42:00-05:00
81.55,81.58,81.44,81.45,1195,2021-11-23 10:43:00-05:00
81.36,81.48,81.36,81.46,1291,2021-11-23 10:44:00-05:00
81.33,81.4,81.33,81.4,2035,2021-11-23 10:45:00-05:00
81.29,81.48,81.29,81.41,19200,2021-11-23 10:46:00-05:00
81.44,81.64,81.41,81.64,3560,2021-11-23 10:47:00-05:00
81.54,81.63,81.31,81.31,3477,2021-11-23 10:48:00-05:00
81.2,81.37,81.2,81.32,2065,2021-11-23 10:49:00-05:00
81.2753,81.5,81.2753,81.435,2980,2021-11-23 10:50:00-05:00
81.51,81.66,81.47,81.53,4223,2021-11-23 10:51:00-05:00
81.52,81.56,81.52,81.54,2900,2021-11-23 10:52:00-05:00
81.53,81.58,81.41,81.56,2100,2021-11-23 10:53:00-05:00
81.53,81.56,81.34,81.365,2331,2021-11-23 10:54:00-05:00
81.39,81.39,81.18,81.18,1800,2021-11-23 10:55:00-05:00
81.02,81.03,80.87,81.03,1369,2021-11-23 10:56:00-05:00
80.92,81.0,80.81,80.91,1426,2021-11-23 10:57:00-05:00
80.84,80.84,80.77,80.77,800,2021-11-23 10:58:00-05:00
80.84,80.9,80.67,80.67,2100,2021-11-23 10:59:00-05:00
80.67,80.77,80.48,80.535,3034,2021-11-23 11:00:00-05:00
80.54,80.54,80.39,80.48,5550,2021-11-23 11:01:00-05:00
80.42,80.44,80.34,80.41,1032,2021-11-23 11:02:00-05:00
80.3,80.5,80.3,80.38,4118,2021-11-23 11:03:00-05:00
80.38,80.56,80.38,80.39,1290,2021-11-23 11:04:00-05:00
80.39,80.52,80.39,80.46,1658,2021-11-23 11:05:00-05:00
80.46,80.62,80.42,80.51,1541,2021-11-23 11:06:00-05:00
80.49,80.49,80.49,80.49,325,2021-11-23 11:07:00-05:00
80.56,80.86,80.45,80.86,3301,2021-11-23 11:08:00-05:00
80.9,80.96,80.81,80.96,1841,2021-11-23 11:09:00-05:00
81.0,81.13,80.9,81.09,2863,2021-11-23 11:10:00-05:00
81.2081,81.37,81.11,81.29,3180,2021-11-23 11:11:00-05:00
81.3,81.51,81.3,81.51,1850,2021-11-23 11:12:00-05:00
81.47,81.47,81.37,81.405,1768,2021-11-23 11:13:00-05:00
81.36,81.44,81.27,81.44,2002,2021-11-23 11:14:00-05:00
81.385,81.52,81.34,81.34,4941,2021-11-23 11:15:00-05:00
81.33,81.465,81.3,81.4,3393,2021-11-23 11:16:00-05:00
81.41,81.455,81.38,81.455,2207,2021-11-23 11:17:00-05:00
81.41,81.41,81.2,81.2,1595,2021-11-23 11:18:00-05:00
81.22,81.22,81.21,81.22,580,2021-11-23 11:19:00-05:00
81.17,81.25,81.14,81.15,1037,2021-11-23 11:20:00-05:00
81.15,81.31,81.15,81.31,3392,2021-11-23 11:21:00-05:00
81.235,81.26,81.1809,81.23,2500,2021-11-23 11:22:00-05:00
81.21,81.26,81.12,81.12,4166,2021-11-23 11:23:00-05:00
81.17,81.17,81.04,81.11,2540,2021-11-23 11:24:00-05:00
81.17,81.335,81.12,81.2775,6758,2021-11-23 11:25:00-05:00
81.26,81.31,81.18,81.31,1550,2021-11-23 11:26:00-05:00
81.25,81.35,81.17,81.25,2950,2021-11-23 11:27:00-05:00
81.24,81.315,81.24,81.25,1700,2021-11-23 11:28:00-05:00
81.32,81.32,81.11,81.145,1840,2021-11-23 11:29:00-05:00
81.14,81.2,81.04,81.19,1589,2021-11-23 11:30:00-05:00
81.18,81.22,81.16,81.18,3677,2021-11-23 11:31:00-05:00
81.13,81.15,81.08,81.15,1750,2021-11-23 11:32:00-05:00
81.19,81.26,81.15,81.26,723,2021-11-23 11:33:00-05:00
81.21,81.3,81.16,81.18,4172,2021-11-23 11:34:00-05:00
81.2062,81.2062,81.205,81.205,200,2021-11-23 11:35:00-05:00
81.2019,81.58,81.2019,81.58,2630,2021-11-23 11:36:00-05:00
81.59,81.69,81.52,81.69,1777,2021-11-23 11:37:00-05:00
81.7,81.82,81.67,81.75,1300,2021-11-23 11:38:00-05:00
81.88,81.89,81.87,81.87,700,2021-11-23 11:39:00-05:00
81.85,81.89,81.83,81.845,3467,2021-11-23 11:40:00-05:00
81.82,81.83,81.75,81.75,1000,2021-11-23 11:41:00-05:00
81.8,81.84,81.78,81.81,2862,2021-11-23 11:42:00-05:00
81.79,81.91,81.76,81.815,1717,2021-11-23 11:43:00-05:00
81.74,81.8,81.66,81.66,3646,2021-11-23 11:44:00-05:00
81.66,81.8,81.6,81.8,1450,2021-11-23 11:45:00-05:00
81.85,81.9,81.85,81.9,300,2021-11-23 11:46:00-05:00
81.82,81.89,81.76,81.77,1324,2021-11-23 11:47:00-05:00
81.7,81.75,81.66,81.75,1300,2021-11-23 11:48:00-05:00
81.66,81.78,81.65,81.78,1200,2021-11-23 11:49:00-05:00
81.77,81.85,81.77,81.85,1100,2021-11-23 11:50:00-05:00
81.785,81.785,81.785,81.785,110,2021-11-23 11:51:00-05:00
81.785,81.85,81.785,81.85,1431,2021-11-23 11:52:00-05:00
81.835,81.835,81.75,81.75,2580,2021-11-23 11:53:00-05:00
81.81,81.84,81.69,81.7,2922,2021-11-23 11:54:00-05:00
81.705,81.76,81.68,81.705,2300,2021-11-23 11:55:00-05:00
81.705,81.75,81.54,81.605,3813,2021-11-23 11:56:00-05:00
81.61,81.71,81.61,81.66,2389,2021-11-23 11:57:00-05:00
81.57,81.66,81.55,81.64,1450,2021-11-23 11:58:00-05:00
81.6,81.66,81.6,81.66,601,2021-11-23 11:59:00-05:00
81.635,81.635,81.55,81.55,1377,2021-11-23 12:00:00-05:00
81.51,81.51,81.38,81.38,1100,2021-11-23 12:01:00-05:00
81.44,81.44,81.36,81.41,900,2021-11-23 12:02:00-05:00
81.38,81.38,81.38,81.38,250,2021-11-23 12:03:00-05:00
81.35,81.39,81.28,81.39,659,2021-11-23 12:04:00-05:00
81.31,81.31,81.24,81.26,996,2021-11-23 12:05:00-05:00
81.295,81.295,81.26,81.26,200,2021-11-23 12:06:00-05:00
81.33,81.39,81.33,81.39,300,2021-11-23 12:07:00-05:00
81.44,81.51,81.43,81.48,530,2021-11-23 12:08:00-05:00
81.48,81.6,81.48,81.6,3530,2021-11-23 12:09:00-05:00
81.61,81.65,81.51,81.54,1206,2021-11-23 12:10:00-05:00
81.56,81.63,81.56,81.63,308,2021-11-23 12:11:00-05:00
81.65,81.78,81.65,81.735,2301,2021-11-23 12:12:00-05:00
81.7,81.78,81.7,81.78,3584,2021-11-23 12:13:00-05:00
81.79,81.8,81.7,81.745,1101,2021-11-23 12:14:00-05:00
81.74,81.84,81.74,81.805,1900,2021-11-23 12:15:00-05:00
81.815,81.89,81.815,81.84,801,2021-11-23 12:16:00-05:00
81.84,81.85,81.805,81.835,1100,2021-11-23 12:17:00-05:00
81.835,81.89,81.835,81.89,200,2021-11-23 12:18:00-05:00
81.9,81.9,81.84,81.84,800,2021-11-23 12:19:00-05:00
81.93,81.93,81.93,81.93,100,2021-11-23 12:20:00-05:00
81.84,81.87,81.77,81.82,800,2021-11-23 12:21:00-05:00
81.88,81.93,81.88,81.93,300,2021-11-23 12:22:00-05:00
81.925,82.01,81.925,81.965,1056,2021-11-23 12:24:00-05:00
81.98,82.03,81.95,81.95,1316,2021-11-23 12:25:00-05:00
81.96,82.03,81.944,82.01,1317,2021-11-23 12:26:00-05:00
81.95,81.95,81.89,81.95,1158,2021-11-23 12:27:00-05:00
81.99,82.03,81.94,82.0225,1298,2021-11-23 12:28:00-05:00
82.03,82.1,82.02,82.075,1028,2021-11-23 12:29:00-05:00
82.16,82.2088,82.13,82.13,600,2021-11-23 12:30:00-05:00
82.09,82.13,82.07,82.07,600,2021-11-23 12:31:00-05:00
82.07,82.14,82.07,82.07,400,2021-11-23 12:32:00-05:00
82.07,82.07,82.07,82.07,200,2021-11-23 12:33:00-05:00
82.105,82.105,82.07,82.07,2241,2021-11-23 12:34:00-05:00
82.06,82.14,82.06,82.12,1232,2021-11-23 12:35:00-05:00
82.1,82.18,82.05,82.18,702,2021-11-23 12:36:00-05:00
82.09,82.13,82.09,82.11,400,2021-11-23 12:37:00-05:00
82.11,82.15,82.11,82.13,941,2021-11-23 12:38:00-05:00
82.11,82.19,82.08,82.08,900,2021-11-23 12:39:00-05:00
82.06,82.2,82.04,82.1942,1700,2021-11-23 12:40:00-05:00
82.12,82.16,82.12,82.145,600,2021-11-23 12:41:00-05:00
82.09,82.11,82.06,82.11,700,2021-11-23 12:42:00-05:00
82.11,82.16,82.07,82.16,542,2021-11-23 12:43:00-05:00
82.175,82.2,82.14,82.14,400,2021-11-23 12:44:00-05:00
