open,high,low,close,volume,datetime
145.55,145.745,145.135,145.63,16356,2021-11-23 09:30:00-05:00
145.62,145.74,145.55,145.74,2330,2021-11-23 09:31:00-05:00
145.78,145.9036,145.71,145.71,700,2021-11-23 09:32:00-05:00
145.555,145.555,144.72,144.72,700,2021-11-23 09:34:00-05:00
144.6343,144.6343,144.59,144.5963,600,2021-11-23 09:35:00-05:00
144.77,144.87,144.73,144.73,1222,2021-11-23 09:36:00-05:00
144.785,144.785,144.785,144.785,100,2021-11-23 09:37:00-05:00
144.85,145.11,144.85,145.11,600,2021-11-23 09:38:00-05:00
145.09,145.19,144.96,145.19,2339,2021-11-23 09:39:00-05:00
145.27,145.4,145.27,145.4,300,2021-11-23 09:40:00-05:00
145.42,145.5,145.32,145.5,2800,2021-11-23 09:41:00-05:00
145.54,145.8699,145.54,145.58,1350,2021-11-23 09:42:00-05:00
145.6,145.725,145.29,145.29,3778,2021-11-23 09:43:00-05:00
145.37,145.41,145.36,145.36,600,2021-11-23 09:44:00-05:00
145.52,145.52,145.25,145.37,1300,2021-11-23 09:45:00-05:00
145.42,145.61,145.42,145.55,300,2021-11-23 09:46:00-05:00
145.735,145.735,145.67,145.67,200,2021-11-23 09:47:00-05:00
145.67,145.67,145.49,145.655,1200,2021-11-23 09:48:00-05:00
145.61,145.61,145.43,145.43,200,2021-11-23 09:49:00-05:00
145.36,145.55,145.36,145.515,1594,2021-11-23 09:50:00-05:00
145.59,146.07,145.59,145.94,5820,2021-11-23 09:51:00-05:00
146.015,146.205,145.88,145.91,1923,2021-11-23 09:52:00-05:00
145.92,146.48,145.92,146.48,1497,2021-11-23 09:53:00-05:00
146.43,146.43,146.29,146.38,2746,2021-11-23 09:54:00-05:00
146.3,146.42,146.3,146.42,200,2021-11-23 09:55:00-05:00
146.42,146.53,146.33,146.48,2178,2021-11-23 09:56:00-05:00
146.58,146.6758,146.46,146.46,2500,2021-11-23 09:57:00-05:00
146.43,146.43,146.0,146.025,2900,2021-11-23 09:58:00-05:00
146.16,146.16,145.7414,146.0,8250,2021-11-23 09:59:00-05:00
145.895,146.13,145.69,146.0,11630,2021-11-23 10:00:00-05:00
145.93,146.01,145.8441,146.0062,5475,2021-11-23 10:01:00-05:00
146.0,146.01,145.82,146.0,15997,2021-11-23 10:02:00-05:00
145.93,146.0,145.7501,146.0,3091,2021-11-23 10:03:00-05:00
146.0,146.43,145.86,146.39,4220,2021-11-23 10:04:00-05:00
146.29,146.51,146.2041,146.5,3785,2021-11-23 10:05:00-05:00
146.5,146.6,146.35,146.35,6141,2021-11-23 10:06:00-05:00
146.25,146.49,146.205,146.29,2005,2021-11-23 10:07:00-05:00
146.115,146.27,145.86,146.05,3070,2021-11-23 10:08:00-05:00
145.905,146.18,145.905,146.0827,7262,2021-11-23 10:09:00-05:00
146.07,146.335,146.07,146.335,800,2021-11-23 10:10:00-05:00
146.24,146.3,146.085,146.085,6200,2021-11-23 10:11:00-05:00
146.18,146.36,146.15,146.36,3705,2021-11-23 10:12:00-05:00
146.11,146.11,145.8621,145.87,1420,2021-11-23 10:13:00-05:00
145.95,146.17,145.92,146.17,1800,2021-11-23 10:14:00-05:00
146.32,146.42,146.32,146.42,400,2021-11-23 10:15:00-05:00
146.44,146.49,146.395,146.405,1702,2021-11-23 10:16:00-05:00
146.47,146.47,146.19,146.2365,2565,2021-11-23 10:17:00-05:00
146.0906,146.0906,146.09,146.09,250,2021-11-23 10:18:00-05:00
146.11,146.28,146.11,146.28,901,2021-11-23 10:19:00-05:00
146.35,146.83,146.17,146.34,22678,2021-11-23 10:20:00-05:00
146.24,146.24,146.16,146.16,500,2021-11-23 10:21:00-05:00
146.21,146.32,146.21,146.32,653,2021-11-23 10:22:00-05:00
146.42,146.52,146.42,146.44,1300,2021-11-23 10:23:00-05:00
146.4,146.54,146.17,146.17,750,2021-11-23 10:24:00-05:00
146.24,146.24,146.24,146.24,100,2021-11-23 10:25:00-05:00
146.14,146.2,145.89,145.89,1400,2021-11-23 10:26:00-05:00
145.8193,145.91,145.8193,145.91,300,2021-11-23 10:27:00-05:00
