open,high,low,close,volume,datetime
77.35,77.35,77.35,77.35,171,2024-03-28 08:12:00-04:00
77.47,77.66,77.35,77.35,11646,2024-03-28 09:30:00-04:00
77.45,77.45,77.34,77.34,2365,2024-03-28 09:31:00-04:00
77.33,77.33,77.33,77.33,100,2024-03-28 09:32:00-04:00
77.26,77.26,77.25,77.25,550,2024-03-28 09:33:00-04:00
77.34,77.34,77.23,77.23,300,2024-03-28 09:34:00-04:00
77.25,77.3,77.25,77.3,400,2024-03-28 09:35:00-04:00
77.305,77.35,77.305,77.35,700,2024-03-28 09:36:00-04:00
77.32,77.32,77.32,77.32,100,2024-03-28 09:37:00-04:00
77.28,77.28,77.185,77.185,921,2024-03-28 09:38:00-04:00
77.225,77.225,77.16,77.16,200,2024-03-28 09:39:00-04:00
77.23,77.23,77.185,77.185,200,2024-03-28 09:40:00-04:00
77.18,77.18,77.13,77.155,300,2024-03-28 09:41:00-04:00
77.18,77.19,77.1,77.17,1862,2024-03-28 09:42:00-04:00
77.19,77.19,77.19,77.19,100,2024-03-28 09:43:00-04:00
77.21,77.32,77.19,77.32,1600,2024-03-28 09:44:00-04:00
77.345,77.41,77.34,77.36,2200,2024-03-28 09:45:00-04:00
77.33,77.33,77.27,77.33,1100,2024-03-28 09:46:00-04:00
77.375,77.41,77.375,77.41,200,2024-03-28 09:47:00-04:00
77.345,77.37,77.34,77.37,600,2024-03-28 09:48:00-04:00
77.33,77.33,77.26,77.275,1499,2024-03-28 09:49:00-04:00
77.27,77.325,77.27,77.32,2784,2024-03-28 09:50:00-04:00
77.32,77.32,77.215,77.215,500,2024-03-28 09:51:00-04:00
77.205,77.22,77.205,77.22,200,2024-03-28 09:52:00-04:00
77.25,77.25,77.17,77.17,500,2024-03-28 09:53:00-04:00
77.12,77.23,77.12,77.22,6274,2024-03-28 09:54:00-04:00
77.215,77.215,77.09,77.09,1400,2024-03-28 09:55:00-04:00
77.125,77.125,77.125,77.125,100,2024-03-28 09:56:00-04:00
77.13,77.15,77.13,77.15,1203,2024-03-28 09:57:00-04:00
77.14,77.16,77.14,77.16,300,2024-03-28 09:58:00-04:00
77.15,77.18,77.15,77.18,262,2024-03-28 10:00:00-04:00
77.15,77.18,77.15,77.16,1328,2024-03-28 10:01:00-04:00
77.2,77.25,77.19,77.25,799,2024-03-28 10:02:00-04:00
77.22,77.22,77.22,77.22,100,2024-03-28 10:03:00-04:00
77.25,77.5,77.23,77.475,7539,2024-03-28 10:04:00-04:00
77.475,77.475,77.35,77.44,13616,2024-03-28 10:05:00-04:00
77.355,77.355,77.3525,77.3525,300,2024-03-28 10:06:00-04:00
77.35,77.35,77.35,77.35,100,2024-03-28 10:07:00-04:00
77.35,77.495,77.35,77.495,1200,2024-03-28 10:08:00-04:00
77.52,77.54,77.51,77.54,600,2024-03-28 10:09:00-04:00
77.51,77.53,77.505,77.51,1000,2024-03-28 10:10:00-04:00
77.54,77.57,77.54,77.57,1300,2024-03-28 10:11:00-04:00
77.585,77.585,77.495,77.495,7101,2024-03-28 10:12:00-04:00
77.5,77.54,77.5,77.54,400,2024-03-28 10:13:00-04:00
77.495,77.5,77.495,77.5,200,2024-03-28 10:14:00-04:00
77.47,77.47,77.47,77.47,200,2024-03-28 10:15:00-04:00
77.5,77.53,77.5,77.52,400,2024-03-28 10:16:00-04:00
77.48,77.48,77.435,77.435,400,2024-03-28 10:17:00-04:00
77.44,77.44,77.44,77.44,200,2024-03-28 10:18:00-04:00
77.41,77.41,77.39,77.39,500,2024-03-28 10:19:00-04:00
77.38,77.42,77.38,77.42,615,2024-03-28 10:20:00-04:00
77.39,77.41,77.37,77.37,1000,2024-03-28 10:21:00-04:00
