open,high,low,close,volume,datetime
217.73,217.73,217.73,217.73,637,2021-11-23 08:36:00-05:00
217.73,217.73,217.73,217.73,380,2021-11-23 09:13:00-05:00
217.7,217.7,217.7,217.7,100,2021-11-23 09:18:00-05:00
217.06,217.07,217.05,217.05,770,2021-11-23 09:25:00-05:00
217.05,217.05,217.05,217.05,100,2021-11-23 09:26:00-05:00
217.53,218.34,217.36,217.45,43107,2021-11-23 09:30:00-05:00
217.855,218.35,217.84,218.13,6171,2021-11-23 09:31:00-05:00
218.095,218.29,217.95,218.13,1324,2021-11-23 09:32:00-05:00
218.02,218.18,217.97,218.08,3497,2021-11-23 09:33:00-05:00
218.22,218.22,217.98,217.98,1000,2021-11-23 09:34:00-05:00
218.07,218.32,218.0209,218.0475,6151,2021-11-23 09:35:00-05:00
218.08,218.08,217.98,217.98,1328,2021-11-23 09:36:00-05:00
217.93,217.93,217.67,217.67,1220,2021-11-23 09:37:00-05:00
217.61,217.7,217.57,217.57,2025,2021-11-23 09:38:00-05:00
217.6,217.94,217.585,217.83,1644,2021-11-23 09:39:00-05:00
217.785,217.91,217.785,217.83,2240,2021-11-23 09:40:00-05:00
217.89,218.12,217.825,217.99,1400,2021-11-23 09:41:00-05:00
218.025,218.1,217.84,217.84,6548,2021-11-23 09:42:00-05:00
217.93,218.0,217.66,217.66,1900,2021-11-23 09:43:00-05:00
217.61,217.8355,217.61,217.8355,1351,2021-11-23 09:44:00-05:00
217.97,218.02,217.89,217.97,1144,2021-11-23 09:45:00-05:00
217.92,218.0599,217.855,217.8625,7223,2021-11-23 09:46:00-05:00
217.83,218.07,217.81,218.03,4026,2021-11-23 09:47:00-05:00
218.04,218.225,217.9937,218.07,7845,2021-11-23 09:48:00-05:00
218.08,218.18,217.985,218.18,11381,2021-11-23 09:49:00-05:00
218.29,218.46,218.28,218.29,4396,2021-11-23 09:50:00-05:00
218.27,218.27,217.9898,218.0,1166,2021-11-23 09:51:00-05:00
218.04,218.185,218.04,218.185,3682,2021-11-23 09:52:00-05:00
218.1313,218.19,218.02,218.09,6299,2021-11-23 09:53:00-05:00
218.11,218.299,218.11,218.16,4035,2021-11-23 09:54:00-05:00
218.34,218.34,218.2,218.22,5300,2021-11-23 09:55:00-05:00
218.27,218.35,218.21,218.33,1900,2021-11-23 09:56:00-05:00
218.33,218.36,218.09,218.09,5300,2021-11-23 09:57:00-05:00
218.14,218.16,217.95,217.97,2479,2021-11-23 09:58:00-05:00
218.025,218.08,217.76,217.795,19842,2021-11-23 09:59:00-05:00
217.83,218.01,217.83,217.97,2337,2021-11-23 10:00:00-05:00
217.89,218.06,217.83,218.04,3304,2021-11-23 10:01:00-05:00
217.93,217.93,217.7275,217.79,400,2021-11-23 10:02:00-05:00
217.81,217.93,217.72,217.93,2204,2021-11-23 10:03:00-05:00
217.975,218.03,217.94,217.955,3832,2021-11-23 10:04:00-05:00
218.015,218.03,217.939,217.939,824,2021-11-23 10:05:00-05:00
218.0,218.0,217.845,217.8475,2000,2021-11-23 10:06:00-05:00
217.8875,218.0,217.805,217.933,1000,2021-11-23 10:07:00-05:00
217.79,217.965,217.79,217.955,1010,2021-11-23 10:08:00-05:00
217.9525,218.0,217.83,217.98,20742,2021-11-23 10:09:00-05:00
217.98,218.1,217.97,218.065,11139,2021-11-23 10:10:00-05:00
218.05,218.17,218.05,218.0675,6969,2021-11-23 10:11:00-05:00
218.09,218.17,218.0825,218.0825,5183,2021-11-23 10:12:00-05:00
218.05,218.05,217.77,217.909,7654,2021-11-23 10:13:00-05:00
217.86,217.95,217.8,217.915,1600,2021-11-23 10:14:00-05:00
217.94,218.1,217.93,217.955,9750,2021-11-23 10:15:00-05:00
217.98,218.09,217.93,218.04,8061,2021-11-23 10:16:00-05:00
218.03,218.055,217.86,217.86,1435,2021-11-23 10:17:00-05:00
217.87,218.14,217.87,218.14,919,2021-11-23 10:18:00-05:00
218.01,218.07,217.985,217.99,3372,2021-11-23 10:19:00-05:00
218.08,218.18,218.08,218.17,1150,2021-11-23 10:20:00-05:00
218.015,218.07,217.8,217.88,25836,2021-11-23 10:21:00-05:00
217.98,218.205,217.98,218.205,1100,2021-11-23 10:22:00-05:00
218.23,218.3,218.15,218.15,800,2021-11-23 10:23:00-05:00
218.1216,218.33,218.03,218.27,6765,2021-11-23 10:24:00-05:00
218.3167,218.35,218.275,218.275,1800,2021-11-23 10:25:00-05:00
218.265,218.265,218.19,218.19,204,2021-11-23 10:26:00-05:00
217.84,218.06,217.83,218.025,3320,2021-11-23 10:27:00-05:00
218.01,218.1115,217.99,218.0275,3463,2021-11-23 10:28:00-05:00
218.07,218.12,217.86,218.0,6705,2021-11-23 10:29:00-05:00
218.0,218.04,217.83,218.0,2054,2021-11-23 10:30:00-05:00
218.0,218.03,217.92,218.0,2567,2021-11-23 10:31:00-05:00
218.0,218.02,217.935,218.0,1600,2021-11-23 10:32:00-05:00
217.93,217.96,217.88,217.92,900,2021-11-23 10:33:00-05:00
217.87,217.88,217.73,217.81,1940,2021-11-23 10:34:00-05:00
217.835,217.875,217.76,217.76,930,2021-11-23 10:35:00-05:00
217.72,217.855,217.71,217.855,9345,2021-11-23 10:36:00-05:00
217.8,217.975,217.8,217.915,400,2021-11-23 10:37:00-05:00
217.8,217.87,217.73,217.79,3277,2021-11-23 10:38:00-05:00
217.85,217.85,217.76,217.765,1750,2021-11-23 10:39:00-05:00
217.76,217.97,217.76,217.9166,1858,2021-11-23 10:40:00-05:00
217.87,218.005,217.57,217.815,10337,2021-11-23 10:41:00-05:00
217.76,217.82,217.65,217.77,5349,2021-11-23 10:42:00-05:00
217.9,218.015,217.72,217.93,9661,2021-11-23 10:43:00-05:00
217.915,218.035,217.75,217.83,5228,2021-11-23 10:44:00-05:00
217.9,218.06,217.83,218.0,8267,2021-11-23 10:45:00-05:00
217.96,218.19,217.92,218.16,7769,2021-11-23 10:46:00-05:00
218.17,218.27,218.15,218.22,16591,2021-11-23 10:47:00-05:00
218.215,218.215,218.03,218.14,3495,2021-11-23 10:48:00-05:00
218.09,218.17,218.06,218.14,2508,2021-11-23 10:49:00-05:00
218.16,218.18,218.03,218.12,2141,2021-11-23 10:50:00-05:00
218.16,218.16,218.11,218.135,1224,2021-11-23 10:51:00-05:00
218.135,218.17,218.06,218.105,4141,2021-11-23 10:52:00-05:00
218.105,218.27,218.06,218.17,4500,2021-11-23 10:53:00-05:00
218.21,218.27,218.16,218.23,9910,2021-11-23 10:54:00-05:00
218.26,218.31,218.17,218.2,8172,2021-11-23 10:55:00-05:00
218.17,218.24,218.03,218.15,3881,2021-11-23 10:56:00-05:00
218.195,218.265,218.08,218.12,5597,2021-11-23 10:57:00-05:00
218.05,218.06,218.0,218.025,1500,2021-11-23 10:58:00-05:00
218.08,218.19,218.01,218.05,10139,2021-11-23 10:59:00-05:00
218.1,218.1,217.94,217.965,5120,2021-11-23 11:00:00-05:00
217.93,218.1,217.85,218.0,6978,2021-11-23 11:01:00-05:00
218.0,218.07,217.84,218.07,20445,2021-11-23 11:02:00-05:00
218.01,218.04,217.92,217.93,5894,2021-11-23 11:03:00-05:00
217.92,218.02,217.85,217.9,6718,2021-11-23 11:04:00-05:00
217.9,218.01,217.85,217.85,17793,2021-11-23 11:05:00-05:00
217.94,217.94,217.52,217.58,19083,2021-11-23 11:06:00-05:00
217.57,217.62,217.43,217.46,5029,2021-11-23 11:07:00-05:00
217.445,217.445,217.03,217.03,37924,2021-11-23 11:08:00-05:00
217.0,217.01,216.8,217.0,15693,2021-11-23 11:09:00-05:00
217.0,217.27,216.57,216.71,24484,2021-11-23 11:10:00-05:00
216.72,217.16,216.72,217.0,26853,2021-11-23 11:11:00-05:00
217.0,217.0,216.85,216.86,2016,2021-11-23 11:12:00-05:00
217.0,217.15,216.86,217.0,12949,2021-11-23 11:13:00-05:00
216.97,217.07,216.79,216.79,19084,2021-11-23 11:14:00-05:00
216.78,216.91,216.72,216.875,17892,2021-11-23 11:15:00-05:00
216.875,217.13,216.875,216.94,8600,2021-11-23 11:16:00-05:00
216.88,216.94,216.81,216.86,4865,2021-11-23 11:17:00-05:00
216.93,216.94,216.83,216.84,5026,2021-11-23 11:18:00-05:00
216.84,216.84,216.42,216.46,6842,2021-11-23 11:19:00-05:00
216.43,216.7,216.25,216.575,16804,2021-11-23 11:20:00-05:00
216.68,216.75,216.58,216.6,2439,2021-11-23 11:21:00-05:00
216.585,216.72,216.45,216.6936,6896,2021-11-23 11:22:00-05:00
216.6,216.66,216.5811,216.635,4035,2021-11-23 11:23:00-05:00
216.555,216.555,216.43,216.43,6306,2021-11-23 11:24:00-05:00
216.44,216.71,216.38,216.675,8599,2021-11-23 11:25:00-05:00
216.68,216.92,216.675,216.8505,26427,2021-11-23 11:26:00-05:00
216.77,216.86,216.705,216.705,4245,2021-11-23 11:27:00-05:00
216.71,216.78,216.64,216.745,4485,2021-11-23 11:28:00-05:00
216.73,216.7642,216.67,216.69,1928,2021-11-23 11:29:00-05:00
216.705,216.705,216.52,216.66,12804,2021-11-23 11:30:00-05:00
216.59,216.78,216.59,216.675,5187,2021-11-23 11:31:00-05:00
216.65,216.94,216.65,216.8254,3699,2021-11-23 11:32:00-05:00
216.83,216.85,216.78,216.845,1510,2021-11-23 11:33:00-05:00
216.75,216.85,216.68,216.71,6228,2021-11-23 11:34:00-05:00
216.79,216.88,216.74,216.785,2310,2021-11-23 11:35:00-05:00
216.79,216.84,216.71,216.825,2000,2021-11-23 11:36:00-05:00
216.83,217.16,216.78,217.075,8200,2021-11-23 11:37:00-05:00
217.08,217.26,217.06,217.18,14283,2021-11-23 11:38:00-05:00
217.2,217.45,217.175,217.37,14043,2021-11-23 11:39:00-05:00
217.36,217.71,217.36,217.604,13257,2021-11-23 11:40:00-05:00
217.61,217.64,217.4415,217.51,1714,2021-11-23 11:41:00-05:00
217.45,217.55,217.435,217.5142,2720,2021-11-23 11:42:00-05:00
217.45,217.52,217.38,217.43,6207,2021-11-23 11:43:00-05:00
217.38,217.38,217.1,217.12,1400,2021-11-23 11:44:00-05:00
217.145,217.32,217.05,217.25,3946,2021-11-23 11:45:00-05:00
217.24,217.42,217.225,217.42,3294,2021-11-23 11:46:00-05:00
217.41,217.5,217.365,217.41,3551,2021-11-23 11:47:00-05:00
217.43,217.43,217.32,217.32,600,2021-11-23 11:48:00-05:00
217.31,217.47,217.24,217.465,4421,2021-11-23 11:49:00-05:00
217.455,217.6,217.42,217.44,7769,2021-11-23 11:50:00-05:00
217.39,217.39,217.2,217.3,17208,2021-11-23 11:51:00-05:00
217.3,217.37,217.28,217.37,8776,2021-11-23 11:52:00-05:00
217.4,217.4,217.3,217.3,428,2021-11-23 11:53:00-05:00
217.315,217.41,217.015,217.015,6171,2021-11-23 11:54:00-05:00
217.1,217.14,217.03,217.05,2110,2021-11-23 11:55:00-05:00
217.1599,217.23,217.08,217.23,1500,2021-11-23 11:56:00-05:00
217.15,217.255,217.02,217.02,1749,2021-11-23 11:57:00-05:00
217.02,217.17,216.99,217.17,4663,2021-11-23 11:58:00-05:00
217.06,217.07,216.99,217.03,2600,2021-11-23 11:59:00-05:00
217.04,217.04,216.85,216.85,5974,2021-11-23 12:00:00-05:00
216.86,216.91,216.79,216.8,1979,2021-11-23 12:01:00-05:00
216.75,216.8,216.59,216.7425,11371,2021-11-23 12:02:00-05:00
216.64,216.64,216.64,216.64,100,2021-11-23 12:03:00-05:00
216.56,216.64,216.425,216.425,13363,2021-11-23 12:04:00-05:00
216.41,216.6287,216.41,216.575,6353,2021-11-23 12:05:00-05:00
216.5475,216.63,216.46,216.535,19393,2021-11-23 12:06:00-05:00
216.61,216.63,216.56,216.59,1106,2021-11-23 12:07:00-05:00
216.57,216.57,216.3907,216.46,2963,2021-11-23 12:08:00-05:00
216.46,216.46,216.405,216.42,768,2021-11-23 12:09:00-05:00
216.45,216.51,216.42,216.46,2126,2021-11-23 12:10:00-05:00
216.39,216.39,216.19,216.195,2151,2021-11-23 12:11:00-05:00
216.19,216.19,216.03,216.03,3709,2021-11-23 12:12:00-05:00
216.02,216.02,215.74,215.74,5343,2021-11-23 12:13:00-05:00
215.74,215.75,215.57,215.5712,2026,2021-11-23 12:14:00-05:00
215.63,215.71,215.61,215.6362,2146,2021-11-23 12:15:00-05:00
215.72,215.79,215.7,215.78,2000,2021-11-23 12:16:00-05:00
215.73,215.73,215.635,215.7,900,2021-11-23 12:17:00-05:00
215.69,215.71,215.66,215.7,700,2021-11-23 12:18:00-05:00
215.69,215.74,215.66,215.6719,3300,2021-11-23 12:19:00-05:00
215.67,215.74,215.66,215.715,9500,2021-11-23 12:20:00-05:00
215.73,215.85,215.715,215.85,2310,2021-11-23 12:21:00-05:00
215.89,215.95,215.8,215.825,1838,2021-11-23 12:22:00-05:00
215.86,216.06,215.84,215.945,6856,2021-11-23 12:23:00-05:00
215.92,215.96,215.8748,215.88,2207,2021-11-23 12:24:00-05:00
215.89,216.05,215.89,215.99,8313,2021-11-23 12:25:00-05:00
215.985,216.03,215.9,215.98,27250,2021-11-23 12:26:00-05:00
215.985,215.99,215.89,215.93,1776,2021-11-23 12:27:00-05:00
216.02,216.02,215.84,215.85,1500,2021-11-23 12:28:00-05:00
215.845,215.96,215.845,215.935,1438,2021-11-23 12:29:00-05:00
215.96,216.01,215.92,216.0,4741,2021-11-23 12:30:00-05:00
216.01,216.03,215.92,215.97,2800,2021-11-23 12:31:00-05:00
216.0,216.01,215.8214,215.87,2151,2021-11-23 12:32:00-05:00
215.89,215.91,215.825,215.83,2720,2021-11-23 12:33:00-05:00
215.8,215.8,215.61,215.635,6295,2021-11-23 12:34:00-05:00
215.62,215.755,215.615,215.665,3034,2021-11-23 12:35:00-05:00
215.69,215.7665,215.69,215.74,901,2021-11-23 12:36:00-05:00
215.7696,215.7696,215.71,215.75,1100,2021-11-23 12:37:00-05:00
215.8,215.81,215.715,215.81,1287,2021-11-23 12:38:00-05:00
215.78,215.78,215.74,215.74,1441,2021-11-23 12:39:00-05:00
215.74,215.87,215.72,215.81,3325,2021-11-23 12:40:00-05:00
215.8387,215.8387,215.7323,215.81,1296,2021-11-23 12:41:00-05:00
215.77,215.835,215.75,215.835,4462,2021-11-23 12:42:00-05:00
215.91,216.015,215.82,215.985,3245,2021-11-23 12:43:00-05:00
215.985,216.02,215.93,215.98,4704,2021-11-23 12:44:00-05:00
215.99,216.005,215.955,215.955,3512,2021-11-23 12:45:00-05:00
215.96,216.06,215.92,215.96,4872,2021-11-23 12:46:00-05:00
215.915,215.915,215.8,215.8,1014,2021-11-23 12:47:00-05:00
215.8,215.86,215.76,215.85,3688,2021-11-23 12:48:00-05:00
215.85,215.85,215.72,215.745,3000,2021-11-23 12:49:00-05:00
215.7,215.83,215.66,215.8,9313,2021-11-23 12:50:00-05:00
215.795,215.85,215.76,215.84,3287,2021-11-23 12:51:00-05:00
215.78,215.7975,215.59,215.61,7936,2021-11-23 12:52:00-05:00
215.59,215.67,215.58,215.63,2825,2021-11-23 12:53:00-05:00
215.625,215.6399,215.5,215.5,1475,2021-11-23 12:54:00-05:00
215.48,215.52,215.425,215.43,4104,2021-11-23 12:55:00-05:00
215.43,215.48,215.361,215.415,2586,2021-11-23 12:56:00-05:00
215.385,215.4,215.27,215.3,4719,2021-11-23 12:57:00-05:00
215.29,215.32,215.16,215.2,4731,2021-11-23 12:58:00-05:00
215.19,215.24,215.15,215.15,1800,2021-11-23 12:59:00-05:00
215.145,215.31,215.145,215.3,3991,2021-11-23 13:00:00-05:00
215.34,215.405,215.29,215.405,1700,2021-11-23 13:01:00-05:00
215.355,215.48,215.355,215.48,500,2021-11-23 13:02:00-05:00
215.49,215.49,215.45,215.48,1700,2021-11-23 13:03:00-05:00
215.42,215.525,215.375,215.485,17988,2021-11-23 13:04:00-05:00
215.485,215.65,215.485,215.59,2318,2021-11-23 13:05:00-05:00
215.6,215.615,215.58,215.59,1516,2021-11-23 13:06:00-05:00
215.62,215.62,215.55,215.5632,800,2021-11-23 13:07:00-05:00
215.58,215.64,215.58,215.64,1500,2021-11-23 13:08:00-05:00
215.64,215.67,215.56,215.56,2454,2021-11-23 13:09:00-05:00
