open,high,low,close,volume,datetime
17.71,17.71,17.7,17.7,400,2024-03-28 07:32:00-04:00
17.67,17.67,17.67,17.67,885,2024-03-28 08:12:00-04:00
17.62,17.66,17.62,17.66,1498,2024-03-28 08:27:00-04:00
17.66,17.66,17.66,17.66,900,2024-03-28 09:14:00-04:00
17.73,17.73,17.73,17.73,300,2024-03-28 09:20:00-04:00
17.74,17.74,17.7,17.74,102758,2024-03-28 09:30:00-04:00
17.735,17.78,17.69,17.7,56075,2024-03-28 09:31:00-04:00
17.69,17.82,17.69,17.785,54369,2024-03-28 09:32:00-04:00
17.7886,17.81,17.775,17.79,8742,2024-03-28 09:33:00-04:00
17.78,17.8056,17.76,17.78,9082,2024-03-28 09:34:00-04:00
17.78,17.835,17.78,17.815,41176,2024-03-28 09:35:00-04:00
17.81,17.83,17.79,17.805,34288,2024-03-28 09:36:00-04:00
17.81,17.81,17.795,17.8003,4201,2024-03-28 09:37:00-04:00
17.8,17.81,17.79,17.81,31248,2024-03-28 09:38:00-04:00
17.805,17.82,17.795,17.805,40174,2024-03-28 09:39:00-04:00
17.8,17.81,17.78,17.8,7533,2024-03-28 09:40:00-04:00
17.795,17.855,17.79,17.845,26046,2024-03-28 09:41:00-04:00
17.845,17.8498,17.825,17.835,6242,2024-03-28 09:42:00-04:00
17.84,17.84,17.815,17.82,2609,2024-03-28 09:43:00-04:00
17.83,17.835,17.81,17.815,3033,2024-03-28 09:44:00-04:00
17.81,17.82,17.79,17.815,14209,2024-03-28 09:45:00-04:00
17.815,17.85,17.81,17.8452,8571,2024-03-28 09:46:00-04:00
17.85,17.85,17.82,17.835,9959,2024-03-28 09:47:00-04:00
17.835,17.835,17.795,17.805,30802,2024-03-28 09:48:00-04:00
17.8,17.82,17.8,17.815,5551,2024-03-28 09:49:00-04:00
17.82,17.82,17.8,17.815,7555,2024-03-28 09:50:00-04:00
17.81,17.81,17.795,17.7999,6071,2024-03-28 09:51:00-04:00
17.795,17.8,17.79,17.8,20709,2024-03-28 09:52:00-04:00
17.795,17.8,17.79,17.795,5031,2024-03-28 09:53:00-04:00
17.795,17.8,17.79,17.79,4596,2024-03-28 09:54:00-04:00
17.8,17.81,17.79,17.8,15343,2024-03-28 09:55:00-04:00
17.795,17.8,17.795,17.8,300,2024-03-28 09:56:00-04:00
17.795,17.805,17.795,17.8,9579,2024-03-28 09:57:00-04:00
17.795,17.81,17.79,17.81,16789,2024-03-28 09:58:00-04:00
17.8,17.81,17.8,17.8,13850,2024-03-28 09:59:00-04:00
17.805,17.825,17.795,17.8,20772,2024-03-28 10:00:00-04:00
17.7999,17.825,17.795,17.81,19285,2024-03-28 10:01:00-04:00
17.8108,17.815,17.78,17.815,28428,2024-03-28 10:02:00-04:00
17.815,17.82,17.81,17.8102,1200,2024-03-28 10:03:00-04:00
17.815,17.815,17.805,17.815,11462,2024-03-28 10:04:00-04:00
17.815,17.815,17.795,17.8,6098,2024-03-28 10:05:00-04:00
17.795,17.815,17.795,17.815,7119,2024-03-28 10:06:00-04:00
17.815,17.815,17.805,17.805,1609,2024-03-28 10:07:00-04:00
17.8,17.81,17.795,17.8,27482,2024-03-28 10:08:00-04:00
17.8068,17.81,17.8,17.8,7604,2024-03-28 10:09:00-04:00
17.805,17.805,17.76,17.76,30353,2024-03-28 10:10:00-04:00
17.75,17.77,17.75,17.76,23452,2024-03-28 10:11:00-04:00
17.76,17.76,17.75,17.755,8741,2024-03-28 10:12:00-04:00
17.755,17.7599,17.73,17.735,10310,2024-03-28 10:13:00-04:00
17.735,17.7399,17.73,17.735,2626,2024-03-28 10:14:00-04:00
17.74,17.74,17.725,17.725,5171,2024-03-28 10:15:00-04:00
17.7206,17.73,17.71,17.73,17965,2024-03-28 10:16:00-04:00
17.72,17.725,17.695,17.71,22726,2024-03-28 10:17:00-04:00
17.705,17.71,17.69,17.7,22395,2024-03-28 10:18:00-04:00
17.695,17.71,17.695,17.7,3000,2024-03-28 10:19:00-04:00
17.705,17.71,17.7,17.71,18042,2024-03-28 10:20:00-04:00
17.715,17.715,17.71,17.71,1822,2024-03-28 10:21:00-04:00
17.705,17.71,17.705,17.705,1200,2024-03-28 10:22:00-04:00
17.71,17.71,17.7,17.705,4352,2024-03-28 10:23:00-04:00
17.705,17.72,17.7,17.72,40747,2024-03-28 10:24:00-04:00
17.72,17.73,17.72,17.725,27786,2024-03-28 10:25:00-04:00
17.725,17.73,17.71,17.72,5438,2024-03-28 10:26:00-04:00
17.7174,17.73,17.715,17.73,8597,2024-03-28 10:27:00-04:00
17.73,17.74,17.725,17.725,11011,2024-03-28 10:28:00-04:00
17.725,17.725,17.71,17.7199,11418,2024-03-28 10:29:00-04:00
17.715,17.725,17.71,17.725,5832,2024-03-28 10:30:00-04:00
17.725,17.75,17.725,17.75,10965,2024-03-28 10:31:00-04:00
17.7499,17.77,17.7499,17.765,14778,2024-03-28 10:32:00-04:00
17.765,17.78,17.765,17.78,18354,2024-03-28 10:33:00-04:00
17.78,17.78,17.775,17.78,1656,2024-03-28 10:34:00-04:00
17.78,17.795,17.78,17.795,6517,2024-03-28 10:35:00-04:00
17.795,17.795,17.781,17.785,3458,2024-03-28 10:36:00-04:00
17.785,17.79,17.785,17.79,8396,2024-03-28 10:37:00-04:00
17.7899,17.79,17.78,17.79,11421,2024-03-28 10:38:00-04:00
17.785,17.81,17.785,17.81,33390,2024-03-28 10:39:00-04:00
17.805,17.81,17.79,17.795,17748,2024-03-28 10:40:00-04:00
17.795,17.8,17.7905,17.8,2435,2024-03-28 10:41:00-04:00
17.795,17.795,17.7816,17.785,12646,2024-03-28 10:42:00-04:00
17.785,17.79,17.78,17.79,18350,2024-03-28 10:43:00-04:00
17.79,17.79,17.78,17.79,9319,2024-03-28 10:44:00-04:00
17.785,17.785,17.785,17.785,2200,2024-03-28 10:45:00-04:00
17.785,17.79,17.78,17.785,3268,2024-03-28 10:46:00-04:00
17.788,17.79,17.78,17.785,3198,2024-03-28 10:47:00-04:00
17.78,17.79,17.78,17.785,2595,2024-03-28 10:48:00-04:00
17.785,17.79,17.78,17.79,1579,2024-03-28 10:49:00-04:00
17.785,17.79,17.78,17.785,4752,2024-03-28 10:50:00-04:00
17.79,17.8,17.785,17.795,8465,2024-03-28 10:51:00-04:00
