open,high,low,close,volume,datetime
631.06,631.57,630.855,631.095,2979,2021-11-23 09:30:00-05:00
631.03,631.03,630.61,630.61,255,2021-11-23 09:31:00-05:00
630.27,630.27,629.02,629.02,400,2021-11-23 09:33:00-05:00
627.42,628.705,627.42,628.705,900,2021-11-23 09:36:00-05:00
626.31,626.31,626.31,626.31,100,2021-11-23 09:37:00-05:00
626.635,626.635,626.635,626.635,100,2021-11-23 09:43:00-05:00
624.93,627.03,624.62,625.82,1020,2021-11-23 09:45:00-05:00
624.75,624.75,624.75,624.75,135,2021-11-23 09:46:00-05:00
625.66,625.66,625.66,625.66,100,2021-11-23 09:47:00-05:00
625.89,625.89,625.89,625.89,100,2021-11-23 09:50:00-05:00
625.12,626.82,625.12,626.81,616,2021-11-23 09:51:00-05:00
627.355,628.11,627.355,628.11,200,2021-11-23 09:52:00-05:00
629.5,629.5,629.5,629.5,100,2021-11-23 09:55:00-05:00
630.37,630.37,630.37,630.37,100,2021-11-23 09:56:00-05:00
631.65,631.65,631.38,631.65,400,2021-11-23 09:57:00-05:00
631.08,631.08,631.06,631.06,400,2021-11-23 10:01:00-05:00
630.57,631.13,630.5,631.13,400,2021-11-23 10:02:00-05:00
630.05,630.05,629.44,629.44,300,2021-11-23 10:03:00-05:00
629.21,629.21,629.21,629.21,100,2021-11-23 10:04:00-05:00
630.24,630.24,630.24,630.24,662,2021-11-23 10:05:00-05:00
627.09,627.09,627.09,627.09,160,2021-11-23 10:06:00-05:00
626.5375,626.5375,626.5375,626.5375,100,2021-11-23 10:07:00-05:00
625.565,625.81,625.295,625.295,400,2021-11-23 10:08:00-05:00
624.04,624.04,624.04,624.04,100,2021-11-23 10:09:00-05:00
625.3,625.3,623.43,623.43,400,2021-11-23 10:10:00-05:00
623.405,623.405,621.8917,622.87,1322,2021-11-23 10:12:00-05:00
620.5893,620.5893,620.5893,620.5893,500,2021-11-23 10:15:00-05:00
620.86,621.25,620.81,621.23,700,2021-11-23 10:16:00-05:00
620.765,621.4,620.765,621.4,400,2021-11-23 10:18:00-05:00
621.44,621.44,621.44,621.44,100,2021-11-23 10:20:00-05:00
621.04,621.05,620.96,621.01,500,2021-11-23 10:22:00-05:00
620.55,620.55,620.07,620.355,300,2021-11-23 10:23:00-05:00
620.69,620.69,620.34,620.34,810,2021-11-23 10:24:00-05:00
619.0,619.15,618.31,618.31,1000,2021-11-23 10:26:00-05:00
617.4277,617.87,617.4277,617.55,1195,2021-11-23 10:28:00-05:00
617.39,617.39,617.39,617.39,100,2021-11-23 10:29:00-05:00
617.9,618.8,617.75,618.8,800,2021-11-23 10:31:00-05:00
618.2,618.2,618.04,618.04,300,2021-11-23 10:34:00-05:00
616.4,616.7,616.4,616.7,394,2021-11-23 10:36:00-05:00
616.31,616.895,616.31,616.895,500,2021-11-23 10:37:00-05:00
617.495,618.11,617.495,618.11,310,2021-11-23 10:38:00-05:00
