open,high,low,close,volume,datetime
138.68,138.68,138.68,138.68,105,2024-03-28 08:12:00-04:00
138.68,139.46,138.68,139.285,8764,2024-03-28 09:30:00-04:00
139.23,139.23,139.23,139.23,100,2024-03-28 09:31:00-04:00
139.0,139.09,138.225,138.3,421,2024-03-28 09:32:00-04:00
138.09,138.09,137.63,138.085,400,2024-03-28 09:34:00-04:00
138.19,138.25,138.04,138.1,1100,2024-03-28 09:35:00-04:00
138.14,138.376,138.02,138.02,700,2024-03-28 09:36:00-04:00
137.83,137.83,137.745,137.745,1565,2024-03-28 09:38:00-04:00
137.67,137.67,137.67,137.67,100,2024-03-28 09:39:00-04:00
137.54,137.54,137.45,137.45,400,2024-03-28 09:40:00-04:00
137.3,137.3,137.28,137.28,300,2024-03-28 09:41:00-04:00
137.22,137.29,137.22,137.29,200,2024-03-28 09:42:00-04:00
137.18,137.315,136.75,136.76,5272,2024-03-28 09:43:00-04:00
137.1495,137.1495,136.8,136.8,804,2024-03-28 09:44:00-04:00
136.47,136.74,136.29,136.74,2986,2024-03-28 09:45:00-04:00
136.96,137.24,136.96,137.24,2487,2024-03-28 09:46:00-04:00
137.238,137.238,137.238,137.238,1500,2024-03-28 09:47:00-04:00
137.15,137.15,137.15,137.15,100,2024-03-28 09:48:00-04:00
136.81,136.89,136.29,136.29,1250,2024-03-28 09:49:00-04:00
136.645,136.645,136.5,136.5,200,2024-03-28 09:50:00-04:00
136.48,136.48,136.48,136.48,100,2024-03-28 09:51:00-04:00
136.91,136.98,136.71,136.98,1203,2024-03-28 09:52:00-04:00
136.9925,137.08,136.81,136.81,500,2024-03-28 09:53:00-04:00
136.8,136.8,136.69,136.78,471,2024-03-28 09:54:00-04:00
136.83,137.02,136.83,137.02,1209,2024-03-28 09:56:00-04:00
137.2,137.2,137.055,137.11,819,2024-03-28 09:57:00-04:00
137.06,137.06,137.06,137.06,200,2024-03-28 09:58:00-04:00
137.23,137.24,136.89,136.89,365,2024-03-28 09:59:00-04:00
137.055,137.3,137.055,137.3,800,2024-03-28 10:00:00-04:00
137.2,137.45,137.2,137.45,354,2024-03-28 10:01:00-04:00
137.36,137.67,137.3401,137.62,1350,2024-03-28 10:02:00-04:00
137.56,137.7,137.41,137.46,2500,2024-03-28 10:04:00-04:00
137.46,137.69,137.46,137.69,200,2024-03-28 10:05:00-04:00
137.43,137.5021,137.43,137.5021,277,2024-03-28 10:06:00-04:00
137.29,137.29,137.29,137.29,100,2024-03-28 10:07:00-04:00
137.18,137.18,137.08,137.08,300,2024-03-28 10:09:00-04:00
137.05,137.05,137.05,137.05,100,2024-03-28 10:10:00-04:00
137.29,137.6,137.25,137.6,4278,2024-03-28 10:11:00-04:00
137.65,137.65,137.48,137.572,859,2024-03-28 10:12:00-04:00
137.485,137.485,137.485,137.485,100,2024-03-28 10:13:00-04:00
137.61,137.74,137.61,137.67,800,2024-03-28 10:14:00-04:00
137.78,137.885,137.78,137.885,200,2024-03-28 10:15:00-04:00
