open,high,low,close,volume,datetime
57.12,57.12,57.12,57.12,135,2024-03-28 08:12:00-04:00
57.25,57.325,57.21,57.21,10421,2024-03-28 09:30:00-04:00
57.325,57.4,57.23,57.325,1200,2024-03-28 09:31:00-04:00
57.23,57.23,57.16,57.16,1649,2024-03-28 09:32:00-04:00
57.16,57.185,57.16,57.185,500,2024-03-28 09:33:00-04:00
57.19,57.285,57.12,57.215,2329,2024-03-28 09:34:00-04:00
57.26,57.26,57.24,57.24,200,2024-03-28 09:35:00-04:00
57.26,57.27,57.23,57.27,425,2024-03-28 09:36:00-04:00
57.24,57.25,57.18,57.1975,2000,2024-03-28 09:37:00-04:00
57.18,57.23,57.18,57.2,300,2024-03-28 09:39:00-04:00
57.205,57.205,57.12,57.12,1132,2024-03-28 09:41:00-04:00
57.12,57.12,57.11,57.115,400,2024-03-28 09:42:00-04:00
57.115,57.115,57.025,57.025,200,2024-03-28 09:43:00-04:00
57.155,57.155,56.855,56.87,18119,2024-03-28 09:45:00-04:00
56.985,57.0,56.82,56.97,19150,2024-03-28 09:46:00-04:00
56.97,57.12,56.97,57.03,9896,2024-03-28 09:47:00-04:00
57.11,57.11,57.04,57.07,1000,2024-03-28 09:48:00-04:00
57.1075,57.1075,57.1075,57.1075,100,2024-03-28 09:49:00-04:00
57.15,57.15,57.06,57.06,427,2024-03-28 09:50:00-04:00
57.12,57.19,57.06,57.06,3998,2024-03-28 09:51:00-04:00
57.075,57.13,57.075,57.115,2504,2024-03-28 09:52:00-04:00
57.08,57.08,57.08,57.08,100,2024-03-28 09:53:00-04:00
57.07,57.07,56.97,56.97,1424,2024-03-28 09:54:00-04:00
56.95,57.02,56.95,56.995,3150,2024-03-28 09:55:00-04:00
57.0,57.0,56.94,56.94,500,2024-03-28 09:56:00-04:00
56.99,56.99,56.86,56.95,9853,2024-03-28 09:57:00-04:00
56.95,56.95,56.76,56.76,5254,2024-03-28 09:58:00-04:00
56.76,56.845,56.76,56.845,300,2024-03-28 09:59:00-04:00
56.83,56.93,56.83,56.9,3621,2024-03-28 10:00:00-04:00
56.9,56.905,56.75,56.82,30041,2024-03-28 10:01:00-04:00
56.815,56.9,56.815,56.87,4252,2024-03-28 10:02:00-04:00
56.89,57.19,56.89,56.94,19127,2024-03-28 10:03:00-04:00
56.93,56.97,56.93,56.94,1854,2024-03-28 10:04:00-04:00
56.94,56.96,56.9,56.92,4024,2024-03-28 10:05:00-04:00
56.93,56.93,56.9,56.9,200,2024-03-28 10:06:00-04:00
56.905,56.97,56.905,56.97,2700,2024-03-28 10:07:00-04:00
57.01,57.01,56.91,56.91,2905,2024-03-28 10:08:00-04:00
56.91,56.93,56.9,56.92,8668,2024-03-28 10:09:00-04:00
56.915,56.92,56.855,56.88,4917,2024-03-28 10:10:00-04:00
56.875,57.015,56.855,57.015,2190,2024-03-28 10:11:00-04:00
56.99,57.035,56.99,57.035,1100,2024-03-28 10:12:00-04:00
57.02,57.05,57.02,57.04,600,2024-03-28 10:13:00-04:00
57.08,57.19,57.08,57.19,200,2024-03-28 10:14:00-04:00
57.2,57.23,57.12,57.12,1500,2024-03-28 10:15:00-04:00
57.13,57.17,57.11,57.17,1205,2024-03-28 10:16:00-04:00
57.13,57.13,57.13,57.13,500,2024-03-28 10:17:00-04:00
57.11,57.13,57.09,57.09,1016,2024-03-28 10:18:00-04:00
57.09,57.09,57.05,57.05,1300,2024-03-28 10:19:00-04:00
57.06,57.13,57.06,57.11,923,2024-03-28 10:20:00-04:00
57.1,57.1,57.07,57.09,1200,2024-03-28 10:21:00-04:00
57.1,57.12,57.07,57.08,2819,2024-03-28 10:22:00-04:00
57.075,57.075,57.075,57.075,300,2024-03-28 10:23:00-04:00
57.1,57.1,57.065,57.065,300,2024-03-28 10:24:00-04:00
57.11,57.11,57.07,57.08,800,2024-03-28 10:25:00-04:00
57.06,57.06,56.99,57.01,2006,2024-03-28 10:26:00-04:00
57.005,57.005,56.93,56.93,1399,2024-03-28 10:27:00-04:00
56.925,56.935,56.925,56.935,501,2024-03-28 10:28:00-04:00
56.93,56.9301,56.91,56.92,1218,2024-03-28 10:29:00-04:00
56.94,56.97,56.91,56.91,1600,2024-03-28 10:30:00-04:00
56.91,56.93,56.91,56.92,500,2024-03-28 10:31:00-04:00
56.91,56.91,56.88,56.88,1203,2024-03-28 10:32:00-04:00
56.89,56.89,56.87,56.885,600,2024-03-28 10:33:00-04:00
56.885,56.9125,56.885,56.895,1186,2024-03-28 10:34:00-04:00
56.91,56.935,56.91,56.935,900,2024-03-28 10:35:00-04:00
56.91,56.91,56.89,56.905,1355,2024-03-28 10:36:00-04:00
56.88,56.9,56.86,56.9,1974,2024-03-28 10:37:00-04:00
56.92,56.95,56.92,56.95,500,2024-03-28 10:38:00-04:00
56.975,57.0,56.975,56.975,765,2024-03-28 10:39:00-04:00
56.96,56.97,56.93,56.96,2548,2024-03-28 10:40:00-04:00
56.945,56.945,56.945,56.945,100,2024-03-28 10:41:00-04:00
56.96,56.96,56.96,56.96,100,2024-03-28 10:42:00-04:00
56.92,56.92,56.85,56.87,1982,2024-03-28 10:43:00-04:00
56.8709,56.885,56.86,56.87,800,2024-03-28 10:44:00-04:00
56.89,56.925,56.89,56.925,884,2024-03-28 10:45:00-04:00
56.94,56.94,56.94,56.94,200,2024-03-28 10:46:00-04:00
56.96,56.96,56.905,56.905,1800,2024-03-28 10:47:00-04:00
56.9,56.9,56.88,56.88,620,2024-03-28 10:48:00-04:00
56.9,56.9,56.9,56.9,100,2024-03-28 10:49:00-04:00
56.9,56.92,56.9,56.91,646,2024-03-28 10:50:00-04:00
56.91,56.91,56.875,56.89,1816,2024-03-28 10:51:00-04:00
56.88,56.8954,56.88,56.88,400,2024-03-28 10:52:00-04:00
56.9,56.93,56.88,56.93,1288,2024-03-28 10:53:00-04:00
56.925,56.955,56.92,56.955,500,2024-03-28 10:54:00-04:00
56.94,56.95,56.94,56.95,300,2024-03-28 10:55:00-04:00
56.955,56.955,56.93,56.93,1201,2024-03-28 10:56:00-04:00
56.95,56.98,56.95,56.98,400,2024-03-28 10:57:00-04:00
56.9807,57.0,56.975,56.985,1300,2024-03-28 10:58:00-04:00
56.985,56.985,56.96,56.96,684,2024-03-28 10:59:00-04:00
56.96,56.96,56.96,56.96,200,2024-03-28 11:00:00-04:00
56.94,56.96,56.93,56.96,1501,2024-03-28 11:01:00-04:00
56.97,56.97,56.94,56.94,811,2024-03-28 11:02:00-04:00
56.95,56.96,56.95,56.96,428,2024-03-28 11:03:00-04:00
56.94,56.94,56.92,56.92,400,2024-03-28 11:04:00-04:00
56.91,56.91,56.91,56.91,400,2024-03-28 11:05:00-04:00
56.92,56.94,56.91,56.94,500,2024-03-28 11:06:00-04:00
56.93,56.95,56.92,56.92,1200,2024-03-28 11:07:00-04:00
56.92,56.92,56.88,56.88,500,2024-03-28 11:08:00-04:00
56.88,56.89,56.84,56.84,840,2024-03-28 11:09:00-04:00
56.84,56.89,56.84,56.885,1500,2024-03-28 11:10:00-04:00
56.885,56.91,56.85,56.85,2200,2024-03-28 11:12:00-04:00
56.85,56.858,56.83,56.83,1748,2024-03-28 11:13:00-04:00
56.84,56.85,56.84,56.85,200,2024-03-28 11:14:00-04:00
56.86,56.89,56.83,56.83,1195,2024-03-28 11:15:00-04:00
56.845,56.86,56.845,56.86,300,2024-03-28 11:16:00-04:00
56.88,56.89,56.87,56.87,1500,2024-03-28 11:17:00-04:00
56.86,56.87,56.84,56.87,500,2024-03-28 11:18:00-04:00
56.88,56.91,56.88,56.895,1336,2024-03-28 11:19:00-04:00
56.8991,56.8991,56.89,56.89,272,2024-03-28 11:20:00-04:00
56.9,56.9,56.86,56.86,1300,2024-03-28 11:21:00-04:00
56.87,56.87,56.84,56.84,800,2024-03-28 11:22:00-04:00
56.85,56.87,56.84,56.85,2000,2024-03-28 11:23:00-04:00
56.85,56.9,56.85,56.895,1400,2024-03-28 11:24:00-04:00
56.895,56.895,56.895,56.895,200,2024-03-28 11:25:00-04:00
56.91,56.91,56.885,56.885,2100,2024-03-28 11:26:00-04:00
56.88,56.88,56.86,56.86,200,2024-03-28 11:27:00-04:00
56.88,56.885,56.88,56.885,400,2024-03-28 11:28:00-04:00
56.89,56.9,56.885,56.9,1168,2024-03-28 11:29:00-04:00
56.9,56.9,56.86,56.865,2200,2024-03-28 11:30:00-04:00
56.88,56.9,56.87,56.9,1300,2024-03-28 11:31:00-04:00
56.91,56.91,56.9,56.91,500,2024-03-28 11:32:00-04:00
56.91,56.91,56.91,56.91,300,2024-03-28 11:33:00-04:00
56.92,56.92,56.88,56.88,2384,2024-03-28 11:34:00-04:00
56.88,56.89,56.875,56.89,491,2024-03-28 11:35:00-04:00
56.88,56.88,56.86,56.86,1022,2024-03-28 11:36:00-04:00
56.86,56.86,56.86,56.86,300,2024-03-28 11:37:00-04:00
56.85,56.86,56.85,56.86,2105,2024-03-28 11:38:00-04:00
56.86,56.86,56.82,56.82,1372,2024-03-28 11:39:00-04:00
56.815,56.83,56.81,56.83,1727,2024-03-28 11:40:00-04:00
56.825,56.825,56.825,56.825,100,2024-03-28 11:41:00-04:00
56.825,56.84,56.82,56.84,800,2024-03-28 11:42:00-04:00
56.83,56.83,56.8,56.8,700,2024-03-28 11:43:00-04:00
56.81,56.82,56.79,56.82,1500,2024-03-28 11:44:00-04:00
56.81,56.81,56.78,56.78,700,2024-03-28 11:45:00-04:00
56.77,56.77,56.71,56.71,3490,2024-03-28 11:46:00-04:00
56.715,56.72,56.715,56.72,600,2024-03-28 11:47:00-04:00
56.72,56.72,56.69,56.72,2900,2024-03-28 11:48:00-04:00
56.715,56.715,56.69,56.69,1010,2024-03-28 11:49:00-04:00
56.69,56.715,56.69,56.7,1100,2024-03-28 11:50:00-04:00
56.7,56.74,56.7,56.74,1800,2024-03-28 11:51:00-04:00
56.76,56.79,56.76,56.79,1150,2024-03-28 11:52:00-04:00
56.75,56.755,56.75,56.755,400,2024-03-28 11:53:00-04:00
56.77,56.79,56.76,56.79,800,2024-03-28 11:54:00-04:00
56.82,56.85,56.82,56.83,1448,2024-03-28 11:55:00-04:00
56.84,56.85,56.83,56.83,1205,2024-03-28 11:56:00-04:00
56.83,56.84,56.83,56.84,400,2024-03-28 11:57:00-04:00
56.85,56.87,56.82,56.82,2603,2024-03-28 11:58:00-04:00
56.8,56.82,56.8,56.815,1600,2024-03-28 11:59:00-04:00
56.815,56.87,56.79,56.87,2098,2024-03-28 12:00:00-04:00
56.865,56.89,56.865,56.89,500,2024-03-28 12:01:00-04:00
56.86,56.95,56.86,56.935,1234,2024-03-28 12:02:00-04:00
56.95,56.975,56.95,56.975,400,2024-03-28 12:03:00-04:00
56.985,57.0,56.95,56.95,2333,2024-03-28 12:04:00-04:00
56.955,56.97,56.94,56.94,1000,2024-03-28 12:05:00-04:00
56.945,56.95,56.89,56.9,1500,2024-03-28 12:06:00-04:00
56.9,56.95,56.895,56.95,1100,2024-03-28 12:07:00-04:00
56.935,56.935,56.935,56.935,100,2024-03-28 12:08:00-04:00
56.935,56.94,56.88,56.9,2534,2024-03-28 12:09:00-04:00
56.895,56.895,56.855,56.855,1300,2024-03-28 12:10:00-04:00
56.84,56.84,56.82,56.82,700,2024-03-28 12:11:00-04:00
56.82,56.8601,56.81,56.8601,1060,2024-03-28 12:12:00-04:00
56.85,56.85,56.8,56.83,1406,2024-03-28 12:13:00-04:00
56.8253,56.85,56.81,56.85,1440,2024-03-28 12:14:00-04:00
56.85,56.85,56.825,56.825,600,2024-03-28 12:15:00-04:00
56.825,56.84,56.825,56.84,500,2024-03-28 12:16:00-04:00
56.825,56.84,56.825,56.84,400,2024-03-28 12:17:00-04:00
56.84,56.84,56.815,56.825,2253,2024-03-28 12:18:00-04:00
56.84,56.84,56.81,56.81,2423,2024-03-28 12:19:00-04:00
56.8,56.8,56.79,56.8,616,2024-03-28 12:20:00-04:00
56.81,56.81,56.79,56.8,1340,2024-03-28 12:21:00-04:00
56.8,56.82,56.8,56.81,502,2024-03-28 12:22:00-04:00
56.83,56.855,56.83,56.855,607,2024-03-28 12:23:00-04:00
56.865,56.9,56.865,56.87,1512,2024-03-28 12:24:00-04:00
56.86,56.86,56.85,56.85,500,2024-03-28 12:25:00-04:00
56.84,56.845,56.84,56.845,500,2024-03-28 12:26:00-04:00
56.88,56.88,56.88,56.88,157,2024-03-28 12:27:00-04:00
56.8892,56.89,56.87,56.89,2980,2024-03-28 12:28:00-04:00
56.9,56.9,56.86,56.87,1300,2024-03-28 12:29:00-04:00
56.86,56.86,56.85,56.85,300,2024-03-28 12:30:00-04:00
56.85,56.86,56.82,56.825,1400,2024-03-28 12:32:00-04:00
56.8,56.815,56.77,56.795,1700,2024-03-28 12:33:00-04:00
56.79,56.79,56.75,56.78,1326,2024-03-28 12:34:00-04:00
