open,high,low,close,volume,datetime
48.55,48.55,48.55,48.55,124,2021-11-23 09:01:00-05:00
48.57,48.57,48.42,48.5,37143,2021-11-23 09:30:00-05:00
48.42,48.49,48.35,48.49,3587,2021-11-23 09:31:00-05:00
48.59,48.6,48.55,48.59,1442,2021-11-23 09:32:00-05:00
48.5,48.525,48.39,48.39,2692,2021-11-23 09:33:00-05:00
48.41,48.435,48.31,48.375,4781,2021-11-23 09:34:00-05:00
48.365,48.37,48.28,48.28,3220,2021-11-23 09:35:00-05:00
48.31,48.31,48.24,48.255,1713,2021-11-23 09:36:00-05:00
48.22,48.23,48.22,48.225,900,2021-11-23 09:37:00-05:00
48.06,48.3,48.06,48.25,3300,2021-11-23 09:38:00-05:00
48.25,48.25,48.15,48.15,1211,2021-11-23 09:39:00-05:00
48.21,48.26,48.18,48.22,2500,2021-11-23 09:40:00-05:00
48.24,48.36,48.22,48.23,5051,2021-11-23 09:41:00-05:00
48.23,48.26,48.19,48.2,2407,2021-11-23 09:42:00-05:00
48.239,48.24,48.16,48.24,3308,2021-11-23 09:43:00-05:00
48.26,48.37,48.25,48.36,1300,2021-11-23 09:44:00-05:00
48.39,48.41,48.36,48.4,3744,2021-11-23 09:45:00-05:00
48.42,48.43,48.31,48.31,4005,2021-11-23 09:46:00-05:00
48.31,48.36,48.31,48.34,2301,2021-11-23 09:47:00-05:00
48.34,48.44,48.32,48.43,3200,2021-11-23 09:48:00-05:00
48.445,48.4681,48.4,48.44,4120,2021-11-23 09:49:00-05:00
48.51,48.57,48.51,48.56,3560,2021-11-23 09:50:00-05:00
48.56,48.56,48.51,48.545,600,2021-11-23 09:51:00-05:00
48.51,48.57,48.47,48.54,2894,2021-11-23 09:52:00-05:00
48.51,48.5597,48.51,48.51,600,2021-11-23 09:53:00-05:00
48.495,48.52,48.49,48.49,2079,2021-11-23 09:54:00-05:00
48.49,48.55,48.49,48.53,2100,2021-11-23 09:55:00-05:00
48.54,48.5609,48.54,48.5609,500,2021-11-23 09:56:00-05:00
48.55,48.56,48.49,48.49,3117,2021-11-23 09:57:00-05:00
48.49,48.49,48.45,48.45,2153,2021-11-23 09:58:00-05:00
48.47,48.48,48.43,48.43,2845,2021-11-23 09:59:00-05:00
48.43,48.45,48.42,48.431,4152,2021-11-23 10:00:00-05:00
48.445,48.48,48.43,48.45,3360,2021-11-23 10:01:00-05:00
48.38,48.4,48.36,48.375,1655,2021-11-23 10:02:00-05:00
48.38,48.45,48.38,48.435,2500,2021-11-23 10:03:00-05:00
48.435,48.475,48.435,48.475,2836,2021-11-23 10:04:00-05:00
48.48,48.49,48.39,48.39,7420,2021-11-23 10:06:00-05:00
48.38,48.41,48.37,48.384,1692,2021-11-23 10:07:00-05:00
48.405,48.405,48.36,48.37,2805,2021-11-23 10:08:00-05:00
48.39,48.395,48.34,48.34,1410,2021-11-23 10:09:00-05:00
48.3668,48.435,48.3668,48.435,3103,2021-11-23 10:10:00-05:00
48.45,48.45,48.43,48.43,852,2021-11-23 10:11:00-05:00
48.46,48.54,48.435,48.54,4231,2021-11-23 10:12:00-05:00
48.5434,48.5434,48.5,48.5,1829,2021-11-23 10:13:00-05:00
48.485,48.52,48.48,48.5,2800,2021-11-23 10:14:00-05:00
48.49,48.49,48.46,48.46,746,2021-11-23 10:15:00-05:00
48.48,48.515,48.47,48.515,2185,2021-11-23 10:16:00-05:00
48.5,48.54,48.49,48.49,2126,2021-11-23 10:17:00-05:00
48.51,48.56,48.51,48.55,8404,2021-11-23 10:18:00-05:00
48.525,48.5266,48.45,48.45,5400,2021-11-23 10:19:00-05:00
48.455,48.46,48.45,48.45,1129,2021-11-23 10:20:00-05:00
48.43,48.44,48.425,48.425,1070,2021-11-23 10:21:00-05:00
48.41,48.41,48.34,48.34,1572,2021-11-23 10:22:00-05:00
48.34,48.37,48.33,48.35,2397,2021-11-23 10:23:00-05:00
48.34,48.34,48.33,48.33,801,2021-11-23 10:24:00-05:00
48.32,48.35,48.32,48.32,1571,2021-11-23 10:25:00-05:00
48.31,48.31,48.27,48.27,3568,2021-11-23 10:26:00-05:00
48.28,48.29,48.26,48.28,1700,2021-11-23 10:27:00-05:00
48.27,48.27,48.22,48.23,1900,2021-11-23 10:28:00-05:00
48.22,48.278,48.22,48.26,6602,2021-11-23 10:29:00-05:00
