open,high,low,close,volume,datetime
266.3,266.3,265.89,265.89,500,2021-11-23 09:29:00-05:00
264.86,264.86,264.86,264.86,12029,2021-11-23 09:30:00-05:00
265.38,265.38,264.72,264.72,200,2021-11-23 09:32:00-05:00
264.26,264.91,264.0,264.0,300,2021-11-23 09:33:00-05:00
264.19,264.24,263.6,263.895,801,2021-11-23 09:34:00-05:00
263.55,264.26,263.55,264.14,803,2021-11-23 09:35:00-05:00
263.61,263.61,262.34,263.145,1700,2021-11-23 09:37:00-05:00
262.54,262.55,262.36,262.515,1500,2021-11-23 09:38:00-05:00
262.51,262.93,261.84,262.14,6343,2021-11-23 09:39:00-05:00
262.415,262.51,261.85,262.51,912,2021-11-23 09:40:00-05:00
262.3199,262.3199,262.3199,262.3199,150,2021-11-23 09:41:00-05:00
262.5,263.315,262.5,263.145,700,2021-11-23 09:42:00-05:00
262.93,263.305,262.93,263.15,500,2021-11-23 09:43:00-05:00
263.39,263.4,263.39,263.4,301,2021-11-23 09:44:00-05:00
263.625,263.625,263.1,263.1,2000,2021-11-23 09:45:00-05:00
263.55,263.55,262.8393,262.8393,2132,2021-11-23 09:46:00-05:00
262.75,263.12,262.75,263.11,300,2021-11-23 09:47:00-05:00
263.44,264.02,263.425,263.64,1658,2021-11-23 09:49:00-05:00
264.02,264.15,264.02,264.15,500,2021-11-23 09:50:00-05:00
264.4486,264.4486,264.4,264.4,586,2021-11-23 09:52:00-05:00
264.72,264.72,264.72,264.72,100,2021-11-23 09:53:00-05:00
264.7,264.7,264.7,264.7,200,2021-11-23 09:54:00-05:00
264.38,264.53,264.38,264.53,600,2021-11-23 09:55:00-05:00
264.77,265.28,264.668,265.2,700,2021-11-23 09:56:00-05:00
265.24,265.56,265.24,265.505,1171,2021-11-23 09:59:00-05:00
265.27,265.27,265.27,265.27,100,2021-11-23 10:00:00-05:00
265.22,265.385,264.77,265.04,1591,2021-11-23 10:01:00-05:00
264.67,264.67,264.23,264.23,300,2021-11-23 10:02:00-05:00
264.19,264.19,264.19,264.19,100,2021-11-23 10:03:00-05:00
264.045,264.285,264.045,264.245,500,2021-11-23 10:04:00-05:00
264.155,264.155,263.86,263.86,523,2021-11-23 10:05:00-05:00
263.72,263.78,263.47,263.765,1100,2021-11-23 10:06:00-05:00
263.205,263.205,262.85,262.85,200,2021-11-23 10:07:00-05:00
262.67,263.01,262.67,262.97,1064,2021-11-23 10:08:00-05:00
262.8,262.82,262.57,262.81,2013,2021-11-23 10:09:00-05:00
262.86,263.01,262.86,263.01,306,2021-11-23 10:10:00-05:00
263.06,263.31,263.06,263.31,720,2021-11-23 10:11:00-05:00
263.47,263.47,262.92,263.125,400,2021-11-23 10:12:00-05:00
262.65,262.845,262.65,262.845,400,2021-11-23 10:13:00-05:00
262.51,262.65,262.49,262.532,1014,2021-11-23 10:14:00-05:00
262.8,262.8,262.8,262.8,100,2021-11-23 10:15:00-05:00
263.08,263.08,262.84,262.84,200,2021-11-23 10:16:00-05:00
262.96,262.96,262.44,262.59,701,2021-11-23 10:17:00-05:00
262.93,263.36,262.92,263.36,1100,2021-11-23 10:18:00-05:00
263.35,263.51,263.03,263.51,2719,2021-11-23 10:19:00-05:00
263.47,263.52,263.305,263.31,603,2021-11-23 10:20:00-05:00
263.315,263.8,263.315,263.51,845,2021-11-23 10:21:00-05:00
263.7,263.735,263.7,263.735,200,2021-11-23 10:23:00-05:00
263.74,264.13,263.74,264.04,2123,2021-11-23 10:24:00-05:00
264.045,264.09,263.455,263.455,1902,2021-11-23 10:25:00-05:00
263.48,263.5,263.3632,263.45,1230,2021-11-23 10:26:00-05:00
263.41,263.5,263.29,263.38,600,2021-11-23 10:27:00-05:00
263.5,263.9,263.33,263.49,2359,2021-11-23 10:28:00-05:00
263.5,263.75,263.34,263.75,5422,2021-11-23 10:29:00-05:00
263.75,263.765,263.44,263.765,1701,2021-11-23 10:30:00-05:00
263.94,264.045,263.94,264.045,500,2021-11-23 10:31:00-05:00
264.05,264.3,264.025,264.025,1398,2021-11-23 10:32:00-05:00
264.045,264.045,263.84,263.865,600,2021-11-23 10:33:00-05:00
264.02,264.02,263.38,263.38,1900,2021-11-23 10:34:00-05:00
263.435,263.435,263.435,263.435,200,2021-11-23 10:35:00-05:00
263.32,263.32,263.32,263.32,100,2021-11-23 10:36:00-05:00
263.14,263.28,263.14,263.28,1002,2021-11-23 10:37:00-05:00
263.19,263.19,263.19,263.19,150,2021-11-23 10:38:00-05:00
263.2278,263.66,263.2278,263.66,2600,2021-11-23 10:39:00-05:00
263.66,264.0688,263.66,264.0688,1127,2021-11-23 10:40:00-05:00
263.78,263.79,263.78,263.79,1873,2021-11-23 10:41:00-05:00
