open,high,low,close,volume,datetime
95.26,95.26,95.26,95.26,267,2024-03-28 08:12:00-04:00
95.26,95.26,95.26,95.26,108,2024-03-28 09:14:00-04:00
95.17,95.3,94.7,94.79,43646,2024-03-28 09:30:00-04:00
94.83,95.05,94.83,95.05,769,2024-03-28 09:31:00-04:00
95.02,95.02,94.93,94.93,200,2024-03-28 09:32:00-04:00
94.93,94.98,94.93,94.93,300,2024-03-28 09:33:00-04:00
94.91,94.995,94.8301,94.94,1504,2024-03-28 09:34:00-04:00
94.93,94.96,94.84,94.95,700,2024-03-28 09:35:00-04:00
94.87,94.87,94.76,94.76,1499,2024-03-28 09:36:00-04:00
94.725,94.725,94.68,94.72,697,2024-03-28 09:37:00-04:00
94.75,94.75,94.72,94.75,802,2024-03-28 09:38:00-04:00
94.66,94.72,94.6,94.65,2000,2024-03-28 09:39:00-04:00
94.6,94.655,94.6,94.655,4300,2024-03-28 09:40:00-04:00
94.655,94.75,94.6,94.75,9426,2024-03-28 09:41:00-04:00
94.71,94.71,94.64,94.64,9419,2024-03-28 09:42:00-04:00
94.66,94.83,94.66,94.83,1128,2024-03-28 09:43:00-04:00
94.87,94.99,94.855,94.93,1183,2024-03-28 09:44:00-04:00
95.05,95.05,94.93,94.96,300,2024-03-28 09:45:00-04:00
94.97,95.01,94.91,95.0,1940,2024-03-28 09:46:00-04:00
94.9998,95.05,94.9998,95.03,367,2024-03-28 09:47:00-04:00
95.035,95.14,95.02,95.14,7400,2024-03-28 09:48:00-04:00
95.17,95.2,95.11,95.11,1932,2024-03-28 09:49:00-04:00
95.095,95.095,94.97,95.025,7469,2024-03-28 09:50:00-04:00
95.025,95.025,95.005,95.025,615,2024-03-28 09:51:00-04:00
95.005,95.08,94.95,95.07,1101,2024-03-28 09:52:00-04:00
95.065,95.065,95.065,95.065,100,2024-03-28 09:53:00-04:00
95.06,95.14,95.06,95.14,1000,2024-03-28 09:54:00-04:00
95.12,95.12,95.08,95.08,2100,2024-03-28 09:55:00-04:00
95.08,95.08,95.03,95.035,1338,2024-03-28 09:56:00-04:00
95.035,95.035,94.97,94.99,8930,2024-03-28 09:57:00-04:00
94.995,95.01,94.95,94.99,600,2024-03-28 09:58:00-04:00
94.98,95.11,94.98,95.11,950,2024-03-28 09:59:00-04:00
95.185,95.185,95.15,95.15,300,2024-03-28 10:00:00-04:00
95.19,95.28,95.19,95.28,201,2024-03-28 10:01:00-04:00
