open,high,low,close,volume,datetime
400.1,400.1,400.1,400.1,234,2024-03-28 08:12:00-04:00
401.45,402.47,400.35,401.88,20673,2024-03-28 09:30:00-04:00
402.5,402.5,401.23,401.34,524,2024-03-28 09:31:00-04:00
400.17,400.17,400.16,400.16,218,2024-03-28 09:32:00-04:00
401.335,402.065,401.01,402.065,1232,2024-03-28 09:33:00-04:00
401.53,401.56,400.935,401.43,1959,2024-03-28 09:34:00-04:00
400.625,402.385,400.625,401.33,1304,2024-03-28 09:35:00-04:00
401.295,401.295,401.0,401.14,536,2024-03-28 09:36:00-04:00
401.205,401.7,400.42,400.995,2633,2024-03-28 09:37:00-04:00
401.275,401.65,400.88,401.11,2049,2024-03-28 09:38:00-04:00
401.65,401.65,401.11,401.545,650,2024-03-28 09:39:00-04:00
401.428,401.63,400.89,401.63,6209,2024-03-28 09:40:00-04:00
401.58,401.58,401.58,401.58,200,2024-03-28 09:41:00-04:00
401.08,401.584,401.0,401.584,330,2024-03-28 09:42:00-04:00
400.96,400.97,400.96,400.97,200,2024-03-28 09:43:00-04:00
401.08,401.549,400.73,401.1858,2412,2024-03-28 09:44:00-04:00
400.81,400.81,400.1,400.66,1565,2024-03-28 09:46:00-04:00
400.645,400.645,400.01,400.26,1352,2024-03-28 09:47:00-04:00
400.27,400.27,399.28,399.6,2652,2024-03-28 09:48:00-04:00
399.575,400.4841,399.3101,400.4841,1527,2024-03-28 09:49:00-04:00
399.76,399.76,399.76,399.76,100,2024-03-28 09:50:00-04:00
399.82,400.36,399.68,400.125,824,2024-03-28 09:51:00-04:00
399.67,399.67,399.67,399.67,168,2024-03-28 09:52:00-04:00
400.07,400.07,399.77,399.77,215,2024-03-28 09:53:00-04:00
400.12,400.225,400.11,400.225,900,2024-03-28 09:54:00-04:00
400.6,400.67,400.02,400.02,303,2024-03-28 09:55:00-04:00
400.67,400.885,400.67,400.885,312,2024-03-28 09:56:00-04:00
400.59,400.95,400.59,400.95,1100,2024-03-28 09:57:00-04:00
401.185,401.185,401.05,401.05,465,2024-03-28 09:59:00-04:00
400.95,401.14,400.82,400.82,300,2024-03-28 10:00:00-04:00
401.53,401.53,400.6,400.6,416,2024-03-28 10:01:00-04:00
400.6,400.78,400.6,400.78,200,2024-03-28 10:02:00-04:00
400.61,400.63,400.56,400.56,700,2024-03-28 10:03:00-04:00
