open,high,low,close,volume,datetime
172.65,172.65,172.65,172.65,2143,2024-03-28 09:30:00-04:00
172.87,173.225,172.86,173.225,1300,2024-03-28 09:31:00-04:00
173.385,173.385,173.385,173.385,100,2024-03-28 09:34:00-04:00
173.135,173.415,173.135,173.415,300,2024-03-28 09:38:00-04:00
173.36,173.36,172.4578,172.4578,489,2024-03-28 09:40:00-04:00
173.62,173.62,173.61,173.61,200,2024-03-28 09:42:00-04:00
173.17,173.39,173.17,173.39,300,2024-03-28 09:44:00-04:00
173.255,173.39,173.1,173.36,800,2024-03-28 09:45:00-04:00
173.175,173.645,173.175,173.645,200,2024-03-28 09:47:00-04:00
173.133,173.133,173.133,173.133,177,2024-03-28 09:48:00-04:00
172.715,172.715,172.715,172.715,100,2024-03-28 09:49:00-04:00
173.3,173.3,173.3,173.3,110,2024-03-28 09:51:00-04:00
173.11,173.11,173.11,173.11,100,2024-03-28 09:52:00-04:00
172.77,173.09,172.72,172.72,700,2024-03-28 09:53:00-04:00
172.69,172.72,172.54,172.68,900,2024-03-28 09:54:00-04:00
172.83,172.83,172.83,172.83,200,2024-03-28 09:57:00-04:00
172.845,172.845,172.845,172.845,100,2024-03-28 09:58:00-04:00
172.67,172.67,172.67,172.67,425,2024-03-28 10:02:00-04:00
172.64,172.64,172.64,172.64,100,2024-03-28 10:03:00-04:00
172.72,172.79,172.72,172.79,200,2024-03-28 10:04:00-04:00
172.755,172.755,172.755,172.755,200,2024-03-28 10:05:00-04:00
172.74,172.74,172.74,172.74,100,2024-03-28 10:09:00-04:00
172.74,172.74,172.55,172.55,500,2024-03-28 10:10:00-04:00
172.53,172.53,172.52,172.52,200,2024-03-28 10:11:00-04:00
172.49,172.49,172.49,172.49,100,2024-03-28 10:15:00-04:00
172.545,172.755,172.545,172.755,600,2024-03-28 10:16:00-04:00
172.66,172.71,172.66,172.71,731,2024-03-28 10:18:00-04:00
172.64,172.64,172.64,172.64,100,2024-03-28 10:22:00-04:00
172.81,172.98,172.81,172.98,212,2024-03-28 10:23:00-04:00
173.005,173.005,173.005,173.005,100,2024-03-28 10:24:00-04:00
172.85,172.885,172.77,172.77,300,2024-03-28 10:25:00-04:00
173.17,173.17,173.17,173.17,100,2024-03-28 10:29:00-04:00
173.16,173.16,173.16,173.16,100,2024-03-28 10:31:00-04:00
173.17,173.17,173.17,173.17,100,2024-03-28 10:32:00-04:00
173.14,173.14,172.925,172.93,300,2024-03-28 10:33:00-04:00
172.83,172.83,172.83,172.83,100,2024-03-28 10:34:00-04:00
172.91,172.96,172.86,172.96,400,2024-03-28 10:35:00-04:00
172.95,172.96,172.815,172.95,400,2024-03-28 10:37:00-04:00
173.055,173.055,172.92,172.92,200,2024-03-28 10:39:00-04:00
172.96,172.96,172.96,172.96,100,2024-03-28 10:43:00-04:00
172.96,172.96,172.96,172.96,100,2024-03-28 10:44:00-04:00
172.915,172.97,172.915,172.97,400,2024-03-28 10:50:00-04:00
173.04,173.04,173.04,173.04,100,2024-03-28 10:53:00-04:00
172.935,172.935,172.935,172.935,100,2024-03-28 10:55:00-04:00
173.045,173.045,173.045,173.045,100,2024-03-28 10:56:00-04:00
172.935,172.965,172.935,172.965,300,2024-03-28 10:57:00-04:00
172.965,172.965,172.965,172.965,100,2024-03-28 10:58:00-04:00
172.86,172.86,172.84,172.84,564,2024-03-28 11:00:00-04:00
172.695,172.695,172.58,172.62,814,2024-03-28 11:05:00-04:00
172.565,172.565,172.5,172.5,200,2024-03-28 11:07:00-04:00
172.48,172.51,172.48,172.5,300,2024-03-28 11:08:00-04:00
172.63,172.69,172.585,172.585,347,2024-03-28 11:09:00-04:00
172.585,172.585,172.585,172.585,100,2024-03-28 11:10:00-04:00
172.64,172.64,172.555,172.555,200,2024-03-28 11:12:00-04:00
172.6383,172.6383,172.6383,172.6383,285,2024-03-28 11:14:00-04:00
172.64,172.64,172.64,172.64,300,2024-03-28 11:15:00-04:00
172.68,172.68,172.68,172.68,100,2024-03-28 11:16:00-04:00
172.75,172.75,172.7,172.75,700,2024-03-28 11:20:00-04:00
172.75,172.75,172.65,172.65,300,2024-03-28 11:22:00-04:00
172.69,172.705,172.62,172.705,1499,2024-03-28 11:25:00-04:00
172.63,172.63,172.63,172.63,100,2024-03-28 11:31:00-04:00
172.68,172.68,172.68,172.68,100,2024-03-28 11:33:00-04:00
172.73,172.73,172.69,172.69,282,2024-03-28 11:34:00-04:00
172.64,172.74,172.64,172.74,359,2024-03-28 11:35:00-04:00
172.66,172.66,172.66,172.66,100,2024-03-28 11:36:00-04:00
172.72,172.78,172.72,172.78,300,2024-03-28 11:37:00-04:00
172.78,172.8,172.78,172.8,200,2024-03-28 11:42:00-04:00
172.8,172.9198,172.8,172.8719,613,2024-03-28 11:43:00-04:00
172.8439,172.8439,172.765,172.765,200,2024-03-28 11:44:00-04:00
172.92,172.92,172.92,172.92,100,2024-03-28 11:45:00-04:00
173.07,173.195,173.07,173.195,412,2024-03-28 11:49:00-04:00
173.235,173.235,173.21,173.21,200,2024-03-28 11:50:00-04:00
173.3,173.3,173.3,173.3,200,2024-03-28 11:51:00-04:00
173.26,173.26,173.26,173.26,300,2024-03-28 11:53:00-04:00
173.3748,173.3748,173.26,173.26,413,2024-03-28 11:57:00-04:00
173.185,173.185,173.14,173.14,600,2024-03-28 11:59:00-04:00
173.215,173.215,173.185,173.185,200,2024-03-28 12:00:00-04:00
173.29,173.29,173.235,173.235,400,2024-03-28 12:04:00-04:00
173.305,173.305,173.305,173.305,500,2024-03-28 12:06:00-04:00
173.215,173.44,173.215,173.325,600,2024-03-28 12:07:00-04:00
173.34,173.34,173.315,173.315,200,2024-03-28 12:10:00-04:00
173.315,173.315,173.315,173.315,300,2024-03-28 12:17:00-04:00
173.24,173.24,173.24,173.24,160,2024-03-28 12:19:00-04:00
173.366,173.366,173.366,173.366,180,2024-03-28 12:25:00-04:00
173.42,173.43,173.38,173.38,300,2024-03-28 12:26:00-04:00
173.445,173.445,173.445,173.445,125,2024-03-28 12:27:00-04:00
173.38,173.38,173.38,173.38,100,2024-03-28 12:28:00-04:00
173.31,173.31,173.31,173.31,100,2024-03-28 12:29:00-04:00
173.21,173.25,173.15,173.21,692,2024-03-28 12:32:00-04:00
173.07,173.15,172.95,173.08,1607,2024-03-28 12:34:00-04:00
173.065,173.21,173.065,173.21,500,2024-03-28 12:35:00-04:00
173.275,173.275,173.275,173.275,100,2024-03-28 12:37:00-04:00
173.45,173.45,173.45,173.45,100,2024-03-28 12:43:00-04:00
173.3,173.3,173.3,173.3,100,2024-03-28 12:45:00-04:00
173.38,173.38,173.38,173.38,100,2024-03-28 12:48:00-04:00
173.31,173.36,173.31,173.36,200,2024-03-28 12:49:00-04:00
173.405,173.405,173.405,173.405,107,2024-03-28 12:53:00-04:00
173.405,173.405,173.405,173.405,200,2024-03-28 12:55:00-04:00
173.27,173.27,173.27,173.27,103,2024-03-28 12:57:00-04:00
173.45,173.45,173.45,173.45,100,2024-03-28 12:58:00-04:00
173.395,173.395,173.395,173.395,100,2024-03-28 13:00:00-04:00
173.395,173.395,173.395,173.395,100,2024-03-28 13:02:00-04:00
173.415,173.415,173.415,173.415,200,2024-03-28 13:03:00-04:00
173.37,173.37,173.345,173.345,300,2024-03-28 13:04:00-04:00
173.39,173.39,173.355,173.355,200,2024-03-28 13:05:00-04:00
173.46,173.515,173.46,173.515,300,2024-03-28 13:10:00-04:00
173.55,173.55,173.55,173.55,200,2024-03-28 13:12:00-04:00
173.535,173.535,173.535,173.535,100,2024-03-28 13:15:00-04:00
173.42,173.42,173.42,173.42,319,2024-03-28 13:16:00-04:00
173.54,173.54,173.505,173.505,200,2024-03-28 13:19:00-04:00
173.56,173.57,173.545,173.545,400,2024-03-28 13:20:00-04:00
173.51,173.51,173.495,173.495,200,2024-03-28 13:21:00-04:00
173.56,173.56,173.56,173.56,315,2024-03-28 13:23:00-04:00
173.6,173.6,173.6,173.6,100,2024-03-28 13:26:00-04:00
173.6,173.6,173.6,173.6,100,2024-03-28 13:27:00-04:00
173.53,173.53,173.53,173.53,100,2024-03-28 13:28:00-04:00
173.39,173.39,173.31,173.31,418,2024-03-28 13:30:00-04:00
173.32,173.32,173.29,173.29,200,2024-03-28 13:31:00-04:00
173.4,173.4,173.4,173.4,100,2024-03-28 13:33:00-04:00
173.32,173.32,173.32,173.32,108,2024-03-28 13:34:00-04:00
173.375,173.375,173.375,173.375,100,2024-03-28 13:37:00-04:00
173.45,173.48,173.45,173.48,200,2024-03-28 13:38:00-04:00
173.35,173.35,173.34,173.35,300,2024-03-28 13:40:00-04:00
173.29,173.29,173.27,173.27,400,2024-03-28 13:42:00-04:00
173.21,173.21,173.21,173.21,100,2024-03-28 13:44:00-04:00
