open,high,low,close,volume,datetime
160.32,160.32,160.32,160.32,300,2021-11-23 07:07:00-05:00
160.37,160.37,160.37,160.37,100,2021-11-23 07:28:00-05:00
160.3,160.3,160.3,160.3,160,2021-11-23 07:33:00-05:00
160.59,160.59,160.59,160.59,100,2021-11-23 08:02:00-05:00
160.38,160.38,160.38,160.38,200,2021-11-23 08:08:00-05:00
160.15,160.15,160.15,160.15,100,2021-11-23 08:16:00-05:00
160.1562,160.1562,160.1562,160.1562,200,2021-11-23 08:24:00-05:00
160.25,160.25,160.25,160.25,111,2021-11-23 08:25:00-05:00
160.5,160.5,160.5,160.5,100,2021-11-23 08:37:00-05:00
160.45,160.45,160.45,160.45,125,2021-11-23 08:41:00-05:00
160.2,160.2,160.2,160.2,103,2021-11-23 08:44:00-05:00
160.25,160.25,160.25,160.25,100,2021-11-23 08:50:00-05:00
160.5,160.5,160.5,160.5,624,2021-11-23 08:52:00-05:00
160.29,160.29,160.29,160.29,100,2021-11-23 08:57:00-05:00
160.37,160.37,160.37,160.37,100,2021-11-23 09:04:00-05:00
160.28,160.8399,160.25,160.8399,2894,2021-11-23 09:10:00-05:00
160.64,160.64,160.29,160.49,631,2021-11-23 09:11:00-05:00
160.598,160.5995,160.598,160.5995,299,2021-11-23 09:12:00-05:00
160.33,160.33,160.33,160.33,100,2021-11-23 09:13:00-05:00
160.63,160.63,160.63,160.63,100,2021-11-23 09:14:00-05:00
160.33,160.33,160.33,160.33,2000,2021-11-23 09:15:00-05:00
160.63,160.63,160.4,160.5,1700,2021-11-23 09:16:00-05:00
160.5,160.5,160.5,160.5,200,2021-11-23 09:19:00-05:00
160.3,160.3,160.3,160.3,100,2021-11-23 09:23:00-05:00
160.2999,160.2999,160.2999,160.2999,130,2021-11-23 09:24:00-05:00
160.28,160.3,160.28,160.3,200,2021-11-23 09:25:00-05:00
160.29,160.29,160.29,160.29,822,2021-11-23 09:26:00-05:00
160.29,160.29,160.11,160.11,1677,2021-11-23 09:28:00-05:00
160.03,160.03,159.47,159.47,9626,2021-11-23 09:29:00-05:00
159.52,159.89,159.32,159.7,203454,2021-11-23 09:30:00-05:00
159.6926,159.91,159.625,159.79,27211,2021-11-23 09:31:00-05:00
159.805,160.265,159.805,160.09,29438,2021-11-23 09:32:00-05:00
160.1,160.19,159.95,160.17,25247,2021-11-23 09:33:00-05:00
160.16,160.3,159.8,159.8,18268,2021-11-23 09:34:00-05:00
