open,high,low,close,volume,datetime
62.31,62.31,62.31,62.31,100,2021-11-23 09:09:00-05:00
62.63,62.63,62.63,62.63,301,2021-11-23 09:29:00-05:00
62.71,62.8,62.62,62.78,27704,2021-11-23 09:30:00-05:00
62.88,62.94,62.88,62.938,4900,2021-11-23 09:31:00-05:00
62.909,62.96,62.83,62.83,3631,2021-11-23 09:32:00-05:00
62.78,62.8,62.73,62.73,1250,2021-11-23 09:33:00-05:00
62.74,62.74,62.695,62.73,1400,2021-11-23 09:34:00-05:00
62.74,62.815,62.69,62.815,3932,2021-11-23 09:35:00-05:00
62.89,62.92,62.75,62.75,3003,2021-11-23 09:36:00-05:00
62.79,62.79,62.7,62.79,4178,2021-11-23 09:37:00-05:00
62.74,62.82,62.72,62.77,2551,2021-11-23 09:38:00-05:00
62.76,62.76,62.73,62.73,300,2021-11-23 09:39:00-05:00
62.75,62.75,62.68,62.75,6418,2021-11-23 09:40:00-05:00
62.73,62.7613,62.72,62.75,1800,2021-11-23 09:41:00-05:00
62.71,62.74,62.69,62.69,3054,2021-11-23 09:42:00-05:00
62.63,62.67,62.62,62.67,300,2021-11-23 09:43:00-05:00
62.68,62.69,62.675,62.69,1500,2021-11-23 09:44:00-05:00
62.72,62.73,62.66,62.66,1140,2021-11-23 09:45:00-05:00
62.68,62.68,62.61,62.61,2905,2021-11-23 09:46:00-05:00
62.63,62.65,62.585,62.6,2967,2021-11-23 09:47:00-05:00
62.6,62.64,62.59,62.6,5924,2021-11-23 09:48:00-05:00
62.64,62.65,62.61,62.61,2914,2021-11-23 09:49:00-05:00
62.63,62.68,62.55,62.55,2475,2021-11-23 09:50:00-05:00
62.55,62.57,62.53,62.57,811,2021-11-23 09:51:00-05:00
62.51,62.53,62.48,62.53,2553,2021-11-23 09:52:00-05:00
62.54,62.55,62.51,62.51,3250,2021-11-23 09:53:00-05:00
62.51,62.56,62.51,62.56,300,2021-11-23 09:54:00-05:00
62.52,62.6,62.52,62.54,850,2021-11-23 09:55:00-05:00
62.575,62.6,62.55,62.55,901,2021-11-23 09:56:00-05:00
62.55,62.59,62.5,62.59,3050,2021-11-23 09:57:00-05:00
62.57,62.611,62.56,62.57,2085,2021-11-23 09:58:00-05:00
62.593,62.64,62.5,62.55,2602,2021-11-23 09:59:00-05:00
62.57,62.61,62.57,62.61,817,2021-11-23 10:00:00-05:00
62.61,62.63,62.58,62.58,2116,2021-11-23 10:01:00-05:00
62.57,62.57,62.56,62.56,900,2021-11-23 10:02:00-05:00
62.56,62.61,62.56,62.59,900,2021-11-23 10:03:00-05:00
62.58,62.62,62.55,62.59,2406,2021-11-23 10:04:00-05:00
62.6,62.6,62.55,62.55,2200,2021-11-23 10:05:00-05:00
62.56,62.64,62.56,62.59,3519,2021-11-23 10:06:00-05:00
62.62,62.62,62.57,62.57,1750,2021-11-23 10:07:00-05:00
62.59,62.62,62.59,62.62,3480,2021-11-23 10:08:00-05:00
62.6,62.6,62.58,62.6,1007,2021-11-23 10:09:00-05:00
62.5862,62.6406,62.5862,62.6406,1574,2021-11-23 10:10:00-05:00
62.64,62.65,62.64,62.65,1400,2021-11-23 10:11:00-05:00
62.62,62.67,62.6,62.67,3300,2021-11-23 10:12:00-05:00
62.71,62.71,62.66,62.66,600,2021-11-23 10:13:00-05:00
62.672,62.7,62.61,62.61,3208,2021-11-23 10:14:00-05:00
62.65,62.67,62.6,62.64,9020,2021-11-23 10:15:00-05:00
62.66,62.7,62.64,62.7,837,2021-11-23 10:16:00-05:00
62.66,62.7,62.66,62.7,5138,2021-11-23 10:17:00-05:00
62.67,62.7,62.66,62.67,4510,2021-11-23 10:18:00-05:00
62.65,62.65,62.63,62.63,714,2021-11-23 10:19:00-05:00
62.59,62.69,62.59,62.69,4151,2021-11-23 10:20:00-05:00
62.66,62.66,62.59,62.59,2775,2021-11-23 10:21:00-05:00
62.57,62.57,62.54,62.5699,2678,2021-11-23 10:22:00-05:00
62.55,62.55,62.5,62.5,1400,2021-11-23 10:23:00-05:00
62.48,62.49,62.43,62.43,3465,2021-11-23 10:24:00-05:00
62.42,62.4472,62.42,62.44,800,2021-11-23 10:25:00-05:00
62.435,62.46,62.435,62.46,972,2021-11-23 10:26:00-05:00
62.44,62.45,62.4,62.4,1300,2021-11-23 10:27:00-05:00
62.43,62.43,62.38,62.38,6100,2021-11-23 10:28:00-05:00
62.385,62.39,62.34,62.34,4906,2021-11-23 10:29:00-05:00
62.35,62.49,62.35,62.42,10387,2021-11-23 10:30:00-05:00
62.455,62.51,62.43,62.5,8581,2021-11-23 10:31:00-05:00
62.52,62.52,62.5181,62.5181,510,2021-11-23 10:32:00-05:00
62.48,62.54,62.48,62.54,1223,2021-11-23 10:33:00-05:00
62.5336,62.55,62.51,62.53,897,2021-11-23 10:34:00-05:00
62.515,62.515,62.48,62.48,900,2021-11-23 10:35:00-05:00
62.48,62.49,62.39,62.39,3627,2021-11-23 10:36:00-05:00
62.38,62.43,62.38,62.39,3298,2021-11-23 10:37:00-05:00
62.412,62.43,62.39,62.4165,1660,2021-11-23 10:38:00-05:00
62.43,62.43,62.36,62.39,1519,2021-11-23 10:39:00-05:00
62.42,62.44,62.405,62.43,773,2021-11-23 10:40:00-05:00
62.45,62.48,62.4382,62.4639,1688,2021-11-23 10:41:00-05:00
62.49,62.53,62.49,62.53,1400,2021-11-23 10:42:00-05:00
62.55,62.6,62.55,62.561,2233,2021-11-23 10:43:00-05:00
