open,high,low,close,volume,datetime
16.16,16.16,16.15,16.15,2000,2021-11-23 07:02:00-05:00
16.16,16.16,16.1,16.1,1975,2021-11-23 07:05:00-05:00
16.1,16.1,16.1,16.1,100,2021-11-23 07:15:00-05:00
16.1,16.1,16.1,16.1,100,2021-11-23 07:22:00-05:00
16.13,16.13,16.12,16.12,500,2021-11-23 07:23:00-05:00
16.12,16.13,16.11,16.12,1900,2021-11-23 07:36:00-05:00
16.11,16.11,16.11,16.11,500,2021-11-23 07:40:00-05:00
16.12,16.12,16.12,16.12,500,2021-11-23 07:42:00-05:00
16.14,16.14,16.14,16.14,202,2021-11-23 07:46:00-05:00
16.14,16.14,16.14,16.14,500,2021-11-23 07:52:00-05:00
16.15,16.15,16.15,16.15,400,2021-11-23 08:03:00-05:00
16.15,16.15,16.15,16.15,322,2021-11-23 08:12:00-05:00
16.14,16.14,16.13,16.13,1524,2021-11-23 08:15:00-05:00
16.13,16.13,16.13,16.13,300,2021-11-23 08:17:00-05:00
16.15,16.15,16.15,16.15,1000,2021-11-23 08:23:00-05:00
16.13,16.13,16.13,16.13,2950,2021-11-23 08:29:00-05:00
16.1399,16.14,16.1399,16.14,8000,2021-11-23 08:30:00-05:00
16.1399,16.14,16.1399,16.14,2150,2021-11-23 08:31:00-05:00
16.14,16.14,16.14,16.14,250,2021-11-23 08:33:00-05:00
16.14,16.14,16.14,16.14,100,2021-11-23 08:34:00-05:00
16.1899,16.1899,16.1899,16.1899,100,2021-11-23 08:44:00-05:00
16.1899,16.1899,16.18,16.18,400,2021-11-23 08:45:00-05:00
16.19,16.19,16.19,16.19,300,2021-11-23 08:46:00-05:00
16.19,16.19,16.19,16.19,145,2021-11-23 08:59:00-05:00
16.2,16.21,16.2,16.2,840,2021-11-23 09:04:00-05:00
16.21,16.23,16.21,16.23,597,2021-11-23 09:05:00-05:00
16.23,16.23,16.23,16.23,600,2021-11-23 09:06:00-05:00
16.24,16.2499,16.24,16.2499,2103,2021-11-23 09:07:00-05:00
16.24,16.24,16.24,16.24,751,2021-11-23 09:08:00-05:00
16.24,16.24,16.24,16.24,321,2021-11-23 09:09:00-05:00
16.25,16.27,16.25,16.27,2200,2021-11-23 09:10:00-05:00
16.26,16.26,16.25,16.25,2200,2021-11-23 09:15:00-05:00
16.26,16.27,16.26,16.27,1375,2021-11-23 09:16:00-05:00
16.27,16.27,16.27,16.27,127,2021-11-23 09:18:00-05:00
16.25,16.25,16.25,16.25,1179,2021-11-23 09:22:00-05:00
16.23,16.23,16.23,16.23,1000,2021-11-23 09:24:00-05:00
16.23,16.23,16.23,16.23,243,2021-11-23 09:28:00-05:00
16.18,16.22,16.18,16.22,1646,2021-11-23 09:29:00-05:00
16.25,16.33,16.2,16.31,188409,2021-11-23 09:30:00-05:00
16.305,16.35,16.29,16.345,57609,2021-11-23 09:31:00-05:00
16.34,16.34,16.29,16.295,39197,2021-11-23 09:32:00-05:00
16.295,16.32,16.295,16.3,23412,2021-11-23 09:33:00-05:00
16.3,16.32,16.2899,16.2899,42753,2021-11-23 09:34:00-05:00
16.285,16.29,16.27,16.29,34771,2021-11-23 09:35:00-05:00
16.29,16.295,16.25,16.2556,23016,2021-11-23 09:36:00-05:00
16.26,16.26,16.23,16.2599,66868,2021-11-23 09:37:00-05:00
16.255,16.285,16.255,16.27,13039,2021-11-23 09:38:00-05:00
16.27,16.31,16.27,16.31,45620,2021-11-23 09:39:00-05:00
16.3037,16.33,16.3,16.33,33299,2021-11-23 09:40:00-05:00
16.33,16.345,16.32,16.3237,31407,2021-11-23 09:41:00-05:00
16.3209,16.33,16.3095,16.315,27306,2021-11-23 09:42:00-05:00
16.315,16.32,16.29,16.3,14203,2021-11-23 09:43:00-05:00
16.29,16.31,16.28,16.3082,25994,2021-11-23 09:44:00-05:00
16.305,16.33,16.305,16.325,9485,2021-11-23 09:45:00-05:00
16.325,16.325,16.29,16.295,13184,2021-11-23 09:46:00-05:00
16.295,16.305,16.275,16.29,27494,2021-11-23 09:47:00-05:00
16.29,16.315,16.29,16.315,21884,2021-11-23 09:48:00-05:00
16.32,16.32,16.275,16.275,13951,2021-11-23 09:49:00-05:00
16.275,16.28,16.2601,16.27,20425,2021-11-23 09:50:00-05:00
16.27,16.27,16.235,16.245,15024,2021-11-23 09:51:00-05:00
16.245,16.2699,16.245,16.25,12950,2021-11-23 09:52:00-05:00
16.25,16.25,16.235,16.235,17893,2021-11-23 09:53:00-05:00
16.235,16.26,16.235,16.26,19191,2021-11-23 09:54:00-05:00
16.255,16.2779,16.255,16.2779,31897,2021-11-23 09:55:00-05:00
16.28,16.284,16.27,16.284,6823,2021-11-23 09:56:00-05:00
16.2817,16.2899,16.2732,16.275,17332,2021-11-23 09:57:00-05:00
16.275,16.28,16.27,16.28,21824,2021-11-23 09:58:00-05:00
16.285,16.285,16.26,16.265,20398,2021-11-23 09:59:00-05:00
16.265,16.271,16.26,16.26,21421,2021-11-23 10:00:00-05:00
16.265,16.2899,16.245,16.2899,43176,2021-11-23 10:01:00-05:00
16.28,16.28,16.245,16.245,29972,2021-11-23 10:02:00-05:00
16.245,16.2914,16.245,16.29,23137,2021-11-23 10:03:00-05:00
16.29,16.29,16.275,16.275,21622,2021-11-23 10:04:00-05:00
16.275,16.28,16.27,16.275,21020,2021-11-23 10:05:00-05:00
16.2774,16.29,16.26,16.27,45503,2021-11-23 10:06:00-05:00
16.27,16.29,16.265,16.28,34820,2021-11-23 10:07:00-05:00
16.29,16.29,16.275,16.2875,41665,2021-11-23 10:08:00-05:00
16.29,16.307,16.28,16.307,61125,2021-11-23 10:09:00-05:00
16.305,16.325,16.3041,16.31,32981,2021-11-23 10:10:00-05:00
16.315,16.315,16.29,16.295,18755,2021-11-23 10:11:00-05:00
16.295,16.33,16.29,16.325,35542,2021-11-23 10:12:00-05:00
16.33,16.33,16.3,16.315,52555,2021-11-23 10:13:00-05:00
16.315,16.315,16.295,16.3,11284,2021-11-23 10:14:00-05:00
16.3,16.305,16.29,16.295,26196,2021-11-23 10:15:00-05:00
16.295,16.315,16.295,16.305,18162,2021-11-23 10:16:00-05:00
16.305,16.32,16.3001,16.31,16562,2021-11-23 10:17:00-05:00
16.32,16.35,16.315,16.35,25966,2021-11-23 10:18:00-05:00
16.345,16.37,16.3446,16.365,29777,2021-11-23 10:19:00-05:00
16.365,16.37,16.3545,16.355,27528,2021-11-23 10:20:00-05:00
16.35,16.355,16.3412,16.345,19021,2021-11-23 10:21:00-05:00
16.35,16.3565,16.34,16.345,21571,2021-11-23 10:22:00-05:00
16.34,16.345,16.32,16.32,19913,2021-11-23 10:23:00-05:00
16.32,16.32,16.305,16.31,21287,2021-11-23 10:24:00-05:00
16.31,16.34,16.31,16.33,40310,2021-11-23 10:25:00-05:00
16.33,16.34,16.32,16.325,14732,2021-11-23 10:26:00-05:00
16.32,16.3368,16.31,16.33,25712,2021-11-23 10:27:00-05:00
16.33,16.3368,16.315,16.315,12024,2021-11-23 10:28:00-05:00
16.3116,16.317,16.305,16.31,26905,2021-11-23 10:29:00-05:00
16.315,16.32,16.3,16.3,14802,2021-11-23 10:30:00-05:00
16.305,16.32,16.3,16.32,12500,2021-11-23 10:31:00-05:00
