open,high,low,close,volume,datetime
56.65,56.65,56.65,56.65,135,2024-03-28 07:14:00-04:00
56.9,56.9,56.9,56.9,468,2024-03-28 08:12:00-04:00
56.97,56.98,56.97,56.98,400,2024-03-28 08:48:00-04:00
57.0,57.2,57.0,57.2,2200,2024-03-28 09:29:00-04:00
56.93,57.21,56.93,57.205,48701,2024-03-28 09:30:00-04:00
57.22,57.26,57.125,57.16,9166,2024-03-28 09:31:00-04:00
57.1425,57.22,57.1425,57.22,6718,2024-03-28 09:32:00-04:00
57.2,57.22,57.19,57.2,3516,2024-03-28 09:33:00-04:00
57.2,57.29,57.2,57.2675,7273,2024-03-28 09:34:00-04:00
57.275,57.36,57.27,57.32,10090,2024-03-28 09:35:00-04:00
57.309,57.33,57.295,57.295,6161,2024-03-28 09:36:00-04:00
57.295,57.315,57.24,57.315,11463,2024-03-28 09:37:00-04:00
57.31,57.31,57.26,57.275,5478,2024-03-28 09:38:00-04:00
57.28,57.28,57.165,57.2,11422,2024-03-28 09:39:00-04:00
57.2,57.2101,57.175,57.19,6630,2024-03-28 09:40:00-04:00
57.17,57.17,57.16,57.16,2063,2024-03-28 09:41:00-04:00
57.145,57.16,57.13,57.14,5533,2024-03-28 09:42:00-04:00
57.14,57.14,57.11,57.11,6182,2024-03-28 09:43:00-04:00
57.115,57.14,57.09,57.09,3821,2024-03-28 09:44:00-04:00
57.09,57.16,57.07,57.15,5230,2024-03-28 09:45:00-04:00
57.12,57.18,57.08,57.16,7995,2024-03-28 09:46:00-04:00
57.15,57.19,57.1436,57.17,6610,2024-03-28 09:47:00-04:00
57.15,57.15,57.12,57.125,4350,2024-03-28 09:48:00-04:00
57.12,57.125,57.12,57.12,4599,2024-03-28 09:49:00-04:00
57.11,57.14,57.09,57.12,5551,2024-03-28 09:50:00-04:00
57.14,57.15,57.13,57.13,4843,2024-03-28 09:51:00-04:00
57.1,57.12,57.075,57.08,5366,2024-03-28 09:52:00-04:00
57.0725,57.125,57.07,57.08,5916,2024-03-28 09:53:00-04:00
57.075,57.075,57.065,57.065,955,2024-03-28 09:54:00-04:00
57.05,57.08,57.04,57.08,8422,2024-03-28 09:55:00-04:00
57.09,57.11,57.085,57.105,2667,2024-03-28 09:56:00-04:00
57.105,57.13,57.105,57.13,4953,2024-03-28 09:57:00-04:00
57.1261,57.14,57.1105,57.1105,9614,2024-03-28 09:58:00-04:00
57.11,57.11,57.09,57.1,2501,2024-03-28 09:59:00-04:00
57.11,57.115,57.105,57.105,2113,2024-03-28 10:00:00-04:00
57.1,57.105,57.05,57.105,7390,2024-03-28 10:01:00-04:00
57.1,57.15,57.095,57.12,4692,2024-03-28 10:02:00-04:00
57.11,57.135,57.11,57.11,5821,2024-03-28 10:03:00-04:00
57.11,57.11,57.075,57.1,7940,2024-03-28 10:04:00-04:00
57.1,57.115,57.09,57.105,4611,2024-03-28 10:05:00-04:00
57.105,57.105,57.065,57.09,6071,2024-03-28 10:06:00-04:00
57.09,57.14,57.09,57.125,4476,2024-03-28 10:07:00-04:00
57.125,57.155,57.12,57.145,4222,2024-03-28 10:08:00-04:00
57.14,57.145,57.13,57.135,3488,2024-03-28 10:09:00-04:00
57.13,57.165,57.13,57.135,10180,2024-03-28 10:10:00-04:00
57.13,57.13,57.085,57.09,9564,2024-03-28 10:11:00-04:00
57.09,57.09,57.06,57.06,5178,2024-03-28 10:12:00-04:00
