open,high,low,close,volume,datetime
57.7,58.0,57.7,58.0,3450,2021-11-23 07:55:00-05:00
57.06,57.06,57.06,57.06,4930,2021-11-23 09:30:00-05:00
57.15,57.34,57.145,57.34,1167,2021-11-23 09:31:00-05:00
57.42,57.42,57.3678,57.3678,1100,2021-11-23 09:32:00-05:00
57.42,57.42,57.16,57.16,4414,2021-11-23 09:33:00-05:00
57.11,57.11,57.11,57.11,100,2021-11-23 09:34:00-05:00
57.13,57.13,57.09,57.09,3602,2021-11-23 09:36:00-05:00
57.02,57.02,56.93,56.93,1650,2021-11-23 09:37:00-05:00
56.93,57.05,56.93,57.05,1629,2021-11-23 09:38:00-05:00
57.12,57.14,57.12,57.12,341,2021-11-23 09:39:00-05:00
57.17,57.17,57.17,57.17,225,2021-11-23 09:40:00-05:00
57.25,57.25,57.25,57.25,100,2021-11-23 09:42:00-05:00
57.24,57.24,57.16,57.16,3714,2021-11-23 09:43:00-05:00
57.24,57.24,57.23,57.23,827,2021-11-23 09:44:00-05:00
57.36,57.37,57.36,57.37,237,2021-11-23 09:45:00-05:00
57.35,57.405,57.35,57.405,97669,2021-11-23 09:46:00-05:00
57.44,57.44,57.35,57.35,1500,2021-11-23 09:47:00-05:00
57.345,57.44,57.345,57.44,611,2021-11-23 09:48:00-05:00
57.3,57.33,57.27,57.27,500,2021-11-23 09:51:00-05:00
57.29,57.31,57.29,57.31,568,2021-11-23 09:53:00-05:00
57.24,57.35,57.23,57.35,873,2021-11-23 09:54:00-05:00
57.255,57.255,57.19,57.205,1530,2021-11-23 09:59:00-05:00
57.135,57.135,57.135,57.135,300,2021-11-23 10:01:00-05:00
57.08,57.095,57.08,57.095,400,2021-11-23 10:02:00-05:00
57.09,57.1,57.05,57.1,834,2021-11-23 10:03:00-05:00
57.13,57.15,57.13,57.15,300,2021-11-23 10:04:00-05:00
57.1,57.1,57.08,57.08,200,2021-11-23 10:06:00-05:00
57.025,57.07,57.025,57.04,1400,2021-11-23 10:08:00-05:00
57.025,57.07,57.025,57.07,550,2021-11-23 10:09:00-05:00
57.1,57.13,57.1,57.1,1079,2021-11-23 10:10:00-05:00
57.07,57.07,57.06,57.06,254,2021-11-23 10:11:00-05:00
57.11,57.15,57.11,57.15,1107,2021-11-23 10:12:00-05:00
57.15,57.1575,57.1,57.1,963,2021-11-23 10:13:00-05:00
57.17,57.2,57.17,57.18,838,2021-11-23 10:14:00-05:00
57.205,57.205,57.205,57.205,100,2021-11-23 10:15:00-05:00
57.24,57.27,57.24,57.27,223,2021-11-23 10:16:00-05:00
57.28,57.28,57.26,57.27,1510,2021-11-23 10:17:00-05:00
57.31,57.33,57.31,57.33,429,2021-11-23 10:18:00-05:00
57.39,57.4,57.39,57.4,235,2021-11-23 10:20:00-05:00
57.36,57.36,57.36,57.36,741,2021-11-23 10:21:00-05:00
57.32,57.36,57.31,57.36,1600,2021-11-23 10:22:00-05:00
57.32,57.32,57.3,57.3,300,2021-11-23 10:23:00-05:00
57.305,57.305,57.305,57.305,181,2021-11-23 10:24:00-05:00
57.29,57.29,57.29,57.29,100,2021-11-23 10:25:00-05:00
57.261,57.265,57.26,57.265,500,2021-11-23 10:26:00-05:00
57.28,57.33,57.28,57.33,764,2021-11-23 10:27:00-05:00
57.27,57.27,57.27,57.27,109,2021-11-23 10:29:00-05:00
57.27,57.305,57.26,57.28,2437,2021-11-23 10:30:00-05:00
57.31,57.33,57.31,57.33,451,2021-11-23 10:31:00-05:00
57.33,57.33,57.32,57.32,466,2021-11-23 10:32:00-05:00
57.3,57.3,57.3,57.3,100,2021-11-23 10:33:00-05:00
57.29,57.32,57.29,57.32,413,2021-11-23 10:34:00-05:00
57.285,57.285,57.285,57.285,200,2021-11-23 10:35:00-05:00
57.32,57.33,57.32,57.33,527,2021-11-23 10:36:00-05:00
57.28,57.315,57.28,57.315,367,2021-11-23 10:38:00-05:00
57.25,57.25,57.25,57.25,100,2021-11-23 10:39:00-05:00
57.29,57.34,57.28,57.325,1451,2021-11-23 10:40:00-05:00
57.35,57.35,57.3447,57.35,1557,2021-11-23 10:41:00-05:00
57.38,57.444,57.38,57.41,2247,2021-11-23 10:42:00-05:00
57.4527,57.4527,57.41,57.41,485,2021-11-23 10:43:00-05:00
57.38,57.38,57.38,57.38,112,2021-11-23 10:44:00-05:00
57.43,57.47,57.43,57.47,503,2021-11-23 10:46:00-05:00
57.52,57.52,57.49,57.49,705,2021-11-23 10:47:00-05:00
57.58,57.58,57.58,57.58,100,2021-11-23 10:48:00-05:00
57.545,57.63,57.545,57.63,996,2021-11-23 10:49:00-05:00
57.61,57.645,57.61,57.645,1226,2021-11-23 10:50:00-05:00
57.645,57.67,57.63,57.67,1400,2021-11-23 10:51:00-05:00
57.64,57.655,57.6,57.61,3100,2021-11-23 10:52:00-05:00
57.6,57.61,57.6,57.61,513,2021-11-23 10:53:00-05:00
57.625,57.625,57.58,57.58,500,2021-11-23 10:54:00-05:00
57.56,57.56,57.54,57.54,302,2021-11-23 10:55:00-05:00
57.515,57.515,57.515,57.515,100,2021-11-23 10:56:00-05:00
57.505,57.55,57.505,57.55,1807,2021-11-23 10:57:00-05:00
57.6,57.67,57.6,57.67,554,2021-11-23 10:58:00-05:00
57.69,57.69,57.69,57.69,100,2021-11-23 10:59:00-05:00
57.69,57.734,57.62,57.63,1223,2021-11-23 11:00:00-05:00
57.57,57.57,57.57,57.57,201,2021-11-23 11:01:00-05:00
57.55,57.575,57.55,57.575,1100,2021-11-23 11:02:00-05:00
57.55,57.57,57.54,57.57,300,2021-11-23 11:03:00-05:00
57.52,57.55,57.5,57.55,1117,2021-11-23 11:04:00-05:00
57.59,57.59,57.56,57.56,350,2021-11-23 11:05:00-05:00
57.5713,57.5713,57.51,57.51,1677,2021-11-23 11:06:00-05:00
57.53,57.54,57.49,57.49,2582,2021-11-23 11:07:00-05:00
57.5,57.51,57.46,57.46,1000,2021-11-23 11:08:00-05:00
57.5,57.53,57.5,57.53,1107,2021-11-23 11:10:00-05:00
57.51,57.51,57.5,57.51,1059,2021-11-23 11:11:00-05:00
57.505,57.5509,57.505,57.5509,1123,2021-11-23 11:12:00-05:00
57.5301,57.555,57.5301,57.555,300,2021-11-23 11:13:00-05:00
57.55,57.58,57.55,57.58,1043,2021-11-23 11:15:00-05:00
57.61,57.61,57.61,57.61,100,2021-11-23 11:16:00-05:00
57.65,57.65,57.64,57.64,694,2021-11-23 11:17:00-05:00
57.62,57.62,57.57,57.57,1440,2021-11-23 11:18:00-05:00
57.5775,57.5775,57.57,57.57,470,2021-11-23 11:19:00-05:00
57.56,57.56,57.52,57.52,1754,2021-11-23 11:20:00-05:00
57.52,57.54,57.52,57.52,517,2021-11-23 11:21:00-05:00
57.51,57.52,57.51,57.52,280,2021-11-23 11:23:00-05:00
57.5,57.53,57.5,57.53,337,2021-11-23 11:25:00-05:00
57.485,57.51,57.485,57.51,941,2021-11-23 11:28:00-05:00
57.51,57.51,57.505,57.505,200,2021-11-23 11:29:00-05:00
57.53,57.53,57.53,57.53,100,2021-11-23 11:30:00-05:00
57.58,57.58,57.55,57.55,442,2021-11-23 11:31:00-05:00
57.52,57.52,57.52,57.52,100,2021-11-23 11:32:00-05:00
57.52,57.52,57.52,57.52,152,2021-11-23 11:34:00-05:00
57.45,57.54,57.45,57.54,1660,2021-11-23 11:36:00-05:00
57.525,57.525,57.5,57.5,200,2021-11-23 11:37:00-05:00
57.56,57.58,57.56,57.58,524,2021-11-23 11:38:00-05:00
57.56,57.56,57.53,57.53,600,2021-11-23 11:39:00-05:00
57.525,57.525,57.525,57.525,100,2021-11-23 11:40:00-05:00
57.52,57.54,57.52,57.54,426,2021-11-23 11:41:00-05:00
57.58,57.6,57.58,57.6,337,2021-11-23 11:42:00-05:00
