open,high,low,close,volume,datetime
93.7,93.7,93.13,93.13,5319,2021-11-23 09:30:00-05:00
93.4,93.4,93.4,93.4,100,2021-11-23 09:33:00-05:00
93.34,93.77,93.34,93.77,350,2021-11-23 09:36:00-05:00
93.18,93.18,93.18,93.18,100,2021-11-23 09:37:00-05:00
93.01,93.01,93.01,93.01,200,2021-11-23 09:39:00-05:00
93.02,93.02,93.02,93.02,300,2021-11-23 09:40:00-05:00
93.04,93.2,93.04,93.2,400,2021-11-23 09:42:00-05:00
93.24,93.27,93.23,93.27,500,2021-11-23 09:45:00-05:00
93.26,93.26,93.26,93.26,100,2021-11-23 09:46:00-05:00
93.3821,93.3821,93.3821,93.3821,200,2021-11-23 09:47:00-05:00
93.305,93.305,93.305,93.305,268,2021-11-23 09:49:00-05:00
93.4,93.5,93.4,93.5,200,2021-11-23 09:50:00-05:00
93.43,93.48,93.43,93.48,306,2021-11-23 09:52:00-05:00
93.38,93.3962,93.22,93.37,2094,2021-11-23 09:54:00-05:00
93.35,93.35,93.35,93.35,200,2021-11-23 09:55:00-05:00
93.335,93.49,93.335,93.49,800,2021-11-23 09:56:00-05:00
93.44,93.44,93.24,93.35,3928,2021-11-23 09:57:00-05:00
93.25,93.25,93.22,93.22,816,2021-11-23 10:00:00-05:00
93.28,93.28,93.28,93.28,100,2021-11-23 10:02:00-05:00
93.28,93.5,93.28,93.5,829,2021-11-23 10:03:00-05:00
93.48,93.48,93.48,93.48,100,2021-11-23 10:04:00-05:00
93.41,93.41,93.41,93.41,100,2021-11-23 10:05:00-05:00
93.46,93.46,93.41,93.425,800,2021-11-23 10:06:00-05:00
93.37,93.37,93.37,93.37,100,2021-11-23 10:07:00-05:00
93.39,93.465,93.39,93.465,750,2021-11-23 10:09:00-05:00
93.51,93.63,93.51,93.54,1200,2021-11-23 10:10:00-05:00
93.555,93.56,93.555,93.56,300,2021-11-23 10:12:00-05:00
93.49,93.49,93.38,93.38,700,2021-11-23 10:14:00-05:00
93.47,93.47,93.47,93.47,100,2021-11-23 10:15:00-05:00
93.48,93.48,93.4286,93.4286,400,2021-11-23 10:16:00-05:00
93.48,93.49,93.48,93.49,238,2021-11-23 10:17:00-05:00
93.49,93.58,93.49,93.54,1000,2021-11-23 10:18:00-05:00
93.585,93.585,93.585,93.585,100,2021-11-23 10:19:00-05:00
93.605,93.67,93.605,93.67,200,2021-11-23 10:20:00-05:00
93.6478,93.6478,93.615,93.615,230,2021-11-23 10:21:00-05:00
93.59,93.59,93.46,93.46,700,2021-11-23 10:22:00-05:00
93.37,93.37,93.37,93.37,767,2021-11-23 10:23:00-05:00
93.39,93.39,93.39,93.39,400,2021-11-23 10:26:00-05:00
93.385,93.385,93.385,93.385,100,2021-11-23 10:27:00-05:00
93.31,93.31,93.25,93.25,750,2021-11-23 10:28:00-05:00
93.23,93.23,93.23,93.23,200,2021-11-23 10:29:00-05:00
93.235,93.2988,93.235,93.24,941,2021-11-23 10:30:00-05:00
93.27,93.32,93.27,93.32,700,2021-11-23 10:31:00-05:00
93.265,93.325,93.265,93.325,200,2021-11-23 10:33:00-05:00
93.2,93.28,93.1912,93.1912,303,2021-11-23 10:35:00-05:00
93.245,93.25,93.12,93.135,1124,2021-11-23 10:36:00-05:00
93.07,93.135,93.07,93.135,300,2021-11-23 10:37:00-05:00
93.01,93.01,93.01,93.01,200,2021-11-23 10:38:00-05:00
93.0,93.0,92.915,92.965,900,2021-11-23 10:40:00-05:00
92.98,92.98,92.93,92.965,300,2021-11-23 10:42:00-05:00
93.02,93.07,92.97,92.97,1575,2021-11-23 10:43:00-05:00
93.01,93.02,93.005,93.005,305,2021-11-23 10:44:00-05:00
92.95,92.95,92.95,92.95,100,2021-11-23 10:45:00-05:00
93.025,93.11,93.025,93.11,300,2021-11-23 10:46:00-05:00
93.06,93.155,93.06,93.15,1035,2021-11-23 10:48:00-05:00
93.09,93.26,93.09,93.26,426,2021-11-23 10:49:00-05:00
93.19,93.19,93.19,93.19,200,2021-11-23 10:51:00-05:00
93.25,93.345,93.19,93.345,703,2021-11-23 10:53:00-05:00
93.3775,93.395,93.343,93.395,1242,2021-11-23 10:54:00-05:00
93.34,93.34,93.211,93.295,1200,2021-11-23 10:56:00-05:00
93.29,93.29,93.21,93.29,300,2021-11-23 10:57:00-05:00
93.3,93.4,93.26,93.34,1590,2021-11-23 10:58:00-05:00
93.4,93.4,93.34,93.34,300,2021-11-23 10:59:00-05:00
93.345,93.345,93.235,93.315,300,2021-11-23 11:01:00-05:00
93.24,93.24,93.24,93.24,100,2021-11-23 11:02:00-05:00
93.295,93.295,93.24,93.24,200,2021-11-23 11:03:00-05:00
93.29,93.35,93.29,93.35,300,2021-11-23 11:04:00-05:00
93.445,93.445,93.445,93.445,200,2021-11-23 11:05:00-05:00
93.435,93.435,93.35,93.35,2100,2021-11-23 11:06:00-05:00
93.3,93.3,93.22,93.3,1300,2021-11-23 11:07:00-05:00
93.295,93.295,93.295,93.295,200,2021-11-23 11:08:00-05:00
93.2525,93.2525,93.2525,93.2525,100,2021-11-23 11:09:00-05:00
93.35,93.37,93.35,93.37,800,2021-11-23 11:10:00-05:00
93.42,93.49,93.42,93.49,400,2021-11-23 11:11:00-05:00
93.455,93.6,93.455,93.52,3462,2021-11-23 11:12:00-05:00
93.61,93.635,93.59,93.635,300,2021-11-23 11:13:00-05:00
93.69,93.69,93.635,93.68,600,2021-11-23 11:15:00-05:00
93.69,93.69,93.65,93.67,1100,2021-11-23 11:16:00-05:00
93.645,93.645,93.51,93.51,700,2021-11-23 11:17:00-05:00
93.45,93.505,93.45,93.505,480,2021-11-23 11:18:00-05:00
93.4401,93.482,93.4401,93.482,685,2021-11-23 11:21:00-05:00
93.44,93.44,93.44,93.44,300,2021-11-23 11:22:00-05:00
93.44,93.48,93.41,93.46,1291,2021-11-23 11:23:00-05:00
93.56,93.565,93.56,93.565,662,2021-11-23 11:25:00-05:00
93.67,93.67,93.615,93.615,325,2021-11-23 11:27:00-05:00
93.6,93.6,93.565,93.565,337,2021-11-23 11:29:00-05:00
93.53,93.53,93.485,93.485,302,2021-11-23 11:30:00-05:00
93.45,93.63,93.45,93.63,205,2021-11-23 11:31:00-05:00
93.59,93.65,93.58,93.65,400,2021-11-23 11:33:00-05:00
93.615,93.615,93.53,93.53,803,2021-11-23 11:34:00-05:00
93.54,93.54,93.54,93.54,100,2021-11-23 11:35:00-05:00
93.49,93.53,93.43,93.43,1508,2021-11-23 11:36:00-05:00
93.37,93.37,93.37,93.37,107,2021-11-23 11:37:00-05:00
93.41,93.47,93.41,93.47,451,2021-11-23 11:38:00-05:00
93.57,93.57,93.56,93.57,504,2021-11-23 11:42:00-05:00
93.51,93.51,93.45,93.45,800,2021-11-23 11:44:00-05:00
93.4575,93.4575,93.33,93.33,1580,2021-11-23 11:45:00-05:00
93.37,93.41,93.37,93.41,300,2021-11-23 11:47:00-05:00
93.445,93.445,93.415,93.415,200,2021-11-23 11:51:00-05:00
93.36,93.36,93.35,93.35,366,2021-11-23 11:53:00-05:00
93.35,93.36,93.34,93.34,500,2021-11-23 11:54:00-05:00
93.3,93.3,93.3,93.3,197,2021-11-23 11:56:00-05:00
93.3326,93.3326,93.3326,93.3326,399,2021-11-23 11:57:00-05:00
93.1846,93.1846,93.18,93.18,404,2021-11-23 12:03:00-05:00
93.24,93.24,93.24,93.24,100,2021-11-23 12:05:00-05:00
93.28,93.2899,93.2,93.2,711,2021-11-23 12:06:00-05:00
93.19,93.2493,93.19,93.2493,1389,2021-11-23 12:07:00-05:00
93.18,93.1824,93.175,93.1824,480,2021-11-23 12:08:00-05:00
93.05,93.05,93.05,93.05,293,2021-11-23 12:09:00-05:00
93.07,93.07,93.07,93.07,100,2021-11-23 12:10:00-05:00
93.07,93.2,93.06,93.2,1881,2021-11-23 12:11:00-05:00
93.23,93.27,93.215,93.215,25200,2021-11-23 12:12:00-05:00
93.205,93.205,93.1589,93.1589,436,2021-11-23 12:13:00-05:00
93.14,93.14,93.09,93.09,1100,2021-11-23 12:14:00-05:00
93.04,93.07,93.04,93.07,293,2021-11-23 12:17:00-05:00
93.065,93.27,92.995,93.08,26788,2021-11-23 12:18:00-05:00
93.15,93.15,93.15,93.15,300,2021-11-23 12:19:00-05:00
93.15,93.26,93.15,93.245,4109,2021-11-23 12:20:00-05:00
93.2,93.25,93.2,93.25,500,2021-11-23 12:21:00-05:00
93.25,93.26,93.245,93.25,2540,2021-11-23 12:22:00-05:00
93.25,93.48,93.25,93.48,7358,2021-11-23 12:23:00-05:00
93.4,93.4,93.26,93.29,2220,2021-11-23 12:24:00-05:00
93.31,93.31,93.31,93.31,259,2021-11-23 12:25:00-05:00
93.34,93.34,93.34,93.34,100,2021-11-23 12:27:00-05:00
93.3378,93.35,93.3378,93.35,1494,2021-11-23 12:28:00-05:00
93.335,93.35,93.33,93.33,4229,2021-11-23 12:29:00-05:00
