open,high,low,close,volume,datetime
253.98,253.98,253.98,253.98,394,2021-11-23 09:12:00-05:00
252.0,252.0,251.11,251.11,2193,2021-11-23 09:29:00-05:00
251.14,251.67,250.88,251.375,53271,2021-11-23 09:30:00-05:00
251.26,251.26,250.81,250.81,3940,2021-11-23 09:31:00-05:00
250.79,250.88,249.9,250.21,8432,2021-11-23 09:32:00-05:00
249.94,250.2,249.44,249.48,16462,2021-11-23 09:33:00-05:00
249.72,249.8097,248.81,249.595,17739,2021-11-23 09:34:00-05:00
249.47,249.69,249.19,249.19,3313,2021-11-23 09:35:00-05:00
249.2,249.71,249.2,249.4077,4122,2021-11-23 09:36:00-05:00
249.4156,249.52,248.94,249.07,11262,2021-11-23 09:37:00-05:00
249.0578,249.375,249.03,249.09,9175,2021-11-23 09:38:00-05:00
249.4,249.45,248.78,249.1,11762,2021-11-23 09:39:00-05:00
249.05,249.49,248.8,249.49,3079,2021-11-23 09:40:00-05:00
249.4475,250.5376,249.4475,250.5376,4320,2021-11-23 09:41:00-05:00
250.46,250.92,250.05,250.515,17020,2021-11-23 09:42:00-05:00
250.61,251.28,250.47,250.925,6114,2021-11-23 09:43:00-05:00
250.92,251.28,250.82,251.08,4735,2021-11-23 09:44:00-05:00
251.12,251.2288,250.87,250.93,4483,2021-11-23 09:45:00-05:00
250.81,250.97,250.66,250.83,6531,2021-11-23 09:46:00-05:00
250.825,250.88,250.72,250.87,1375,2021-11-23 09:47:00-05:00
251.315,251.5,251.1905,251.5,4165,2021-11-23 09:48:00-05:00
251.6599,251.71,251.55,251.57,3802,2021-11-23 09:49:00-05:00
251.7,252.0,251.635,251.765,3954,2021-11-23 09:50:00-05:00
251.67,251.67,251.385,251.535,7331,2021-11-23 09:51:00-05:00
251.55,251.6599,251.38,251.48,3278,2021-11-23 09:52:00-05:00
251.57,252.085,251.42,251.98,3398,2021-11-23 09:53:00-05:00
252.17,252.17,251.73,252.03,5022,2021-11-23 09:54:00-05:00
252.09,252.5984,252.06,252.3159,6968,2021-11-23 09:55:00-05:00
252.47,252.67,252.38,252.567,1321,2021-11-23 09:56:00-05:00
252.55,252.55,252.03,252.061,4829,2021-11-23 09:57:00-05:00
252.03,252.23,251.88,252.22,6233,2021-11-23 09:58:00-05:00
252.455,252.67,252.25,252.32,10682,2021-11-23 09:59:00-05:00
252.48,252.5764,252.01,252.1742,4179,2021-11-23 10:00:00-05:00
252.02,252.18,251.7101,252.18,3996,2021-11-23 10:01:00-05:00
252.23,252.23,251.82,251.82,1799,2021-11-23 10:02:00-05:00
251.89,251.94,251.59,251.665,6542,2021-11-23 10:03:00-05:00
251.66,251.725,251.49,251.725,1762,2021-11-23 10:04:00-05:00
251.56,252.017,251.55,251.83,4123,2021-11-23 10:05:00-05:00
251.94,251.94,250.96,251.029,3888,2021-11-23 10:06:00-05:00
250.9,251.07,250.81,250.845,1920,2021-11-23 10:07:00-05:00
250.96,250.96,250.71,250.75,2321,2021-11-23 10:08:00-05:00
250.59,250.64,249.94,250.03,10893,2021-11-23 10:09:00-05:00
