open,high,low,close,volume,datetime
40.71,40.81,40.71,40.78,774,2021-11-23 07:00:00-05:00
40.7,40.7,40.7,40.7,220,2021-11-23 07:03:00-05:00
40.69,40.69,40.69,40.69,883,2021-11-23 07:04:00-05:00
40.86,40.86,40.86,40.86,400,2021-11-23 07:24:00-05:00
40.8,40.8,40.8,40.8,800,2021-11-23 07:32:00-05:00
40.68,40.68,40.68,40.68,100,2021-11-23 07:33:00-05:00
40.72,40.72,40.72,40.72,143,2021-11-23 07:45:00-05:00
40.72,40.72,40.72,40.72,306,2021-11-23 07:46:00-05:00
40.81,40.81,40.81,40.81,1500,2021-11-23 08:00:00-05:00
40.8,40.81,40.8,40.8,439,2021-11-23 08:04:00-05:00
40.8,40.8,40.8,40.8,180,2021-11-23 08:12:00-05:00
40.79,40.8,40.79,40.8,569,2021-11-23 08:25:00-05:00
40.82,40.82,40.82,40.82,100,2021-11-23 08:27:00-05:00
40.82,40.84,40.82,40.84,500,2021-11-23 08:28:00-05:00
40.8499,40.8499,40.8499,40.8499,792,2021-11-23 08:32:00-05:00
40.8499,40.8499,40.8499,40.8499,370,2021-11-23 08:35:00-05:00
40.8999,40.8999,40.8999,40.8999,100,2021-11-23 08:51:00-05:00
40.8201,40.8201,40.8201,40.8201,1000,2021-11-23 08:57:00-05:00
40.87,40.87,40.87,40.87,140,2021-11-23 08:58:00-05:00
40.89,40.89,40.87,40.87,756,2021-11-23 08:59:00-05:00
40.8999,40.8999,40.8999,40.8999,300,2021-11-23 09:00:00-05:00
40.82,40.82,40.76,40.76,920,2021-11-23 09:01:00-05:00
40.79,40.79,40.79,40.79,100,2021-11-23 09:04:00-05:00
40.83,40.83,40.83,40.83,100,2021-11-23 09:14:00-05:00
40.78,40.78,40.78,40.78,100,2021-11-23 09:18:00-05:00
40.85,40.85,40.85,40.85,1600,2021-11-23 09:22:00-05:00
40.86,40.86,40.86,40.86,400,2021-11-23 09:27:00-05:00
40.86,40.86,40.86,40.86,300,2021-11-23 09:28:00-05:00
40.95,40.95,40.95,40.95,250,2021-11-23 09:29:00-05:00
40.99,41.1,40.88,40.92,141982,2021-11-23 09:30:00-05:00
40.92,41.17,40.92,41.17,12013,2021-11-23 09:31:00-05:00
41.1712,41.18,40.9377,40.9451,11958,2021-11-23 09:32:00-05:00
40.94,41.08,40.94,40.9449,21646,2021-11-23 09:33:00-05:00
40.93,40.95,40.64,40.66,31419,2021-11-23 09:34:00-05:00
40.63,40.68,40.6,40.635,15013,2021-11-23 09:35:00-05:00
40.62,40.696,40.468,40.49,19850,2021-11-23 09:36:00-05:00
40.4955,40.53,40.42,40.49,19881,2021-11-23 09:37:00-05:00
40.47,40.49,40.39,40.46,16996,2021-11-23 09:38:00-05:00
40.455,40.55,40.4416,40.51,21552,2021-11-23 09:39:00-05:00
40.51,40.62,40.46,40.54,22952,2021-11-23 09:40:00-05:00
40.53,40.56,40.49,40.51,25928,2021-11-23 09:41:00-05:00
40.53,40.59,40.41,40.41,16664,2021-11-23 09:42:00-05:00
40.42,40.54,40.405,40.405,31456,2021-11-23 09:43:00-05:00
40.43,40.51,40.42,40.5,7158,2021-11-23 09:44:00-05:00
40.5,40.53,40.45,40.45,22771,2021-11-23 09:45:00-05:00
40.44,40.65,40.38,40.65,24538,2021-11-23 09:46:00-05:00
40.64,40.74,40.6201,40.665,31375,2021-11-23 09:47:00-05:00
40.64,40.65,40.57,40.59,14872,2021-11-23 09:48:00-05:00
40.59,40.595,40.42,40.43,23496,2021-11-23 09:49:00-05:00
40.44,40.5,40.41,40.49,16077,2021-11-23 09:50:00-05:00
40.49,40.505,40.3606,40.38,22809,2021-11-23 09:51:00-05:00
40.38,40.39,40.28,40.3455,14735,2021-11-23 09:52:00-05:00
40.36,40.4997,40.36,40.49,6278,2021-11-23 09:53:00-05:00
40.49,40.51,40.455,40.51,13679,2021-11-23 09:54:00-05:00
40.5,40.51,40.41,40.43,6846,2021-11-23 09:55:00-05:00
40.43,40.5,40.42,40.5,8768,2021-11-23 09:56:00-05:00
40.5,40.55,40.48,40.48,7313,2021-11-23 09:57:00-05:00
40.48,40.5,40.42,40.5,19400,2021-11-23 09:58:00-05:00
40.51,40.52,40.47,40.47,4799,2021-11-23 09:59:00-05:00
40.4699,40.58,40.42,40.42,17484,2021-11-23 10:00:00-05:00
40.43,40.48,40.39,40.45,10104,2021-11-23 10:01:00-05:00
40.45,40.5,40.42,40.42,14233,2021-11-23 10:02:00-05:00
40.44,40.53,40.44,40.51,12269,2021-11-23 10:03:00-05:00
40.5,40.601,40.49,40.51,25760,2021-11-23 10:04:00-05:00
40.505,40.54,40.4775,40.53,10901,2021-11-23 10:05:00-05:00
40.54,40.55,40.39,40.405,19219,2021-11-23 10:06:00-05:00
40.41,40.47,40.36,40.36,11380,2021-11-23 10:07:00-05:00
40.37,40.37,40.23,40.29,32764,2021-11-23 10:08:00-05:00
40.29,40.29,40.23,40.26,23063,2021-11-23 10:09:00-05:00
40.25,40.3599,40.25,40.32,16799,2021-11-23 10:10:00-05:00
40.3357,40.37,40.29,40.31,6675,2021-11-23 10:11:00-05:00
40.32,40.47,40.32,40.47,18821,2021-11-23 10:12:00-05:00
40.45,40.46,40.38,40.39,6828,2021-11-23 10:13:00-05:00
40.39,40.47,40.3599,40.46,8781,2021-11-23 10:14:00-05:00
40.48,40.51,40.48,40.49,11549,2021-11-23 10:15:00-05:00
40.48,40.5017,40.425,40.5,10164,2021-11-23 10:16:00-05:00
40.4981,40.51,40.44,40.45,12001,2021-11-23 10:17:00-05:00
40.46,40.51,40.46,40.49,10810,2021-11-23 10:18:00-05:00
40.49,40.526,40.47,40.495,9423,2021-11-23 10:19:00-05:00
40.5,40.5,40.43,40.435,8434,2021-11-23 10:20:00-05:00
40.42,40.48,40.4,40.45,7119,2021-11-23 10:21:00-05:00
40.45,40.51,40.45,40.505,9866,2021-11-23 10:22:00-05:00
40.506,40.56,40.44,40.44,15790,2021-11-23 10:23:00-05:00
40.44,40.45,40.36,40.36,8030,2021-11-23 10:24:00-05:00
40.35,40.4736,40.345,40.455,11206,2021-11-23 10:25:00-05:00
40.45,40.48,40.38,40.38,9982,2021-11-23 10:26:00-05:00
40.39,40.4,40.35,40.375,9239,2021-11-23 10:27:00-05:00
40.35,40.35,40.29,40.31,5869,2021-11-23 10:28:00-05:00
40.31,40.35,40.25,40.27,66945,2021-11-23 10:29:00-05:00
40.26,40.285,40.205,40.22,51032,2021-11-23 10:30:00-05:00
40.22,40.3,40.21,40.29,13819,2021-11-23 10:31:00-05:00
40.29,40.39,40.2742,40.39,18623,2021-11-23 10:32:00-05:00
40.3965,40.3988,40.26,40.26,7612,2021-11-23 10:33:00-05:00
40.26,40.31,40.2,40.2,10611,2021-11-23 10:34:00-05:00
40.21,40.22,40.14,40.16,19169,2021-11-23 10:35:00-05:00
40.16,40.21,40.11,40.13,10709,2021-11-23 10:36:00-05:00
40.13,40.135,40.095,40.11,5308,2021-11-23 10:37:00-05:00
40.11,40.13,40.09,40.1,4296,2021-11-23 10:38:00-05:00
