open,high,low,close,volume,datetime
82.93,82.93,82.93,82.93,227,2021-11-23 07:10:00-05:00
82.9,82.9,82.9,82.9,200,2021-11-23 07:15:00-05:00
82.7,82.7,82.7,82.7,203,2021-11-23 07:16:00-05:00
82.5,82.5,82.5,82.5,200,2021-11-23 07:31:00-05:00
83.0,83.0,83.0,83.0,100,2021-11-23 08:36:00-05:00
83.0,83.0,83.0,83.0,100,2021-11-23 08:37:00-05:00
82.95,82.95,82.95,82.95,173,2021-11-23 08:57:00-05:00
82.68,82.68,82.68,82.68,100,2021-11-23 09:09:00-05:00
82.68,82.68,82.68,82.68,200,2021-11-23 09:13:00-05:00
82.81,82.83,82.47,82.74,26086,2021-11-23 09:30:00-05:00
82.74,82.78,82.51,82.58,2838,2021-11-23 09:31:00-05:00
82.53,82.61,82.34,82.53,6723,2021-11-23 09:32:00-05:00
82.525,82.54,82.37,82.48,3007,2021-11-23 09:33:00-05:00
82.48,82.49,82.17,82.24,6876,2021-11-23 09:34:00-05:00
82.14,82.235,82.048,82.048,6577,2021-11-23 09:35:00-05:00
82.13,82.41,82.07,82.36,6046,2021-11-23 09:36:00-05:00
82.34,82.58,82.34,82.58,2900,2021-11-23 09:37:00-05:00
82.67,82.67,82.46,82.46,2700,2021-11-23 09:38:00-05:00
82.54,82.63,82.5,82.54,2225,2021-11-23 09:39:00-05:00
82.49,82.62,82.45,82.57,5439,2021-11-23 09:40:00-05:00
82.57,82.75,82.49,82.71,4000,2021-11-23 09:41:00-05:00
82.71,82.73,82.41,82.41,8601,2021-11-23 09:42:00-05:00
82.38,82.55,82.38,82.41,1907,2021-11-23 09:43:00-05:00
82.395,82.53,82.395,82.525,800,2021-11-23 09:44:00-05:00
82.47,82.51,82.39,82.44,2642,2021-11-23 09:45:00-05:00
82.49,82.53,82.48,82.53,933,2021-11-23 09:46:00-05:00
82.72,82.9,82.72,82.9,2500,2021-11-23 09:47:00-05:00
82.85,82.96,82.85,82.93,5422,2021-11-23 09:48:00-05:00
82.97,83.0,82.76,82.77,4987,2021-11-23 09:49:00-05:00
82.7,82.94,82.67,82.91,6835,2021-11-23 09:50:00-05:00
82.85,83.04,82.85,83.04,2375,2021-11-23 09:51:00-05:00
83.05,83.2,83.05,83.07,2535,2021-11-23 09:52:00-05:00
83.01,83.19,83.01,83.12,3800,2021-11-23 09:53:00-05:00
83.2094,83.3,83.12,83.29,2304,2021-11-23 09:54:00-05:00
83.255,83.28,83.08,83.16,10129,2021-11-23 09:55:00-05:00
83.2,83.33,83.19,83.33,6248,2021-11-23 09:56:00-05:00
83.285,83.37,83.2601,83.33,7179,2021-11-23 09:57:00-05:00
83.34,83.34,83.105,83.105,8373,2021-11-23 09:58:00-05:00
83.125,83.1858,83.06,83.085,3768,2021-11-23 09:59:00-05:00
83.03,83.08,82.92,82.92,9624,2021-11-23 10:00:00-05:00
82.87,83.0,82.82,82.855,13005,2021-11-23 10:01:00-05:00
82.83,82.94,82.8,82.875,19524,2021-11-23 10:02:00-05:00
82.84,82.9496,82.83,82.93,3734,2021-11-23 10:03:00-05:00
82.98,83.1096,82.945,83.09,7268,2021-11-23 10:04:00-05:00
83.07,83.22,83.07,83.17,7606,2021-11-23 10:05:00-05:00
83.17,83.22,82.86,82.885,18384,2021-11-23 10:06:00-05:00
82.91,83.04,82.91,83.01,9925,2021-11-23 10:07:00-05:00
83.0,83.03,82.99,83.0,36376,2021-11-23 10:08:00-05:00
83.005,83.1,82.93,83.08,29893,2021-11-23 10:09:00-05:00
83.08,83.22,83.08,83.12,7483,2021-11-23 10:10:00-05:00
83.155,83.31,83.145,83.24,9107,2021-11-23 10:11:00-05:00
83.27,83.31,83.24,83.3056,5706,2021-11-23 10:12:00-05:00
83.26,83.33,83.2,83.255,13978,2021-11-23 10:13:00-05:00
83.255,83.33,83.09,83.225,14056,2021-11-23 10:14:00-05:00
83.225,83.5,83.225,83.44,5920,2021-11-23 10:15:00-05:00
83.49,83.49,83.31,83.39,13817,2021-11-23 10:16:00-05:00
83.435,83.49,83.37,83.37,9494,2021-11-23 10:17:00-05:00
83.435,83.47,83.375,83.44,2428,2021-11-23 10:18:00-05:00
83.44,83.495,83.385,83.415,9430,2021-11-23 10:19:00-05:00
83.415,83.43,83.2,83.3,7044,2021-11-23 10:20:00-05:00
83.245,83.38,83.15,83.21,7167,2021-11-23 10:21:00-05:00
83.125,83.275,83.09,83.1725,4461,2021-11-23 10:22:00-05:00
83.15,83.275,83.15,83.22,4511,2021-11-23 10:23:00-05:00
83.245,83.26,83.15,83.26,7696,2021-11-23 10:24:00-05:00
83.25,83.28,83.2,83.2,4790,2021-11-23 10:25:00-05:00
83.23,83.23,83.0,83.09,9579,2021-11-23 10:26:00-05:00
83.1,83.14,83.07,83.12,5522,2021-11-23 10:27:00-05:00
83.12,83.12,82.93,82.98,19779,2021-11-23 10:28:00-05:00
82.98,83.065,82.98,83.05,6776,2021-11-23 10:29:00-05:00
83.025,83.13,82.995,83.12,7612,2021-11-23 10:30:00-05:00
83.16,83.22,83.15,83.2,1953,2021-11-23 10:31:00-05:00
83.22,83.27,83.15,83.245,9785,2021-11-23 10:32:00-05:00
83.22,83.22,83.135,83.135,6395,2021-11-23 10:33:00-05:00
83.135,83.135,83.01,83.015,7521,2021-11-23 10:34:00-05:00
83.025,83.06,82.98,83.01,6846,2021-11-23 10:35:00-05:00
82.995,83.1,82.97,83.0775,9151,2021-11-23 10:36:00-05:00
83.07,83.1,83.03,83.07,4263,2021-11-23 10:37:00-05:00
83.06,83.13,83.0325,83.125,7681,2021-11-23 10:38:00-05:00
83.13,83.1595,83.075,83.135,4810,2021-11-23 10:39:00-05:00
83.14,83.19,83.105,83.16,6538,2021-11-23 10:40:00-05:00
83.14,83.215,83.125,83.15,6840,2021-11-23 10:41:00-05:00
83.13,83.18,83.03,83.09,4670,2021-11-23 10:42:00-05:00
83.105,83.105,82.98,83.0,6923,2021-11-23 10:43:00-05:00
83.02,83.03,82.98,82.98,4312,2021-11-23 10:44:00-05:00
82.99,83.085,82.975,83.05,6902,2021-11-23 10:45:00-05:00
83.08,83.11,83.02,83.05,5828,2021-11-23 10:46:00-05:00
83.09,83.16,83.02,83.085,10219,2021-11-23 10:47:00-05:00
83.07,83.09,82.96,83.0,18787,2021-11-23 10:48:00-05:00
83.005,83.07,83.0,83.05,7847,2021-11-23 10:49:00-05:00
83.045,83.11,83.01,83.11,8853,2021-11-23 10:50:00-05:00
83.11,83.16,83.1,83.11,12145,2021-11-23 10:51:00-05:00
83.105,83.12,82.98,82.99,8684,2021-11-23 10:52:00-05:00
82.98,83.05,82.98,83.0,24745,2021-11-23 10:53:00-05:00
83.005,83.015,82.93,82.945,23710,2021-11-23 10:54:00-05:00
82.945,82.96,82.82,82.86,9001,2021-11-23 10:55:00-05:00
82.88,82.9,82.705,82.75,39769,2021-11-23 10:56:00-05:00
82.76,82.84,82.625,82.64,17459,2021-11-23 10:57:00-05:00
82.64,82.655,82.43,82.46,11820,2021-11-23 10:58:00-05:00
82.45,82.5,82.3,82.41,11073,2021-11-23 10:59:00-05:00
82.42,82.54,82.36,82.36,10951,2021-11-23 11:00:00-05:00
82.39,82.39,82.21,82.25,16787,2021-11-23 11:01:00-05:00
82.27,82.275,82.14,82.16,3854,2021-11-23 11:02:00-05:00
82.13,82.19,82.11,82.185,9482,2021-11-23 11:03:00-05:00
82.1675,82.34,82.1675,82.28,12699,2021-11-23 11:04:00-05:00
82.28,82.42,82.27,82.42,2500,2021-11-23 11:05:00-05:00
82.41,82.49,82.385,82.395,6945,2021-11-23 11:06:00-05:00
82.42,82.5,82.22,82.25,11122,2021-11-23 11:07:00-05:00
82.235,82.4,82.16,82.33,10591,2021-11-23 11:08:00-05:00
82.36,82.44,82.36,82.44,7167,2021-11-23 11:09:00-05:00
82.425,82.51,82.41,82.485,5469,2021-11-23 11:10:00-05:00
82.46,82.61,82.45,82.59,4478,2021-11-23 11:11:00-05:00
82.565,82.68,82.55,82.68,6560,2021-11-23 11:12:00-05:00
82.66,82.88,82.66,82.865,6219,2021-11-23 11:13:00-05:00
82.865,82.93,82.81,82.87,12104,2021-11-23 11:14:00-05:00
82.865,83.0,82.85,82.92,12757,2021-11-23 11:15:00-05:00
82.93,83.0,82.88,82.99,4104,2021-11-23 11:16:00-05:00
82.99,82.99,82.85,82.865,7202,2021-11-23 11:17:00-05:00
82.865,82.885,82.76,82.815,8054,2021-11-23 11:18:00-05:00
82.83,82.845,82.71,82.76,6992,2021-11-23 11:19:00-05:00
82.755,82.83,82.7115,82.745,2364,2021-11-23 11:20:00-05:00
82.74,82.87,82.74,82.79,5263,2021-11-23 11:21:00-05:00
82.775,82.82,82.75,82.81,2846,2021-11-23 11:22:00-05:00
82.79,82.83,82.79,82.82,1493,2021-11-23 11:23:00-05:00
82.82,82.885,82.82,82.86,3203,2021-11-23 11:24:00-05:00
82.86,83.02,82.86,83.01,6407,2021-11-23 11:25:00-05:00
83.04,83.04,82.93,82.95,4702,2021-11-23 11:26:00-05:00
82.97,82.99,82.93,82.97,1800,2021-11-23 11:27:00-05:00
82.95,83.07,82.95,83.0,5027,2021-11-23 11:28:00-05:00
83.02,83.02,82.93,82.93,11107,2021-11-23 11:29:00-05:00
82.94,83.06,82.85,83.04,13871,2021-11-23 11:30:00-05:00
83.045,83.1,82.97,83.07,11182,2021-11-23 11:31:00-05:00
83.075,83.13,83.06,83.08,6924,2021-11-23 11:32:00-05:00
83.07,83.15,82.995,83.12,12025,2021-11-23 11:33:00-05:00
83.13,83.13,83.0,83.015,12052,2021-11-23 11:34:00-05:00
83.015,83.06,82.9,82.9,14680,2021-11-23 11:35:00-05:00
82.92,82.985,82.86,82.92,14928,2021-11-23 11:36:00-05:00
82.93,83.115,82.93,83.095,10040,2021-11-23 11:37:00-05:00
83.07,83.21,83.06,83.21,4420,2021-11-23 11:38:00-05:00
83.21,83.23,83.12,83.23,7583,2021-11-23 11:39:00-05:00
83.23,83.23,83.09,83.19,8204,2021-11-23 11:40:00-05:00
83.19,83.275,83.19,83.22,3620,2021-11-23 11:41:00-05:00
83.23,83.35,83.18,83.275,11902,2021-11-23 11:42:00-05:00
83.31,83.35,83.28,83.3,3669,2021-11-23 11:43:00-05:00
83.285,83.285,83.15,83.155,17284,2021-11-23 11:44:00-05:00
83.18,83.43,83.04,83.39,23487,2021-11-23 11:45:00-05:00
83.37,83.46,83.3,83.4,9576,2021-11-23 11:46:00-05:00
83.4,83.66,83.4,83.59,11654,2021-11-23 11:47:00-05:00
83.6,83.62,83.53,83.57,7947,2021-11-23 11:48:00-05:00
83.57,83.62,83.56,83.59,6186,2021-11-23 11:49:00-05:00
83.575,83.6,83.49,83.51,2732,2021-11-23 11:50:00-05:00
83.52,83.52,83.37,83.465,7718,2021-11-23 11:51:00-05:00
83.46,83.49,83.26,83.27,2978,2021-11-23 11:52:00-05:00
83.27,83.32,83.23,83.255,8658,2021-11-23 11:53:00-05:00
83.3,83.38,83.265,83.27,3413,2021-11-23 11:54:00-05:00
83.29,83.37,83.24,83.285,7971,2021-11-23 11:55:00-05:00
83.26,83.355,83.25,83.295,2810,2021-11-23 11:56:00-05:00
83.31,83.45,83.31,83.39,7720,2021-11-23 11:57:00-05:00
83.36,83.385,83.23,83.36,6445,2021-11-23 11:58:00-05:00
83.34,83.385,83.23,83.27,5626,2021-11-23 11:59:00-05:00
83.25,83.34,83.18,83.32,9041,2021-11-23 12:00:00-05:00
83.305,83.315,83.2,83.235,16663,2021-11-23 12:01:00-05:00
83.24,83.26,83.02,83.12,46209,2021-11-23 12:02:00-05:00
83.14,83.19,83.1,83.16,17539,2021-11-23 12:03:00-05:00
83.16,83.235,83.14,83.2,7608,2021-11-23 12:04:00-05:00
83.17,83.2,83.14,83.15,7897,2021-11-23 12:05:00-05:00
83.15,83.24,83.15,83.24,5800,2021-11-23 12:06:00-05:00
83.24,83.29,83.23,83.24,3200,2021-11-23 12:07:00-05:00
83.23,83.24,83.11,83.175,5720,2021-11-23 12:08:00-05:00
83.175,83.23,83.15,83.165,8850,2021-11-23 12:09:00-05:00
83.18,83.27,83.18,83.21,6566,2021-11-23 12:10:00-05:00
83.205,83.33,83.195,83.33,7700,2021-11-23 12:11:00-05:00
83.3,83.35,83.21,83.22,5465,2021-11-23 12:12:00-05:00
83.22,83.23,83.14,83.2299,4300,2021-11-23 12:13:00-05:00
83.24,83.285,83.17,83.17,4020,2021-11-23 12:14:00-05:00
83.21,83.26,83.16,83.26,3800,2021-11-23 12:15:00-05:00
83.255,83.47,83.255,83.425,8300,2021-11-23 12:16:00-05:00
83.42,83.48,83.42,83.46,5824,2021-11-23 12:17:00-05:00
83.43,83.49,83.39,83.39,13755,2021-11-23 12:18:00-05:00
83.46,83.56,83.45,83.53,5356,2021-11-23 12:19:00-05:00
83.53,83.63,83.495,83.59,5199,2021-11-23 12:20:00-05:00
83.59,83.59,83.51,83.53,5098,2021-11-23 12:21:00-05:00
83.53,83.56,83.52,83.56,3411,2021-11-23 12:22:00-05:00
83.57,83.78,83.57,83.76,5073,2021-11-23 12:23:00-05:00
83.75,83.75,83.65,83.66,3995,2021-11-23 12:24:00-05:00
83.66,83.74,83.66,83.71,5160,2021-11-23 12:25:00-05:00
83.67,83.67,83.62,83.64,4991,2021-11-23 12:26:00-05:00
83.6128,83.66,83.58,83.58,6413,2021-11-23 12:27:00-05:00
83.62,83.7,83.55,83.55,5500,2021-11-23 12:28:00-05:00
83.59,83.65,83.57,83.62,4501,2021-11-23 12:29:00-05:00
83.61,83.67,83.57,83.65,11985,2021-11-23 12:30:00-05:00
83.61,83.64,83.545,83.59,3444,2021-11-23 12:31:00-05:00
83.61,83.63,83.55,83.59,3721,2021-11-23 12:32:00-05:00
83.58,83.59,83.48,83.48,3100,2021-11-23 12:33:00-05:00
83.452,83.49,83.41,83.48,3282,2021-11-23 12:34:00-05:00
83.46,83.54,83.46,83.5,30840,2021-11-23 12:35:00-05:00
83.48,83.48,83.43,83.475,6056,2021-11-23 12:36:00-05:00
83.44,83.44,83.325,83.35,4150,2021-11-23 12:37:00-05:00
83.36,83.37,83.3,83.34,2906,2021-11-23 12:38:00-05:00
83.32,83.32,83.27,83.27,901,2021-11-23 12:39:00-05:00
83.27,83.29,83.25,83.265,1300,2021-11-23 12:40:00-05:00
83.26,83.27,83.17,83.27,6006,2021-11-23 12:41:00-05:00
83.28,83.28,83.205,83.27,8685,2021-11-23 12:42:00-05:00
83.24,83.26,83.17,83.21,5030,2021-11-23 12:43:00-05:00
83.21,83.25,83.175,83.21,2758,2021-11-23 12:44:00-05:00
83.24,83.24,83.175,83.23,6228,2021-11-23 12:45:00-05:00
83.25,83.31,83.24,83.275,3890,2021-11-23 12:46:00-05:00
83.29,83.305,83.27,83.3,3572,2021-11-23 12:47:00-05:00
83.31,83.37,83.31,83.35,3193,2021-11-23 12:48:00-05:00
83.36,83.38,83.3,83.345,3300,2021-11-23 12:49:00-05:00
83.34,83.41,83.315,83.385,3100,2021-11-23 12:50:00-05:00
83.38,83.38,83.33,83.36,1600,2021-11-23 12:51:00-05:00
83.36,83.4,83.33,83.38,3890,2021-11-23 12:52:00-05:00
83.37,83.4,83.34,83.34,1100,2021-11-23 12:53:00-05:00
83.31,83.33,83.25,83.25,3994,2021-11-23 12:54:00-05:00
83.21,83.27,83.18,83.2,4689,2021-11-23 12:55:00-05:00
83.24,83.26,83.16,83.177,2664,2021-11-23 12:56:00-05:00
83.17,83.17,83.06,83.06,4145,2021-11-23 12:57:00-05:00
83.08,83.09,83.01,83.03,3925,2021-11-23 12:58:00-05:00
83.05,83.1,83.02,83.05,3200,2021-11-23 12:59:00-05:00
83.05,83.05,82.91,83.01,4155,2021-11-23 13:00:00-05:00
83.01,83.01,82.92,82.97,3100,2021-11-23 13:01:00-05:00
82.96,83.13,82.9,83.07,9573,2021-11-23 13:02:00-05:00
83.105,83.11,83.04,83.05,1800,2021-11-23 13:03:00-05:00
83.0301,83.05,83.02,83.05,2500,2021-11-23 13:04:00-05:00
83.0325,83.0325,82.95,82.95,5207,2021-11-23 13:05:00-05:00
83.0,83.06,83.0,83.04,2397,2021-11-23 13:06:00-05:00
83.0,83.0,82.89,82.92,5040,2021-11-23 13:07:00-05:00
82.92,82.96,82.92,82.96,997,2021-11-23 13:08:00-05:00
82.99,83.0081,82.95,82.965,1877,2021-11-23 13:09:00-05:00
82.92,82.95,82.86,82.95,2800,2021-11-23 13:10:00-05:00
82.97,83.01,82.87,82.87,3400,2021-11-23 13:11:00-05:00
82.89,82.89,82.85,82.85,400,2021-11-23 13:12:00-05:00
82.82,82.85,82.81,82.83,1600,2021-11-23 13:13:00-05:00
82.865,82.91,82.86,82.905,12856,2021-11-23 13:14:00-05:00
82.91,82.95,82.855,82.915,5284,2021-11-23 13:15:00-05:00
82.85,82.85,82.79,82.81,1596,2021-11-23 13:16:00-05:00
82.81,82.81,82.69,82.69,1500,2021-11-23 13:17:00-05:00
82.675,82.675,82.6,82.6,619,2021-11-23 13:18:00-05:00
82.6,82.6,82.43,82.45,16224,2021-11-23 13:19:00-05:00
82.46,82.66,82.46,82.66,2300,2021-11-23 13:20:00-05:00
82.61,82.62,82.58,82.605,1330,2021-11-23 13:21:00-05:00
82.62,82.8,82.62,82.77,4305,2021-11-23 13:22:00-05:00
82.83,82.85,82.75,82.82,2581,2021-11-23 13:23:00-05:00
82.82,82.84,82.75,82.75,1900,2021-11-23 13:24:00-05:00
82.76,82.78,82.67,82.7381,4388,2021-11-23 13:25:00-05:00
82.835,82.845,82.76,82.78,23003,2021-11-23 13:26:00-05:00
82.775,82.775,82.63,82.63,2447,2021-11-23 13:27:00-05:00
82.63,82.695,82.605,82.64,3300,2021-11-23 13:28:00-05:00
82.64,82.65,82.51,82.5494,2647,2021-11-23 13:29:00-05:00
82.51,82.51,82.37,82.5,8435,2021-11-23 13:30:00-05:00
82.51,82.51,82.39,82.42,1200,2021-11-23 13:31:00-05:00
82.4,82.405,82.21,82.22,4200,2021-11-23 13:32:00-05:00
82.22,82.23,82.169,82.2,6157,2021-11-23 13:33:00-05:00
82.2,82.21,82.03,82.06,3400,2021-11-23 13:34:00-05:00
82.04,82.08,81.96,82.03,10093,2021-11-23 13:35:00-05:00
82.03,82.08,82.01,82.01,2800,2021-11-23 13:36:00-05:00
82.0,82.205,82.0,82.115,7793,2021-11-23 13:37:00-05:00
82.13,82.22,82.13,82.22,4504,2021-11-23 13:38:00-05:00
82.22,82.22,82.13,82.16,1733,2021-11-23 13:39:00-05:00
82.13,82.185,82.11,82.17,3191,2021-11-23 13:40:00-05:00
82.17,82.17,82.11,82.16,4586,2021-11-23 13:41:00-05:00
82.11,82.11,82.055,82.07,1338,2021-11-23 13:42:00-05:00
82.06,82.08,82.04,82.07,3622,2021-11-23 13:43:00-05:00
82.06,82.06,81.99,81.995,1752,2021-11-23 13:44:00-05:00
82.0,82.03,81.99,82.0,3900,2021-11-23 13:45:00-05:00
82.0,82.095,82.0,82.08,6127,2021-11-23 13:46:00-05:00
82.09,82.25,82.08,82.25,6110,2021-11-23 13:47:00-05:00
82.25,82.396,82.25,82.37,2566,2021-11-23 13:48:00-05:00
82.35,82.37,82.2387,82.27,3821,2021-11-23 13:49:00-05:00
82.27,82.38,82.27,82.34,2294,2021-11-23 13:50:00-05:00
82.32,82.32,82.32,82.32,611,2021-11-23 13:51:00-05:00
82.35,82.48,82.35,82.48,1046,2021-11-23 13:52:00-05:00
82.48,82.52,82.48,82.52,1216,2021-11-23 13:53:00-05:00
82.53,82.61,82.51,82.57,15921,2021-11-23 13:54:00-05:00
82.585,82.63,82.58,82.63,3966,2021-11-23 13:55:00-05:00
82.63,82.66,82.46,82.52,19052,2021-11-23 13:56:00-05:00
82.53,82.59,82.48,82.48,2796,2021-11-23 13:57:00-05:00
82.5,82.5,82.39,82.45,3665,2021-11-23 13:58:00-05:00
82.42,82.46,82.42,82.445,6282,2021-11-23 13:59:00-05:00
82.45,82.47,82.36,82.395,7072,2021-11-23 14:00:00-05:00
82.42,82.47,82.38,82.38,6874,2021-11-23 14:01:00-05:00
82.35,82.35,82.25,82.26,2550,2021-11-23 14:02:00-05:00
82.31,82.39,82.3,82.365,1200,2021-11-23 14:03:00-05:00
82.36,82.375,82.33,82.34,1100,2021-11-23 14:04:00-05:00
82.35,82.44,82.35,82.44,1485,2021-11-23 14:05:00-05:00
82.42,82.53,82.42,82.51,2011,2021-11-23 14:06:00-05:00
82.5,82.51,82.4,82.4,1900,2021-11-23 14:07:00-05:00
82.4,82.4,82.4,82.4,100,2021-11-23 14:08:00-05:00
82.42,82.46,82.42,82.43,2254,2021-11-23 14:09:00-05:00
82.415,82.415,82.35,82.35,1000,2021-11-23 14:10:00-05:00
82.32,82.345,82.31,82.31,2100,2021-11-23 14:11:00-05:00
82.3,82.34,82.26,82.34,1600,2021-11-23 14:12:00-05:00
82.36,82.4,82.34,82.38,6320,2021-11-23 14:13:00-05:00
82.38,82.39,82.31,82.33,2200,2021-11-23 14:14:00-05:00
82.325,82.33,82.195,82.22,3340,2021-11-23 14:15:00-05:00
82.23,82.23,82.15,82.15,5715,2021-11-23 14:16:00-05:00
82.21,82.22,82.12,82.14,2500,2021-11-23 14:17:00-05:00
82.155,82.18,82.155,82.18,1800,2021-11-23 14:18:00-05:00
82.165,82.18,82.09,82.11,4803,2021-11-23 14:19:00-05:00
82.11,82.25,82.11,82.23,3786,2021-11-23 14:20:00-05:00
82.24,82.36,82.235,82.3,3999,2021-11-23 14:21:00-05:00
82.285,82.35,82.285,82.35,1359,2021-11-23 14:22:00-05:00
82.35,82.53,82.35,82.52,5707,2021-11-23 14:23:00-05:00
82.49,82.49,82.43,82.46,1900,2021-11-23 14:24:00-05:00
82.47,82.62,82.47,82.62,2691,2021-11-23 14:25:00-05:00
82.62,82.65,82.59,82.61,4281,2021-11-23 14:26:00-05:00
82.59,82.59,82.53,82.56,2500,2021-11-23 14:27:00-05:00
82.56,82.56,82.55,82.55,1400,2021-11-23 14:28:00-05:00
82.55,82.625,82.55,82.61,2048,2021-11-23 14:29:00-05:00
82.58,82.68,82.58,82.62,5063,2021-11-23 14:30:00-05:00
82.6,82.6,82.43,82.49,7200,2021-11-23 14:31:00-05:00
82.49,82.49,82.44,82.45,1700,2021-11-23 14:32:00-05:00
82.45,82.47,82.42,82.42,4331,2021-11-23 14:33:00-05:00
82.42,82.44,82.37,82.44,2906,2021-11-23 14:34:00-05:00
82.45,82.54,82.45,82.54,2864,2021-11-23 14:35:00-05:00
82.5896,82.62,82.525,82.6,2950,2021-11-23 14:36:00-05:00
82.595,82.63,82.575,82.61,1524,2021-11-23 14:37:00-05:00
82.63,82.7,82.62,82.68,2400,2021-11-23 14:38:00-05:00
82.67,82.67,82.6,82.625,2537,2021-11-23 14:39:00-05:00
82.63,82.68,82.63,82.66,1919,2021-11-23 14:40:00-05:00
82.655,82.655,82.555,82.59,2873,2021-11-23 14:41:00-05:00
82.6,82.65,82.6,82.63,1300,2021-11-23 14:42:00-05:00
82.66,82.71,82.66,82.69,2180,2021-11-23 14:43:00-05:00
82.67,82.69,82.645,82.69,1220,2021-11-23 14:44:00-05:00
82.69,82.71,82.64,82.71,3081,2021-11-23 14:45:00-05:00
82.71,82.78,82.71,82.775,1709,2021-11-23 14:46:00-05:00
82.76,82.87,82.76,82.85,6535,2021-11-23 14:47:00-05:00
82.82,82.85,82.7706,82.84,3850,2021-11-23 14:48:00-05:00
82.86,82.92,82.82,82.92,3100,2021-11-23 14:49:00-05:00
82.89,82.89,82.75,82.76,2600,2021-11-23 14:50:00-05:00
82.765,82.82,82.755,82.79,2440,2021-11-23 14:51:00-05:00
82.82,82.84,82.79,82.795,1820,2021-11-23 14:52:00-05:00
82.82,82.83,82.805,82.805,1044,2021-11-23 14:53:00-05:00
82.83,82.91,82.8,82.8,3200,2021-11-23 14:54:00-05:00
82.79,82.84,82.74,82.8,2613,2021-11-23 14:55:00-05:00
82.77,82.77,82.64,82.64,1334,2021-11-23 14:56:00-05:00
82.64,82.66,82.605,82.625,3580,2021-11-23 14:57:00-05:00
82.65,82.7,82.625,82.665,3100,2021-11-23 14:58:00-05:00
82.655,82.73,82.655,82.73,1792,2021-11-23 14:59:00-05:00
82.73,82.73,82.68,82.685,5092,2021-11-23 15:00:00-05:00
82.72,82.76,82.665,82.71,3004,2021-11-23 15:01:00-05:00
82.68,82.702,82.66,82.66,1870,2021-11-23 15:02:00-05:00
82.69,82.69,82.575,82.59,2430,2021-11-23 15:03:00-05:00
82.62,82.68,82.62,82.675,2102,2021-11-23 15:04:00-05:00
82.7,82.78,82.7,82.77,3900,2021-11-23 15:05:00-05:00
82.78,82.85,82.75,82.85,3255,2021-11-23 15:06:00-05:00
82.85,82.88,82.8,82.88,4987,2021-11-23 15:07:00-05:00
82.85,82.865,82.83,82.865,2024,2021-11-23 15:08:00-05:00
82.89,82.9,82.81,82.81,2815,2021-11-23 15:09:00-05:00
82.81,82.81,82.76,82.8,2533,2021-11-23 15:10:00-05:00
82.782,82.81,82.75,82.75,1398,2021-11-23 15:11:00-05:00
82.75,82.82,82.74,82.82,2008,2021-11-23 15:12:00-05:00
