open,high,low,close,volume,datetime
383.66,383.66,381.17,381.17,10959,2021-11-23 09:30:00-05:00
381.16,381.16,381.16,381.16,100,2021-11-23 09:32:00-05:00
380.42,381.105,379.38,379.38,694,2021-11-23 09:33:00-05:00
379.77,379.77,378.41,378.41,400,2021-11-23 09:34:00-05:00
379.055,379.055,379.055,379.055,100,2021-11-23 09:35:00-05:00
378.745,380.1,378.745,380.1,2018,2021-11-23 09:36:00-05:00
381.0,381.0,380.685,381.0,400,2021-11-23 09:37:00-05:00
380.655,380.69,380.655,380.69,200,2021-11-23 09:38:00-05:00
380.29,381.14,380.29,381.14,470,2021-11-23 09:39:00-05:00
380.69,380.77,380.49,380.77,1506,2021-11-23 09:40:00-05:00
380.965,381.36,380.965,381.05,408,2021-11-23 09:41:00-05:00
382.21,382.35,381.59,381.78,2578,2021-11-23 09:43:00-05:00
381.59,381.63,381.38,381.57,972,2021-11-23 09:44:00-05:00
381.535,381.535,381.535,381.535,200,2021-11-23 09:45:00-05:00
381.8335,381.8335,381.8335,381.8335,160,2021-11-23 09:46:00-05:00
381.97,381.97,381.955,381.955,300,2021-11-23 09:47:00-05:00
381.82,382.36,381.82,382.36,200,2021-11-23 09:48:00-05:00
382.44,382.44,382.435,382.435,200,2021-11-23 09:49:00-05:00
382.46,383.31,382.46,383.31,700,2021-11-23 09:50:00-05:00
383.05,383.05,382.96,382.96,811,2021-11-23 09:51:00-05:00
383.19,384.06,383.19,383.74,420,2021-11-23 09:52:00-05:00
383.565,383.565,383.565,383.565,100,2021-11-23 09:53:00-05:00
384.38,384.4,384.36,384.4,400,2021-11-23 09:54:00-05:00
385.23,385.38,384.79,385.38,2927,2021-11-23 09:56:00-05:00
385.665,385.665,385.665,385.665,100,2021-11-23 09:57:00-05:00
385.62,385.62,385.62,385.62,100,2021-11-23 09:58:00-05:00
386.165,386.165,386.16,386.16,300,2021-11-23 09:59:00-05:00
385.72,385.96,385.62,385.945,2501,2021-11-23 10:00:00-05:00
386.0,386.0,384.85,385.28,1788,2021-11-23 10:01:00-05:00
385.47,385.47,385.04,385.04,200,2021-11-23 10:03:00-05:00
384.9,385.27,384.86,385.205,1328,2021-11-23 10:05:00-05:00
385.24,385.75,384.99,385.02,10690,2021-11-23 10:06:00-05:00
384.99,385.42,384.89,385.03,5044,2021-11-23 10:07:00-05:00
384.57,385.03,384.075,384.165,837,2021-11-23 10:08:00-05:00
384.27,384.27,384.27,384.27,104,2021-11-23 10:09:00-05:00
384.12,384.12,384.12,384.12,200,2021-11-23 10:10:00-05:00
383.76,384.11,383.66,383.95,1501,2021-11-23 10:12:00-05:00
383.93,384.025,383.93,384.025,400,2021-11-23 10:14:00-05:00
384.34,384.65,384.34,384.65,200,2021-11-23 10:15:00-05:00
384.32,384.65,384.32,384.65,200,2021-11-23 10:16:00-05:00
384.4,384.57,384.14,384.56,2066,2021-11-23 10:17:00-05:00
384.94,384.94,384.94,384.94,100,2021-11-23 10:18:00-05:00
384.43,384.58,384.205,384.205,476,2021-11-23 10:19:00-05:00
384.74,384.85,384.735,384.85,300,2021-11-23 10:21:00-05:00
384.73,385.0,384.73,384.98,600,2021-11-23 10:22:00-05:00
384.58,384.58,384.58,384.58,100,2021-11-23 10:23:00-05:00
385.03,385.03,385.03,385.03,102,2021-11-23 10:24:00-05:00
384.82,384.845,384.66,384.845,300,2021-11-23 10:25:00-05:00
384.49,384.49,383.6,384.225,1503,2021-11-23 10:26:00-05:00
383.8,383.8,383.8,383.8,225,2021-11-23 10:27:00-05:00
383.785,384.015,383.785,384.015,300,2021-11-23 10:28:00-05:00
384.0,384.0,384.0,384.0,100,2021-11-23 10:29:00-05:00
383.66,383.66,383.66,383.66,200,2021-11-23 10:30:00-05:00
383.56,383.565,383.56,383.565,200,2021-11-23 10:32:00-05:00
383.525,383.525,383.33,383.33,900,2021-11-23 10:33:00-05:00
383.33,383.33,382.535,382.535,300,2021-11-23 10:34:00-05:00
382.83,382.95,382.82,382.85,900,2021-11-23 10:35:00-05:00
383.12,383.12,383.0667,383.0667,700,2021-11-23 10:36:00-05:00
382.98,383.7,382.98,383.7,200,2021-11-23 10:37:00-05:00
383.22,383.22,383.19,383.19,500,2021-11-23 10:38:00-05:00
383.38,383.38,383.17,383.17,300,2021-11-23 10:41:00-05:00
382.98,382.98,382.98,382.98,100,2021-11-23 10:44:00-05:00
383.26,383.74,383.26,383.74,900,2021-11-23 10:45:00-05:00
383.555,383.555,383.555,383.555,100,2021-11-23 10:48:00-05:00
383.28,383.28,383.07,383.07,695,2021-11-23 10:49:00-05:00
382.91,382.91,382.71,382.71,400,2021-11-23 10:50:00-05:00
382.78,382.87,382.78,382.87,300,2021-11-23 10:51:00-05:00
382.69,382.69,382.53,382.665,600,2021-11-23 10:52:00-05:00
382.6,382.69,382.22,382.225,821,2021-11-23 10:53:00-05:00
382.08,382.08,382.08,382.08,100,2021-11-23 10:54:00-05:00
382.06,382.61,381.665,382.585,2240,2021-11-23 10:55:00-05:00
382.32,382.71,382.14,382.62,2365,2021-11-23 10:57:00-05:00
382.56,382.56,382.56,382.56,100,2021-11-23 10:59:00-05:00
382.38,382.38,382.12,382.12,400,2021-11-23 11:00:00-05:00
382.025,382.025,382.025,382.025,200,2021-11-23 11:03:00-05:00
382.12,382.135,382.12,382.135,274,2021-11-23 11:06:00-05:00
382.42,383.0,382.42,382.9,724,2021-11-23 11:07:00-05:00
