open,high,low,close,volume,datetime
76.03,76.03,76.03,76.03,168,2024-03-28 08:12:00-04:00
76.48,76.49,76.47,76.49,654,2024-03-28 09:12:00-04:00
76.55,76.55,76.39,76.39,200,2024-03-28 09:13:00-04:00
76.39,76.39,76.39,76.39,100,2024-03-28 09:14:00-04:00
76.53,77.15,76.53,77.15,1163,2024-03-28 09:29:00-04:00
76.79,77.04,76.79,77.01,42383,2024-03-28 09:30:00-04:00
76.89,76.975,76.8,76.8,1094,2024-03-28 09:31:00-04:00
76.9,76.93,76.74,76.79,2082,2024-03-28 09:32:00-04:00
76.82,77.1,76.82,76.95,5717,2024-03-28 09:33:00-04:00
77.01,77.04,77.005,77.005,900,2024-03-28 09:34:00-04:00
76.92,76.92,76.62,76.7,2163,2024-03-28 09:35:00-04:00
76.77,76.8,76.72,76.78,1200,2024-03-28 09:36:00-04:00
76.75,76.87,76.69,76.69,1400,2024-03-28 09:37:00-04:00
76.53,76.59,76.52,76.53,1256,2024-03-28 09:38:00-04:00
76.5546,76.71,76.51,76.51,1067,2024-03-28 09:39:00-04:00
76.5106,76.7,76.5106,76.68,3845,2024-03-28 09:40:00-04:00
76.5891,76.5891,76.5891,76.5891,100,2024-03-28 09:41:00-04:00
76.6827,76.77,76.61,76.77,1969,2024-03-28 09:42:00-04:00
76.6606,76.77,76.6606,76.77,5771,2024-03-28 09:43:00-04:00
76.79,76.88,76.71,76.87,2813,2024-03-28 09:44:00-04:00
76.84,77.01,76.84,77.01,2887,2024-03-28 09:45:00-04:00
77.0619,77.1,76.9,76.9,4487,2024-03-28 09:46:00-04:00
77.06,77.1,77.03,77.065,4469,2024-03-28 09:47:00-04:00
77.1,77.16,77.095,77.095,2423,2024-03-28 09:48:00-04:00
77.04,77.245,77.04,77.16,5654,2024-03-28 09:49:00-04:00
77.13,77.1999,77.04,77.07,1783,2024-03-28 09:50:00-04:00
77.06,77.1,76.88,76.925,4232,2024-03-28 09:51:00-04:00
76.87,76.8825,76.84,76.8559,700,2024-03-28 09:52:00-04:00
76.82,76.88,76.65,76.65,7397,2024-03-28 09:53:00-04:00
76.69,76.74,76.69,76.74,400,2024-03-28 09:54:00-04:00
76.77,76.81,76.75,76.8,1422,2024-03-28 09:55:00-04:00
76.78,76.985,76.78,76.96,7609,2024-03-28 09:56:00-04:00
76.951,77.17,76.951,77.16,2097,2024-03-28 09:57:00-04:00
77.14,77.19,77.1,77.15,4838,2024-03-28 09:58:00-04:00
77.15,77.16,77.1,77.135,6098,2024-03-28 09:59:00-04:00
77.14,77.14,76.94,76.98,3622,2024-03-28 10:00:00-04:00
77.02,77.09,77.02,77.085,1787,2024-03-28 10:01:00-04:00
77.12,77.1344,77.02,77.1,8680,2024-03-28 10:02:00-04:00
77.12,77.15,77.08,77.15,1063,2024-03-28 10:03:00-04:00
77.14,77.23,77.09,77.23,5672,2024-03-28 10:04:00-04:00
77.23,77.445,77.2,77.445,12442,2024-03-28 10:05:00-04:00
77.42,77.42,77.32,77.32,4442,2024-03-28 10:06:00-04:00
77.35,77.44,77.35,77.44,2214,2024-03-28 10:07:00-04:00
77.38,77.44,77.36,77.44,3205,2024-03-28 10:08:00-04:00
77.45,77.46,77.38,77.38,4996,2024-03-28 10:09:00-04:00
77.395,77.395,77.37,77.37,1524,2024-03-28 10:10:00-04:00
77.38,77.43,77.35,77.41,4669,2024-03-28 10:11:00-04:00
77.41,77.425,77.37,77.425,3753,2024-03-28 10:12:00-04:00
77.42,77.45,77.36,77.36,2113,2024-03-28 10:13:00-04:00
77.355,77.37,77.29,77.295,3628,2024-03-28 10:14:00-04:00
77.3,77.3199,77.29,77.295,1000,2024-03-28 10:15:00-04:00
77.28,77.28,77.16,77.23,4537,2024-03-28 10:16:00-04:00
77.23,77.25,77.21,77.24,1200,2024-03-28 10:17:00-04:00
77.25,77.27,77.25,77.25,527,2024-03-28 10:18:00-04:00
77.25,77.25,77.2,77.21,2807,2024-03-28 10:19:00-04:00
77.2,77.2,77.09,77.11,15265,2024-03-28 10:20:00-04:00
77.08,77.12,76.97,76.97,3300,2024-03-28 10:21:00-04:00
76.96,77.05,76.96,77.03,2037,2024-03-28 10:22:00-04:00
77.01,77.01,76.96,76.96,800,2024-03-28 10:23:00-04:00
76.92,76.92,76.8,76.88,3144,2024-03-28 10:24:00-04:00
76.91,76.91,76.84,76.84,972,2024-03-28 10:25:00-04:00
76.845,76.845,76.78,76.78,1870,2024-03-28 10:26:00-04:00
76.83,76.83,76.62,76.64,6428,2024-03-28 10:27:00-04:00
76.65,76.68,76.52,76.52,4626,2024-03-28 10:28:00-04:00
76.53,76.645,76.52,76.605,1506,2024-03-28 10:29:00-04:00
