open,high,low,close,volume,datetime
43.66,43.66,43.66,43.66,100,2024-03-28 07:01:00-04:00
43.67,43.67,43.67,43.67,100,2024-03-28 07:32:00-04:00
43.64,43.66,43.64,43.66,383,2024-03-28 07:42:00-04:00
43.67,43.67,43.67,43.67,1160,2024-03-28 08:01:00-04:00
43.66,43.66,43.66,43.66,1197,2024-03-28 08:12:00-04:00
43.66,43.66,43.66,43.66,500,2024-03-28 08:18:00-04:00
43.65,43.65,43.62,43.62,478,2024-03-28 08:20:00-04:00
43.67,43.67,43.67,43.67,200,2024-03-28 08:26:00-04:00
43.65,43.65,43.65,43.65,100,2024-03-28 08:53:00-04:00
43.66,43.66,43.66,43.66,285,2024-03-28 09:11:00-04:00
43.65,43.65,43.65,43.65,100,2024-03-28 09:13:00-04:00
43.67,43.67,43.67,43.67,111,2024-03-28 09:26:00-04:00
43.68,43.76,43.68,43.76,6853,2024-03-28 09:29:00-04:00
43.78,43.9,43.75,43.87,216440,2024-03-28 09:30:00-04:00
43.875,43.92,43.86,43.87,33424,2024-03-28 09:31:00-04:00
43.8643,43.875,43.855,43.87,22061,2024-03-28 09:32:00-04:00
43.875,43.935,43.875,43.89,33431,2024-03-28 09:33:00-04:00
43.885,43.93,43.855,43.92,23994,2024-03-28 09:34:00-04:00
43.91,43.945,43.88,43.9291,22303,2024-03-28 09:35:00-04:00
43.93,43.935,43.875,43.895,20990,2024-03-28 09:36:00-04:00
43.91,43.9101,43.86,43.87,12769,2024-03-28 09:37:00-04:00
43.865,43.87,43.82,43.83,12208,2024-03-28 09:38:00-04:00
43.83,43.855,43.8295,43.8501,21706,2024-03-28 09:39:00-04:00
43.86,43.88,43.835,43.865,17965,2024-03-28 09:40:00-04:00
43.8638,43.89,43.85,43.89,12983,2024-03-28 09:41:00-04:00
43.89,43.895,43.85,43.86,9001,2024-03-28 09:42:00-04:00
43.86,43.865,43.805,43.81,18122,2024-03-28 09:43:00-04:00
43.81,43.82,43.78,43.785,29127,2024-03-28 09:44:00-04:00
43.78,43.805,43.75,43.77,38467,2024-03-28 09:45:00-04:00
43.76,43.81,43.76,43.8,13965,2024-03-28 09:46:00-04:00
43.79,43.82,43.78,43.78,16966,2024-03-28 09:47:00-04:00
43.775,43.8,43.735,43.735,7465,2024-03-28 09:48:00-04:00
43.74,43.74,43.7,43.725,22822,2024-03-28 09:49:00-04:00
43.73,43.73,43.685,43.685,21581,2024-03-28 09:50:00-04:00
43.69,43.7,43.68,43.689,7029,2024-03-28 09:51:00-04:00
43.69,43.7,43.67,43.67,10086,2024-03-28 09:52:00-04:00
43.675,43.7,43.67,43.68,8045,2024-03-28 09:53:00-04:00
43.68,43.68,43.64,43.655,11743,2024-03-28 09:54:00-04:00
43.65,43.66,43.64,43.65,13042,2024-03-28 09:55:00-04:00
43.65,43.67,43.64,43.655,40649,2024-03-28 09:56:00-04:00
43.66,43.665,43.65,43.655,19538,2024-03-28 09:57:00-04:00
43.66,43.66,43.62,43.66,37358,2024-03-28 09:58:00-04:00
43.65,43.66,43.645,43.65,7691,2024-03-28 09:59:00-04:00
43.65,43.67,43.65,43.65,11847,2024-03-28 10:00:00-04:00
43.65,43.67,43.645,43.655,16989,2024-03-28 10:01:00-04:00
43.66,43.695,43.65,43.695,27545,2024-03-28 10:02:00-04:00
43.7,43.7,43.655,43.67,10619,2024-03-28 10:03:00-04:00
43.66,43.68,43.65,43.68,11270,2024-03-28 10:04:00-04:00
43.675,43.71,43.675,43.71,12178,2024-03-28 10:05:00-04:00
43.71,43.75,43.7033,43.74,17490,2024-03-28 10:06:00-04:00
43.74,43.77,43.74,43.76,18339,2024-03-28 10:07:00-04:00
43.76,43.765,43.7325,43.76,9996,2024-03-28 10:08:00-04:00
43.77,43.8062,43.76,43.805,19013,2024-03-28 10:09:00-04:00
43.805,43.805,43.765,43.765,10130,2024-03-28 10:10:00-04:00
