open,high,low,close,volume,datetime
421.38,421.45,421.38,421.45,724,2024-03-28 07:20:00-04:00
421.51,421.51,421.51,421.51,105,2024-03-28 07:21:00-04:00
421.51,421.51,421.51,421.51,100,2024-03-28 07:46:00-04:00
421.57,421.57,421.57,421.57,268,2024-03-28 07:50:00-04:00
421.55,421.55,421.55,421.55,100,2024-03-28 07:54:00-04:00
421.61,421.61,421.61,421.61,200,2024-03-28 07:55:00-04:00
421.61,421.61,421.61,421.61,100,2024-03-28 07:56:00-04:00
421.68,421.68,421.68,421.68,100,2024-03-28 08:00:00-04:00
421.61,421.61,421.61,421.61,208,2024-03-28 08:02:00-04:00
421.7,421.7,421.6,421.6,371,2024-03-28 08:06:00-04:00
421.6,421.6,421.6,421.6,120,2024-03-28 08:09:00-04:00
421.58,421.58,421.58,421.58,197,2024-03-28 08:10:00-04:00
421.43,421.43,421.43,421.43,4701,2024-03-28 08:12:00-04:00
421.75,421.75,421.75,421.75,100,2024-03-28 08:13:00-04:00
421.649,421.649,421.649,421.649,359,2024-03-28 08:17:00-04:00
421.59,421.59,421.59,421.59,100,2024-03-28 08:18:00-04:00
421.58,421.58,421.58,421.58,101,2024-03-28 08:24:00-04:00
421.6952,421.6952,421.6952,421.6952,180,2024-03-28 08:25:00-04:00
421.67,421.67,421.67,421.67,200,2024-03-28 08:26:00-04:00
421.691,421.691,421.691,421.691,100,2024-03-28 08:27:00-04:00
421.7,421.7,421.7,421.7,278,2024-03-28 08:30:00-04:00
421.88,421.88,421.85,421.88,702,2024-03-28 08:31:00-04:00
422.0,422.0,422.0,422.0,300,2024-03-28 08:32:00-04:00
421.7252,421.7252,421.7252,421.7252,100,2024-03-28 08:33:00-04:00
421.77,421.77,421.77,421.77,300,2024-03-28 08:35:00-04:00
421.51,421.51,421.51,421.51,238,2024-03-28 08:36:00-04:00
421.55,421.55,421.55,421.55,100,2024-03-28 08:37:00-04:00
421.55,421.55,421.55,421.55,200,2024-03-28 08:40:00-04:00
421.3,421.43,421.3,421.43,387,2024-03-28 08:43:00-04:00
421.29,421.29,421.29,421.29,100,2024-03-28 08:47:00-04:00
421.05,421.05,421.05,421.05,136,2024-03-28 08:48:00-04:00
421.09,421.09,421.09,421.09,600,2024-03-28 08:49:00-04:00
421.38,421.4,421.38,421.4,713,2024-03-28 08:57:00-04:00
421.6,421.6,421.6,421.6,100,2024-03-28 08:59:00-04:00
421.9,421.9,421.9,421.9,100,2024-03-28 09:04:00-04:00
421.9,421.9,421.9,421.9,100,2024-03-28 09:05:00-04:00
421.894,421.9,421.894,421.9,200,2024-03-28 09:06:00-04:00
421.85,421.85,421.78,421.78,228,2024-03-28 09:07:00-04:00
421.6043,421.6051,421.6043,421.6051,390,2024-03-28 09:09:00-04:00
421.77,421.87,421.77,421.87,326,2024-03-28 09:11:00-04:00
421.8,421.8,421.8,421.8,100,2024-03-28 09:12:00-04:00
421.74,421.74,421.74,421.74,150,2024-03-28 09:13:00-04:00
