open,high,low,close,volume,datetime
63.2,63.2,63.2,63.2,100,2024-03-28 07:04:00-04:00
63.0,63.0,63.0,63.0,237,2024-03-28 08:12:00-04:00
63.51,63.52,63.225,63.295,37503,2024-03-28 09:30:00-04:00
63.26,63.33,63.24,63.3,1717,2024-03-28 09:31:00-04:00
63.22,63.225,63.19,63.2,915,2024-03-28 09:32:00-04:00
63.14,63.215,63.14,63.195,3537,2024-03-28 09:33:00-04:00
63.175,63.21,63.12,63.189,2620,2024-03-28 09:34:00-04:00
63.16,63.29,63.15,63.29,3421,2024-03-28 09:35:00-04:00
63.22,63.22,63.1775,63.1775,850,2024-03-28 09:36:00-04:00
63.185,63.2,63.11,63.12,7559,2024-03-28 09:37:00-04:00
63.11,63.12,63.08,63.12,1500,2024-03-28 09:38:00-04:00
63.12,63.13,63.1122,63.115,2454,2024-03-28 09:39:00-04:00
63.1,63.16,63.08,63.11,5385,2024-03-28 09:40:00-04:00
63.11,63.135,63.09,63.1125,800,2024-03-28 09:41:00-04:00
63.105,63.15,63.08,63.14,2899,2024-03-28 09:42:00-04:00
63.08,63.08,63.0,63.02,1403,2024-03-28 09:43:00-04:00
63.03,63.09,63.03,63.09,2673,2024-03-28 09:44:00-04:00
63.12,63.125,63.12,63.125,654,2024-03-28 09:45:00-04:00
63.12,63.145,63.12,63.135,620,2024-03-28 09:46:00-04:00
63.15,63.15,63.05,63.05,1500,2024-03-28 09:47:00-04:00
63.0,63.04,62.98,62.99,2831,2024-03-28 09:48:00-04:00
63.0,63.01,62.975,62.985,1252,2024-03-28 09:49:00-04:00
62.97,63.07,62.97,63.05,8081,2024-03-28 09:50:00-04:00
63.04,63.05,62.98,62.982,4630,2024-03-28 09:51:00-04:00
62.99,63.005,62.96,62.96,1381,2024-03-28 09:52:00-04:00
62.96,62.96,62.94,62.95,1672,2024-03-28 09:53:00-04:00
62.93,62.93,62.91,62.93,2518,2024-03-28 09:54:00-04:00
62.935,62.95,62.925,62.94,4999,2024-03-28 09:55:00-04:00
62.935,62.94,62.93,62.94,600,2024-03-28 09:56:00-04:00
62.93,62.985,62.93,62.985,500,2024-03-28 09:57:00-04:00
62.995,63.009,62.99,63.009,1119,2024-03-28 09:58:00-04:00
62.98,63.0,62.965,63.0,1162,2024-03-28 09:59:00-04:00
63.0,63.0,62.975,62.995,2274,2024-03-28 10:00:00-04:00
62.995,62.995,62.995,62.995,100,2024-03-28 10:01:00-04:00
62.9875,63.07,62.9875,63.07,2399,2024-03-28 10:02:00-04:00
63.08,63.095,63.08,63.09,1821,2024-03-28 10:04:00-04:00
63.08,63.08,63.0475,63.0475,4844,2024-03-28 10:05:00-04:00
63.055,63.08,63.03,63.03,6608,2024-03-28 10:06:00-04:00
63.035,63.09,63.03,63.08,3062,2024-03-28 10:07:00-04:00
63.08,63.085,63.02,63.085,12244,2024-03-28 10:08:00-04:00
63.08,63.09,63.06,63.09,2102,2024-03-28 10:09:00-04:00
63.09,63.11,63.065,63.1,2697,2024-03-28 10:10:00-04:00
63.11,63.15,63.11,63.115,4517,2024-03-28 10:11:00-04:00
63.12,63.12,63.09,63.1,3400,2024-03-28 10:12:00-04:00
63.09,63.1,63.08,63.09,4233,2024-03-28 10:13:00-04:00
63.06,63.06,63.0101,63.02,1600,2024-03-28 10:14:00-04:00
63.0154,63.06,63.01,63.01,2500,2024-03-28 10:15:00-04:00
63.03,63.03,63.01,63.02,4018,2024-03-28 10:16:00-04:00
63.01,63.03,62.98,63.03,8814,2024-03-28 10:17:00-04:00
63.03,63.04,63.005,63.015,2983,2024-03-28 10:18:00-04:00
63.02,63.09,63.02,63.055,2488,2024-03-28 10:19:00-04:00
63.06,63.08,63.06,63.075,700,2024-03-28 10:20:00-04:00
63.08,63.08,63.06,63.07,400,2024-03-28 10:21:00-04:00
63.07,63.1,63.07,63.1,1000,2024-03-28 10:22:00-04:00
63.11,63.115,63.105,63.105,476,2024-03-28 10:23:00-04:00
63.1,63.1,63.03,63.03,2731,2024-03-28 10:24:00-04:00
63.03,63.04,63.0,63.0,2430,2024-03-28 10:25:00-04:00
63.01,63.02,63.01,63.015,500,2024-03-28 10:26:00-04:00
63.02,63.06,63.02,63.06,3100,2024-03-28 10:27:00-04:00
63.06,63.06,63.0393,63.0393,1180,2024-03-28 10:28:00-04:00
63.03,63.03,63.03,63.03,300,2024-03-28 10:29:00-04:00
63.03,63.045,63.0262,63.0262,2154,2024-03-28 10:30:00-04:00
63.02,63.04,63.02,63.035,1969,2024-03-28 10:31:00-04:00
63.04,63.06,63.04,63.06,2246,2024-03-28 10:32:00-04:00
63.05,63.1,63.05,63.1,2104,2024-03-28 10:33:00-04:00
63.12,63.13,63.09,63.09,2200,2024-03-28 10:34:00-04:00
63.07,63.115,63.07,63.09,2584,2024-03-28 10:35:00-04:00
63.09,63.09,63.08,63.08,983,2024-03-28 10:36:00-04:00
63.1014,63.13,63.09,63.13,2444,2024-03-28 10:37:00-04:00
63.15,63.15,63.14,63.15,1200,2024-03-28 10:38:00-04:00
63.16,63.16,63.16,63.16,883,2024-03-28 10:39:00-04:00
63.1504,63.18,63.14,63.15,2985,2024-03-28 10:40:00-04:00
63.162,63.17,63.142,63.17,2408,2024-03-28 10:41:00-04:00
63.15,63.15,63.12,63.12,1291,2024-03-28 10:42:00-04:00
63.121,63.121,63.12,63.12,239,2024-03-28 10:43:00-04:00
63.12,63.12,63.1,63.1198,1717,2024-03-28 10:44:00-04:00
63.12,63.135,63.12,63.125,4595,2024-03-28 10:45:00-04:00
63.12,63.13,63.12,63.13,1141,2024-03-28 10:46:00-04:00
63.14,63.14,63.11,63.11,1659,2024-03-28 10:47:00-04:00
63.11,63.12,63.11,63.11,813,2024-03-28 10:48:00-04:00
63.12,63.13,63.09,63.09,1982,2024-03-28 10:49:00-04:00
63.1,63.115,63.09,63.115,2393,2024-03-28 10:50:00-04:00
63.12,63.125,63.11,63.11,1700,2024-03-28 10:51:00-04:00
63.11,63.14,63.11,63.12,1000,2024-03-28 10:52:00-04:00
63.13,63.13,63.085,63.11,53905,2024-03-28 10:53:00-04:00
63.09,63.095,63.085,63.095,800,2024-03-28 10:54:00-04:00
63.0945,63.13,63.09,63.11,3100,2024-03-28 10:55:00-04:00
63.125,63.13,63.12,63.12,500,2024-03-28 10:56:00-04:00
63.125,63.155,63.1123,63.155,1500,2024-03-28 10:57:00-04:00
63.17,63.17,63.15,63.15,2311,2024-03-28 10:58:00-04:00
63.16,63.19,63.14,63.19,5446,2024-03-28 10:59:00-04:00
63.18,63.215,63.18,63.21,800,2024-03-28 11:00:00-04:00
63.2,63.2,63.14,63.14,2433,2024-03-28 11:01:00-04:00
63.14,63.14,63.13,63.14,667,2024-03-28 11:02:00-04:00
63.15,63.165,63.15,63.16,1524,2024-03-28 11:03:00-04:00
63.16,63.165,63.16,63.165,201,2024-03-28 11:04:00-04:00
63.16,63.2,63.16,63.185,8086,2024-03-28 11:05:00-04:00
63.185,63.195,63.175,63.195,1000,2024-03-28 11:06:00-04:00
63.195,63.23,63.19,63.23,2100,2024-03-28 11:07:00-04:00
63.22,63.225,63.19,63.225,3505,2024-03-28 11:08:00-04:00
63.225,63.245,63.225,63.245,2115,2024-03-28 11:09:00-04:00
63.2425,63.25,63.23,63.24,1258,2024-03-28 11:10:00-04:00
63.25,63.25,63.23,63.245,1700,2024-03-28 11:11:00-04:00
63.245,63.27,63.245,63.27,1400,2024-03-28 11:12:00-04:00
63.28,63.3,63.27,63.28,4300,2024-03-28 11:13:00-04:00
63.28,63.32,63.28,63.305,3295,2024-03-28 11:14:00-04:00
63.3,63.34,63.29,63.29,3794,2024-03-28 11:15:00-04:00
63.29,63.29,63.2765,63.28,601,2024-03-28 11:16:00-04:00
63.28,63.32,63.28,63.29,1700,2024-03-28 11:17:00-04:00
63.28,63.29,63.26,63.29,6214,2024-03-28 11:18:00-04:00
63.285,63.3,63.275,63.295,3120,2024-03-28 11:19:00-04:00
63.295,63.3,63.26,63.29,11209,2024-03-28 11:20:00-04:00
63.28,63.3,63.28,63.295,6121,2024-03-28 11:21:00-04:00
63.3,63.3,63.28,63.2997,5044,2024-03-28 11:22:00-04:00
63.3,63.3,63.29,63.295,2574,2024-03-28 11:23:00-04:00
63.295,63.31,63.285,63.305,4424,2024-03-28 11:24:00-04:00
63.31,63.35,63.31,63.35,3900,2024-03-28 11:25:00-04:00
63.345,63.35,63.345,63.35,898,2024-03-28 11:26:00-04:00
63.35,63.38,63.35,63.37,3542,2024-03-28 11:27:00-04:00
63.37,63.38,63.355,63.37,9490,2024-03-28 11:28:00-04:00
63.37,63.37,63.35,63.365,3709,2024-03-28 11:29:00-04:00
63.365,63.365,63.325,63.345,3345,2024-03-28 11:30:00-04:00
63.345,63.35,63.3,63.32,4187,2024-03-28 11:31:00-04:00
63.315,63.315,63.2951,63.301,2681,2024-03-28 11:32:00-04:00
63.29,63.3,63.24,63.245,8774,2024-03-28 11:33:00-04:00
63.24,63.265,63.18,63.18,5989,2024-03-28 11:34:00-04:00
63.17,63.17,63.12,63.15,3675,2024-03-28 11:35:00-04:00
63.15,63.15,63.06,63.06,1364,2024-03-28 11:36:00-04:00
63.06,63.06,63.04,63.05,5335,2024-03-28 11:37:00-04:00
63.06,63.07,63.04,63.04,2414,2024-03-28 11:38:00-04:00
63.0396,63.05,62.97,62.98,15322,2024-03-28 11:39:00-04:00
62.98,63.03,62.96,62.99,7411,2024-03-28 11:40:00-04:00
63.0,63.065,63.0,63.06,4898,2024-03-28 11:41:00-04:00
63.0675,63.075,63.06,63.06,3114,2024-03-28 11:42:00-04:00
63.045,63.11,63.045,63.1,2764,2024-03-28 11:43:00-04:00
63.08,63.14,63.08,63.135,11151,2024-03-28 11:44:00-04:00
63.15,63.17,63.135,63.16,6110,2024-03-28 11:45:00-04:00
63.1698,63.175,63.15,63.16,5074,2024-03-28 11:46:00-04:00
63.15,63.16,63.145,63.15,3799,2024-03-28 11:47:00-04:00
63.14,63.18,63.14,63.16,1814,2024-03-28 11:48:00-04:00
63.17,63.17,63.135,63.14,2400,2024-03-28 11:49:00-04:00
63.15,63.165,63.135,63.16,2643,2024-03-28 11:50:00-04:00
63.165,63.17,63.15,63.165,2599,2024-03-28 11:51:00-04:00
63.17,63.175,63.16,63.175,1100,2024-03-28 11:52:00-04:00
63.16,63.17,63.11,63.13,6535,2024-03-28 11:53:00-04:00
63.12,63.13,63.11,63.115,4524,2024-03-28 11:54:00-04:00
63.11,63.14,63.11,63.135,3774,2024-03-28 11:55:00-04:00
63.135,63.14,63.135,63.14,1085,2024-03-28 11:56:00-04:00
63.14,63.155,63.12,63.13,6887,2024-03-28 11:57:00-04:00
63.14,63.15,63.135,63.145,2622,2024-03-28 11:58:00-04:00
63.14,63.145,63.075,63.08,3295,2024-03-28 11:59:00-04:00
63.08,63.09,63.0723,63.09,1056,2024-03-28 12:00:00-04:00
63.095,63.11,63.09,63.11,1442,2024-03-28 12:01:00-04:00
63.11,63.13,63.11,63.13,6516,2024-03-28 12:02:00-04:00
63.13,63.165,63.13,63.165,3187,2024-03-28 12:03:00-04:00
63.16,63.16,63.125,63.125,1177,2024-03-28 12:04:00-04:00
63.13,63.155,63.13,63.155,500,2024-03-28 12:05:00-04:00
63.155,63.155,63.14,63.15,1310,2024-03-28 12:06:00-04:00
63.16,63.167,63.16,63.16,585,2024-03-28 12:07:00-04:00
63.18,63.18,63.18,63.18,100,2024-03-28 12:08:00-04:00
63.18,63.185,63.155,63.16,3285,2024-03-28 12:09:00-04:00
63.17,63.18,63.17,63.18,937,2024-03-28 12:10:00-04:00
63.18,63.18,63.16,63.18,3302,2024-03-28 12:11:00-04:00
63.17,63.1727,63.17,63.17,960,2024-03-28 12:12:00-04:00
63.17,63.17,63.14,63.14,1475,2024-03-28 12:13:00-04:00
63.12,63.15,63.12,63.14,28181,2024-03-28 12:14:00-04:00
63.14,63.14,63.1,63.1,700,2024-03-28 12:15:00-04:00
63.1,63.1,63.08,63.08,2000,2024-03-28 12:16:00-04:00
63.09,63.16,63.085,63.145,18156,2024-03-28 12:17:00-04:00
63.14,63.16,63.135,63.15,1733,2024-03-28 12:18:00-04:00
63.16,63.16,63.14,63.14,1400,2024-03-28 12:19:00-04:00
63.145,63.18,63.14,63.17,4633,2024-03-28 12:20:00-04:00
63.17,63.2,63.17,63.2,2589,2024-03-28 12:21:00-04:00
63.21,63.23,63.2,63.2,6181,2024-03-28 12:22:00-04:00
63.2,63.2006,63.1948,63.2,860,2024-03-28 12:23:00-04:00
63.19,63.19,63.165,63.185,3297,2024-03-28 12:24:00-04:00
63.185,63.185,63.18,63.185,500,2024-03-28 12:25:00-04:00
63.19,63.24,63.19,63.24,3457,2024-03-28 12:26:00-04:00
63.23,63.23,63.22,63.22,1100,2024-03-28 12:27:00-04:00
63.22,63.22,63.2,63.22,1368,2024-03-28 12:28:00-04:00
