open,high,low,close,volume,datetime
55.55,55.55,55.55,55.55,100,2021-11-23 07:21:00-05:00
55.51,55.51,55.51,55.51,100,2021-11-23 07:27:00-05:00
55.53,55.53,55.53,55.53,100,2021-11-23 07:28:00-05:00
55.42,55.43,55.41,55.41,300,2021-11-23 07:40:00-05:00
55.41,55.41,55.41,55.41,100,2021-11-23 07:44:00-05:00
55.39,55.39,55.39,55.39,400,2021-11-23 07:55:00-05:00
55.39,55.39,55.35,55.35,597,2021-11-23 07:56:00-05:00
55.31,55.31,55.31,55.31,100,2021-11-23 07:59:00-05:00
55.14,55.14,55.14,55.14,500,2021-11-23 08:00:00-05:00
55.36,55.36,55.36,55.36,206,2021-11-23 08:01:00-05:00
55.31,55.31,55.31,55.31,500,2021-11-23 08:02:00-05:00
55.14,55.14,55.12,55.12,600,2021-11-23 08:10:00-05:00
55.11,55.11,55.1,55.1,500,2021-11-23 08:14:00-05:00
55.15,55.15,55.15,55.15,100,2021-11-23 08:18:00-05:00
55.21,55.21,55.21,55.21,100,2021-11-23 08:20:00-05:00
55.0,55.0,54.99,54.99,724,2021-11-23 08:25:00-05:00
55.04,55.04,55.04,55.04,200,2021-11-23 08:32:00-05:00
55.03,55.03,55.0,55.02,1179,2021-11-23 08:33:00-05:00
55.0,55.0,55.0,55.0,1000,2021-11-23 08:35:00-05:00
55.0,55.0,55.0,55.0,1000,2021-11-23 08:36:00-05:00
55.03,55.03,55.03,55.03,1000,2021-11-23 08:37:00-05:00
54.94,54.94,54.85,54.85,1398,2021-11-23 08:38:00-05:00
54.82,54.85,54.74,54.74,1300,2021-11-23 08:42:00-05:00
54.88,54.88,54.88,54.88,200,2021-11-23 08:43:00-05:00
54.89,54.89,54.85,54.85,794,2021-11-23 08:45:00-05:00
54.98,54.98,54.86,54.88,1129,2021-11-23 08:51:00-05:00
54.9,54.95,54.9,54.95,300,2021-11-23 08:52:00-05:00
54.86,54.86,54.85,54.85,700,2021-11-23 08:53:00-05:00
54.95,54.95,54.95,54.95,211,2021-11-23 08:55:00-05:00
54.97,54.97,54.97,54.97,600,2021-11-23 08:58:00-05:00
54.92,54.92,54.88,54.88,600,2021-11-23 09:00:00-05:00
54.9,54.95,54.9,54.94,1116,2021-11-23 09:06:00-05:00
54.9,54.95,54.9,54.95,469,2021-11-23 09:07:00-05:00
55.0,55.0,55.0,55.0,993,2021-11-23 09:21:00-05:00
55.13,55.13,55.13,55.13,100,2021-11-23 09:22:00-05:00
55.0,55.06,55.0,55.06,264,2021-11-23 09:29:00-05:00
55.06,55.29,54.92,55.225,123015,2021-11-23 09:30:00-05:00
55.22,55.476,55.14,55.476,27046,2021-11-23 09:31:00-05:00
55.47,55.59,55.44,55.54,17289,2021-11-23 09:32:00-05:00
55.51,55.6,55.38,55.41,32804,2021-11-23 09:33:00-05:00
55.44,55.52,55.41,55.46,30134,2021-11-23 09:34:00-05:00
55.43,55.48,55.32,55.48,21675,2021-11-23 09:35:00-05:00
55.5,55.51,55.42,55.42,21444,2021-11-23 09:36:00-05:00
55.37,55.38,55.27,55.37,31953,2021-11-23 09:37:00-05:00
55.3598,55.39,55.33,55.36,19094,2021-11-23 09:38:00-05:00
55.36,55.462,55.3,55.35,100006,2021-11-23 09:39:00-05:00
55.36,55.38,55.29,55.32,34587,2021-11-23 09:40:00-05:00
55.32,55.3512,55.23,55.23,20778,2021-11-23 09:41:00-05:00
55.22,55.28,55.06,55.11,40602,2021-11-23 09:42:00-05:00
55.11,55.15,55.03,55.045,17768,2021-11-23 09:43:00-05:00
55.04,55.17,55.02,55.13,27965,2021-11-23 09:44:00-05:00
55.14,55.3,55.14,55.24,43271,2021-11-23 09:45:00-05:00
55.24,55.36,55.2,55.2,9586,2021-11-23 09:46:00-05:00
55.22,55.225,55.12,55.16,18364,2021-11-23 09:47:00-05:00
55.16,55.24,55.13,55.19,11905,2021-11-23 09:48:00-05:00
55.185,55.33,55.185,55.33,17638,2021-11-23 09:49:00-05:00
55.34,55.45,55.28,55.28,21963,2021-11-23 09:50:00-05:00
55.28,55.33,55.24,55.3,22786,2021-11-23 09:51:00-05:00
55.29,55.29,55.18,55.18,13513,2021-11-23 09:52:00-05:00
55.18,55.22,55.1,55.1,35612,2021-11-23 09:53:00-05:00
