open,high,low,close,volume,datetime
174.93,174.93,174.93,174.93,108,2021-11-23 07:09:00-05:00
174.0,174.0,174.0,174.0,138,2021-11-23 07:32:00-05:00
173.6,173.6,173.6,173.6,200,2021-11-23 08:42:00-05:00
172.76,172.76,172.76,172.76,118,2021-11-23 08:48:00-05:00
173.32,173.32,173.32,173.32,100,2021-11-23 08:52:00-05:00
173.6,173.6,173.32,173.32,582,2021-11-23 09:26:00-05:00
173.72,173.72,173.72,173.72,100,2021-11-23 09:27:00-05:00
173.27,173.3,173.01,173.01,600,2021-11-23 09:28:00-05:00
173.05,173.43,172.18,173.25,121318,2021-11-23 09:30:00-05:00
173.25,173.25,172.715,172.92,10895,2021-11-23 09:31:00-05:00
172.88,173.17,172.52,172.53,11365,2021-11-23 09:32:00-05:00
172.51,172.63,172.26,172.26,19703,2021-11-23 09:33:00-05:00
172.2,172.2569,171.78,171.96,14389,2021-11-23 09:34:00-05:00
172.0,172.01,171.594,171.79,9688,2021-11-23 09:35:00-05:00
171.85,172.06,171.72,172.0293,10665,2021-11-23 09:36:00-05:00
172.06,172.2,171.56,171.56,9568,2021-11-23 09:37:00-05:00
171.69,172.27,171.57,172.15,14927,2021-11-23 09:38:00-05:00
172.24,172.346,172.0,172.0,12296,2021-11-23 09:39:00-05:00
172.0399,172.15,171.88,172.14,4710,2021-11-23 09:40:00-05:00
172.17,172.59,172.14,172.59,8690,2021-11-23 09:41:00-05:00
172.61,172.8,172.48,172.502,12931,2021-11-23 09:42:00-05:00
172.59,172.7,172.43,172.4389,8578,2021-11-23 09:43:00-05:00
172.47,172.63,172.45,172.6187,11496,2021-11-23 09:44:00-05:00
172.64,172.94,172.59,172.9,14662,2021-11-23 09:45:00-05:00
172.86,173.04,172.83,172.96,7019,2021-11-23 09:46:00-05:00
173.0,173.05,172.84,172.88,7772,2021-11-23 09:47:00-05:00
172.81,172.99,172.76,172.94,3228,2021-11-23 09:48:00-05:00
172.99,173.0716,172.84,172.92,7098,2021-11-23 09:49:00-05:00
172.81,172.83,172.51,172.53,15668,2021-11-23 09:50:00-05:00
172.49,172.72,172.41,172.69,8456,2021-11-23 09:51:00-05:00
172.67,173.26,172.67,173.08,10263,2021-11-23 09:52:00-05:00
173.055,173.31,173.02,173.02,14317,2021-11-23 09:53:00-05:00
173.021,173.12,172.89,172.89,4731,2021-11-23 09:54:00-05:00
172.88,172.94,172.77,172.82,6579,2021-11-23 09:55:00-05:00
172.95,173.005,172.895,172.935,9894,2021-11-23 09:56:00-05:00
172.935,172.97,172.84,172.845,5120,2021-11-23 09:57:00-05:00
172.845,172.88,172.65,172.65,7401,2021-11-23 09:58:00-05:00
172.69,172.86,172.56,172.81,14778,2021-11-23 09:59:00-05:00
172.83,172.83,172.29,172.34,14596,2021-11-23 10:00:00-05:00
172.38,172.48,172.21,172.21,21132,2021-11-23 10:01:00-05:00
172.18,172.18,171.74,171.8,30789,2021-11-23 10:02:00-05:00
171.86,171.92,171.71,171.71,24011,2021-11-23 10:03:00-05:00
171.71,172.12,171.6,172.01,20394,2021-11-23 10:04:00-05:00
172.0,172.11,171.96,172.05,11587,2021-11-23 10:05:00-05:00
172.08,172.09,171.56,171.63,9746,2021-11-23 10:06:00-05:00
171.59,171.72,171.38,171.4514,8675,2021-11-23 10:07:00-05:00
171.45,171.57,171.38,171.48,6205,2021-11-23 10:08:00-05:00
171.47,171.48,171.33,171.425,7545,2021-11-23 10:09:00-05:00
171.45,171.91,171.45,171.874,6115,2021-11-23 10:10:00-05:00
171.8054,171.9,171.5,171.5,8841,2021-11-23 10:11:00-05:00
171.49,171.67,171.41,171.47,9186,2021-11-23 10:12:00-05:00
171.4501,171.51,171.37,171.48,5449,2021-11-23 10:13:00-05:00
171.52,171.71,171.4553,171.71,7281,2021-11-23 10:14:00-05:00
171.79,171.96,171.75,171.88,9502,2021-11-23 10:15:00-05:00
171.935,171.99,171.7246,171.8,8584,2021-11-23 10:16:00-05:00
171.77,171.82,171.69,171.7,3610,2021-11-23 10:17:00-05:00
171.73,171.9133,171.72,171.79,3511,2021-11-23 10:18:00-05:00
171.83,171.89,171.78,171.82,2880,2021-11-23 10:19:00-05:00
171.85,171.85,171.6,171.6778,5105,2021-11-23 10:20:00-05:00
171.64,171.67,171.54,171.54,4160,2021-11-23 10:21:00-05:00
171.5701,171.75,171.56,171.73,2910,2021-11-23 10:22:00-05:00
171.72,171.94,171.72,171.79,4730,2021-11-23 10:23:00-05:00
171.83,171.98,171.83,171.928,4413,2021-11-23 10:24:00-05:00
171.92,171.92,171.84,171.91,2601,2021-11-23 10:25:00-05:00
171.9,171.91,171.6,171.6,4961,2021-11-23 10:26:00-05:00
171.5952,171.74,171.54,171.67,7183,2021-11-23 10:27:00-05:00
171.72,171.72,171.5,171.5005,6024,2021-11-23 10:28:00-05:00
171.52,171.66,171.52,171.63,7698,2021-11-23 10:29:00-05:00
171.61,171.68,171.49,171.68,6365,2021-11-23 10:30:00-05:00
171.71,171.9,171.698,171.89,6441,2021-11-23 10:31:00-05:00
171.95,171.95,171.72,171.8,7240,2021-11-23 10:32:00-05:00
171.75,171.75,171.65,171.65,4819,2021-11-23 10:33:00-05:00
171.61,171.755,171.56,171.61,9293,2021-11-23 10:34:00-05:00
171.67,171.685,171.57,171.6,3300,2021-11-23 10:35:00-05:00
171.63,171.71,171.55,171.55,7433,2021-11-23 10:36:00-05:00
171.585,171.6352,171.42,171.42,6747,2021-11-23 10:37:00-05:00
171.46,171.46,171.24,171.24,8309,2021-11-23 10:38:00-05:00
171.24,171.36,171.24,171.2855,9635,2021-11-23 10:39:00-05:00
171.27,171.37,171.22,171.2735,10003,2021-11-23 10:40:00-05:00
171.22,171.22,171.13,171.16,10399,2021-11-23 10:41:00-05:00
171.13,171.13,170.94,171.05,15931,2021-11-23 10:42:00-05:00
171.05,171.23,171.05,171.09,6267,2021-11-23 10:43:00-05:00
171.12,171.13,170.92,170.92,13564,2021-11-23 10:44:00-05:00
170.89,171.135,170.88,171.125,9266,2021-11-23 10:45:00-05:00
171.125,171.13,170.95,170.98,8671,2021-11-23 10:46:00-05:00
171.02,171.14,171.01,171.1,6441,2021-11-23 10:47:00-05:00
171.1,171.1,170.99,170.99,7322,2021-11-23 10:48:00-05:00
171.01,171.1677,171.01,171.1,5504,2021-11-23 10:49:00-05:00
171.1,171.3,171.06,171.3,3870,2021-11-23 10:50:00-05:00
171.29,171.31,171.21,171.31,5855,2021-11-23 10:51:00-05:00
171.27,171.27,171.02,171.08,3476,2021-11-23 10:52:00-05:00
171.09,171.11,170.99,171.01,4273,2021-11-23 10:53:00-05:00
171.04,171.06,170.97,171.03,2131,2021-11-23 10:54:00-05:00
171.05,171.102,170.93,170.99,7823,2021-11-23 10:55:00-05:00
171.03,171.07,170.99,171.03,7457,2021-11-23 10:56:00-05:00
171.06,171.06,170.76,170.78,11100,2021-11-23 10:57:00-05:00
170.8,170.89,170.75,170.76,9378,2021-11-23 10:58:00-05:00
170.76,170.9,170.63,170.64,18417,2021-11-23 10:59:00-05:00
170.68,170.68,170.52,170.6,26497,2021-11-23 11:00:00-05:00
170.61,170.66,170.41,170.51,12767,2021-11-23 11:01:00-05:00
170.6,170.66,170.54,170.57,4112,2021-11-23 11:02:00-05:00
170.6,170.7,170.43,170.43,6768,2021-11-23 11:03:00-05:00
170.51,170.61,170.465,170.56,7408,2021-11-23 11:04:00-05:00
170.53,170.65,170.52,170.65,4817,2021-11-23 11:05:00-05:00
170.65,170.76,170.65,170.72,3364,2021-11-23 11:06:00-05:00
170.76,170.88,170.76,170.85,7999,2021-11-23 11:07:00-05:00
170.88,171.14,170.88,171.12,6479,2021-11-23 11:08:00-05:00
