open,high,low,close,volume,datetime
655.0,655.0,655.0,655.0,181,2021-11-23 08:46:00-05:00
652.5,652.5,652.5,652.5,100,2021-11-23 09:08:00-05:00
651.12,651.12,651.12,651.12,200,2021-11-23 09:13:00-05:00
650.02,650.02,650.0,650.0,360,2021-11-23 09:18:00-05:00
650.32,650.32,650.32,650.32,100,2021-11-23 09:29:00-05:00
650.31,650.31,644.3,644.465,26854,2021-11-23 09:30:00-05:00
644.31,644.31,640.59,640.59,4450,2021-11-23 09:31:00-05:00
641.255,641.255,636.46,636.46,10033,2021-11-23 09:32:00-05:00
638.71,639.99,637.625,639.79,4330,2021-11-23 09:33:00-05:00
639.39,642.1,639.39,641.2,1425,2021-11-23 09:34:00-05:00
642.165,642.39,640.77,640.77,1770,2021-11-23 09:35:00-05:00
642.59,642.94,641.14,641.14,3824,2021-11-23 09:36:00-05:00
643.54,644.965,642.02,642.75,2141,2021-11-23 09:37:00-05:00
643.57,645.09,643.57,643.76,3153,2021-11-23 09:38:00-05:00
643.64,645.28,643.5,645.28,2725,2021-11-23 09:39:00-05:00
644.63,645.96,644.43,645.72,2254,2021-11-23 09:40:00-05:00
645.57,646.25,644.73,646.09,4725,2021-11-23 09:41:00-05:00
645.525,647.37,645.475,645.97,2470,2021-11-23 09:42:00-05:00
647.265,648.52,646.055,647.0,1825,2021-11-23 09:43:00-05:00
648.43,648.43,645.8,645.81,6601,2021-11-23 09:44:00-05:00
645.875,646.1475,644.65,646.12,3720,2021-11-23 09:45:00-05:00
644.625,648.02,644.625,647.885,2049,2021-11-23 09:46:00-05:00
648.78,650.385,648.37,649.885,5712,2021-11-23 09:47:00-05:00
649.965,650.23,649.12,650.21,3026,2021-11-23 09:48:00-05:00
650.07,651.86,650.07,651.07,3436,2021-11-23 09:49:00-05:00
650.86,652.9799,649.01,650.77,3529,2021-11-23 09:50:00-05:00
651.5,654.08,651.5,653.5066,1700,2021-11-23 09:51:00-05:00
653.9,654.43,651.96,652.01,1500,2021-11-23 09:52:00-05:00
652.43,653.44,651.985,652.62,1611,2021-11-23 09:53:00-05:00
653.395,653.4442,651.76,651.76,3342,2021-11-23 09:54:00-05:00
652.2,652.35,651.0154,651.385,6182,2021-11-23 09:55:00-05:00
651.55,651.92,651.16,651.22,5815,2021-11-23 09:56:00-05:00
651.75,653.97,651.58,653.57,2780,2021-11-23 09:57:00-05:00
653.36,653.36,651.93,652.04,1380,2021-11-23 09:58:00-05:00
652.62,652.745,651.03,652.46,3832,2021-11-23 09:59:00-05:00
652.05,652.97,652.05,652.28,4285,2021-11-23 10:00:00-05:00
651.55,652.425,651.34,652.425,801,2021-11-23 10:01:00-05:00
652.67,652.915,652.67,652.705,800,2021-11-23 10:02:00-05:00
652.67,653.35,651.92,651.92,1334,2021-11-23 10:03:00-05:00
652.04,652.04,651.75,651.75,200,2021-11-23 10:04:00-05:00
651.68,653.33,651.62,652.53,1400,2021-11-23 10:05:00-05:00
652.57,653.31,649.86,650.03,3605,2021-11-23 10:06:00-05:00
649.85,650.29,649.62,649.71,1603,2021-11-23 10:07:00-05:00
649.425,649.425,647.35,647.35,2433,2021-11-23 10:08:00-05:00
646.925,647.91,646.925,647.08,600,2021-11-23 10:09:00-05:00
647.23,647.72,646.89,647.72,1173,2021-11-23 10:10:00-05:00
646.96,646.97,645.59,645.98,1525,2021-11-23 10:11:00-05:00
646.03,646.03,645.13,645.13,5339,2021-11-23 10:12:00-05:00
645.27,645.59,644.16,644.91,4699,2021-11-23 10:13:00-05:00
645.31,645.31,643.17,643.81,2421,2021-11-23 10:14:00-05:00
644.41,644.41,644.065,644.09,506,2021-11-23 10:15:00-05:00
644.08,644.08,641.975,642.54,2856,2021-11-23 10:16:00-05:00
642.16,642.3043,641.72,641.9678,1979,2021-11-23 10:17:00-05:00
641.5,641.5,640.84,640.84,750,2021-11-23 10:18:00-05:00
640.55,642.16,640.01,642.16,1299,2021-11-23 10:19:00-05:00
641.34,641.34,640.48,640.555,657,2021-11-23 10:20:00-05:00
640.75,642.54,640.73,641.95,845,2021-11-23 10:21:00-05:00
641.93,642.38,641.76,641.85,800,2021-11-23 10:22:00-05:00
642.93,645.2,642.8,645.0,2577,2021-11-23 10:23:00-05:00
645.06,646.36,644.53,644.74,1694,2021-11-23 10:24:00-05:00
644.675,645.38,644.33,644.33,1800,2021-11-23 10:25:00-05:00
644.6442,644.6442,642.46,642.46,1609,2021-11-23 10:26:00-05:00
643.52,643.52,642.46,642.46,962,2021-11-23 10:27:00-05:00
642.17,642.17,641.02,641.02,1430,2021-11-23 10:28:00-05:00
641.02,641.115,640.2,640.81,1200,2021-11-23 10:29:00-05:00
640.13,640.28,639.35,639.78,6265,2021-11-23 10:30:00-05:00
639.775,640.45,639.775,640.04,2154,2021-11-23 10:31:00-05:00
639.96,640.135,638.01,638.8,6790,2021-11-23 10:32:00-05:00
638.59,639.98,638.011,639.98,7614,2021-11-23 10:33:00-05:00
638.965,639.28,637.6,638.0,13143,2021-11-23 10:34:00-05:00
638.2,638.59,636.84,636.89,2900,2021-11-23 10:35:00-05:00
636.5,637.32,635.57,635.655,8212,2021-11-23 10:36:00-05:00
635.665,636.78,635.54,636.78,3418,2021-11-23 10:37:00-05:00
636.32,637.17,636.27,636.27,3744,2021-11-23 10:38:00-05:00
637.1,637.92,635.82,637.92,3800,2021-11-23 10:39:00-05:00
637.4476,637.47,636.41,637.295,1343,2021-11-23 10:40:00-05:00
637.34,637.79,636.549,637.45,1200,2021-11-23 10:41:00-05:00
637.39,637.45,636.1,636.1,2890,2021-11-23 10:42:00-05:00
636.39,636.6,636.05,636.08,1382,2021-11-23 10:43:00-05:00
636.325,637.04,636.28,636.83,2367,2021-11-23 10:44:00-05:00
636.47,637.29,636.34,637.29,1355,2021-11-23 10:45:00-05:00
637.7,637.7,637.425,637.425,556,2021-11-23 10:46:00-05:00
636.27,637.359,636.27,636.715,1364,2021-11-23 10:47:00-05:00
636.68,637.48,636.36,637.28,6219,2021-11-23 10:48:00-05:00
637.28,638.11,637.24,637.24,3565,2021-11-23 10:49:00-05:00
637.54,637.99,637.54,637.625,700,2021-11-23 10:50:00-05:00
637.695,638.23,637.18,637.88,2070,2021-11-23 10:51:00-05:00
638.08,638.5,637.47,637.47,2411,2021-11-23 10:52:00-05:00
