open,high,low,close,volume,datetime
36.28,36.34,36.28,36.34,200,2021-11-23 08:40:00-05:00
36.71,36.71,36.71,36.71,10189,2021-11-23 08:43:00-05:00
36.72,36.805,36.67,36.68,16833,2021-11-23 09:30:00-05:00
36.735,36.74,36.63,36.63,2715,2021-11-23 09:31:00-05:00
36.59,36.71,36.59,36.71,1428,2021-11-23 09:32:00-05:00
36.74,36.75,36.72,36.75,1824,2021-11-23 09:33:00-05:00
36.78,36.91,36.779,36.91,13972,2021-11-23 09:34:00-05:00
36.85,36.88,36.8,36.8,2919,2021-11-23 09:35:00-05:00
36.8,36.84,36.72,36.72,3078,2021-11-23 09:36:00-05:00
36.61,36.64,36.575,36.575,2700,2021-11-23 09:37:00-05:00
36.59,36.59,36.51,36.55,4897,2021-11-23 09:38:00-05:00
36.54,36.63,36.54,36.605,1300,2021-11-23 09:39:00-05:00
36.62,36.62,36.56,36.56,1173,2021-11-23 09:40:00-05:00
36.59,36.59,36.56,36.56,2200,2021-11-23 09:41:00-05:00
36.57,36.57,36.52,36.52,1317,2021-11-23 09:42:00-05:00
36.55,36.58,36.55,36.575,1100,2021-11-23 09:43:00-05:00
36.5641,36.62,36.5641,36.62,752,2021-11-23 09:44:00-05:00
36.64,36.65,36.64,36.65,600,2021-11-23 09:45:00-05:00
36.64,36.64,36.61,36.62,1064,2021-11-23 09:46:00-05:00
36.6105,36.6105,36.58,36.585,4124,2021-11-23 09:47:00-05:00
36.58,36.58,36.54,36.54,800,2021-11-23 09:48:00-05:00
36.53,36.7,36.53,36.6629,12527,2021-11-23 09:49:00-05:00
36.66,36.68,36.63,36.68,3502,2021-11-23 09:50:00-05:00
36.63,36.655,36.63,36.655,877,2021-11-23 09:51:00-05:00
36.63,36.75,36.62,36.75,7100,2021-11-23 09:52:00-05:00
36.72,36.79,36.71,36.735,3074,2021-11-23 09:53:00-05:00
36.7324,36.7324,36.63,36.66,4100,2021-11-23 09:54:00-05:00
36.67,36.67,36.67,36.67,800,2021-11-23 09:55:00-05:00
36.69,36.74,36.69,36.71,8461,2021-11-23 09:56:00-05:00
36.73,36.77,36.7132,36.77,700,2021-11-23 09:57:00-05:00
36.7425,36.7425,36.7425,36.7425,400,2021-11-23 09:58:00-05:00
36.7301,36.83,36.7301,36.81,14687,2021-11-23 09:59:00-05:00
36.79,36.88,36.775,36.86,22693,2021-11-23 10:00:00-05:00
36.855,36.94,36.79,36.9,13762,2021-11-23 10:01:00-05:00
36.9,36.93,36.885,36.9,1204,2021-11-23 10:02:00-05:00
36.905,37.07,36.9,37.03,29384,2021-11-23 10:03:00-05:00
37.03,37.0437,37.025,37.0437,2425,2021-11-23 10:04:00-05:00
37.06,37.06,36.958,37.03,12007,2021-11-23 10:05:00-05:00
37.07,37.07,37.0,37.03,1405,2021-11-23 10:06:00-05:00
37.0,37.0,36.92,36.96,4474,2021-11-23 10:07:00-05:00
36.98,37.0,36.98,37.0,1468,2021-11-23 10:08:00-05:00
37.005,37.005,36.93,36.95,5945,2021-11-23 10:09:00-05:00
36.96,37.0,36.96,36.995,2127,2021-11-23 10:10:00-05:00
37.005,37.01,36.93,36.95,4076,2021-11-23 10:11:00-05:00
36.945,36.979,36.89,36.9,10579,2021-11-23 10:12:00-05:00
36.88,36.88,36.8,36.83,9117,2021-11-23 10:13:00-05:00
36.8,36.81,36.71,36.71,3984,2021-11-23 10:14:00-05:00
36.7,36.73,36.68,36.68,5568,2021-11-23 10:15:00-05:00
36.69,36.75,36.69,36.75,2146,2021-11-23 10:16:00-05:00
36.745,36.76,36.73,36.755,2756,2021-11-23 10:17:00-05:00
36.7544,36.82,36.7544,36.82,1440,2021-11-23 10:18:00-05:00
36.79,36.8,36.78,36.8,7102,2021-11-23 10:19:00-05:00
36.795,36.84,36.795,36.84,1679,2021-11-23 10:20:00-05:00
36.84,36.85,36.81,36.82,7802,2021-11-23 10:21:00-05:00
