open,high,low,close,volume,datetime
26.29,26.29,26.29,26.29,288,2024-03-28 08:12:00-04:00
26.15,26.15,26.15,26.15,200,2024-03-28 08:14:00-04:00
26.25,26.25,26.25,26.25,200,2024-03-28 08:16:00-04:00
26.37,26.46,26.37,26.43,28041,2024-03-28 09:30:00-04:00
26.42,26.45,26.42,26.45,2435,2024-03-28 09:31:00-04:00
26.44,26.44,26.4,26.41,700,2024-03-28 09:32:00-04:00
26.4,26.4,26.37,26.38,1206,2024-03-28 09:33:00-04:00
26.39,26.39,26.39,26.39,300,2024-03-28 09:34:00-04:00
26.41,26.41,26.38,26.4,700,2024-03-28 09:35:00-04:00
26.4,26.41,26.39,26.39,1008,2024-03-28 09:36:00-04:00
26.39,26.39,26.39,26.39,200,2024-03-28 09:37:00-04:00
26.38,26.38,26.38,26.38,100,2024-03-28 09:38:00-04:00
26.3793,26.39,26.35,26.35,3075,2024-03-28 09:39:00-04:00
26.36,26.36,26.35,26.35,1500,2024-03-28 09:40:00-04:00
26.36,26.36,26.36,26.36,300,2024-03-28 09:41:00-04:00
26.35,26.375,26.35,26.375,800,2024-03-28 09:42:00-04:00
26.36,26.36,26.36,26.36,100,2024-03-28 09:43:00-04:00
26.3535,26.3535,26.33,26.34,2275,2024-03-28 09:44:00-04:00
26.35,26.365,26.35,26.365,800,2024-03-28 09:45:00-04:00
26.365,26.41,26.365,26.375,5273,2024-03-28 09:46:00-04:00
26.38,26.415,26.38,26.415,800,2024-03-28 09:47:00-04:00
26.41,26.42,26.38,26.4,2984,2024-03-28 09:48:00-04:00
26.39,26.4,26.39,26.4,720,2024-03-28 09:49:00-04:00
26.4,26.43,26.4,26.425,1388,2024-03-28 09:50:00-04:00
26.425,26.43,26.425,26.425,1453,2024-03-28 09:51:00-04:00
26.425,26.425,26.425,26.425,240,2024-03-28 09:52:00-04:00
26.425,26.43,26.425,26.43,423,2024-03-28 09:53:00-04:00
26.435,26.435,26.425,26.425,2019,2024-03-28 09:54:00-04:00
26.43,26.44,26.43,26.435,1123,2024-03-28 09:55:00-04:00
26.435,26.445,26.43,26.445,1468,2024-03-28 09:56:00-04:00
26.445,26.445,26.42,26.42,4794,2024-03-28 09:57:00-04:00
26.415,26.415,26.415,26.415,200,2024-03-28 09:58:00-04:00
26.42,26.44,26.42,26.435,4098,2024-03-28 10:00:00-04:00
26.4325,26.45,26.4325,26.445,7783,2024-03-28 10:01:00-04:00
26.445,26.45,26.44,26.45,300,2024-03-28 10:02:00-04:00
26.44,26.44,26.415,26.42,6620,2024-03-28 10:03:00-04:00
26.415,26.415,26.4,26.405,6450,2024-03-28 10:04:00-04:00
26.405,26.405,26.405,26.405,100,2024-03-28 10:05:00-04:00
26.4,26.405,26.395,26.395,3384,2024-03-28 10:06:00-04:00
26.4,26.425,26.4,26.425,700,2024-03-28 10:07:00-04:00
26.42,26.42,26.415,26.415,827,2024-03-28 10:08:00-04:00
26.41,26.41,26.39,26.3902,1614,2024-03-28 10:09:00-04:00
