open,high,low,close,volume,datetime
70.58,70.58,70.58,70.58,100,2021-11-23 07:27:00-05:00
70.56,70.56,70.56,70.56,100,2021-11-23 07:37:00-05:00
70.57,70.57,70.57,70.57,200,2021-11-23 07:55:00-05:00
70.57,70.57,70.57,70.57,500,2021-11-23 08:09:00-05:00
70.58,70.58,70.58,70.58,278,2021-11-23 08:25:00-05:00
70.59,70.59,70.59,70.59,119,2021-11-23 08:33:00-05:00
70.58,70.58,70.58,70.58,100,2021-11-23 08:36:00-05:00
70.58,70.58,70.58,70.58,100,2021-11-23 08:39:00-05:00
70.6,70.6,70.59,70.59,514,2021-11-23 08:43:00-05:00
70.6,70.6,70.6,70.6,100,2021-11-23 08:44:00-05:00
70.61,70.61,70.58,70.58,622,2021-11-23 08:52:00-05:00
70.55,70.55,70.55,70.55,300,2021-11-23 08:53:00-05:00
70.55,70.55,70.55,70.55,161,2021-11-23 08:58:00-05:00
70.52,70.54,70.51,70.54,1863,2021-11-23 09:00:00-05:00
70.55,70.55,70.55,70.55,200,2021-11-23 09:01:00-05:00
70.55,70.55,70.55,70.55,101,2021-11-23 09:02:00-05:00
70.58,70.59,70.58,70.59,686,2021-11-23 09:07:00-05:00
70.64,70.65,70.64,70.64,300,2021-11-23 09:23:00-05:00
70.66,70.66,70.66,70.66,100,2021-11-23 09:24:00-05:00
70.85,70.85,70.85,70.85,200,2021-11-23 09:27:00-05:00
70.99,71.0,70.99,71.0,300,2021-11-23 09:29:00-05:00
70.81,70.95,70.81,70.95,47754,2021-11-23 09:30:00-05:00
70.98,70.98,70.75,70.83,5205,2021-11-23 09:31:00-05:00
70.75,70.85,70.7,70.7,5012,2021-11-23 09:32:00-05:00
70.7,70.86,70.7,70.78,3547,2021-11-23 09:33:00-05:00
70.86,70.8608,70.69,70.745,3767,2021-11-23 09:34:00-05:00
70.77,70.8,70.68,70.68,8738,2021-11-23 09:35:00-05:00
70.65,70.74,70.61,70.65,6040,2021-11-23 09:36:00-05:00
70.64,70.6681,70.56,70.56,4323,2021-11-23 09:37:00-05:00
70.58,70.66,70.58,70.66,3147,2021-11-23 09:38:00-05:00
70.668,70.71,70.668,70.695,4095,2021-11-23 09:39:00-05:00
70.705,70.78,70.65,70.74,24977,2021-11-23 09:40:00-05:00
70.755,70.82,70.73,70.78,11025,2021-11-23 09:41:00-05:00
70.8,70.9,70.7901,70.89,9669,2021-11-23 09:42:00-05:00
70.85,70.8763,70.81,70.81,6495,2021-11-23 09:43:00-05:00
70.805,70.81,70.7866,70.8096,4873,2021-11-23 09:44:00-05:00
70.81,70.91,70.8,70.86,10925,2021-11-23 09:45:00-05:00
70.84,70.86,70.79,70.82,6757,2021-11-23 09:46:00-05:00
70.8,70.85,70.77,70.78,8620,2021-11-23 09:47:00-05:00
70.77,70.8019,70.75,70.8,6651,2021-11-23 09:48:00-05:00
70.79,70.84,70.79,70.81,6027,2021-11-23 09:49:00-05:00
70.82,70.89,70.82,70.87,5402,2021-11-23 09:50:00-05:00
70.875,70.89,70.82,70.83,4154,2021-11-23 09:51:00-05:00
70.83,70.83,70.75,70.75,3989,2021-11-23 09:52:00-05:00
70.76,70.82,70.76,70.78,2047,2021-11-23 09:53:00-05:00
70.77,70.77,70.72,70.7437,3013,2021-11-23 09:54:00-05:00
70.76,70.76,70.75,70.754,2417,2021-11-23 09:55:00-05:00
70.75,70.85,70.75,70.82,5084,2021-11-23 09:56:00-05:00
70.83,70.85,70.83,70.83,4292,2021-11-23 09:57:00-05:00
70.84,70.85,70.7667,70.77,2750,2021-11-23 09:58:00-05:00
70.78,70.7969,70.75,70.75,2676,2021-11-23 09:59:00-05:00
70.76,70.76,70.72,70.75,3141,2021-11-23 10:00:00-05:00
70.77,70.8,70.77,70.77,2618,2021-11-23 10:01:00-05:00
70.78,70.79,70.78,70.7885,2995,2021-11-23 10:02:00-05:00
