open,high,low,close,volume,datetime
62.48,62.48,62.48,62.48,100,2021-11-23 09:05:00-05:00
62.3,62.3,62.26,62.26,500,2021-11-23 09:20:00-05:00
62.3,62.3,62.3,62.3,300,2021-11-23 09:21:00-05:00
62.6,62.6,62.6,62.6,100,2021-11-23 09:26:00-05:00
62.95,62.95,62.95,62.95,282,2021-11-23 09:29:00-05:00
62.93,63.5,62.9,63.47,60530,2021-11-23 09:30:00-05:00
63.3701,63.5,63.27,63.41,15530,2021-11-23 09:31:00-05:00
63.34,63.34,63.2009,63.33,5043,2021-11-23 09:32:00-05:00
63.35,63.5,63.31,63.45,7584,2021-11-23 09:33:00-05:00
63.487,63.55,63.08,63.19,31322,2021-11-23 09:34:00-05:00
63.19,63.31,63.17,63.3,5420,2021-11-23 09:35:00-05:00
63.2701,63.31,63.14,63.2299,11998,2021-11-23 09:36:00-05:00
63.17,63.2,62.98,63.13,13509,2021-11-23 09:37:00-05:00
63.12,63.28,63.12,63.259,5925,2021-11-23 09:38:00-05:00
63.2301,63.27,63.21,63.25,3000,2021-11-23 09:39:00-05:00
63.26,63.4,63.25,63.4,2978,2021-11-23 09:40:00-05:00
63.4,63.419,63.35,63.38,10205,2021-11-23 09:41:00-05:00
63.35,63.385,63.32,63.33,2000,2021-11-23 09:42:00-05:00
63.32,63.32,63.22,63.22,2413,2021-11-23 09:43:00-05:00
63.18,63.36,63.18,63.31,944,2021-11-23 09:44:00-05:00
63.38,63.43,63.38,63.43,1928,2021-11-23 09:45:00-05:00
63.43,63.45,63.34,63.34,3779,2021-11-23 09:46:00-05:00
63.3685,63.3685,63.28,63.35,2685,2021-11-23 09:47:00-05:00
63.38,63.39,63.3201,63.38,2004,2021-11-23 09:48:00-05:00
63.33,63.34,63.22,63.23,5038,2021-11-23 09:49:00-05:00
63.21,63.24,63.19,63.2,4376,2021-11-23 09:50:00-05:00
63.21,63.24,63.12,63.16,9328,2021-11-23 09:51:00-05:00
63.2,63.24,63.14,63.15,2400,2021-11-23 09:52:00-05:00
63.2031,63.2031,63.16,63.16,400,2021-11-23 09:53:00-05:00
63.11,63.2005,63.11,63.2005,910,2021-11-23 09:54:00-05:00
63.27,63.32,63.24,63.24,2451,2021-11-23 09:55:00-05:00
63.36,63.36,63.29,63.2914,1745,2021-11-23 09:56:00-05:00
63.32,63.32,63.3,63.3,550,2021-11-23 09:57:00-05:00
63.27,63.32,63.25,63.32,800,2021-11-23 09:58:00-05:00
63.27,63.28,63.22,63.22,2150,2021-11-23 09:59:00-05:00
63.27,63.29,63.23,63.23,3235,2021-11-23 10:00:00-05:00
63.23,63.29,63.17,63.29,3681,2021-11-23 10:01:00-05:00
63.28,63.28,63.15,63.17,7895,2021-11-23 10:02:00-05:00
63.24,63.32,63.23,63.32,3934,2021-11-23 10:03:00-05:00
63.34,63.38,63.33,63.33,2322,2021-11-23 10:04:00-05:00
63.32,63.4,63.32,63.39,2000,2021-11-23 10:05:00-05:00
63.3844,63.43,63.33,63.36,3001,2021-11-23 10:06:00-05:00
63.39,63.45,63.37,63.44,1350,2021-11-23 10:07:00-05:00
63.41,63.42,63.36,63.36,2618,2021-11-23 10:08:00-05:00
63.4,63.45,63.33,63.4265,2521,2021-11-23 10:09:00-05:00
63.45,63.62,63.45,63.56,17672,2021-11-23 10:10:00-05:00
63.54,63.58,63.43,63.43,4323,2021-11-23 10:11:00-05:00
63.44,63.56,63.44,63.5,3681,2021-11-23 10:12:00-05:00
63.49,63.5,63.43,63.43,4244,2021-11-23 10:13:00-05:00
63.42,63.42,63.3423,63.35,2294,2021-11-23 10:14:00-05:00
63.37,63.39,63.365,63.3899,1961,2021-11-23 10:15:00-05:00
63.36,63.449,63.35,63.4,3366,2021-11-23 10:16:00-05:00
63.48,63.52,63.48,63.505,900,2021-11-23 10:17:00-05:00
63.51,63.62,63.51,63.62,3826,2021-11-23 10:18:00-05:00
63.615,63.68,63.61,63.65,1952,2021-11-23 10:19:00-05:00
63.6368,63.64,63.59,63.615,2668,2021-11-23 10:20:00-05:00
63.6,63.6,63.5405,63.59,3143,2021-11-23 10:21:00-05:00
63.58,63.6,63.55,63.56,10068,2021-11-23 10:22:00-05:00
63.54,63.56,63.52,63.53,1286,2021-11-23 10:23:00-05:00
63.485,63.485,63.465,63.48,500,2021-11-23 10:24:00-05:00
63.47,63.54,63.46,63.54,2000,2021-11-23 10:25:00-05:00
63.5,63.505,63.44,63.44,1615,2021-11-23 10:26:00-05:00
63.41,63.49,63.37,63.49,1810,2021-11-23 10:27:00-05:00
63.45,63.45,63.35,63.35,1600,2021-11-23 10:28:00-05:00
63.33,63.34,63.31,63.34,1240,2021-11-23 10:29:00-05:00
63.3221,63.36,63.31,63.33,951,2021-11-23 10:30:00-05:00
63.32,63.395,63.32,63.39,1182,2021-11-23 10:31:00-05:00
63.3946,63.3946,63.34,63.34,1669,2021-11-23 10:32:00-05:00
63.36,63.36,63.33,63.33,800,2021-11-23 10:33:00-05:00
63.325,63.325,63.2155,63.24,3482,2021-11-23 10:34:00-05:00
63.24,63.27,63.23,63.23,3347,2021-11-23 10:35:00-05:00
63.26,63.28,63.235,63.24,1623,2021-11-23 10:36:00-05:00
63.24,63.24,63.17,63.17,2360,2021-11-23 10:37:00-05:00
63.16,63.16,63.1,63.1,2404,2021-11-23 10:38:00-05:00
63.11,63.13,63.1,63.13,1115,2021-11-23 10:39:00-05:00
63.16,63.26,63.1591,63.21,2833,2021-11-23 10:40:00-05:00
63.22,63.29,63.2,63.29,2407,2021-11-23 10:41:00-05:00
63.29,63.34,63.27,63.32,2801,2021-11-23 10:42:00-05:00
63.34,63.3427,63.25,63.27,2549,2021-11-23 10:43:00-05:00
63.28,63.28,63.2555,63.28,900,2021-11-23 10:44:00-05:00
63.31,63.31,63.27,63.3014,1807,2021-11-23 10:45:00-05:00
63.27,63.3,63.27,63.3,700,2021-11-23 10:46:00-05:00
63.29,63.33,63.29,63.32,1880,2021-11-23 10:47:00-05:00
63.33,63.33,63.27,63.28,2289,2021-11-23 10:48:00-05:00
63.26,63.32,63.26,63.29,2095,2021-11-23 10:49:00-05:00
63.27,63.285,63.2276,63.285,2801,2021-11-23 10:50:00-05:00
63.31,63.31,63.25,63.25,2016,2021-11-23 10:51:00-05:00
63.25,63.25,63.2,63.21,800,2021-11-23 10:52:00-05:00
63.195,63.27,63.16,63.27,5221,2021-11-23 10:53:00-05:00
63.26,63.26,63.24,63.24,1302,2021-11-23 10:54:00-05:00
63.21,63.23,63.18,63.19,3221,2021-11-23 10:55:00-05:00
63.17,63.17,63.06,63.06,5541,2021-11-23 10:56:00-05:00
63.08,63.09,63.05,63.07,2866,2021-11-23 10:57:00-05:00
63.07,63.1,63.07,63.1,611,2021-11-23 10:58:00-05:00
63.07,63.07,62.98,62.98,3655,2021-11-23 10:59:00-05:00
62.97,63.04,62.97,62.97,3359,2021-11-23 11:00:00-05:00
62.9,62.9,62.84,62.84,2220,2021-11-23 11:01:00-05:00
62.85,62.87,62.8098,62.815,3935,2021-11-23 11:02:00-05:00
62.82,62.83,62.765,62.78,3700,2021-11-23 11:03:00-05:00
