open,high,low,close,volume,datetime
1140.97,1140.97,1140.97,1140.97,2657,2024-03-28 09:30:00-04:00
1136.4,1136.42,1133.7,1133.7,576,2024-03-28 09:34:00-04:00
1136.24,1136.24,1136.24,1136.24,367,2024-03-28 09:36:00-04:00
1136.29,1136.31,1136.29,1136.31,200,2024-03-28 09:37:00-04:00
1134.49,1134.49,1134.47,1134.49,459,2024-03-28 09:41:00-04:00
1135.32,1135.32,1135.32,1135.32,272,2024-03-28 09:42:00-04:00
1135.06,1135.06,1132.68,1132.68,200,2024-03-28 09:44:00-04:00
1131.12,1131.12,1131.12,1131.12,100,2024-03-28 09:46:00-04:00
1134.51,1134.51,1134.51,1134.51,100,2024-03-28 09:50:00-04:00
1135.91,1135.91,1135.91,1135.91,100,2024-03-28 09:54:00-04:00
1136.125,1136.125,1136.125,1136.125,100,2024-03-28 09:56:00-04:00
1137.25,1137.52,1137.25,1137.495,300,2024-03-28 09:58:00-04:00
1139.69,1139.69,1139.69,1139.69,100,2024-03-28 09:59:00-04:00
1139.69,1139.69,1139.69,1139.69,100,2024-03-28 10:00:00-04:00
1141.185,1141.705,1141.185,1141.62,300,2024-03-28 10:04:00-04:00
1141.62,1141.62,1139.8,1141.05,651,2024-03-28 10:05:00-04:00
1140.9921,1140.9921,1140.9921,1140.9921,123,2024-03-28 10:06:00-04:00
1141.96,1141.96,1141.1,1141.1,225,2024-03-28 10:08:00-04:00
1141.92,1142.16,1140.84,1141.595,1398,2024-03-28 10:11:00-04:00
1141.91,1142.72,1141.91,1142.72,224,2024-03-28 10:12:00-04:00
1141.13,1141.865,1139.965,1139.965,803,2024-03-28 10:14:00-04:00
1140.0,1140.0,1140.0,1140.0,100,2024-03-28 10:19:00-04:00
1139.47,1139.47,1138.185,1138.185,400,2024-03-28 10:21:00-04:00
1137.62,1137.62,1137.62,1137.62,100,2024-03-28 10:25:00-04:00
1137.48,1137.48,1137.48,1137.48,100,2024-03-28 10:26:00-04:00
1136.665,1136.665,1136.55,1136.55,200,2024-03-28 10:29:00-04:00
1136.53,1136.53,1136.4,1136.45,300,2024-03-28 10:30:00-04:00
1136.0,1136.0,1136.0,1136.0,230,2024-03-28 10:39:00-04:00
1137.58,1138.53,1137.58,1138.53,600,2024-03-28 10:42:00-04:00
1139.53,1139.53,1139.53,1139.53,100,2024-03-28 10:43:00-04:00
1138.635,1139.7799,1138.635,1139.7799,203,2024-03-28 10:45:00-04:00
1139.75,1141.39,1138.85,1138.85,1132,2024-03-28 10:46:00-04:00
1141.24,1141.24,1141.24,1141.24,100,2024-03-28 10:48:00-04:00
1141.25,1141.45,1140.93,1140.93,375,2024-03-28 10:51:00-04:00
1140.635,1141.11,1140.19,1141.11,475,2024-03-28 10:52:00-04:00
1141.14,1142.4,1141.14,1141.265,600,2024-03-28 10:53:00-04:00
1141.04,1141.04,1141.04,1141.04,100,2024-03-28 10:54:00-04:00
1140.59,1140.59,1140.59,1140.59,100,2024-03-28 10:55:00-04:00
1140.445,1140.445,1140.445,1140.445,100,2024-03-28 10:59:00-04:00
1140.435,1141.1,1140.435,1141.1,313,2024-03-28 11:00:00-04:00
1140.01,1140.01,1140.01,1140.01,100,2024-03-28 11:02:00-04:00
1139.22,1139.22,1139.22,1139.22,100,2024-03-28 11:03:00-04:00
1139.92,1139.945,1139.92,1139.945,300,2024-03-28 11:04:00-04:00
1138.09,1138.63,1138.09,1138.63,200,2024-03-28 11:05:00-04:00
1138.08,1138.08,1138.08,1138.08,100,2024-03-28 11:07:00-04:00
1138.36,1138.36,1138.36,1138.36,108,2024-03-28 11:09:00-04:00
1138.335,1138.335,1138.335,1138.335,100,2024-03-28 11:15:00-04:00
1137.46,1137.46,1137.46,1137.46,100,2024-03-28 11:16:00-04:00
1137.61,1137.61,1137.61,1137.61,100,2024-03-28 11:18:00-04:00
1137.13,1137.99,1137.13,1137.99,500,2024-03-28 11:21:00-04:00
1137.845,1137.845,1137.845,1137.845,100,2024-03-28 11:26:00-04:00
1137.03,1137.815,1137.03,1137.815,300,2024-03-28 11:27:00-04:00
1137.795,1137.795,1137.795,1137.795,100,2024-03-28 11:28:00-04:00
1137.52,1137.52,1137.52,1137.52,100,2024-03-28 11:31:00-04:00
1136.81,1137.44,1136.81,1137.44,200,2024-03-28 11:40:00-04:00
1136.64,1137.37,1136.64,1137.37,300,2024-03-28 11:41:00-04:00
1137.7,1137.7,1137.515,1137.54,300,2024-03-28 11:44:00-04:00
1137.02,1137.02,1137.02,1137.02,962,2024-03-28 11:45:00-04:00
1136.68,1136.68,1136.68,1136.68,100,2024-03-28 11:47:00-04:00
1137.13,1137.3885,1137.13,1137.3885,229,2024-03-28 11:50:00-04:00
1136.7,1137.025,1136.7,1137.025,400,2024-03-28 11:51:00-04:00
1136.9834,1138.05,1136.9834,1137.455,1452,2024-03-28 11:52:00-04:00
