open,high,low,close,volume,datetime
449.65,452.68,449.65,452.68,2917,2021-11-23 09:30:00-05:00
447.22,448.27,446.92,448.1133,600,2021-11-23 09:32:00-05:00
452.54,452.54,452.54,452.54,103,2021-11-23 09:33:00-05:00
450.27,450.27,450.27,450.27,383,2021-11-23 09:36:00-05:00
450.09,450.13,449.7337,449.7337,700,2021-11-23 09:37:00-05:00
448.925,448.925,448.925,448.925,100,2021-11-23 09:39:00-05:00
449.92,449.92,449.92,449.92,100,2021-11-23 09:40:00-05:00
451.38,451.46,450.25,450.25,700,2021-11-23 09:44:00-05:00
450.46,450.46,450.46,450.46,100,2021-11-23 09:45:00-05:00
452.54,452.54,452.54,452.54,100,2021-11-23 09:46:00-05:00
453.496,453.496,453.496,453.496,500,2021-11-23 09:51:00-05:00
453.48,453.48,453.48,453.48,804,2021-11-23 09:55:00-05:00
454.346,454.346,451.975,451.975,1640,2021-11-23 09:56:00-05:00
454.0,454.13,454.0,454.13,300,2021-11-23 09:57:00-05:00
453.55,453.65,453.53,453.53,500,2021-11-23 09:59:00-05:00
452.52,452.52,452.52,452.52,182,2021-11-23 10:00:00-05:00
451.88,451.88,451.88,451.88,100,2021-11-23 10:01:00-05:00
451.28,451.28,451.28,451.28,100,2021-11-23 10:03:00-05:00
450.97,450.97,450.87,450.87,200,2021-11-23 10:06:00-05:00
450.12,450.12,450.12,450.12,100,2021-11-23 10:07:00-05:00
450.0,450.7,450.0,450.7,285,2021-11-23 10:08:00-05:00
450.0,450.0,448.89,449.26,1861,2021-11-23 10:09:00-05:00
449.36,449.36,449.33,449.33,200,2021-11-23 10:10:00-05:00
449.33,449.33,448.72,448.72,200,2021-11-23 10:11:00-05:00
448.21,448.21,447.92,448.08,300,2021-11-23 10:12:00-05:00
447.92,447.92,447.02,447.02,875,2021-11-23 10:13:00-05:00
447.485,447.485,446.6,446.6,413,2021-11-23 10:14:00-05:00
446.69,446.69,446.69,446.69,100,2021-11-23 10:15:00-05:00
446.45,446.45,445.02,445.825,596,2021-11-23 10:16:00-05:00
444.54,445.15,444.54,444.99,883,2021-11-23 10:17:00-05:00
445.151,445.151,443.69,443.72,575,2021-11-23 10:18:00-05:00
443.84,445.1161,443.77,443.77,3624,2021-11-23 10:19:00-05:00
444.03,444.03,444.02,444.02,200,2021-11-23 10:20:00-05:00
444.43,445.06,444.43,444.505,700,2021-11-23 10:21:00-05:00
444.62,445.48,444.595,445.48,700,2021-11-23 10:23:00-05:00
444.92,445.54,444.11,444.94,800,2021-11-23 10:24:00-05:00
445.06,445.06,445.06,445.06,100,2021-11-23 10:25:00-05:00
443.8,443.8,443.8,443.8,100,2021-11-23 10:26:00-05:00
442.64,442.64,442.64,442.64,100,2021-11-23 10:27:00-05:00
442.77,442.77,442.21,442.21,300,2021-11-23 10:28:00-05:00
442.21,442.31,441.65,441.65,780,2021-11-23 10:29:00-05:00
442.38,443.49,442.38,443.49,400,2021-11-23 10:30:00-05:00
444.62,444.62,444.62,444.62,100,2021-11-23 10:31:00-05:00
443.72,443.72,443.72,443.72,100,2021-11-23 10:32:00-05:00
443.39,444.075,443.29,443.29,505,2021-11-23 10:34:00-05:00
443.67,443.67,442.635,442.635,300,2021-11-23 10:35:00-05:00
442.805,442.805,442.805,442.805,100,2021-11-23 10:37:00-05:00
442.335,442.335,442.335,442.335,100,2021-11-23 10:38:00-05:00
442.32,443.485,442.32,442.885,700,2021-11-23 10:39:00-05:00
443.86,443.86,442.705,442.705,203,2021-11-23 10:40:00-05:00
443.08,443.08,443.02,443.02,800,2021-11-23 10:41:00-05:00
442.6,442.76,442.0,442.0,983,2021-11-23 10:42:00-05:00
442.715,443.09,442.715,443.09,200,2021-11-23 10:43:00-05:00
442.21,442.35,441.59,442.08,1571,2021-11-23 10:45:00-05:00
442.005,442.005,442.005,442.005,297,2021-11-23 10:46:00-05:00
442.6,442.6,442.13,442.6,400,2021-11-23 10:47:00-05:00
442.46,442.46,441.0,441.23,879,2021-11-23 10:48:00-05:00
441.42,441.6241,441.42,441.6241,1762,2021-11-23 10:49:00-05:00
441.77,441.79,441.77,441.79,200,2021-11-23 10:50:00-05:00
441.7095,441.775,441.7095,441.775,200,2021-11-23 10:51:00-05:00
441.322,441.322,441.322,441.322,200,2021-11-23 10:52:00-05:00
440.84,440.84,440.665,440.665,400,2021-11-23 10:53:00-05:00
440.03,440.31,439.73,440.04,3696,2021-11-23 10:54:00-05:00
439.99,440.73,439.99,440.38,3232,2021-11-23 10:55:00-05:00
440.08,440.08,440.08,440.08,100,2021-11-23 10:56:00-05:00
438.88,438.88,438.6,438.6,1256,2021-11-23 10:57:00-05:00
438.79,438.94,438.436,438.436,2017,2021-11-23 10:58:00-05:00
438.815,438.815,438.215,438.215,500,2021-11-23 10:59:00-05:00
438.445,438.445,438.445,438.445,100,2021-11-23 11:00:00-05:00
437.81,437.99,437.81,437.99,414,2021-11-23 11:01:00-05:00
436.67,437.18,436.34,436.34,300,2021-11-23 11:02:00-05:00
436.69,438.05,436.69,438.0,600,2021-11-23 11:03:00-05:00
438.58,439.28,438.58,439.28,300,2021-11-23 11:04:00-05:00
440.01,440.185,439.92,439.92,300,2021-11-23 11:06:00-05:00
439.41,439.81,439.41,439.81,300,2021-11-23 11:08:00-05:00
439.48,441.54,439.48,441.54,409,2021-11-23 11:10:00-05:00
442.67,442.67,442.67,442.67,100,2021-11-23 11:12:00-05:00
442.615,442.615,442.46,442.46,370,2021-11-23 11:13:00-05:00
443.92,443.92,443.92,443.92,100,2021-11-23 11:17:00-05:00
443.82,444.73,443.82,444.53,510,2021-11-23 11:18:00-05:00
444.73,444.73,444.73,444.73,100,2021-11-23 11:19:00-05:00
443.105,443.725,443.105,443.725,200,2021-11-23 11:21:00-05:00
443.95,444.15,443.95,444.145,400,2021-11-23 11:23:00-05:00
443.94,443.94,443.94,443.94,100,2021-11-23 11:24:00-05:00
444.03,445.16,444.03,445.16,200,2021-11-23 11:25:00-05:00
445.81,445.81,445.81,445.81,214,2021-11-23 11:28:00-05:00
445.82,445.82,445.82,445.82,290,2021-11-23 11:30:00-05:00
446.37,447.03,446.195,447.03,600,2021-11-23 11:31:00-05:00
447.61,447.61,446.43,446.92,402,2021-11-23 11:32:00-05:00
446.07,446.07,445.19,445.19,200,2021-11-23 11:35:00-05:00
445.165,446.165,445.165,446.045,876,2021-11-23 11:36:00-05:00
447.46,448.54,446.52,446.52,700,2021-11-23 11:38:00-05:00
447.04,447.04,447.04,447.04,300,2021-11-23 11:39:00-05:00
446.94,446.94,446.94,446.94,200,2021-11-23 11:40:00-05:00
447.38,447.38,447.38,447.38,100,2021-11-23 11:41:00-05:00
446.585,447.895,446.585,447.895,200,2021-11-23 11:42:00-05:00
447.03,447.03,446.96,446.96,200,2021-11-23 11:43:00-05:00
446.86,446.86,446.52,446.53,403,2021-11-23 11:44:00-05:00
446.325,446.88,446.325,446.88,200,2021-11-23 11:45:00-05:00
448.69,448.725,447.95,448.575,500,2021-11-23 11:47:00-05:00
448.505,448.88,448.505,448.88,400,2021-11-23 11:48:00-05:00
448.38,448.38,448.38,448.38,500,2021-11-23 11:49:00-05:00
448.11,448.49,448.085,448.34,400,2021-11-23 11:51:00-05:00
447.71,447.87,447.17,447.87,362,2021-11-23 11:52:00-05:00
447.91,447.91,447.91,447.91,100,2021-11-23 11:53:00-05:00
447.5,447.5,447.5,447.5,200,2021-11-23 11:54:00-05:00
447.51,447.51,447.51,447.51,100,2021-11-23 11:55:00-05:00
447.95,449.23,447.95,448.3,920,2021-11-23 11:56:00-05:00
448.44,448.44,448.1584,448.1584,200,2021-11-23 11:57:00-05:00
447.49,447.905,447.49,447.905,200,2021-11-23 11:59:00-05:00
447.765,447.765,447.765,447.765,100,2021-11-23 12:00:00-05:00
447.08,447.48,447.08,447.48,200,2021-11-23 12:02:00-05:00
446.905,447.55,446.905,447.55,205,2021-11-23 12:06:00-05:00
